# 
param maxline=128 current=1 gradient=1 normB=1 normE=1
grid X0=0 Y0=0 Z0=0 nX=1 nY=1 nZ=246 dX=1 dY=1 dZ=5
data
0.0 0.0 0.0 0 2.03386 0
0.0 0.0 5.0 0 2.15045 0
0.0 0.0 10.0 0 2.27341 0
0.0 0.0 15.0 0 2.40377 0
0.0 0.0 20.0 0 2.5428 0
0.0 0.0 25.0 0 2.69206 0
0.0 0.0 30.0 0 2.85336 0
0.0 0.0 35.0 0 3.02878 0
0.0 0.0 40.0 0 3.22063 0
0.0 0.0 45.0 0 3.43133 0
0.0 0.0 50.0 0 3.66326 0
0.0 0.0 55.0 0 3.91848 0
0.0 0.0 60.0 0 4.19831 0
0.0 0.0 65.0 0 4.50275 0
0.0 0.0 70.0 0 4.82984 0
0.0 0.0 75.0 0 5.17487 0
0.0 0.0 80.0 0 5.52993 0
0.0 0.0 85.0 0 5.88382 0
0.0 0.0 90.0 0 6.22298 0
0.0 0.0 95.0 0 6.53323 0
0.0 0.0 100.0 0 6.80229 0
0.0 0.0 105.0 0 7.02226 0
0.0 0.0 110.0 0 7.19097 0
0.0 0.0 115.0 0 7.31194 0
0.0 0.0 120.0 0 7.39277 0
0.0 0.0 125.0 0 7.44297 0
0.0 0.0 130.0 0 7.47184 0
0.0 0.0 135.0 0 7.48717 0
0.0 0.0 140.0 0 7.49463 0
0.0 0.0 145.0 0 7.49796 0
0.0 0.0 150.0 0 7.4993 0
0.0 0.0 155.0 0 7.49978 0
0.0 0.0 160.0 0 7.49994 0
0.0 0.0 165.0 0 7.49999 0
0.0 0.0 170.0 0 7.5 0
0.0 0.0 175.0 0 7.5 0
0.0 0.0 180.0 0 7.5 0
0.0 0.0 185.0 0 7.5 0
0.0 0.0 190.0 0 7.5 0
0.0 0.0 195.0 0 7.5 0
0.0 0.0 200.0 0 7.5 0
0.0 0.0 205.0 0 7.5 0
0.0 0.0 210.0 0 7.5 0
0.0 0.0 215.0 0 7.49999 0
0.0 0.0 220.0 0 7.49995 0
0.0 0.0 225.0 0 7.49983 0
0.0 0.0 230.0 0 7.49943 0
0.0 0.0 235.0 0 7.4983 0
0.0 0.0 240.0 0 7.49547 0
0.0 0.0 245.0 0 7.48898 0
0.0 0.0 250.0 0 7.47545 0
0.0 0.0 255.0 0 7.44957 0
0.0 0.0 260.0 0 7.40392 0
0.0 0.0 265.0 0 7.3294 0
0.0 0.0 270.0 0 7.2164 0
0.0 0.0 275.0 0 7.0568 0
0.0 0.0 280.0 0 6.8462 0
0.0 0.0 285.0 0 6.58566 0
0.0 0.0 290.0 0 6.28211 0
0.0 0.0 295.0 0 5.94719 0
0.0 0.0 300.0 0 5.59492 0
0.0 0.0 305.0 0 5.23915 0
0.0 0.0 310.0 0 4.8916 0
0.0 0.0 315.0 0 4.5608 0
0.0 0.0 320.0 0 4.25201 0
0.0 0.0 325.0 0 3.96765 0
0.0 0.0 330.0 0 3.70801 0
0.0 0.0 335.0 0 3.47197 0
0.0 0.0 340.0 0 3.25757 0
0.0 0.0 345.0 0 3.06247 0
0.0 0.0 350.0 0 2.88423 0
0.0 0.0 355.0 0 2.72052 0
0.0 0.0 360.0 0 2.56921 0
0.0 0.0 365.0 0 2.42843 0
0.0 0.0 370.0 0 2.29659 0
0.0 0.0 375.0 0 2.17237 0
0.0 0.0 380.0 0 2.05469 0
0.0 0.0 385.0 0 1.94269 0
0.0 0.0 390.0 0 1.83572 0
0.0 0.0 395.0 0 1.73329 0
0.0 0.0 400.0 0 1.63502 0
0.0 0.0 405.0 0 1.54066 0
0.0 0.0 410.0 0 1.45001 0
0.0 0.0 415.0 0 1.36295 0
0.0 0.0 420.0 0 1.27937 0
0.0 0.0 425.0 0 1.19918 0
0.0 0.0 430.0 0 1.12231 0
0.0 0.0 435.0 0 1.04866 0
0.0 0.0 440.0 0 0.978127 0
0.0 0.0 445.0 0 0.910582 0
0.0 0.0 450.0 0 0.845888 0
0.0 0.0 455.0 0 0 0
0.0 0.0 460.0 0 0 0
0.0 0.0 465.0 0 0 0
0.0 0.0 470.0 0 0 0
0.0 0.0 475.0 0 0 0
0.0 0.0 480.0 0 0 0
0.0 0.0 485.0 0 0 0
0.0 0.0 490.0 0 0 0
0.0 0.0 495.0 0 0 0
0.0 0.0 500.0 0 0 0
0.0 0.0 505.0 0 0 0
0.0 0.0 510.0 0 0 0
0.0 0.0 515.0 0 0 0
0.0 0.0 520.0 0 0 0
0.0 0.0 525.0 0 0 0
0.0 0.0 530.0 0 0 0
0.0 0.0 535.0 0 0 0
0.0 0.0 540.0 0 0 0
0.0 0.0 545.0 0 0 0
0.0 0.0 550.0 0 0 0
0.0 0.0 555.0 0 0 0
0.0 0.0 560.0 0 0 0
0.0 0.0 565.0 0 0 0
0.0 0.0 570.0 0 0 0
0.0 0.0 575.0 0 0 0
0.0 0.0 580.0 0 0 0
0.0 0.0 585.0 0 0 0
0.0 0.0 590.0 0 0 0
0.0 0.0 595.0 0 0 0
0.0 0.0 600.0 0 0 0
0.0 0.0 605.0 0 0 0
0.0 0.0 610.0 0 0 0
0.0 0.0 615.0 0 0 0
0.0 0.0 620.0 0 0 0
0.0 0.0 625.0 0 0 0
0.0 0.0 630.0 0 0 0
0.0 0.0 635.0 0 0 0
0.0 0.0 640.0 0 0 0
0.0 0.0 645.0 0 0 0
0.0 0.0 650.0 0 0 0
