# 
param maxline=128 current=1 gradient=1 normB=1 normE=1
grid X0=0 Y0=0 Z0=0 nX=1 nY=1 nZ=246 dX=1 dY=1 dZ=5
data
0.0 0.0 0.0 0 -1.76268 0
0.0 0.0 5.0 0 -1.86372 0
0.0 0.0 10.0 0 -1.97029 0
0.0 0.0 15.0 0 -2.08326 0
0.0 0.0 20.0 0 -2.20376 0
0.0 0.0 25.0 0 -2.33312 0
0.0 0.0 30.0 0 -2.47291 0
0.0 0.0 35.0 0 -2.62494 0
0.0 0.0 40.0 0 -2.79121 0
0.0 0.0 45.0 0 -2.97382 0
0.0 0.0 50.0 0 -3.17482 0
0.0 0.0 55.0 0 -3.39601 0
0.0 0.0 60.0 0 -3.63853 0
0.0 0.0 65.0 0 -3.90239 0
0.0 0.0 70.0 0 -4.18586 0
0.0 0.0 75.0 0 -4.48489 0
0.0 0.0 80.0 0 -4.7926 0
0.0 0.0 85.0 0 -5.09931 0
0.0 0.0 90.0 0 -5.39325 0
0.0 0.0 95.0 0 -5.66213 0
0.0 0.0 100.0 0 -5.89532 0
0.0 0.0 105.0 0 -6.08595 0
0.0 0.0 110.0 0 -6.23217 0
0.0 0.0 115.0 0 -6.33701 0
0.0 0.0 120.0 0 -6.40707 0
0.0 0.0 125.0 0 -6.45057 0
0.0 0.0 130.0 0 -6.4756 0
0.0 0.0 135.0 0 -6.48888 0
0.0 0.0 140.0 0 -6.49535 0
0.0 0.0 145.0 0 -6.49823 0
0.0 0.0 150.0 0 -6.49939 0
0.0 0.0 155.0 0 -6.49981 0
0.0 0.0 160.0 0 -6.49995 0
0.0 0.0 165.0 0 -6.49999 0
0.0 0.0 170.0 0 -6.5 0
0.0 0.0 175.0 0 -6.5 0
0.0 0.0 180.0 0 -6.5 0
0.0 0.0 185.0 0.000376086 -6.5 0
0.0 0.0 190.0 0.000822473 -6.5 0
0.0 0.0 195.0 0.00166821 -6.5 0
0.0 0.0 200.0 0.00315809 -6.5 0
0.0 0.0 205.0 0.00561337 -6.5 0
0.0 0.0 210.0 0.00942032 -6.5 0
0.0 0.0 215.0 0.0150041 -6.49999 0
0.0 0.0 220.0 0.0227909 -6.49996 0
0.0 0.0 225.0 0.0331659 -6.49985 0
0.0 0.0 230.0 0.0464335 -6.4995 0
0.0 0.0 235.0 0.0627895 -6.49853 0
0.0 0.0 240.0 0.0823081 -6.49607 0
0.0 0.0 245.0 0.104946 -6.49045 0
0.0 0.0 250.0 0.130562 -6.47873 0
0.0 0.0 255.0 0.158941 -6.45629 0
0.0 0.0 260.0 0.189834 -6.41673 0
0.0 0.0 265.0 0.222979 -6.35215 0
0.0 0.0 270.0 0.258137 -6.25422 0
0.0 0.0 275.0 0.295105 -6.1159 0
0.0 0.0 280.0 0.333733 -5.93338 0
0.0 0.0 285.0 0.373927 -5.70757 0
0.0 0.0 290.0 0.415647 -5.4445 0
0.0 0.0 295.0 0.45891 -5.15423 0
0.0 0.0 300.0 0.503773 -4.84893 0
0.0 0.0 305.0 0.550333 -4.5406 0
0.0 0.0 310.0 0.59871 -4.23939 0
0.0 0.0 315.0 0.649044 -3.9527 0
0.0 0.0 320.0 0.701481 -3.68507 0
0.0 0.0 325.0 0.75617 -3.43863 0
0.0 0.0 330.0 0.813252 -3.21361 0
0.0 0.0 335.0 0.872856 -3.00904 0
0.0 0.0 340.0 0.935099 -2.82323 0
0.0 0.0 345.0 1.00008 -2.65414 0
0.0 0.0 350.0 1.06789 -2.49966 0
0.0 0.0 355.0 1.1386 -2.35778 0
0.0 0.0 360.0 1.21228 -2.22665 0
0.0 0.0 365.0 1.28902 -2.10464 0
0.0 0.0 370.0 1.36891 -1.99038 0
0.0 0.0 375.0 1.45208 -1.88272 0
0.0 0.0 380.0 1.53871 -1.78073 0
0.0 0.0 385.0 1.62908 -1.68367 0
0.0 0.0 390.0 1.72354 -1.59096 0
0.0 0.0 395.0 1.82258 -1.50218 0
0.0 0.0 400.0 1.92683 -1.41702 0
0.0 0.0 405.0 2.03712 -1.33524 0
0.0 0.0 410.0 2.15445 -1.25667 0
0.0 0.0 415.0 2.28008 -1.18122 0
0.0 0.0 420.0 2.41548 -1.10878 0
0.0 0.0 425.0 2.56238 -1.03929 0
0.0 0.0 430.0 2.72269 -0.972671 0
0.0 0.0 435.0 2.89849 -0.908841 0
0.0 0.0 440.0 3.09188 -0.84771 0
0.0 0.0 445.0 3.30479 -0.789171 0
0.0 0.0 450.0 3.53868 -0.733103 0
0.0 0.0 455.0 3.79407 -0.67937 0
0.0 0.0 460.0 4.07002 -0.627827 0
0.0 0.0 465.0 4.36347 -0.578326 0
0.0 0.0 470.0 4.66871 -0.530722 0
0.0 0.0 475.0 4.97715 -0.484883 0
0.0 0.0 480.0 5.2777 -0.440696 0
0.0 0.0 485.0 5.55805 -0.398081 0
0.0 0.0 490.0 5.80663 -0.356995 0
0.0 0.0 495.0 6.01485 -0.317446 0
0.0 0.0 500.0 6.17877 -0.279494 0
0.0 0.0 505.0 6.29957 -0.243259 0
0.0 0.0 510.0 6.38264 -0.208912 0
0.0 0.0 515.0 6.43578 -0.176675 0
0.0 0.0 520.0 6.46731 -0.146798 0
0.0 0.0 525.0 6.48461 -0.11954 0
0.0 0.0 530.0 6.49333 -0.0951429 0
0.0 0.0 535.0 6.49736 -0.0737923 0
0.0 0.0 540.0 6.49905 -0.0555926 0
