#BLTrackFile NTuple/Z312
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-22.8685 -32.3988 311.611 -1.08741 -7.47694 72.6548 0.654792 -13 1 1 0 1
37.7909 -1.93673 311.611 12.9679 8.63735 70.2456 1.65453 -13 2 1 0 1
4.57916 -9.50452 311.611 5.44685 -2.28584 71.3885 2.71931 -13 3 1 0 1
-31.7882 -5.74588 311.611 -1.50125 -1.5028 60.8596 2.53451 -13 5 1 0 1
-11.3183 -11.8117 311.611 1.47781 -2.64067 75.0468 0.993374 -13 6 1 0 1
22.4649 -27.2082 311.611 9.44781 -5.30214 60.5799 1.14016 -13 7 1 0 1
-34.073 29.0212 311.611 -0.178658 4.95544 46.7699 2.42956 -13 8 1 0 1
32.6654 -22.7854 311.611 11.9335 -4.63621 65.7195 2.60909 -13 10 1 0 1
35.1702 41.3004 311.611 12.7072 9.50948 70.5813 1.31497 -13 11 1 0 1
17.8569 -46.6592 311.611 2.91068 5.58457 43.6991 3.77356 -13 12 1 0 1
-5.45277 -49.5178 311.611 4.20245 -8.72778 51.9632 3.68777 -13 18 1 0 1
28.8898 -41.9193 311.611 10.8976 -8.62646 63.3232 4.92645 -13 20 1 0 1
-4.38576 23.7931 311.611 4.1787 4.93228 56.6033 0.953273 -13 22 1 0 1
14.9368 13.9322 311.611 8.02362 3.20726 68.0742 1.7544 -13 26 1 0 1
22.4448 -1.98234 311.611 9.57395 0.282692 65.9833 3.38049 -13 27 1 0 1
26.0897 -34.3454 311.611 10.6853 -8.13734 72.3375 2.07445 -13 28 1 0 1
-2.48921 32.358 311.611 4.09815 7.52274 66.8611 2.92999 -13 30 1 0 1
3.02041 8.66639 311.611 5.07706 2.30694 71.8391 1.55193 -13 31 1 0 1
-4.44192 13.0383 311.611 3.90813 2.71643 62.3942 1.51484 -13 32 1 0 1
16.9671 30.413 311.611 8.45419 7.12743 65.6098 0.828042 -13 36 1 0 1
10.6433 -38.5085 311.611 6.90036 -10.3767 79.1424 0.269237 -13 37 1 0 1
