#BLTrackFile NTuple/Z130
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-17.1466 12.4884 130.456 -28.2713 -1.07778 35.3895 2.36833 -13 294 1 0 1
-6.74587 -15.3567 130.456 -31.5341 -8.72322 62.2667 -0.971311 -13 685 1 0 1
-8.3448 -14.5323 130.456 -30.1141 -4.57193 46.0518 1.40099 -13 951 1 0 1
-8.96604 8.29372 130.456 -32.9708 4.80088 64.1379 0.369304 -13 1064 1 0 1
-5.07547 -0.622378 130.456 -29.4601 -0.538658 57.36 2.31151 -13 1081 1 0 1
-12.7981 25.8055 130.456 -36.2978 13.6722 65.7367 -0.0768824 -13 1089 1 0 1
-15.6657 12.0289 130.456 -27.3652 1.1764 41.0831 1.71799 -13 1170 1 0 1
-12.4106 1.34095 130.456 -34.5954 0.770608 62.0221 1.97423 -13 1177 1 0 1
-10.6143 4.52479 130.456 -32.7326 1.34529 58.878 2.759 -13 1181 1 0 1
85.9544 -1.40384 130.456 39.0853 -0.285265 59.0742 -1.6222 -13 1229 1 0 1
-6.26276 0.856069 130.456 -30.536 0.380157 60.8316 1.81664 -13 1405 1 0 1
-14.3019 -6.0061 130.456 -37.058 -4.07056 68.382 -1.5226 -13 1874 1 0 1
-11.6894 -0.384086 130.456 -35.7907 0.579079 69.8306 1.66813 -13 1933 1 0 1
-9.56556 -7.3382 130.456 -33.6654 -3.56528 66.4372 0.0346692 -13 2224 1 0 1
-13.9757 5.99848 130.456 -34.2096 3.0594 57.1217 1.43107 -13 2627 1 0 1
-8.874 20.2328 130.456 -31.486 8.33105 51.0567 1.20986 -13 2777 1 0 1
-15.9782 4.8067 130.456 -26.1426 3.86894 51.2657 1.29163 -13 2818 1 0 1
-16.0306 25.5719 130.456 -25.6023 12.0623 35.268 -1.64189 -13 2829 1 0 1
-7.33452 -3.008 130.456 -31.9372 -2.14278 64.7409 3.24652 -13 2844 1 0 1
-6.12352 17.1241 130.456 -29.7877 7.37064 51.4653 -0.351852 -13 2886 1 0 1
-6.6318 -6.28088 130.456 -31.5691 -4.02009 62.8459 -0.0958754 -13 3235 1 0 1
-12.5731 -16.168 130.456 1.93065 1.76956 43.8308 0.618238 -13 3288 1 0 1
-13.9198 22.0986 130.456 -33.6824 8.01513 51.4136 1.91701 -13 3474 1 0 1
-12.8189 35.7293 130.456 -34.8276 16.1518 55.8293 -1.10212 -13 3531 1 0 1
-8.50835 -16.9323 130.456 2.014 -7.90147 50.555 0.796169 -13 3603 1 0 1
-18.8186 -7.55367 130.456 -23.1271 -19.8671 20.7812 -0.138465 -13 3697 1 0 1
-15.0691 9.53923 130.456 -30.3546 -0.400444 39.5683 1.9722 -13 3878 1 0 1
-13.8975 8.80178 130.456 -35.2714 5.27742 61.9128 -0.0139995 -13 3985 1 0 1
-13.8473 -14.5257 130.456 -37.6506 -8.66154 70.2225 0.160763 -13 4022 1 0 1
-0.285362 -4.83358 130.456 -28.0956 -1.27268 66.6406 -0.506619 -13 4120 1 0 1
-11.9752 -21.5073 130.456 -33.9987 -11.2244 57.5395 -1.32985 -13 4329 1 0 1
-10.7574 14.9567 130.456 -33.1768 5.94705 58.2726 0.504885 -13 4409 1 0 1
-15.3568 -6.70476 130.456 -27.6624 -2.75906 37.8465 0.924238 -13 4503 1 0 1
0.552693 -4.88021 130.456 -26.7429 -1.80694 56.3158 0.187409 -13 4567 1 0 1
-15.4697 -8.27203 130.456 -36.4351 -9.66092 50.2257 1.37531 -13 4809 1 0 1
103.634 -43.0675 130.456 37.3614 -16.1879 44.5317 0.940788 -13 4825 1 0 1
-16.747 7.43851 130.456 -12.3909 -7.20306 47.2235 -0.25346 -13 4916 1 0 1
