#BLTrackFile NTuple/Z25
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.147089 -2.8016 25.4558 -6.68766 -7.21972 72.7706 -1.03983 -13 1 1 0 1
5.11555 3.91709 25.4558 7.66706 -1.67516 80.675 0.0743259 -13 2 1 0 1
1.39587 -0.350712 25.4558 -0.459938 -2.45479 71.802 1.01567 -13 3 1 0 1
0.132006 -2.32558 25.4558 -12.64 -2.34347 77.6164 0.468314 -13 4 1 0 1
-2.83174 1.54228 25.4558 -8.45958 -0.705932 61.04 0.609575 -13 5 1 0 1
0.785874 -1.32092 25.4558 -4.66768 -0.762562 75.4044 -0.658312 -13 6 1 0 1
-0.0906768 -1.86801 25.4558 2.88025 -4.4642 61.714 -0.772305 -13 7 1 0 1
-4.26593 -1.02937 25.4558 -7.38294 6.77977 46.9284 0.0507686 -13 8 1 0 1
2.44948 2.03894 25.4558 9.34571 10.3553 63.195 1.22406 -13 9 1 0 1
1.35924 -2.19978 25.4558 6.42916 -3.47063 66.8978 0.808429 -13 10 1 0 1
2.95632 2.56637 25.4558 6.19571 9.54281 71.7964 -0.402366 -13 11 1 0 1
-1.32774 -1.26923 25.4558 -2.63948 -9.76395 60.9321 1.80258 -13 12 1 0 1
1.77006 3.00663 25.4558 9.98127 5.50964 38.9789 -0.741705 -13 13 1 0 1
3.89642 -3.52085 25.4558 13.64 -5.27628 67.1375 -1.40909 -13 14 1 0 1
1.89864 -2.39447 25.4558 7.31214 -8.74904 67.1722 1.59886 -13 15 1 0 1
7.1963 -4.80077 25.4558 23.2214 -19.3902 53.2988 2.26284 -13 16 1 0 1
-0.426828 1.75897 25.4558 -1.37875 11.7813 64.0526 -0.537335 -13 17 1 0 1
-2.4762 -1.16519 25.4558 -2.57976 -8.65063 52.6665 1.51975 -13 18 1 0 1
-2.50708 0.658655 25.4558 -13.3812 7.01217 64.7437 0.242711 -13 19 1 0 1
1.13516 -2.71055 25.4558 4.49622 -8.71342 64.4266 3.0734 -13 20 1 0 1
-1.83968 -0.998413 25.4558 -1.61041 5.95736 57.3271 -1.06909 -13 22 1 0 1
-3.26132 4.99217 25.4558 -2.18568 12.624 43.5232 0.621853 -13 23 1 0 1
-3.24852 2.57301 25.4558 -7.0912 9.53785 54.4542 0.815189 -13 24 1 0 1
2.82567 -1.4973 25.4558 7.32026 1.89927 70.7996 0.418422 -13 25 1 0 1
0.748818 0.480808 25.4558 1.85429 3.58261 68.7239 -0.00402031 -13 26 1 0 1
0.990813 -3.24219 25.4558 2.77623 -0.0537304 66.8976 1.58481 -13 27 1 0 1
3.50352 -2.38661 25.4558 8.47185 -10.0606 73.2507 0.386428 -13 28 1 0 1
0.0574808 -0.164007 25.4558 -2.20642 6.67536 67.091 1.14201 -13 30 1 0 1
1.25301 -0.395794 25.4558 -1.17899 3.05386 72.1919 -0.144731 -13 31 1 0 1
-1.32307 0.664644 25.4558 -3.45606 3.40932 62.8037 -0.362674 -13 32 1 0 1
-1.37568 -2.34247 25.4558 3.50925 -1.35876 26.4134 1.05965 -13 33 1 0 1
-1.98233 -1.43032 25.4558 -9.61695 -0.307357 66.1841 -0.485372 -13 34 1 0 1
-3.0862 -4.00913 25.4558 -19.6753 -13.0117 70.0053 2.32063 -13 35 1 0 1
0.627718 -0.886759 25.4558 2.40835 6.72213 66.5427 -0.97907 -13 36 1 0 1
2.66417 -0.563858 25.4558 0.202436 -8.85344 79.9667 -1.3263 -13 37 1 0 1
0.326079 -1.90576 25.4558 3.63723 -11.6367 60.2428 1.57917 -13 38 1 0 1
0.833276 0.843777 25.4558 4.2155 -1.9784 12.374 -1.3877 -13 39 1 0 1
-1.37769 2.02264 25.4558 -1.92381 7.00615 52.2628 0.887107 -13 40 1 0 1
3.33167 4.2876 25.4558 13.2829 12.9052 60.9625 -0.0281107 -13 41 1 0 1
0.499102 1.59865 25.4558 -1.44482 -1.69102 68.4936 1.37873 -13 42 1 0 1
1.15888 -0.494264 25.4558 -13.4876 -3.62357 78.7932 0.437586 -13 43 1 0 1
0.397077 1.27427 25.4558 6.37107 1.3174 56.6288 0.768714 -13 44 1 0 1
1.59727 -1.92243 25.4558 2.6126 -7.7886 68.1306 0.523563 -13 46 1 0 1
0.585929 4.83343 25.4558 3.54774 8.63855 60.0915 1.05161 -13 47 1 0 1
-0.533701 -0.575232 25.4558 -5.42843 8.8508 66.2503 0.820238 -13 48 1 0 1
1.81831 -0.87544 25.4558 3.68206 -20.1048 68.212 -0.426506 -13 49 1 0 1
-0.196529 -1.82798 25.4558 7.89732 -2.53285 43.3703 -0.538184 -13 50 1 0 1
2.74646 2.86749 25.4558 4.07598 4.49504 72.8776 -0.175621 -13 51 1 0 1
-1.44933 2.56732 25.4558 -0.164964 11.8774 55.699 0.202838 -13 52 1 0 1
