# 
param maxline=128 current=1 gradient=1 normB=1 normE=1
grid X0=2 Y0=0 Z0=0 nX=1 nY=1 nZ=290 dX=1 dY=1 dZ=5
data
2.0 0.0 0.0 0 -0.0222748 0
2.0 0.0 5.0 0 -0.0246708 0
2.0 0.0 10.0 0 -0.0272294 0
2.0 0.0 15.0 0 -0.02996 0
2.0 0.0 20.0 0 -0.0328779 0
2.0 0.0 25.0 0 -0.0360098 0
2.0 0.0 30.0 0 -0.0393988 0
2.0 0.0 35.0 0 -0.0431106 0
2.0 0.0 40.0 0 -0.0472388 0
2.0 0.0 45.0 0 -0.0519092 0
2.0 0.0 50.0 0 -0.057279 0
2.0 0.0 55.0 0 -0.0635256 0
2.0 0.0 60.0 0 -0.0708164 0
2.0 0.0 65.0 0 -0.0792437 0
2.0 0.0 70.0 0 -0.0887172 0
2.0 0.0 75.0 0 -0.0988336 0
2.0 0.0 80.0 0 -0.108811 0
2.0 0.0 85.0 0 -0.117627 0
2.0 0.0 90.0 0 -0.124413 0
2.0 0.0 95.0 0 -0.128863 0
2.0 0.0 100.0 0 -0.131311 0
2.0 0.0 105.0 0 -0.132426 0
2.0 0.0 110.0 0 -0.132841 0
2.0 0.0 115.0 0 -0.132965 0
2.0 0.0 120.0 0 -0.132994 0
2.0 0.0 125.0 0 -0.132999 0
2.0 0.0 130.0 0 -0.133 0
2.0 0.0 135.0 0 -0.133 0
2.0 0.0 140.0 0 -0.133 0
2.0 0.0 145.0 0 -0.133 0
2.0 0.0 150.0 0 -0.133 0
2.0 0.0 155.0 0 -0.133 0
2.0 0.0 160.0 0 -0.133 0
2.0 0.0 165.0 0 -0.133 0
2.0 0.0 170.0 0 -0.133 0
2.0 0.0 175.0 0 -0.133 0
2.0 0.0 180.0 0 -0.133 0
2.0 0.0 185.0 0 -0.133 0
2.0 0.0 190.0 0 -0.133 0
2.0 0.0 195.0 0 -0.133 0
2.0 0.0 200.0 0 -0.133 0
2.0 0.0 205.0 0 -0.133 0
2.0 0.0 210.0 0 -0.133 0
2.0 0.0 215.0 0 -0.133 0
2.0 0.0 220.0 0 -0.133 0
2.0 0.0 225.0 0 -0.133 0
2.0 0.0 230.0 0 -0.132999 0
2.0 0.0 235.0 0 -0.132995 0
2.0 0.0 240.0 0 -0.132971 0
2.0 0.0 245.0 0 -0.132865 0
2.0 0.0 250.0 0 -0.132498 0
2.0 0.0 255.0 0 -0.131488 0
2.0 0.0 260.0 0 -0.129224 0
2.0 0.0 265.0 0 -0.125024 0
2.0 0.0 270.0 0 -0.118495 0
2.0 0.0 275.0 0 -0.10987 0
2.0 0.0 280.0 0 -0.0999701 0
2.0 0.0 285.0 0 -0.0898239 0
2.0 0.0 290.0 0 -0.0802519 0
2.0 0.0 295.0 0 -0.0716989 0
2.0 0.0 300.0 0 -0.0642837 0
2.0 0.0 305.0 0 -0.0579283 0
2.0 0.0 310.0 0 -0.0524699 0
2.0 0.0 315.0 0 -0.0477298 0
2.0 0.0 320.0 0 -0.043548 0
2.0 0.0 325.0 0 -0.039795 0
2.0 0.0 330.0 0 -0.0363738 0
2.0 0.0 335.0 0 -0.0332157 0
2.0 0.0 340.0 0 -0.0302755 0
2.0 0.0 345.0 0 -0.027525 0
2.0 0.0 350.0 0 -0.0249478 0
2.0 0.0 355.0 0 -0.022534 0
2.0 0.0 360.0 0 -0.0202769 0
2.0 0.0 365.0 0 -0.01817 0
2.0 0.0 370.0 0 -0.0162052 0
2.0 0.0 375.0 0 -0.0143724 0
2.0 0.0 380.0 0 -0.0126599 0
