#BLTrackFile2 particles_after
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
0.433782 -2.20575 0 -10.1412 -7.46556 71.9256 -1.07744 -13 1 1 0 1 0 0 0 0 0 0 0.0890882 19.2484 0 0 0 3.1279 -0.816527 0 -1.18727 0
4.29969 4.05079 0 4.79199 -1.68548 80.8965 0.0387091 -13 2 1 0 1 0 0 0 0 0 0 0.0827765 19.0374 0 0 0 3.1742 4.44665 0 -0.0656195 0
1.18126 -0.10522 0 -3.58429 -2.27836 71.4834 0.977535 -13 3 1 0 1 0 0 0 0 0 0 0.0890521 19.032 0 0 0 2.11538 0.455456 0 0.86814 0
0.995318 -2.21037 0 -15.2229 -2.95814 76.8329 0.432118 -13 4 1 0 1 0 0 0 0 0 0 0.0862386 19.3999 0 0 0 4.83841 -1.45057 0 0.324299 0
-2.12745 1.51151 0 -10.4644 -1.44503 59.9307 0.567032 -13 5 1 0 1 0 0 0 0 0 0 0.0972496 19.2846 0 0 0 1.09994 1.76766 0 0.450264 0
0.755062 -1.25562 0 -9.3031 -0.839933 74.417 -0.694891 -13 6 1 0 1 0 0 0 0 0 0 0.0871464 19.1394 0 0 0 3.00377 -0.83468 0 -0.802932 0
-0.56386 -1.48143 0 0.469489 -5.47744 61.1972 -0.814715 -13 7 1 0 1 0 0 0 0 0 0 0.0960776 19.0614 0 0 0 -0.307031 -0.0842 0 -0.930091 0
-3.43617 -2.19601 0 -9.32353 4.75501 45.7499 -0.00188457 -13 8 1 0 1 0 0 0 0 0 0 0.108841 19.2583 0 0 0 -2.02979 -4.50017 0 -0.128826 0
1.25608 1.05501 0 6.44154 10.9116 63.1342 1.18196 -13 9 1 0 1 0 0 0 0 0 0 0.0959931 19.2539 0 0 0 -0.495017 -1.41202 0 1.06636 0
0.414895 -2.05444 0 2.83327 -4.79827 66.6819 0.768305 -13 10 1 0 1 0 0 0 0 0 0 0.0920438 19.0504 0 0 0 0.547638 -1.10436 0 0.656377 0
2.33927 0.81982 0 4.59363 2.53969 71.1717 -0.440566 -13 11 1 0 1 0 0 0 0 0 0 0.0892461 19.08 0 0 0 1.69869 -0.545167 0 -0.550219 0
-0.485443 -0.449536 0 -0.0788941 -11.4729 61.2513 1.7592 -13 12 1 0 1 0 0 0 0 0 0 0.0965009 19.4175 0 0 0 0.263801 3.36464 0 1.64281 0
-0.101474 2.11383 0 7.6072 5.52904 38.7262 -0.803666 -13 13 1 0 1 0 0 0 0 0 0 0.125401 19.4961 0 0 0 -3.52203 -0.529297 0 -0.94583 0
2.37489 -3.07894 0 10.9077 -5.84109 67.3468 -1.44954 -13 14 1 0 1 0 0 0 0 0 0 0.0925719 19.2345 0 0 0 -0.319464 -1.91159 0 -1.56223 0
2.06327 -1.41545 0 12.6585 -7.87859 66.2774 1.55933 -13 15 1 0 1 0 0 0 0 0 0 0.0921271 19.2763 0 0 0 -0.0895218 0.572373 0 1.44691 0
3.90756 -2.38131 0 19.3084 -19.1761 54.617 2.21253 -13 16 1 0 1 0 0 0 0 0 0 0.108606 21.1576 0 0 0 -2.67701 4.18148 0 2.0828 0
-0.605073 0.531371 0 -4.81261 11.3851 63.4541 -0.57877 -13 17 1 0 1 0 0 0 0 0 0 0.0945463 19.2599 0 0 0 -0.0188498 -2.45293 0 -0.693196 0
-2.365 -0.10567 0 -4.93239 -8.82002 51.8177 1.47188 -13 18 1 0 1 0 0 0 0 0 0 0.103881 19.2677 0 0 0 -0.528935 2.38732 0 1.34936 0
-1.40533 -0.120365 0 -15.968 6.32297 63.6947 0.201727 -13 19 1 0 1 0 0 0 0 0 0 0.095453 19.492 0 0 0 2.53989 -1.71952 0 0.0861528 0
0.469943 -1.88318 0 1.81916 -8.77401 64.1749 3.03215 -13 20 1 0 1 0 0 0 0 0 0 0.094459 19.1845 0 0 0 0.902137 0.52782 0 2.91795 0
-1.95908 -1.81694 0 -4.85822 4.86802 56.447 -1.11384 -13 21 1 0 1 0 0 0 0 0 0 0.099089 19.1211 0 0 0 -0.939901 -3.54439 0 -1.23195 0
-3.80673 3.0245 0 -6.79076 11.4146 38.1289 0.569128 -13 22 1 0 1 0 0 0 0 0 0 0.115649 19.3634 0 0 0 -2.57279 0.515662 0 0.435816 0
-2.79068 1.44996 0 -11.1825 9.36656 52.9806 0.7689 -13 23 1 0 1 0 0 0 0 0 0 0.103403 19.5677 0 0 0 0.905354 -1.36009 0 0.646311 0
1.95604 -2.15538 0 4.7345 -1.54878 70.7226 0.379753 -13 24 1 0 1 0 0 0 0 0 0 0.0895632 19.0696 0 0 0 0.5474 -1.42683 0 0.26986 0
0.369354 0.0946474 0 -0.98634 3.18182 68.5177 -0.0434286 -13 25 1 0 1 0 0 0 0 0 0 0.090825 19.1294 0 0 0 0.227309 -1.86474 0 -0.154497 0
0.563974 -3.2017 0 0.708828 0.305069 66.6414 1.54469 -13 26 1 0 1 0 0 0 0 0 0 0.0926115 19.0196 0 0 0 0.169893 -2.70525 0 1.43236 0
1.82944 -2.04368 0 1.11394 -14.1273 72.6167 0.348843 -13 27 1 0 1 0 0 0 0 0 0 0.08791 19.2672 0 0 0 1.1247 0.973694 0 0.239922 0
0.0293174 -0.671942 0 -4.94028 7.52236 66.7702 1.10197 -13 28 1 0 1 0 0 0 0 0 0 0.0925472 19.1571 0 0 0 1.1557 -2.76922 0 0.98944 0
1.15156 -0.758602 0 -3.91846 2.25835 71.8899 -0.182759 -13 29 1 0 1 0 0 0 0 0 0 0.0892753 19.0328 0 0 0 2.02546 -1.4231 0 -0.292328 0
-1.07002 0.233877 0 -4.94186 2.55612 62.2647 -0.404554 -13 30 1 0 1 0 0 0 0 0 0 0.0955241 19.1647 0 0 0 0.824578 -1.26818 0 -0.51964 0
-2.32734 -1.64097 0 2.23398 0.395231 25.2431 0.972801 -13 31 1 0 1 0 0 0 0 0 0 0.144203 19.1414 0 0 0 -4.00674 -0.566843 0 0.812949 0
