#BLTrackFile NTuple/Z1407
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-187.317 -60.0165 1406.86 -10.6226 -3.32021 78.8945 6.68486 -13 1 1 0 1
-145.069 -51.7066 1406.86 -8.31979 -2.87811 79.5869 7.01465 -13 6 1 0 1
122.733 148.185 1406.86 6.92041 8.33096 78.3517 8.97095 -13 9 1 0 1
15.3499 153.513 1406.86 0.83051 8.72615 79.6879 7.26025 -13 11 1 0 1
186.66 -54.7858 1406.86 10.5118 -2.95598 78.663 6.32231 -13 14 1 0 1
60.5897 -142.841 1406.86 3.53878 -8.22842 80.7218 9.19416 -13 15 1 0 1
-103.247 -149.602 1406.86 -5.81682 -8.46824 79.3516 10.7565 -13 20 1 0 1
79.5966 -113.658 1406.86 4.7932 -6.47099 79.4691 7.38498 -13 21 1 0 1
54.6732 175.985 1406.86 2.63499 7.12329 51.3626 8.79328 -13 22 1 0 1
131.212 -77.4941 1406.86 7.46966 -4.31511 79.8142 8.07144 -13 25 1 0 1
104.821 -169.517 1406.86 5.98066 -9.7377 80.3573 8.02032 -13 28 1 0 1
-30.3167 -129.789 1406.86 -1.44764 -7.52255 78.9338 7.2661 -13 29 1 0 1
-24.5334 129.618 1406.86 -1.38686 7.44002 79.0637 8.83513 -13 30 1 0 1
-52.578 -64.9365 1406.86 -3.02326 -5.68997 71.663 7.9283 -13 31 1 0 1
-147.629 132.273 1406.86 -8.31033 7.52783 79.301 7.32676 -13 32 1 0 1
136.717 -81.5138 1406.86 8.05894 -4.60258 79.9993 8.60556 -13 33 1 0 1
-149.048 2.19148 1406.86 -8.5438 0.206198 80.2899 7.13437 -13 34 1 0 1
-128.95 8.60209 1406.86 -7.30245 0.626885 79.5435 6.68318 -13 36 1 0 1
-28.136 -183.713 1406.86 -1.73704 -10.7082 80.9241 6.27649 -13 37 1 0 1
20.8637 -127.731 1406.86 1.26878 -7.3394 79.5985 9.2302 -13 38 1 0 1
0.382587 126.03 1406.86 0.10741 7.03071 77.9164 8.6326 -13 40 1 0 1
75.7804 157.583 1406.86 4.34101 8.87342 79.1535 7.65992 -13 41 1 0 1
168.741 23.6804 1406.86 9.83669 1.31108 80.3594 8.37657 -13 44 1 0 1
