#BLTrackFile NTuple/Z1166
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
87.1573 -36.9148 1165.59 6.98636 -2.24572 71.2325 7.93658 -13 3 1 0 1
127.303 -123.662 1165.59 11.3671 -7.61371 62.4597 7.8874 -13 4 1 0 1
-33.5876 -26.2803 1165.59 0.145265 -1.44888 60.8372 8.37275 -13 5 1 0 1
-69.7233 24.6822 1165.59 -11.8697 7.18753 73.7061 6.0628 -13 6 1 0 1
173.412 -105.328 1165.59 10.5175 -5.35574 60.2994 7.04474 -13 7 1 0 1
-24.0033 116.239 1165.59 0.688612 4.73229 46.6875 9.64652 -13 8 1 0 1
-138.449 -74.7216 1165.59 -6.99961 -2.33226 41.16 8.76125 -13 14 1 0 1
79.818 97.4835 1165.59 5.57882 4.78824 56.3872 7.15252 -13 21 1 0 1
135.135 53.714 1165.59 9.49109 3.10805 67.8677 7.1591 -13 25 1 0 1
168.702 2.29203 1165.59 11.1 0.313075 65.7143 8.91596 -13 26 1 0 1
81.1589 35.5722 1165.59 6.69495 2.23268 71.6855 6.74566 -13 29 1 0 1
72.0499 47.4723 1165.59 5.67779 2.51734 62.2035 7.26191 -13 30 1 0 1
86.9196 8.4128 1165.59 6.77597 0.370422 68.0234 8.52393 -13 39 1 0 1
-112.498 127.654 1165.59 -6.72472 8.92358 50.8181 9.09407 -13 42 1 0 1
73.8533 42.8164 1165.59 6.28436 2.52487 72.5901 6.65617 -13 47 1 0 1
69.5559 -93.9307 1165.59 5.77319 -5.67484 70.4151 8.00418 -13 51 1 0 1
145.251 45.8998 1165.59 10.2211 2.81262 69.285 6.62346 -13 57 1 0 1
179.86 -4.22764 1165.59 10.7899 -0.184397 59.3521 8.15063 -13 59 1 0 1
122.048 25.0916 1165.59 8.9998 1.47379 70.8602 7.51028 -13 61 1 0 1
137.267 13.5733 1165.59 8.75039 0.576244 59.7409 6.51048 -13 66 1 0 1
91.0168 -24.0856 1165.59 7.39431 -1.65 74.2614 5.92879 -13 68 1 0 1
141.637 100.102 1165.59 10.4455 6.2495 74.2862 3.99388 -13 70 1 0 1
113.79 -52.8953 1165.59 7.20267 -2.66083 56.4787 10.7077 -13 72 1 0 1
86.6428 -36.834 1165.59 6.23676 -1.93769 59.8477 7.20366 -13 73 1 0 1
143.449 -92.4606 1165.59 10.3307 -5.53374 71.7389 7.06923 -13 75 1 0 1
160.363 -3.06515 1165.59 11.7845 -0.243264 74.7862 7.97872 -13 80 1 0 1
63.395 36.8524 1165.59 7.84925 5.46073 47.8071 8.75365 -13 81 1 0 1
53.8254 -104.168 1165.59 4.67016 -5.99486 67.8937 6.89674 -13 83 1 0 1
174.965 80.8525 1165.59 11.3338 4.41535 64.7784 7.37007 -13 85 1 0 1
-14.3704 -66.413 1165.59 1.08478 -3.65453 64.2638 8.47074 -13 86 1 0 1
175.616 -16.604 1165.59 10.1705 -0.647887 56.1564 7.35312 -13 92 1 0 1
136.726 -27.9793 1165.59 9.4498 -1.46939 66.7288 7.83427 -13 93 1 0 1
-12.0714 -64.2136 1165.59 1.24649 -3.29334 60.2414 8.25237 -13 101 1 0 1
42.9732 41.0636 1165.59 4.3688 2.56306 72.5503 6.73218 -13 105 1 0 1
21.5387 -76.6451 1165.59 3.03624 -4.89374 77.1508 6.42476 -13 106 1 0 1
-16.3859 -50.6249 1165.59 0.727179 -3.14834 72.9093 7.4849 -13 111 1 0 1
160.731 49.4558 1165.59 9.22031 2.33641 54.6843 8.21727 -13 112 1 0 1
113.51 55.5792 1165.59 8.41461 3.36177 70.0607 7.65937 -13 114 1 0 1
15.0909 -84.7179 1165.59 2.56773 -5.47231 76.9779 7.34905 -13 117 1 0 1
40.7229 -44.5784 1165.59 4.37514 -3.17524 78.9241 7.55684 -13 121 1 0 1
176.005 -96.5488 1165.59 11.2493 -5.33581 63.7414 7.97283 -13 123 1 0 1
147.851 88.1266 1165.59 10.22 5.09369 68.1992 6.81807 -13 126 1 0 1
56.9619 39.0625 1165.59 5.31632 2.40878 73.7333 8.18853 -13 127 1 0 1
181.392 20.6235 1165.59 12.1928 1.07606 68.9512 8.06893 -13 130 1 0 1
-30.7156 -65.6749 1165.59 -0.0733381 -4.02279 71.3977 6.17611 -13 136 1 0 1
135.026 -40.409 1165.59 9.13923 -2.21928 64.6975 6.30686 -13 140 1 0 1
91.4867 2.84481 1165.59 15.0006 0.732601 65.1989 5.90113 -13 148 1 0 1
99.9334 25.5437 1165.59 7.01424 1.42306 62.0321 7.59149 -13 150 1 0 1
68.6371 45.988 1165.59 6.2271 2.96838 79.216 7.82423 -13 151 1 0 1
75.2758 62.6401 1165.59 4.49157 2.12293 40.1772 10.3338 -13 155 1 0 1
174.472 -64.3868 1165.59 11.3849 -3.67814 65.5519 7.42734 -13 157 1 0 1
-64.5899 -40.8163 1165.59 -3.61814 -5.25089 66.3186 8.24215 -13 161 1 0 1
29.7433 -64.1413 1165.59 3.51435 -3.73643 67.6409 6.53104 -13 163 1 0 1
174.396 64.3747 1165.59 10.0597 2.96735 55.9152 7.89147 -13 165 1 0 1
149.731 -56.2368 1165.59 6.63544 -1.80555 38.1323 9.89092 -13 173 1 0 1
112.93 74.898 1165.59 5.63563 2.55616 39.8982 10.0207 -13 174 1 0 1
-60.7346 -81.6559 1165.59 -2.5842 -5.58283 79.9916 6.62452 -13 180 1 0 1
55.773 81.7302 1165.59 5.30151 5.73123 80.04 7.2797 -13 182 1 0 1
93.9737 -53.7205 1165.59 4.8891 -1.81713 38.2254 10.3076 -13 183 1 0 1
168.011 -62.0788 1165.59 12.6985 -4.38417 79.5941 9.04038 -13 186 1 0 1
125.121 -84.2146 1165.59 7.1288 -3.54539 50.4316 9.62774 -13 190 1 0 1
138.343 20.4469 1165.59 8.96054 0.98726 61.5283 7.95605 -13 193 1 0 1
-12.3494 28.5422 1165.59 -1.67192 7.21035 58.1094 8.81256 -13 203 1 0 1
