#BLTrackFile NTuple/Z1413
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
88.6015 189.268 1413.21 2.51282 7.68059 55.7881 9.87054 -13 604 1 0 1
115.589 7.63475 1413.21 5.82381 1.17818 69.4237 6.11702 -13 742 1 0 1
96.0783 175.973 1413.21 1.82016 4.91353 35.7989 13.9779 -13 953 1 0 1
90.4327 -25.5539 1413.21 2.75809 -1.43567 47.7974 12.0294 -13 1386 1 0 1
117.543 -159.841 1413.21 10.7598 -9.30595 78.6342 9.16328 -13 1461 1 0 1
132.9 124.422 1413.21 10.6166 7.09342 79.745 6.24965 -13 1514 1 0 1
131.446 -127.55 1413.21 12.541 -7.69349 78.9815 7.90765 -13 2398 1 0 1
188.16 161.186 1413.21 13.4158 8.86949 79.1305 9.3812 -13 2596 1 0 1
127.304 -7.45412 1413.21 4.65916 -0.214158 60.8798 9.03023 -13 2736 1 0 1
166.009 93.3571 1413.21 12.5437 6.63361 79.4136 4.72186 -13 3212 1 0 1
51.8487 165.632 1413.21 0.772734 4.13397 36.7922 14.5706 -13 3403 1 0 1
156.073 -166.939 1413.21 11.5712 -9.29708 78.2168 6.84997 -13 3483 1 0 1
101.852 108.009 1413.21 3.62538 5.63034 65.0573 7.35746 -13 3556 1 0 1
152.532 -106.518 1413.21 24.8357 -7.2382 76.9951 6.12799 -13 3963 1 0 1
129.358 124.611 1413.21 10.3098 7.05032 78.9442 8.2331 -13 4117 1 0 1
129.215 10.5278 1413.21 7.17237 0.197457 42.2076 13.1425 -13 4132 1 0 1
183.596 196.299 1413.21 7.51859 8.99659 61.6438 9.33672 -13 4270 1 0 1
154.608 -150.892 1413.21 11.3831 -8.18693 77.3505 10.0989 -13 4365 1 0 1
-108.815 -77.5811 1413.21 -7.61492 -5.62794 80.056 7.74754 -13 4534 1 0 1
134.197 96.4438 1413.21 14.2197 5.66887 78.0846 8.41261 -13 4668 1 0 1
122.076 115.278 1413.21 9.75765 4.93576 59.6113 9.25854 -13 4695 1 0 1
55.8461 -201.062 1413.21 0.910878 -6.40681 45.171 11.8162 -13 4840 1 0 1
