#BLTrackFile NTuple/Z1229
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
138.92 -131.443 1229.42 11.3671 -7.61371 62.4597 8.3084 -13 4 1 0 1
-33.3811 -27.8006 1229.42 0.246479 -1.44886 60.8368 8.7995 -13 5 1 0 1
-79.9575 30.9058 1229.42 -11.7681 7.18821 73.7223 6.43707 -13 6 1 0 1
184.546 -110.997 1229.42 10.5175 -5.35574 60.2994 7.47633 -13 7 1 0 1
-23.0618 122.709 1229.42 0.688612 4.73229 46.6875 10.1738 -13 8 1 0 1
-149.304 -78.3386 1229.42 -6.99961 -2.33226 41.16 9.34907 -13 14 1 0 1
86.1334 102.904 1229.42 5.57882 4.78824 56.3872 7.60561 -13 21 1 0 1
144.062 56.6373 1229.42 9.49109 3.10805 67.8677 7.55432 -13 25 1 0 1
179.484 2.59614 1229.42 11.1 0.313075 65.7143 9.32072 -13 26 1 0 1
77.9295 50.0564 1229.42 5.77917 2.51678 62.1942 7.68217 -13 30 1 0 1
-120.945 138.863 1229.42 -6.72472 8.92358 50.8181 9.58754 -13 42 1 0 1
79.425 45.0372 1229.42 6.38569 2.52439 72.5812 7.03273 -13 47 1 0 1
74.7894 -99.0751 1229.42 5.77319 -5.67484 70.4151 8.3889 -13 51 1 0 1
154.668 48.4911 1229.42 10.2211 2.81262 69.285 7.01311 -13 57 1 0 1
130.155 26.4192 1229.42 8.9998 1.47379 70.8602 7.89353 -13 61 1 0 1
146.617 14.189 1229.42 8.75039 0.576244 59.7409 6.94422 -13 66 1 0 1
97.3727 -25.5039 1229.42 7.39431 -1.65 74.2614 6.29971 -13 68 1 0 1
150.613 105.472 1229.42 10.4455 6.2495 74.2862 4.36573 -13 70 1 0 1
121.93 -55.9026 1229.42 7.20267 -2.66083 56.4787 11.1603 -13 72 1 0 1
152.641 -97.3845 1229.42 10.3307 -5.53374 71.7389 7.44987 -13 75 1 0 1
170.422 -3.27278 1229.42 11.7845 -0.243264 74.7862 8.34879 -13 80 1 0 1
73.9454 44.1461 1229.42 7.95107 5.45973 47.7904 9.27201 -13 81 1 0 1
58.2162 -109.804 1229.42 4.67016 -5.99486 67.8937 7.29133 -13 83 1 0 1
186.134 85.2034 1229.42 11.3338 4.41535 64.7784 7.7794 -13 85 1 0 1
-13.2422 -70.0433 1229.42 1.18639 -3.65436 64.262 8.88068 -13 86 1 0 1
187.177 -17.3404 1229.42 10.1705 -0.647887 56.1564 7.80844 -13 92 1 0 1
145.765 -29.3849 1229.42 9.4498 -1.46939 66.7288 8.23419 -13 93 1 0 1
-10.6964 -67.7036 1229.42 1.34806 -3.29314 60.2392 8.68244 -13 101 1 0 1
46.8625 43.3191 1229.42 4.47012 2.56274 72.5442 7.10864 -13 105 1 0 1
-15.7044 -53.3813 1229.42 0.828587 -3.14825 72.9082 7.85992 -13 111 1 0 1
171.494 52.1831 1229.42 9.22031 2.33641 54.6843 8.68199 -13 112 1 0 1
121.177 58.6421 1229.42 8.41461 3.36177 70.0607 8.04564 -13 114 1 0 1
17.2202 -89.2557 1229.42 2.56773 -5.47231 76.9779 7.71103 -13 117 1 0 1
44.3031 -47.1469 1229.42 4.4765 -3.17491 78.9184 7.91294 -13 121 1 0 1
187.27 -101.892 1229.42 11.2493 -5.33581 63.7414 8.38712 -13 123 1 0 1
157.417 92.8942 1229.42 10.22 5.09369 68.1992 7.21231 -13 126 1 0 1
61.6091 41.1483 1229.42 5.41761 2.40842 73.726 8.56099 -13 127 1 0 1
-30.7355 -69.2715 1229.42 0.0282605 -4.02277 71.3978 6.55659 -13 136 1 0 1
144.044 -42.5986 1229.42 9.13923 -2.21928 64.6975 6.71577 -13 140 1 0 1
106.173 3.56206 1229.42 15.0006 0.732601 65.1989 6.30955 -13 148 1 0 1
107.151 27.0081 1229.42 7.01424 1.42306 62.0321 8.01276 -13 150 1 0 1
73.6965 48.3804 1229.42 6.32845 2.96792 79.208 8.17968 -13 151 1 0 1
82.4942 66.015 1229.42 4.59313 2.12199 40.1658 10.9335 -13 155 1 0 1
