#BLTrackFile NTuple/Z0
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.433782 -2.20575 0 -10.1412 -7.46556 71.9256 -1.07744 -13 1 1 0 1
4.29969 4.05079 0 4.79199 -1.68548 80.8965 0.0387091 -13 2 1 0 1
1.18126 -0.10522 0 -3.58429 -2.27836 71.4834 0.977535 -13 3 1 0 1
0.995318 -2.21037 0 -15.2229 -2.95814 76.8329 0.432118 -13 4 1 0 1
-2.12745 1.51151 0 -10.4644 -1.44503 59.9307 0.567032 -13 5 1 0 1
0.755062 -1.25562 0 -9.3031 -0.839933 74.417 -0.694891 -13 6 1 0 1
-0.56386 -1.48143 0 0.469489 -5.47744 61.1972 -0.814715 -13 7 1 0 1
-3.43617 -2.19601 0 -9.32353 4.75501 45.7499 -0.00188457 -13 8 1 0 1
1.25608 1.05501 0 6.44154 10.9116 63.1342 1.18196 -13 9 1 0 1
0.414895 -2.05444 0 2.83327 -4.79827 66.6819 0.768305 -13 10 1 0 1
2.33927 0.81982 0 4.59363 2.53969 71.1717 -0.440566 -13 11 1 0 1
-0.485443 -0.449536 0 -0.0788941 -11.4729 61.2513 1.7592 -13 12 1 0 1
-0.101474 2.11383 0 7.6072 5.52904 38.7262 -0.803666 -13 13 1 0 1
2.37489 -3.07894 0 10.9077 -5.84109 67.3468 -1.44954 -13 14 1 0 1
2.06327 -1.41545 0 12.6585 -7.87859 66.2774 1.55933 -13 15 1 0 1
3.90756 -2.38131 0 19.3084 -19.1761 54.617 2.21253 -13 16 1 0 1
-0.605073 0.531371 0 -4.81261 11.3851 63.4541 -0.57877 -13 17 1 0 1
-2.365 -0.10567 0 -4.93239 -8.82002 51.8177 1.47188 -13 18 1 0 1
-1.40533 -0.120365 0 -15.968 6.32297 63.6947 0.201727 -13 19 1 0 1
0.469943 -1.88318 0 1.81916 -8.77401 64.1749 3.03215 -13 20 1 0 1
-1.95908 -1.81694 0 -4.85822 4.86802 56.447 -1.11384 -13 21 1 0 1
-3.80673 3.0245 0 -6.79076 11.4146 38.1289 0.569128 -13 22 1 0 1
-2.79068 1.44996 0 -11.1825 9.36656 52.9806 0.7689 -13 23 1 0 1
1.95604 -2.15538 0 4.7345 -1.54878 70.7226 0.379753 -13 24 1 0 1
0.369354 0.0946474 0 -0.98634 3.18182 68.5177 -0.0434286 -13 25 1 0 1
0.563974 -3.2017 0 0.708828 0.305069 66.6414 1.54469 -13 26 1 0 1
1.82944 -2.04368 0 1.11394 -14.1273 72.6167 0.348843 -13 27 1 0 1
0.0293174 -0.671942 0 -4.94028 7.52236 66.7702 1.10197 -13 28 1 0 1
1.15156 -0.758602 0 -3.91846 2.25835 71.8899 -0.182759 -13 29 1 0 1
-1.07002 0.233877 0 -4.94186 2.55612 62.2647 -0.404554 -13 30 1 0 1
-2.32734 -1.64097 0 2.23398 0.395231 25.2431 0.972801 -13 31 1 0 1
-1.37271 -1.40931 0 -13.2297 -0.491356 65.0536 -0.525459 -13 32 1 0 1
-1.52067 -2.91363 0 -22.2916 -13.7704 68.641 2.28165 -13 33 1 0 1
0.0908188 -1.45251 0 -1.06103 7.34508 66.0797 -1.01923 -13 34 1 0 1
2.51639 0.14091 0 -2.07867 -8.90612 79.5646 -1.36188 -13 35 1 0 1
-0.30019 -0.663103 0 1.08584 -11.501 59.8163 1.53575 -13 36 1 0 1
