#BLTrackFile NTuple/Z312
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
4.85002 -10.0209 311.611 6.19863 -2.25836 71.3049 2.83318 -13 3 1 0 1
-27.7417 -19.5333 311.611 10.6747 -7.67159 62.5747 2.25542 -13 4 1 0 1
-33.3444 -5.94283 311.611 -0.683365 -1.44837 60.8335 2.66364 -13 5 1 0 1
-19.6141 -4.73247 311.611 0.475263 -0.832954 74.9948 1.10643 -13 6 1 0 1
24.4916 -29.4757 311.611 10.2869 -5.37666 60.3373 1.27081 -13 7 1 0 1
-36.5756 29.6783 311.611 0.507915 4.73351 46.6897 2.59259 -13 8 1 0 1
34.59 -24.6214 311.611 12.6364 -4.70837 65.5414 2.73004 -13 10 1 0 1
7.26603 -26.3789 311.611 -7.64728 -2.26884 41.0481 0.896335 -13 14 1 0 1
4.91267 2.0424 311.611 13.9049 -3.76804 39.7689 2.65205 -13 19 1 0 1
-4.36673 24.9526 311.611 4.95792 4.81821 56.4426 1.09113 -13 21 1 0 1
16.0708 14.5832 311.611 8.80237 3.14246 67.9589 1.87197 -13 25 1 0 1
24.7293 -1.77478 311.611 10.4869 0.309809 65.8149 3.50117 -13 26 1 0 1
3.35072 9.01612 311.611 5.86455 2.24226 71.7579 1.6653 -13 29 1 0 1
-3.66548 12.9738 311.611 4.84428 2.53075 62.2734 1.64123 -13 30 1 0 1
3.41903 3.76851 311.611 5.98905 0.375306 68.0972 3.25495 -13 39 1 0 1
0.957704 -22.333 311.611 -7.36277 8.95446 50.7241 2.49178 -13 42 1 0 1
1.8392 13.1568 311.611 5.45162 2.53813 72.6569 1.61965 -13 47 1 0 1
-0.203968 -25.0995 311.611 5.14557 -5.70002 70.4618 2.85733 -13 51 1 0 1
-34.7267 -4.92326 311.611 -9.30754 11.0057 44.3635 1.93614 -13 53 1 0 1
19.6195 11.2154 311.611 9.53744 2.84067 69.3813 1.41081 -13 57 1 0 1
24.8916 -1.57288 311.611 10.1976 -0.187825 59.4567 2.31163 -13 59 1 0 1
36.4573 6.81773 311.611 12.8236 1.17236 64.6075 0.604632 -13 60 1 0 1
13.9261 7.3206 311.611 8.32002 1.48925 70.9429 2.38319 -13 61 1 0 1
12.5857 5.32675 311.611 8.07249 0.588696 59.8362 0.708223 -13 66 1 0 1
6.98426 -5.12318 311.611 6.64568 -1.65719 74.332 0.967002 -13 68 1 0 1
21.635 28.2543 311.611 10.0581 6.27716 74.3373 -0.980731 -13 70 1 0 1
5.34727 -12.6472 311.611 6.51197 -2.68784 56.5612 4.65309 -13 72 1 0 1
-0.514781 -9.22591 311.611 5.44141 -1.94966 59.9248 1.41684 -13 73 1 0 1
31.9577 -18.7102 311.611 11.6787 -3.6701 61.8314 3.5594 -13 74 1 0 1
20.6573 -26.5745 311.611 9.77449 -5.57443 71.8137 1.97698 -13 75 1 0 1
33.0977 8.89439 311.611 12.0278 1.90479 61.5996 3.34884 -13 77 1 0 1
26.0283 -0.287122 311.611 11.1811 -0.243973 74.8788 3.02793 -13 80 1 0 1
23.6119 -29.5503 311.611 -2.22354 2.41422 48.6433 1.89519 -13 81 1 0 1
-4.86221 -28.7621 311.611 4.35056 -6.00587 67.9139 1.61776 -13 83 1 0 1
36.8572 -6.89739 311.611 12.5396 -0.952632 60.9826 1.58574 -13 84 1 0 1
25.8042 22.6257 311.611 10.7326 4.46295 64.8774 1.89421 -13 85 1 0 1
-26.6622 -17.8643 311.611 0.245158 -3.65637 64.2724 2.98666 -13 86 1 0 1
34.0922 13.6367 311.611 12.6913 3.09391 69.3306 2.05722 -13 90 1 0 1
21.3287 -6.74101 311.611 9.52195 -0.664744 56.2698 1.26205 -13 92 1 0 1
16.1515 -9.16041 311.611 8.76932 -1.49065 66.8212 2.48435 -13 93 1 0 1
33.9525 10.0285 311.611 12.3506 1.97362 66.1632 1.97731 -13 97 1 0 1
-27.4725 -17.5466 311.611 0.407549 -3.29587 60.2528 2.49909 -13 101 1 0 1
10.4038 -31.4505 311.611 -8.98081 -7.50555 43.0994 0.951565 -13 102 1 0 1
-6.53965 10.9244 311.611 3.53707 2.57024 72.5954 1.69658 -13 105 1 0 1
-11.0825 -22.4906 311.611 2.26391 -4.90488 77.1766 1.58986 -13 106 1 0 1
-23.0151 -13.7546 311.611 -0.107172 -3.14875 72.9128 2.46789 -13 111 1 0 1
17.1893 12.9409 311.611 8.53507 2.37282 54.7939 2.00068 -13 112 1 0 1
11.3084 14.5871 311.611 7.72339 3.39097 70.1389 2.49193 -13 114 1 0 1
-16.8827 3.30078 311.611 3.02536 0.634958 49.8252 2.36274 -13 115 1 0 1
-12.9805 -24.0097 311.611 1.86811 -5.4825 76.9973 2.50643 -13 117 1 0 1
-4.86469 -10.2499 311.611 3.54319 -3.18127 78.9656 2.79344 -13 121 1 0 1
25.5572 -25.0401 311.611 10.6374 -5.38985 63.8418 2.43059 -13 123 1 0 1
20.1945 24.3191 311.611 9.54969 5.14558 68.2924 1.54407 -13 126 1 0 1
-2.72585 11.1974 311.611 4.48479 2.41793 73.7883 3.20659 -13 127 1 0 1
30.493 7.29374 311.611 11.7631 1.08651 69.0256 2.83228 -13 130 1 0 1
-10.3159 -3.87314 311.611 3.45824 -0.880023 63.1943 3.61742 -13 132 1 0 1
-27.9267 -17.5576 311.611 -0.912611 -4.02085 71.392 1.08586 -13 136 1 0 1
14.7685 -11.0976 311.611 8.45554 -2.24566 64.7895 0.8366 -13 140 1 0 1
30.3846 -10.445 311.611 11.5342 -2.12288 63.4444 4.16652 -13 145 1 0 1
-13.2764 0.050799 311.611 2.62105 -0.163736 66.8547 0.517502 -13 148 1 0 1
4.04688 5.95608 311.611 6.30799 1.43357 62.1076 1.95607 -13 150 1 0 1
3.2594 14.027 311.611 5.39349 2.98119 79.2766 3.06983 -13 151 1 0 1
-16.7484 17.6693 311.611 3.65284 2.14476 40.2609 2.31507 -13 155 1 0 1
26.3896 -16.4572 311.611 10.8033 -3.71188 65.6483 1.99935 -13 157 1 0 1
-15.9515 26.8514 311.611 -4.41308 -5.27529 66.2685 2.87617 -13 161 1 0 1
-12.6014 -17.0117 311.611 2.67569 -3.74572 67.6787 1.24396 -13 163 1 0 1
21.1502 19.0245 311.611 9.39402 3.01682 56.0283 1.77857 -13 165 1 0 1
34.892 22.7637 311.611 12.7965 4.13691 67.6497 2.13834 -13 167 1 0 1
1.78054 -15.7486 311.611 5.94533 -1.85097 38.2438 1.48503 -13 173 1 0 1
-6.9581 20.1593 311.611 4.92907 2.60159 39.9887 1.94599 -13 174 1 0 1
-7.00331 8.75851 311.611 13.8974 9.43116 41.0376 2.39913 -13 176 1 0 1
34.9032 10.3976 311.611 12.9475 2.89493 70.2262 2.98168 -13 179 1 0 1
-32.5886 -22.052 311.611 -3.31656 -5.57011 79.9655 1.90007 -13 180 1 0 1
-0.222071 20.5881 311.611 4.56808 5.75164 80.0838 2.55428 -13 182 1 0 1
-13.4267 -13.1814 311.611 4.13828 -1.8404 38.3128 1.92771 -13 183 1 0 1
28.079 -0.257226 311.611 10.823 -0.0201134 59.4032 4.32244 -13 185 1 0 1
31.8475 -15.0372 311.611 12.2969 -4.40235 79.6562 4.28185 -13 186 1 0 1
4.8609 -24.1444 311.611 6.44547 -3.59539 50.5199 2.99996 -13 190 1 0 1
-19.0184 -10.804 311.611 11.1555 4.00651 34.5967 2.47922 -13 191 1 0 1
14.3679 6.73278 311.611 8.28165 1.00329 61.6231 2.28043 -13 193 1 0 1
28.9847 9.7013 311.611 10.15 1.08976 48.9435 3.80256 -13 194 1 0 1
-2.36809 24.0935 311.611 -0.522886 -4.6315 58.3932 2.90926 -13 203 1 0 1
24.0878 -7.54435 311.611 10.4496 -1.57889 69.5423 3.00408 -13 205 1 0 1
-34.6535 11.7872 311.611 -1.58512 2.34256 65.0658 2.14924 -13 207 1 0 1
-1.99658 -16.9095 311.611 4.49017 -4.04966 77.6367 1.80202 -13 208 1 0 1
25.4534 4.41285 311.611 10.8529 0.639414 71.3768 4.23494 -13 209 1 0 1
-22.0774 12.8664 311.611 1.23059 2.80867 62.0196 3.07282 -13 212 1 0 1
-14.5112 0.413259 311.611 2.71453 0.242349 62.5775 1.58661 -13 213 1 0 1
-7.91421 -29.1075 311.611 4.04306 -5.72511 62.0848 2.0958 -13 215 1 0 1
6.02702 -1.37263 311.611 6.19369 -0.403179 78.1275 -0.132362 -13 216 1 0 1
-22.4019 1.06215 311.611 0.0253496 -0.218542 72.4346 2.12183 -13 217 1 0 1
-23.3064 -8.74492 311.611 0.667879 -1.94063 65.727 0.531096 -13 221 1 0 1
18.9683 7.16221 311.611 9.17579 1.3042 62.2395 2.15422 -13 226 1 0 1
-25.3566 6.74471 311.611 -0.392644 1.99797 70.9894 3.1841 -13 227 1 0 1
5.38204 -16.5207 311.611 6.60913 -3.39322 58.4285 4.00082 -13 230 1 0 1
23.9797 19.8366 311.611 10.6 4.59875 75.2104 2.50958 -13 232 1 0 1
19.7933 31.4929 311.611 -8.06561 27.6097 48.3649 1.73044 -13 234 1 0 1
