#BLTrackFile NTuple/Z312
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-23.7852 -24.5679 311.611 -6.14517 -5.67027 73.0087 0.641562 -13 1 1 0 1
21.6169 -2.04579 311.611 4.78298 -1.68549 80.897 1.64543 -13 2 1 0 1
-5.84522 -28.0965 311.611 -1.77205 -6.79352 72.1538 2.70943 -13 3 1 0 1
-25.4788 25.293 311.611 -4.38689 4.27737 54.6023 2.69378 -13 5 1 0 1
6.80492 -22.5256 311.611 1.51905 -4.43652 61.1423 1.1319 -13 7 1 0 1
11.9789 38.9143 311.611 2.46461 8.41235 64.3511 3.05978 -13 9 1 0 1
-5.68451 -21.3376 311.611 -1.22656 -4.37197 65.4849 2.62054 -13 10 1 0 1
16.9292 27.2341 311.611 3.76791 6.56859 74.3319 1.25626 -13 11 1 0 1
-20.3699 -25.2899 311.611 -3.81976 -5.02296 57.8742 3.79145 -13 12 1 0 1
15.991 -46.9994 311.611 3.53338 -10.5259 68.078 3.36526 -13 15 1 0 1
-24.8604 -48.8477 311.611 -5.02494 -9.79588 60.9718 4.9915 -13 20 1 0 1
-32.9121 44.7084 311.611 -5.47559 8.12662 51.527 1.11765 -13 22 1 0 1
36.1297 -5.45571 311.611 8.50843 -0.837802 73.7873 2.08573 -13 25 1 0 1
-2.84122 11.6361 311.611 -0.765375 2.68065 69.9088 1.72344 -13 26 1 0 1
1.95614 -8.65912 311.611 0.343124 -1.21586 67.7915 3.34961 -13 27 1 0 1
13.1055 -42.9888 311.611 2.88147 -10.9558 77.2326 2.00612 -13 28 1 0 1
-8.11558 25.9872 311.611 -2.04485 6.34849 68.7693 2.89072 -13 30 1 0 1
-9.44053 13.8984 311.611 -2.71013 3.67321 73.7715 1.52151 -13 31 1 0 1
-31.6047 -24.5041 311.611 -6.08213 -4.9594 58.7301 1.607 -13 32 1 0 1
-14.5662 15.9958 311.611 -3.11335 3.96549 64.4365 0.855275 -13 36 1 0 1
-6.59851 -38.7898 311.611 -2.51243 -10.7061 80.904 0.248528 -13 37 1 0 1
-35.227 -7.45912 311.611 -6.17412 -1.58472 53.9713 3.68231 -13 38 1 0 1
-25.8461 15.625 311.611 -4.24235 2.54922 50.1795 3.11078 -13 40 1 0 1
-17.7154 2.80482 311.611 -4.45416 0.155444 70.9497 3.08816 -13 42 1 0 1
2.60457 -28.974 311.611 0.340255 -6.72402 70.2962 2.24553 -13 46 1 0 1
6.22858 18.8049 311.611 1.28329 3.25117 59.9785 2.98233 -13 47 1 0 1
-32.4029 26.9626 311.611 -7.45003 6.55338 66.9814 2.6058 -13 48 1 0 1
13.8975 -0.102783 311.611 1.86056 0.108352 34.3721 2.55626 -13 50 1 0 1
-5.13142 12.2586 311.611 -1.77839 2.60994 75.2699 1.46745 -13 51 1 0 1
-13.0959 -31.24 311.611 -3.5571 -7.78433 72.7903 2.70563 -13 55 1 0 1
-0.390719 18.2042 311.611 -0.00369544 4.12847 62.9888 1.57077 -13 58 1 0 1
-3.69746 -33.598 311.611 -1.05661 -7.75872 69.875 3.80415 -13 59 1 0 1
-11.0457 39.2492 311.611 -2.37982 8.58048 64.0311 1.11103 -13 61 1 0 1
-12.046 3.36777 311.611 -3.09049 1.27265 71.0077 1.27217 -13 62 1 0 1
20.827 -45.7151 311.611 2.44701 -5.06809 32.9622 3.47645 -13 63 1 0 1
-0.831509 0.131052 311.611 -0.13991 0.127988 61.2359 2.14798 -13 64 1 0 1
8.84826 8.92445 311.611 1.88558 1.75351 66.0757 0.463115 -13 65 1 0 1
-1.62425 6.86562 311.611 -0.617965 1.57658 71.9932 2.25572 -13 66 1 0 1
15.2624 1.40448 311.611 3.20361 0.574147 61.1564 1.33577 -13 67 1 0 1
-16.0009 -31.543 311.611 -3.29556 -6.60477 62.5355 1.98031 -13 69 1 0 1
-24.2128 -36.2512 311.611 -7.24696 -10.5443 80.1537 1.92635 -13 70 1 0 1
-8.34693 -6.00255 311.611 -1.44903 -1.41644 59.0496 0.606394 -13 71 1 0 1
2.36297 -21.332 311.611 0.110388 -5.91695 76.4052 0.829367 -13 73 1 0 1
2.38715 40.6798 311.611 0.576545 7.63882 56.2461 2.40892 -13 74 1 0 1
-4.53208 27.3603 311.611 -1.69329 6.70272 76.8497 -1.12317 -13 75 1 0 1
25.7408 8.13665 311.611 5.59442 2.06171 79.6307 -0.015208 -13 76 1 0 1
-21.6072 18.564 311.611 -3.88943 2.99639 55.3568 4.55852 -13 77 1 0 1
-34.7083 8.73997 311.611 -6.28573 1.4291 55.0806 1.42607 -13 78 1 0 1
15.8605 0.361669 311.611 3.34767 0.0138674 64.1282 3.39237 -13 79 1 0 1
-21.2949 -12.3973 311.611 -5.61022 -2.66082 73.3567 1.84438 -13 80 1 0 1
-5.16694 32.3972 311.611 -1.58392 8.61476 72.2973 1.89174 -13 81 1 0 1
-5.57155 3.77534 311.611 -0.97011 1.00903 60.9175 3.25087 -13 82 1 0 1
-32.6349 34.1872 311.611 -7.77709 8.35502 69.7783 1.88749 -13 83 1 0 1
16.7465 -12.0857 311.611 3.90443 -3.35497 78.1775 2.87702 -13 85 1 0 1
-1.35915 -34.641 311.611 -0.49522 -8.84231 70.1339 1.67711 -13 86 1 0 1
-19.624 -20.2723 311.611 -4.55823 -4.50274 67.9862 1.49758 -13 88 1 0 1
16.132 -27.097 311.611 3.46441 -5.59944 65.9349 1.36284 -13 89 1 0 1
-0.432065 16.1177 311.611 -0.0701056 3.34652 64.7506 1.78346 -13 90 1 0 1
35.3493 4.13532 311.611 6.66089 0.760994 54.1955 2.21795 -13 92 1 0 1
14.4828 9.24378 311.611 3.23125 2.37786 71.3998 1.91353 -13 95 1 0 1
-9.27854 16.5748 311.611 -1.78772 3.56109 59.2477 0.287429 -13 96 1 0 1
2.01633 -6.85279 311.611 0.422375 -1.12712 66.0148 2.38735 -13 98 1 0 1
4.85667 40.3454 311.611 1.02824 8.63871 63.9735 2.49792 -13 99 1 0 1
5.82909 -25.2654 311.611 1.14616 -5.28431 69.9574 1.00889 -13 100 1 0 1
17.8914 9.83428 311.611 3.97302 2.24118 71.6404 1.76623 -13 102 1 0 1
-17.9778 -9.21763 311.611 -4.1137 -2.34724 66.341 1.64613 -13 104 1 0 1
-9.62429 41.731 311.611 -1.85167 9.17358 60.9804 0.605639 -13 105 1 0 1
-7.02533 -22.2694 311.611 -2.04556 -5.44606 73.1079 0.781878 -13 107 1 0 1
-3.9831 11.2045 311.611 -0.996397 2.60819 68.0578 2.91293 -13 109 1 0 1
-7.35456 7.21457 311.611 -2.34625 1.95118 76.2731 1.52532 -13 110 1 0 1
-19.6673 -18.5089 311.611 -5.77543 -4.30793 78.7988 1.4579 -13 111 1 0 1
16.1276 -38.6114 311.611 3.45652 -8.48929 64.2923 1.92986 -13 114 1 0 1
22.6013 4.51437 311.611 4.37358 1.12125 56.7736 1.81448 -13 117 1 0 1
-33.8775 -13.2338 311.611 -5.00363 -2.61761 45.5512 2.14182 -13 118 1 0 1
19.9854 7.88596 311.611 4.54655 2.16884 72.2253 2.34554 -13 119 1 0 1
-19.0949 28.0721 311.611 -2.89713 4.6085 47.9726 2.27919 -13 120 1 0 1
-5.42125 -33.8876 311.611 -0.999413 -6.07861 59.2475 3.62998 -13 121 1 0 1
-28.4858 15.8945 311.611 -7.99454 4.43989 78.3677 2.37814 -13 122 1 0 1
-13.2038 -49.637 311.611 -4.5982 0.80652 35.5666 2.67098 -13 123 1 0 1
