#BLTrackFile NTuple/Z1238
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
94.5657 -38.8016 1238.42 5.89607 -2.05698 63.3295 8.29064 -13 3 1 0 1
-31.1724 -28.226 1238.42 0.268469 -1.48254 60.8622 8.72899 -13 5 1 0 1
52.8085 34.5438 1238.42 4.88323 2.17885 75.0397 6.33248 -13 6 1 0 1
186.851 -108.625 1238.42 10.6801 -5.28435 60.338 7.40553 -13 7 1 0 1
-17.8265 125.001 1238.42 0.814986 4.86425 46.7361 10.0805 -13 8 1 0 1
88.273 103.276 1238.42 5.64745 4.8496 56.4412 7.52836 -13 22 1 0 1
145.019 56.8016 1238.42 9.5366 3.14348 67.8733 7.4927 -13 26 1 0 1
178.732 2.2319 1238.42 11.0701 0.296244 65.7375 9.25611 -13 27 1 0 1
77.6357 41.5593 1238.42 -6.96513 5.76248 52.1583 7.1407 -13 31 1 0 1
77.767 51.6449 1238.42 5.73292 2.62003 62.2326 7.61287 -13 32 1 0 1
80.8035 45.5835 1238.42 6.43229 2.57797 72.5892 6.9734 -13 51 1 0 1
76.3331 -98.6101 1238.42 5.83288 -5.69579 70.427 8.3279 -13 55 1 0 1
157.156 49.1394 1238.42 10.3603 2.87309 69.2947 6.95241 -13 62 1 0 1
110.669 13.7091 1238.42 7.88005 0.75824 70.9694 7.82391 -13 66 1 0 1
146.846 13.969 1238.42 8.74933 0.570814 59.7551 6.87546 -13 71 1 0 1
98.3974 -24.9116 1238.42 7.42497 -1.6281 74.2763 6.24094 -13 73 1 0 1
152.683 104.445 1238.42 10.5959 6.23759 74.2845 4.30835 -13 75 1 0 1
132.454 -65.1767 1238.42 7.66478 -3.10921 56.5122 11.0868 -13 77 1 0 1
155.521 -96.5648 1238.42 10.5123 -5.53019 71.7314 7.39171 -13 80 1 0 1
170.686 -2.01492 1238.42 11.8132 -0.168981 74.7938 8.29111 -13 85 1 0 1
61.3575 -108.725 1238.42 4.82637 -5.98577 67.9127 7.22794 -13 88 1 0 1
186.615 83.5183 1238.42 11.368 4.36507 64.7941 7.71482 -13 90 1 0 1
-10.2991 -69.401 1238.42 1.2609 -3.65253 64.2894 8.81308 -13 91 1 0 1
185.533 -16.3343 1238.42 10.1002 -0.608083 56.1963 7.73326 -13 97 1 0 1
146.931 -30.6213 1238.42 9.50605 -1.54895 66.7366 8.17168 -13 98 1 0 1
-7.72554 -65.4654 1238.42 1.41532 -3.21278 60.278 8.60985 -13 106 1 0 1
113.971 -120.832 1238.42 7.79283 -6.87852 69.9102 6.4552 -13 107 1 0 1
48.7426 42.1223 1238.42 4.53015 2.51374 72.5546 7.04876 -13 110 1 0 1
0.421927 -89.806 1238.42 -7.68227 -3.96159 18.3457 7.53719 -13 111 1 0 1
-13.7705 -53.037 1238.42 0.861353 -3.15466 72.9274 7.79927 -13 116 1 0 1
172.259 52.905 1238.42 9.24697 2.38934 54.705 8.60766 -13 117 1 0 1
129.34 58.9576 1238.42 8.86039 3.40588 70.0392 7.98794 -13 119 1 0 1
19.2223 -88.3222 1238.42 2.63505 -5.45978 76.9891 7.65331 -13 122 1 0 1
45.7846 -46.669 1238.42 4.52078 -3.17086 78.9294 7.85644 -13 126 1 0 1
187.474 -100.023 1238.42 11.2685 -5.28556 63.7602 8.32138 -13 128 1 0 1
158.499 92.1632 1238.42 10.2894 5.09845 68.2458 7.14772 -13 131 1 0 1
63.8525 41.9114 1238.42 5.5092 2.47434 73.7309 8.50239 -13 132 1 0 1
-28.909 -68.5995 1238.42 0.0452816 -4.01787 71.4149 6.49503 -13 143 1 0 1
144.338 -42.1082 1238.42 9.14639 -2.21303 64.7198 6.65037 -13 147 1 0 1
-26.2836 89.3932 1238.42 -1.17402 6.76572 53.5603 8.24035 -13 153 1 0 1
108.755 26.2848 1238.42 7.06413 1.39875 62.0486 7.94554 -13 157 1 0 1
75.1049 48.0181 1238.42 6.38301 2.96906 79.2035 8.12437 -13 158 1 0 1
84.418 68.1444 1238.42 4.60339 2.21455 40.241 10.8206 -13 162 1 0 1
186.594 -68.1558 1238.42 11.4467 -3.71915 65.5529 7.77064 -13 164 1 0 1
34.5628 -67.7206 1238.42 3.63784 -3.7706 67.6483 6.86313 -13 170 1 0 1
