#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-0.146119 1.94776 25 0.804474 -3.96816 87.4309 0.16098 -13 1 1 0 1 0 0 0 0 0 0 0.0943646 25.0364 0 0 0 -0.172163 3.23854 0 0.0349084 40.1904
2.17335 2.59868 25 2.91524 8.52015 96.4339 0.388632 -13 2 1 0 1 0 0 0 0 0 0 0.0894 25.0704 0 0 0 1.61283 0.895339 0 0.26621 40.5394
-2.72294 -3.48937 25 -9.38248 2.19364 82.3112 -0.393639 -13 3 1 0 1 0 0 0 0 0 0 0.0973618 25.2035 0 0 0 0.0167124 -4.93798 0 -0.522385 40.3464
-0.549506 1.96623 25 8.33831 6.75307 81.5212 0.142415 -13 4 1 0 1 0 0 0 0 0 0 0.0983239 25.1356 0 0 0 -2.14529 0.18342 0 0.0130892 40.0488
1.04906 1.85146 25 13.0791 3.38578 81.6101 0.574342 -13 5 1 0 1 0 0 0 0 0 0 0.0997525 25.327 0 0 0 -2.82847 0.954371 0 0.443532 38.9307
-3.23435 2.37447 25 -10.799 2.17676 82.0852 -0.817323 -13 6 1 0 1 0 0 0 0 0 0 0.0979482 25.1855 0 0 0 -0.257375 1.87969 0 -0.946454 39.1659
-0.588711 -1.14909 25 -7.81523 -4.28119 92.5208 -0.00444295 -13 7 1 0 1 0 0 0 0 0 0 0.0912402 25.1821 0 0 0 2.05225 0.21316 0 -0.128489 41.1713
2.61114 -2.20488 25 0.0706854 -0.535707 99.0892 0.474558 -13 8 1 0 1 0 0 0 0 0 0 0.0881717 25.0008 0 0 0 2.51262 -2.18952 0 0.353195 40.4075
2.47222 1.23573 25 -1.40997 9.50044 95.2264 1.48949 -13 9 1 0 1 0 0 0 0 0 0 0.0907384 25.1161 0 0 0 2.95351 -1.12044 0 1.36598 39.4901
-3.67764 -3.99652 25 -13.1014 -21.3943 80.0363 -0.47722 -13 10 1 0 1 0 0 0 0 0 0 0.0987209 25.8632 0 0 0 -0.531867 1.73798 0 -0.608424 40.6271
2.68308 0.0996386 25 1.43819 -1.2653 97.0786 -1.57141 -13 11 1 0 1 0 0 0 0 0 0 0.0893589 25.0053 0 0 0 2.74893 0.315108 0 -1.69365 40.0196
-1.20385 0.0791784 25 9.33402 -0.852157 74.4872 -0.331119 -13 12 1 0 1 0 0 0 0 0 0 0.103476 25.2271 0 0 0 -3.9181 -1.38004 0 -0.464713 39.9617
-1.55844 -1.30411 25 12.4581 -0.0312553 69.4446 1.2825 -13 13 1 0 1 0 0 0 0 0 0 0.10789 25.384 0 0 0 -5.22012 -2.96987 0 1.14506 40.4004
1.71461 3.86129 25 4.35253 9.54405 90.3641 -0.15019 -13 14 1 0 1 0 0 0 0 0 0 0.0942723 25.2319 0 0 0 0.00078285 0.973999 0 -0.276586 38.6267
-3.27703 -4.48934 25 -7.65243 -21.5794 78.7832 0.501865 -13 15 1 0 1 0 0 0 0 0 0 0.0992974 25.603 0 0 0 -1.45294 0.340271 0 0.370778 40.312
1.50637 -0.838524 25 -0.381661 -4.76398 92.9635 0.481645 -13 16 1 0 1 0 0 0 0 0 0 0.0915561 25.0586 0 0 0 0.624497 0.267095 0 0.357654 40.0385
-1.2886 -2.29653 25 -27.9873 3.7006 93.5575 1.01466 -13 17 1 0 1 0 0 0 0 0 0 0.0928941 26.0651 0 0 0 6.02336 -3.24395 0 0.887425 39.8921
