#BLTrackFile2 out_1767669259_0856144
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
1.35916 -0.668908 25 1.34124 -8.11152 93.452 -0.720287 -13 1 1 0 1 0 0 0 0 0 0 0.0911903 25.1169 0 0 0 1.47467 1.66749 0 -0.844139 40.3474 
1.68768 0.176143 25 1.39589 -12.4938 93.1148 0.496982 -13 2 1 0 1 0 0 0 0 0 0 0.0920291 25.2038 0 0 0 1.49746 3.35454 0 0.372322 39.4072 
-1.81792 0.0288036 25 2.90137 7.26063 78.917 -1.009 -13 3 1 0 1 0 0 0 0 0 0 0.0992952 25.1198 0 0 0 -2.42466 -2.28229 0 -1.13909 40.7219 
-0.105809 6.52 25 -18.6634 16.2173 92.7928 1.47463 -13 4 1 0 1 0 0 0 0 0 0 0.0932678 25.7703 0 0 0 4.73001 2.57931 0 1.34778 39.021 
-3.31281 0.884022 25 -6.41906 -0.96123 81.1837 0.926347 -13 5 1 0 1 0 0 0 0 0 0 0.0982374 25.253 0 0 0 -0.620309 2.7984 0 0.796824 39.8647 
-1.12094 1.38386 25 -3.77779 -6.90971 88.2778 0.782678 -13 6 1 0 1 0 0 0 0 0 0 0.0939148 25.1317 0 0 0 -0.705168 3.79233 0 0.656741 40.3994 
-3.99008 0.786399 25 -11.3255 5.83813 78.5056 0.0662082 -13 7 1 0 1 0 0 0 0 0 0 0.0996966 25.3004 0 0 0 -0.956633 -1.49038 0 -0.0645531 39.876 
1.89167 -0.535761 25 6.50521 -0.828905 92.1722 0.081157 -13 8 1 0 1 0 0 0 0 0 0 0.0922498 25.0473 0 0 0 0.699054 0.155109 0 -0.0433214 39.4301 
-0.922726 -5.94385 25 0.352788 -1.60033 80.7003 1.39443 -13 9 1 0 1 0 0 0 0 0 0 0.099002 25.0078 0 0 0 -0.983769 -5.44543 0 1.26484 39.2247 
1.63004 -0.332688 25 3.664 3.94254 92.8234 -0.473325 -13 10 1 0 1 0 0 0 0 0 0 0.0918222 25.028 0 0 0 0.756292 -0.679195 0 -0.597441 39.528 
3.32057 -3.47651 25 6.84728 -2.92481 96.3347 1.45164 -13 11 1 0 1 0 0 0 0 0 0 0.0894586 25.0446 0 0 0 2.03477 -2.94392 0 1.32923 40.4303 
1.92024 1.13169 25 1.99302 1.91444 92.6599 -2.08305 -13 12 1 0 1 0 0 0 0 0 0 0.0926992 25.0107 0 0 0 1.32557 0.804844 0 -2.20777 38.3191 
4.60912 1.1392 25 19.0858 18.344 88.9238 1.34663 -13 13 1 0 1 0 0 0 0 0 0 0.0961049 26.105 0 0 0 -0.730445 -4.14591 0 1.21692 39.3555 
-0.189654 1.09134 25 0.654176 0.226777 86.3515 0.514825 -13 14 1 0 1 0 0 0 0 0 0 0.0956246 25.0094 0 0 0 -0.578598 0.746191 0 0.387866 39.3827 
-2.42455 -0.999034 25 -14.6028 6.42658 86.2252 0.0444875 -13 15 1 0 1 0 0 0 0 0 0 0.0945352 25.2099 0 0 0 0.0802631 -2.48042 0 -0.0820941 40.3743 
-2.57818 0.670225 25 -9.59046 -6.6186 83.7281 -0.961803 -13 16 1 0 1 0 0 0 0 0 0 0.0963063 25.2288 0 0 0 0.294909 2.41431 0 -1.08979 40.496 
-1.87041 -1.94748 25 -0.0404585 -4.72851 77.3947 1.64069 -13 17 1 0 1 0 0 0 0 0 0 0.100922 25.0363 0 0 0 -1.33832 -1.48667 0 1.50953 38.9685 
-0.168306 3.18875 25 -1.55744 16.0368 84.5871 0.473483 -13 18 1 0 1 0 0 0 0 0 0 0.0970935 25.3099 0 0 0 0.610654 -0.545219 0 0.344758 38.899 
-1.01328 0.370331 25 -8.31388 5.18387 87.248 0.139669 -13 19 1 0 1 0 0 0 0 0 0 0.0947747 25.1672 0 0 0 1.14305 -1.51675 0 0.0130048 39.9913 
0.105477 2.61609 25 8.44409 9.72078 80.2334 -0.0852842 -13 20 1 0 1 0 0 0 0 0 0 0.100317 25.2296 0 0 0 -2.49055 0.621617 0 -0.216333 38.8561 
2.65315 1.8811 25 -2.26065 2.00173 98.5231 1.36501 -13 21 1 0 1 0 0 0 0 0 0 0.0889581 25.0111 0 0 0 3.20344 1.37998 0 1.24306 39.5808 
