#BLTrackFile NTuple/Z617
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
92.8677 -137.542 616.693 70.1385 -35.5953 25.9405 7.22175 -13 6 1 0 1
-10.5204 26.7252 616.693 -15.2183 -4.28194 96.4369 6.78015 -13 17 1 0 1
80.3862 67.9776 616.693 3.52068 57.9487 -78.6101 11.7025 -13 17 1 0 1
-2.5245 117.163 616.693 -83.9178 -27.4537 41.882 12.3036 -13 17 1 0 1
-67.2192 100.727 616.693 -85.2218 21.3549 -42.7928 12.6502 -13 17 1 0 1
-68.9361 160.005 616.693 53.1891 -5.51528 81.7955 13.0929 -13 17 1 0 1
-81.5026 112.937 616.693 -35.7065 -1.05774 -90.9612 13.474 -13 17 1 0 1
-45.9314 -148.459 616.693 -27.3883 76.0616 49.3627 7.45096 -13 25 1 0 1
-65.3426 -121.669 616.693 -68.3761 46.6754 -46.0247 7.62698 -13 25 1 0 1
-15.1137 97.2784 616.693 -12.9369 -49.165 68.2686 7.29305 -13 39 1 0 1
-46.8147 21.9142 616.693 -30.1591 -58.3402 -54.1481 7.78323 -13 39 1 0 1
-101.557 -145.001 616.693 -21.2577 54.2357 62.0626 12.7175 -13 39 1 0 1
-132.822 -134.481 616.693 -50.2357 -52.0034 -44.9131 12.9401 -13 39 1 0 1
4.94761 113.604 616.693 2.91469 -52.227 73.9268 5.78307 -13 69 1 0 1
13.4202 37.0536 616.693 10.8177 -70.1582 -56.2328 6.22833 -13 69 1 0 1
-83.4241 -111.555 616.693 -60.3252 -10.7228 60.4885 7.70382 -13 114 1 0 1
-45.8938 79.4396 616.693 -64.236 -18.4412 62.1776 4.94062 -13 127 1 0 1
-114.066 85.6495 616.693 -30.6258 71.7686 -47.3679 5.36028 -13 127 1 0 1
-95.8131 123.49 616.693 65.7751 19.2171 60.3053 5.61646 -13 127 1 0 1
-110.686 81.1782 616.693 -8.86073 18.6704 -88.9118 6.0954 -13 127 1 0 1
-1.70681 -7.14294 616.693 -1.909 2.55102 91.1904 3.66334 -13 152 1 0 1
54.8084 144.776 616.693 76.9372 -35.8915 36.2891 5.34523 -13 164 1 0 1
91.701 142.93 616.693 75.9139 46.9721 -23.5613 5.54467 -13 164 1 0 1
