#BLTrackFile NTuple/Z0
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-0.146119 1.94776 0 0.804474 -3.96816 87.4309 0.16098 -13 1 1 0 1
41.1427 67.2279 0 24.9282 67.7439 -49.4965 5.76644 -13 1 1 0 1
2.17335 2.59868 0 2.91524 8.52015 96.4339 0.388632 -13 2 1 0 1
-2.72294 -3.48937 0 -9.38248 2.19364 82.3112 -0.393639 -13 3 1 0 1
-0.549506 1.96623 0 8.33831 6.75307 81.5212 0.142415 -13 4 1 0 1
1.04906 1.85146 0 13.0791 3.38578 81.6101 0.574342 -13 5 1 0 1
-3.23435 2.37447 0 -10.799 2.17676 82.0852 -0.817323 -13 6 1 0 1
-0.588711 -1.14909 0 -7.81523 -4.28119 92.5208 -0.00444295 -13 7 1 0 1
-11.7797 51.8068 0 1.62143 25.0016 -89.5086 7.52115 -13 7 1 0 1
2.61114 -2.20488 0 0.0706854 -0.535707 99.0892 0.474558 -13 8 1 0 1
2.47222 1.23573 0 -1.40997 9.50044 95.2264 1.48949 -13 9 1 0 1
-119.421 81.5835 0 -53.4199 78.4273 -12.4814 5.99211 -13 9 1 0 1
-3.67764 -3.99652 0 -13.1014 -21.3943 80.0363 -0.47722 -13 10 1 0 1
-119.033 -130.672 0 -52.9507 -7.19347 -64.6502 5.12731 -13 10 1 0 1
2.68308 0.0996386 0 1.43819 -1.2653 97.0786 -1.57141 -13 11 1 0 1
-1.20385 0.0791784 0 9.33402 -0.852157 74.4872 -0.331119 -13 12 1 0 1
-1.55844 -1.30411 0 12.4581 -0.0312553 69.4446 1.2825 -13 13 1 0 1
1.71461 3.86129 0 4.35253 9.54405 90.3641 -0.15019 -13 14 1 0 1
-55.5124 -85.0091 0 -32.4961 70.0566 -48.081 3.60647 -13 14 1 0 1
-3.27703 -4.48934 0 -7.65243 -21.5794 78.7832 0.501865 -13 15 1 0 1
-118.878 153.328 0 -68.9025 -12.4885 -42.7493 4.19109 -13 15 1 0 1
1.50637 -0.838524 0 -0.381661 -4.76398 92.9635 0.481645 -13 16 1 0 1
-52.5797 -133.252 0 -42.4044 -14.9048 -81.5155 5.2057 -13 16 1 0 1
-1.2886 -2.29653 0 -27.9873 3.7006 93.5575 1.01466 -13 17 1 0 1
-3.21245 2.81286 0 -5.18169 8.4039 72.9111 -0.457719 -13 18 1 0 1
-4.62243 -0.39935 0 -3.46001 -6.45208 71.3164 -0.223845 -13 19 1 0 1
0.701698 4.10693 0 3.12003 18.2324 86.7675 -0.889738 -13 20 1 0 1
35.8448 -158.569 0 27.7689 -9.04914 -83.7721 2.55854 -13 20 1 0 1
-1.10846 -0.618931 0 -8.65632 -4.6753 91.8859 -0.198378 -13 21 1 0 1
-4.38796 -1.9765 0 -13.8854 4.2966 74.1478 -0.137359 -13 22 1 0 1
0.291344 0.940067 0 -7.53823 -0.00530011 93.3444 -1.44403 -13 23 1 0 1
0.401023 0.373859 0 2.95398 -1.47193 88.1106 -0.144046 -13 24 1 0 1
0.543535 -3.13009 0 -10.9309 -1.86529 94.07 0.806447 -13 25 1 0 1
-1.17496 -3.5845 0 1.78087 -5.14054 84.2621 -0.299653 -13 26 1 0 1
