#BLTrackFile NTuple/Z194
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
14.9076 -12.8976 193.951 7.42094 -6.30066 87.1983 1.93522 -13 1 1 0 1
0.332175 14.3779 193.951 -1.00764 6.57197 95.0423 -0.406183 -13 3 1 0 1
13.7763 12.0411 193.951 6.84415 6.23538 95.8609 0.608745 -13 4 1 0 1
12.8172 -3.3468 193.951 6.04322 -1.77149 92.7357 0.473381 -13 6 1 0 1
4.96606 -10.402 193.951 1.9173 -3.02352 95.424 2.05692 -13 7 1 0 1
-21.5641 -12.8088 193.951 -10.797 -5.17606 87.0746 1.99714 -13 8 1 0 1
-17.2797 -6.70621 193.951 -7.4766 -2.99758 80.464 0.944287 -13 9 1 0 1
1.95977 -26.457 193.951 1.5238 -12.2903 83.0131 2.62477 -13 11 1 0 1
-24.5227 3.95345 193.951 -12.2323 3.57915 86.3011 0.0247237 -13 12 1 0 1
13.2778 13.2149 193.951 6.96468 5.87774 84.1887 0.806518 -13 13 1 0 1
-16.1729 -21.9089 193.951 -8.78841 -9.46177 90.6009 0.823056 -13 14 1 0 1
-16.8554 15.6867 193.951 -9.86311 8.63913 93.6922 2.68492 -13 15 1 0 1
-14.7644 3.06946 193.951 -5.41248 1.54654 76.3759 1.75596 -13 16 1 0 1
-27.3871 4.01876 193.951 -13.2237 2.18903 84.9342 0.618948 -13 17 1 0 1
-29.1047 3.85245 193.951 -17.6075 2.12556 97.2878 1.35242 -13 18 1 0 1
12.7595 -3.51088 193.951 6.03053 -0.182409 95.7542 0.643706 -13 19 1 0 1
4.01429 -13.6402 193.951 2.13199 -5.95706 86.2734 0.802558 -13 22 1 0 1
6.46712 -4.76573 193.951 3.39209 -2.26366 84.798 0.832028 -13 24 1 0 1
-2.30077 6.46692 193.951 -1.69405 3.17584 92.9732 1.06328 -13 26 1 0 1
-16.2373 -21.3609 193.951 -9.02048 -11.5522 90.9492 2.02659 -13 29 1 0 1
-5.9777 -20.7773 193.951 -0.578896 -7.36544 65.4846 1.7002 -13 30 1 0 1
-27.1859 23.9902 193.951 -14.5081 11.7017 90.497 2.08245 -13 31 1 0 1
13.4653 9.88722 193.951 7.1567 2.70939 88.7867 2.22766 -13 33 1 0 1
-6.95201 -23.0364 193.951 -1.81382 -8.13353 73.6205 0.970863 -13 34 1 0 1
-2.36992 -5.98056 193.951 -1.26691 -1.83072 88.3131 1.99783 -13 35 1 0 1
-5.41902 0.200156 193.951 -2.59368 -0.371798 87.9093 0.680457 -13 37 1 0 1
-0.547355 -17.9003 193.951 -1.00556 -9.01253 95.8209 1.53118 -13 38 1 0 1
-7.16564 20.9072 193.951 -3.38237 10.4426 89.2671 0.766036 -13 39 1 0 1
-3.95558 12.2393 193.951 -1.27117 8.60108 81.6856 0.252042 -13 41 1 0 1
-1.57966 16.4052 193.951 -0.856565 8.13126 85.8813 -0.0823391 -13 43 1 0 1
-15.5757 -12.5519 193.951 -6.67782 -6.34381 82.4091 1.5147 -13 44 1 0 1
14.24 -18.6335 193.951 7.2305 -7.06141 70.7668 1.44416 -13 45 1 0 1
4.43904 10.9719 193.951 2.39028 5.34381 88.1702 1.04878 -13 46 1 0 1
-9.84463 13.1776 193.951 -4.42614 7.08346 83.7274 1.17632 -13 47 1 0 1
0.382137 7.91755 193.951 1.05664 2.44739 77.0005 0.102055 -13 49 1 0 1
-17.5838 -6.61006 193.951 -8.9763 -3.86901 88.9383 0.840313 -13 50 1 0 1
-16.4337 6.92486 193.951 -8.32617 2.52344 86.9604 0.474353 -13 51 1 0 1
12.5986 1.88171 193.951 6.69118 0.926515 82.9552 1.28946 -13 52 1 0 1
2.00752 -20.177 193.951 0.367855 -9.96591 93.9087 0.189582 -13 54 1 0 1
-6.84742 -19.0223 193.951 -5.46675 -9.79041 98.5509 2.59676 -13 55 1 0 1
11.3153 -7.7547 193.951 4.9542 -3.18167 92.7533 1.70845 -13 57 1 0 1
23.1085 -13.382 193.951 11.6518 -6.31443 91.6635 -0.118018 -13 60 1 0 1
-27.6518 -3.34122 193.951 -10.979 -1.22852 75.5321 0.808624 -13 63 1 0 1
9.5593 -4.20448 193.951 5.02618 -0.972671 83.053 0.236235 -13 64 1 0 1
-20.7468 14.9736 193.951 -9.86247 4.97541 84.9749 1.14259 -13 65 1 0 1
-6.43794 5.79229 193.951 -3.60057 2.44135 91.2392 1.07082 -13 66 1 0 1
20.1347 6.33817 193.951 9.79139 2.89795 95.5875 0.41581 -13 67 1 0 1
0.385592 14.9932 193.951 0.638085 6.24763 84.7593 1.03048 -13 68 1 0 1
4.39296 -5.734 193.951 2.34506 -1.72846 87.7171 0.810596 -13 69 1 0 1
16.8391 -17.2973 193.951 8.60865 -7.00008 83.4448 1.20657 -13 70 1 0 1
-8.52699 -19.0371 193.951 -3.96866 -9.13732 87.5811 0.424636 -13 71 1 0 1
-9.52274 25.5916 193.951 -6.09821 14.2595 94.6767 0.593975 -13 73 1 0 1
-14.1394 24.2084 193.951 -7.23065 11.5963 88.17 1.70847 -13 74 1 0 1
-3.2902 7.49098 193.951 -2.46075 3.85543 93.927 1.24822 -13 77 1 0 1
11.8538 5.53047 193.951 5.50125 2.5406 95.0627 1.1857 -13 78 1 0 1
-11.4065 -1.7558 193.951 -5.26043 -1.2118 87.1857 2.15706 -13 79 1 0 1
-23.9617 -16.641 193.951 -10.4468 -7.74709 80.0548 1.5688 -13 81 1 0 1
2.26175 4.78872 193.951 1.7731 3.1695 82.0918 -0.515379 -13 82 1 0 1
27.127 -3.72518 193.951 13.7538 -1.67912 88.3729 1.36084 -13 83 1 0 1
-4.91539 3.36911 193.951 -2.93688 0.626226 91.5585 0.46056 -13 84 1 0 1
12.4308 15.5117 193.951 6.00272 8.31564 87.8925 -0.171009 -13 85 1 0 1
-6.65319 21.5439 193.951 -2.15608 8.59183 80.4683 0.34088 -13 87 1 0 1
-12.4992 -0.513228 193.951 -6.80751 -0.158148 90.9321 0.649746 -13 89 1 0 1
-7.32745 -2.71794 193.951 -2.92587 -2.73109 83.5704 1.12122 -13 90 1 0 1
2.1634 -7.46847 193.951 -0.113108 -3.69069 98.9684 1.14172 -13 91 1 0 1
10.3537 -9.23602 193.951 5.79208 -4.76745 86.6792 1.18423 -13 92 1 0 1
1.16911 -24.8651 193.951 1.09514 -12.0617 81.8628 2.14308 -13 94 1 0 1
4.81997 -14.7355 193.951 2.18397 -6.97057 88.344 1.67487 -13 95 1 0 1
3.28522 -22.8665 193.951 1.85301 -10.1768 84.9602 0.778267 -13 96 1 0 1
-8.14364 -21.3269 193.951 -4.88377 -10.6564 92.4435 -0.0264037 -13 98 1 0 1
-3.57713 -18.5811 193.951 -0.611619 -6.48543 74.8542 1.64084 -13 100 1 0 1
-17.6546 -15.9042 193.951 -9.77319 -7.6651 91.1316 1.96314 -13 103 1 0 1
5.83305 -2.17189 193.951 2.36926 -0.476226 92.4117 -0.29272 -13 104 1 0 1
26.64 7.32106 193.951 13.4326 5.04139 85.4973 1.52574 -13 105 1 0 1
-14.7245 -1.6611 193.951 -7.08703 -0.934587 86.4884 -0.257514 -13 108 1 0 1
-2.01408 16.8666 193.951 -0.212351 6.66635 82.13 0.959624 -13 109 1 0 1
-15.7701 -7.36168 193.951 -6.97903 -4.12704 81.8868 0.738439 -13 110 1 0 1
11.4813 0.508451 193.951 5.72672 2.03635 91.7933 1.44985 -13 115 1 0 1
8.48865 -11.0263 193.951 4.45693 -5.22993 83.556 0.939307 -13 117 1 0 1
2.44154 -0.277434 193.951 0.905235 -0.234952 91.4197 1.7552 -13 118 1 0 1
3.04848 16.7409 193.951 2.59685 6.18766 69.3867 0.188247 -13 119 1 0 1
