#BLTrackFile NTuple/Z150
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
11.1672 -9.7218 150 7.42061 -6.30094 87.1983 1.70431 -13 1 1 0 1
0.798138 11.339 150 -1.00765 6.57175 95.0423 -0.625638 -13 3 1 0 1
10.6384 9.18224 150 6.84383 6.23565 95.8609 0.390103 -13 4 1 0 1
23.2641 9.01585 150 14.7745 4.73606 98.1917 0.810274 -13 5 1 0 1
9.95311 -2.50722 150 6.04292 -1.77156 92.7357 0.250913 -13 6 1 0 1
4.08224 -9.01097 150 1.91877 -3.02045 95.4241 1.83812 -13 7 1 0 1
-16.1143 -10.1961 150 -10.7965 -5.17637 87.0746 1.76574 -13 8 1 0 1
-13.1959 -5.06886 150 -7.47621 -2.99773 80.464 0.701867 -13 9 1 0 1
-25.259 14.4032 150 -17.7375 8.99175 90.2045 0.500066 -13 10 1 0 1
1.15304 -19.9494 150 1.52368 -12.2919 83.0129 2.38646 -13 11 1 0 1
-18.2895 2.13123 150 -12.2386 3.57809 86.3002 -0.20804 -13 12 1 0 1
9.64192 10.1463 150 6.96439 5.87804 84.1887 0.570726 -13 13 1 0 1
-11.9096 -17.319 150 -8.78806 -9.46229 90.6009 0.59687 -13 14 1 0 1
-12.2267 11.636 150 -9.86697 8.63555 93.6921 2.463 -13 15 1 0 1
-11.6498 2.17949 150 -5.41213 1.5466 76.3759 1.50547 -13 16 1 0 1
-20.5395 2.88666 150 -13.232 2.1878 84.933 0.383807 -13 17 1 0 1
-21.1504 2.8922 150 -17.6069 2.12565 97.2879 1.13435 -13 18 1 0 1
9.99153 -3.42715 150 6.03023 -0.182511 95.7542 0.425195 -13 19 1 0 1
3.33407 22.3648 150 2.4943 13.2683 85.4371 -0.632469 -13 20 1 0 1
-27.1069 5.14256 150 -17.8402 4.60629 86.7001 1.8906 -13 21 1 0 1
2.92809 -10.6057 150 2.13208 -5.95675 86.2734 0.570513 -13 22 1 0 1
4.70899 -3.59247 150 3.39195 -2.26377 84.798 0.597698 -13 24 1 0 1
7.6495 22.1273 150 5.5493 11.8806 83.5394 0.841142 -13 25 1 0 1
-1.5 4.96547 150 -1.6939 3.17628 92.9732 0.841281 -13 26 1 0 1
26.5676 12.2301 150 17.5385 7.45732 87.9502 1.21096 -13 27 1 0 1
-11.8781 -15.7785 150 -9.02032 -11.5524 90.9492 1.80063 -13 29 1 0 1
