# 
param maxline=128 current=1 gradient=1 normB=1 normE=1
grid X0=0 Y0=0 Z0=0 nX=1 nY=1 nZ=216 dX=1 dY=1 dZ=1
data
0.0 0.0 0.0 0 -0.0474783 0
0.0 0.0 1.0 0 -0.0481412 0
0.0 0.0 2.0 0 -0.0488099 0
0.0 0.0 3.0 0 -0.0494844 0
0.0 0.0 4.0 0 -0.0501648 0
0.0 0.0 5.0 0 -0.050851 0
0.0 0.0 6.0 0 -0.0515432 0
0.0 0.0 7.0 0 -0.0522413 0
0.0 0.0 8.0 0 -0.0529455 0
0.0 0.0 9.0 0 -0.0536557 0
0.0 0.0 10.0 0 -0.0543719 0
0.0 0.0 11.0 0 -0.0550943 0
0.0 0.0 12.0 0 -0.0558228 0
0.0 0.0 13.0 0 -0.0565576 0
0.0 0.0 14.0 0 -0.0572985 0
0.0 0.0 15.0 0 -0.0580456 0
0.0 0.0 16.0 0 -0.0587991 0
0.0 0.0 17.0 0 -0.0595588 0
0.0 0.0 18.0 0 -0.0603249 0
0.0 0.0 19.0 0 -0.0610973 0
0.0 0.0 20.0 0 -0.0618761 0
0.0 0.0 21.0 0 -0.0626614 0
0.0 0.0 22.0 0 -0.0634531 0
0.0 0.0 23.0 0 -0.0642513 0
0.0 0.0 24.0 0 -0.065056 0
0.0 0.0 25.0 0 -0.0658673 0
0.0 0.0 26.0 0 -0.0666852 0
0.0 0.0 27.0 0 -0.0675098 0
0.0 0.0 28.0 0 -0.068341 0
0.0 0.0 29.0 0 -0.0691789 0
0.0 0.0 30.0 0 -0.0700236 0
0.0 0.0 31.0 0 -0.0708751 0
0.0 0.0 32.0 0 -0.0717335 0
0.0 0.0 33.0 0 -0.0725988 0
0.0 0.0 34.0 0 -0.0734711 0
0.0 0.0 35.0 0 -0.0743504 0
0.0 0.0 36.0 0 -0.0752368 0
0.0 0.0 37.0 0 -0.0761304 0
0.0 0.0 38.0 0 -0.0770313 0
0.0 0.0 39.0 0 -0.0779395 0
0.0 0.0 40.0 0 -0.0788552 0
0.0 0.0 41.0 0 -0.0797784 0
0.0 0.0 42.0 0 -0.0807092 0
0.0 0.0 43.0 0 -0.0816477 0
0.0 0.0 44.0 0 -0.0825942 0
0.0 0.0 45.0 0 -0.0835485 0
0.0 0.0 46.0 0 -0.0845111 0
0.0 0.0 47.0 0 -0.0854818 0
0.0 0.0 48.0 0 -0.086461 0
0.0 0.0 49.0 0 -0.0874488 0
0.0 0.0 50.0 0 -0.0884452 0
0.0 0.0 51.0 0 -0.0894507 0
0.0 0.0 52.0 0 -0.0904652 0
0.0 0.0 53.0 0 -0.091489 0
0.0 0.0 54.0 0 -0.0925224 0
0.0 0.0 55.0 0 -0.0935656 0
0.0 0.0 56.0 0 -0.0946188 0
0.0 0.0 57.0 0 -0.0956822 0
0.0 0.0 58.0 0 -0.0967562 0
0.0 0.0 59.0 0 -0.097841 0
0.0 0.0 60.0 0 -0.0989369 0
0.0 0.0 61.0 0 -0.100044 0
0.0 0.0 62.0 0 -0.101163 0
0.0 0.0 63.0 0 -0.102295 0
0.0 0.0 64.0 0 -0.103438 0
0.0 0.0 65.0 0 -0.104595 0
0.0 0.0 66.0 0 -0.105765 0
0.0 0.0 67.0 0 -0.106948 0
0.0 0.0 68.0 0 -0.108145 0
0.0 0.0 69.0 0 -0.109358 0
0.0 0.0 70.0 0 -0.110585 0
0.0 0.0 71.0 0 -0.111827 0
0.0 0.0 72.0 0 -0.113086 0
0.0 0.0 73.0 0 -0.114361 0
0.0 0.0 74.0 0 -0.115653 0
0.0 0.0 75.0 0 -0.116963 0
0.0 0.0 76.0 0 -0.118291 0
0.0 0.0 77.0 0 -0.119638 0
0.0 0.0 78.0 0 -0.121005 0
0.0 0.0 79.0 0 -0.122392 0
0.0 0.0 80.0 0 -0.123799 0
0.0 0.0 81.0 0 -0.125228 0
0.0 0.0 82.0 0 -0.126679 0
0.0 0.0 83.0 0 -0.128154 0
0.0 0.0 84.0 0 -0.129651 0
0.0 0.0 85.0 0 -0.131174 0
0.0 0.0 86.0 0 -0.132722 0
0.0 0.0 87.0 0 -0.134295 0
0.0 0.0 88.0 0 -0.135896 0
0.0 0.0 89.0 0 -0.137525 0
0.0 0.0 90.0 0 -0.139182 0
0.0 0.0 91.0 0 -0.140869 0
0.0 0.0 92.0 0 -0.142586 0
0.0 0.0 93.0 0 -0.144334 0
0.0 0.0 94.0 0 -0.146114 0
0.0 0.0 95.0 0 -0.147928 0
0.0 0.0 96.0 0 -0.149776 0
0.0 0.0 97.0 0 -0.151658 0
0.0 0.0 98.0 0 -0.153577 0
0.0 0.0 99.0 0 -0.155532 0
0.0 0.0 100.0 0 -0.157525 0
0.0 0.0 101.0 0 -0.159556 0
0.0 0.0 102.0 0 -0.161627 0
0.0 0.0 103.0 0 -0.163739 0
0.0 0.0 104.0 0 -0.165891 0
0.0 0.0 105.0 0 -0.168085 0
0.0 0.0 106.0 0 -0.170322 0
0.0 0.0 107.0 0 -0.172602 0
0.0 0.0 108.0 0 -0.174927 0
0.0 0.0 109.0 0 -0.177296 0
0.0 0.0 110.0 0 -0.17971 0
0.0 0.0 111.0 0 -0.18217 0
0.0 0.0 112.0 0 -0.184676 0
0.0 0.0 113.0 0 -0.187228 0
0.0 0.0 114.0 0 -0.189827 0
0.0 0.0 115.0 0 -0.192472 0
0.0 0.0 116.0 0 -0.195164 0
0.0 0.0 117.0 0 -0.197902 0
0.0 0.0 118.0 0 -0.200686 0
0.0 0.0 119.0 0 -0.203516 0
0.0 0.0 120.0 0 -0.20639 0
0.0 0.0 121.0 0 -0.209309 0
0.0 0.0 122.0 0 -0.21227 0
0.0 0.0 123.0 0 -0.215274 0
0.0 0.0 124.0 0 -0.218317 0
0.0 0.0 125.0 0 -0.221399 0
0.0 0.0 126.0 0 -0.224518 0
0.0 0.0 127.0 0 -0.227672 0
0.0 0.0 128.0 0 -0.230858 0
0.0 0.0 129.0 0 -0.234074 0
0.0 0.0 130.0 0 -0.237316 0
0.0 0.0 131.0 0 -0.240582 0
0.0 0.0 132.0 0 -0.243868 0
0.0 0.0 133.0 0 -0.24717 0
0.0 0.0 134.0 0 -0.250486 0
0.0 0.0 135.0 0 -0.253809 0
0.0 0.0 136.0 0 -0.257137 0
0.0 0.0 137.0 0 -0.260465 0
0.0 0.0 138.0 0 -0.263787 0
0.0 0.0 139.0 0 -0.267099 0
0.0 0.0 140.0 0 -0.270395 0
0.0 0.0 141.0 0 -0.273671 0
0.0 0.0 142.0 0 -0.276921 0
0.0 0.0 143.0 0 -0.28014 0
0.0 0.0 144.0 0 -0.283322 0
0.0 0.0 145.0 0 -0.286462 0
0.0 0.0 146.0 0 -0.289555 0
0.0 0.0 147.0 0 -0.290984 0
0.0 0.0 148.0 0 -0.287916 0
0.0 0.0 149.0 0 -0.284798 0
0.0 0.0 150.0 0 -0.281635 0
0.0 0.0 151.0 0 -0.278433 0
0.0 0.0 152.0 0 -0.275196 0
0.0 0.0 153.0 0 -0.271932 0
0.0 0.0 154.0 0 -0.268644 0
0.0 0.0 155.0 0 -0.265339 0
0.0 0.0 156.0 0 -0.262021 0
0.0 0.0 157.0 0 -0.258695 0
0.0 0.0 158.0 0 -0.255367 0
0.0 0.0 159.0 0 -0.252041 0
0.0 0.0 160.0 0 -0.248721 0
0.0 0.0 161.0 0 -0.245412 0
0.0 0.0 162.0 0 -0.242118 0
0.0 0.0 163.0 0 -0.238842 0
0.0 0.0 164.0 0 -0.235588 0
0.0 0.0 165.0 0 -0.23236 0
0.0 0.0 166.0 0 -0.22916 0
0.0 0.0 167.0 0 -0.225991 0
0.0 0.0 168.0 0 -0.222855 0
0.0 0.0 169.0 0 -0.219755 0
0.0 0.0 170.0 0 -0.216693 0
0.0 0.0 171.0 0 -0.213671 0
0.0 0.0 172.0 0 -0.21069 0
0.0 0.0 173.0 0 -0.207751 0
0.0 0.0 174.0 0 -0.204856 0
0.0 0.0 175.0 0 -0.202005 0
0.0 0.0 176.0 0 -0.1992 0
0.0 0.0 177.0 0 -0.19644 0
0.0 0.0 178.0 0 -0.193726 0
0.0 0.0 179.0 0 -0.191059 0
0.0 0.0 180.0 0 -0.188439 0
0.0 0.0 181.0 0 -0.185865 0
0.0 0.0 182.0 0 -0.183337 0
0.0 0.0 183.0 0 -0.180856 0
0.0 0.0 184.0 0 -0.17842 0
0.0 0.0 185.0 0 -0.17603 0
0.0 0.0 186.0 0 -0.173685 0
0.0 0.0 187.0 0 -0.171384 0
0.0 0.0 188.0 0 -0.169127 0
0.0 0.0 189.0 0 -0.166913 0
0.0 0.0 190.0 0 -0.164741 0
0.0 0.0 191.0 0 -0.162611 0
0.0 0.0 192.0 0 -0.160521 0
0.0 0.0 193.0 0 -0.158471 0
0.0 0.0 194.0 0 -0.15646 0
0.0 0.0 195.0 0 -0.154487 0
0.0 0.0 196.0 0 -0.152552 0
0.0 0.0 197.0 0 -0.150653 0
0.0 0.0 198.0 0 -0.148789 0
0.0 0.0 199.0 0 -0.146959 0
0.0 0.0 200.0 0 -0.145163 0
0.0 0.0 201.0 0 -0.1434 0
0.0 0.0 202.0 0 -0.141668 0
0.0 0.0 203.0 0 -0.139968 0
0.0 0.0 204.0 0 -0.138297 0
