# 
param maxline=128 current=1 gradient=1 normB=1 normE=1
grid X0=0 Y0=0 Z0=0 nX=1 nY=1 nZ=336 dX=1 dY=1 dZ=1
data
0.0 0.0 0.0 0 0.000197941 0
0.0 0.0 1.0 0 0.000225644 0
0.0 0.0 2.0 0 0.000256538 0
0.0 0.0 3.0 0 0.000290897 0
0.0 0.0 4.0 0 0.000329008 0
0.0 0.0 5.0 0 0.00037117 0
0.0 0.0 6.0 0 0.000417696 0
0.0 0.0 7.0 0 0.000468907 0
0.0 0.0 8.0 0 0.000525137 0
0.0 0.0 9.0 0 0.000586727 0
0.0 0.0 10.0 0 0.00065403 0
0.0 0.0 11.0 0 0.000727401 0
0.0 0.0 12.0 0 0.000807207 0
0.0 0.0 13.0 0 0.000893816 0
0.0 0.0 14.0 0 0.0009876 0
0.0 0.0 15.0 0 0.00108894 0
0.0 0.0 16.0 0 0.0011982 0
0.0 0.0 17.0 0 0.00131576 0
0.0 0.0 18.0 0 0.001442 0
0.0 0.0 19.0 0 0.00157728 0
0.0 0.0 20.0 0 0.00172196 0
0.0 0.0 21.0 0 0.00187641 0
0.0 0.0 22.0 0 0.00204097 0
0.0 0.0 23.0 0 0.00221599 0
0.0 0.0 24.0 0 0.00240178 0
0.0 0.0 25.0 0 0.00259866 0
0.0 0.0 26.0 0 0.00280694 0
0.0 0.0 27.0 0 0.0030269 0
0.0 0.0 28.0 0 0.00325881 0
0.0 0.0 29.0 0 0.00350293 0
0.0 0.0 30.0 0 0.00375948 0
0.0 0.0 31.0 0 0.00402868 0
0.0 0.0 32.0 0 0.00431074 0
0.0 0.0 33.0 0 0.00460582 0
0.0 0.0 34.0 0 0.00491408 0
0.0 0.0 35.0 0 0.00523566 0
0.0 0.0 36.0 0 0.00557066 0
0.0 0.0 37.0 0 0.00591917 0
0.0 0.0 38.0 0 0.00628127 0
0.0 0.0 39.0 0 0.00665701 0
0.0 0.0 40.0 0 0.00704641 0
0.0 0.0 41.0 0 0.00744947 0
0.0 0.0 42.0 0 0.00786619 0
0.0 0.0 43.0 0 0.00829653 0
0.0 0.0 44.0 0 0.00874043 0
0.0 0.0 45.0 0 0.00919783 0
0.0 0.0 46.0 0 0.00966863 0
