#BLTrackFile NTuple/Z733
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
48.9379 -11.2631 732.855 2.18518 -1.65246 81.0095 3.95955 -13 2 1 0 1
-50.3131 -18.7559 732.855 -9.2574 -1.61527 70.9905 5.2353 -13 3 1 0 1
-5.50991 -50.7086 732.855 -3.97464 -3.46742 61.2164 3.93458 -13 7 1 0 1
27.3899 -41.7144 732.855 -0.637323 -3.03799 66.8424 5.22948 -13 10 1 0 1
50.0886 20.9478 732.855 1.8789 1.66385 71.321 3.82521 -13 11 1 0 1
51.4147 -13.1786 732.855 2.02162 -0.838512 70.8642 4.66435 -13 25 1 0 1
-21.7008 27.0126 732.855 -5.88672 2.20933 68.3099 4.33541 -13 26 1 0 1
-0.0425808 2.10525 732.855 -3.57265 0.536383 66.548 6.00879 -13 27 1 0 1
-54.0343 18.3286 732.855 -9.70246 1.69485 71.3559 4.05962 -13 31 1 0 1
69.8277 7.25748 732.855 1.8129 0.229061 25.2661 11.2409 -13 33 1 0 1
-23.8336 63.7554 732.855 -5.95316 5.21076 66.0233 3.47358 -13 36 1 0 1
-25.7702 -66.9521 732.855 -6.87797 -6.6279 79.5181 2.60115 -13 37 1 0 1
-85.8823 -27.6887 732.855 -12.3975 -7.50305 39.7989 5.93116 -13 41 1 0 1
-57.0517 3.87738 732.855 -9.69056 0.0813722 67.6715 5.73817 -13 42 1 0 1
41.1705 16.2242 732.855 0.278755 0.910982 56.6973 5.76893 -13 44 1 0 1
-27.6479 -66.3061 732.855 -6.47363 -5.29688 67.7046 4.89678 -13 46 1 0 1
-57.6028 21.3054 732.855 -10.1993 1.61675 72.1708 3.99613 -13 51 1 0 1
-11.0156 23.6075 732.855 -4.8089 2.17759 69.8928 3.835 -13 62 1 0 1
-5.9692 -1.85976 732.855 -4.06805 -0.0694532 60.1878 5.00898 -13 64 1 0 1
31.2243 10.6062 732.855 -0.328926 0.691003 65.8738 3.13003 -13 65 1 0 1
-25.3702 12.5943 732.855 -6.44769 0.997637 71.1479 4.7788 -13 66 1 0 1
33.7719 -18.4687 732.855 -0.195295 -1.10122 61.5361 4.12774 -13 67 1 0 1
-39.6507 5.87614 732.855 -7.22659 0.18045 59.9462 3.41561 -13 71 1 0 1
-42.0264 -12.7765 732.855 -8.55951 -1.39486 74.142 3.29928 -13 73 1 0 1
-2.15229 50.5116 732.855 -3.93773 4.3758 75.0471 1.33029 -13 75 1 0 1
59.9344 15.5779 732.855 3.3847 1.41923 79.7692 2.32342 -13 76 1 0 1
