#BLTrackFile NTuple/Z553
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-14.6716 42.2289 552.594 -5.67367 -8.00988 89.0865 3.29518 -13 1 1 0 1
-53.2348 -59.1577 552.594 -20.8732 10.2673 90.6264 1.90545 -13 2 1 0 1
-21.8601 40.5779 552.594 -8.76724 -6.05783 99.2343 4.57864 -13 3 1 0 1
11.6754 21.0417 552.594 4.82596 -3.24325 101.155 3.83791 -13 6 1 0 1
34.2961 -32.628 552.594 14.0863 4.41573 98.4818 2.42382 -13 7 1 0 1
-24.4716 -41.791 552.594 -9.97111 5.45192 100.235 3.72605 -13 8 1 0 1
29.7831 -76.4016 552.594 12.2941 11.3554 99.8822 2.78672 -13 9 1 0 1
-13.4483 22.8756 552.594 -5.39076 -3.92348 99.6376 3.27328 -13 12 1 0 1
-35.3539 -25.3201 552.594 -13.7097 3.8161 89.9078 2.19968 -13 13 1 0 1
7.93848 -33.4712 552.594 2.9676 5.14214 89.8283 3.38367 -13 14 1 0 1
75.1209 15.2427 552.594 30.7203 -1.80278 96.8619 2.08917 -13 15 1 0 1
-25.2245 25.9587 552.594 -10.0918 -4.13236 93.3116 2.77378 -13 16 1 0 1
-15.1542 13.2069 552.594 -6.36777 -1.80986 97.1702 2.54221 -13 19 1 0 1
-64.4399 35.922 552.594 -25.8873 -4.83402 96.7003 2.47675 -13 20 1 0 1
77.599 7.75746 552.594 31.1666 -0.743743 94.6002 3.54456 -13 22 1 0 1
33.1703 -38.6008 552.594 12.8017 6.3694 92.9906 3.35297 -13 23 1 0 1
-46.7596 -35.7117 552.594 -17.8889 6.00854 87.4359 2.57526 -13 25 1 0 1
9.40793 -8.79657 552.594 3.57306 1.03586 92.6527 1.94091 -13 26 1 0 1
27.1046 43.3624 552.594 11.0759 -6.26273 99.168 2.31642 -13 27 1 0 1
85.6353 -26.9668 552.594 33.8264 4.37178 91.5489 2.11002 -13 29 1 0 1
69.7081 61.5708 552.594 27.9754 -8.95499 95.2263 3.22177 -13 30 1 0 1
-56.4 29.9655 552.594 -22.5157 -3.75325 96.1177 2.15006 -13 31 1 0 1
-77.1521 21.7762 552.594 -31.204 -3.74383 93.8576 4.73889 -13 32 1 0 1
-55.1272 33.2126 552.594 -21.9481 -5.20469 93.1236 2.7928 -13 33 1 0 1
24.3054 -44.947 552.594 9.26196 7.79338 89.0416 2.84918 -13 34 1 0 1
64.0223 17.3091 552.594 25.625 -2.6831 94.881 3.25561 -13 35 1 0 1
37.2461 0.470793 552.594 14.2139 0.156458 89.4903 3.78624 -13 36 1 0 1
74.9426 -25.8687 552.594 30.5709 3.91484 96.5654 3.19986 -13 37 1 0 1
-16.6457 -43.2619 552.594 -6.57041 5.21382 102.199 2.73372 -13 38 1 0 1
-3.30492 85.842 552.594 -1.51785 -14.303 94.2661 3.77767 -13 42 1 0 1
-72.6151 -35.5087 552.594 -27.5413 7.15314 84.4927 3.32542 -13 43 1 0 1
74.6506 -53.6895 552.594 30.0829 8.73805 93.865 2.65553 -13 44 1 0 1
17.9433 31.1229 552.594 7.43555 -4.47397 99.5663 2.2937 -13 46 1 0 1
-34.5483 -8.0243 552.594 -13.433 1.922 90.1033 3.30787 -13 47 1 0 1
-22.6632 -56.0868 552.594 -8.90821 8.14585 98.4513 2.72274 -13 49 1 0 1
-58.8027 -73.7493 552.594 -23.4838 11.5868 92.7008 2.34317 -13 51 1 0 1
-27.7503 5.66216 552.594 -11.2199 -0.702239 99.0716 4.47826 -13 52 1 0 1
-58.0557 10.0527 552.594 -23.0187 -1.01809 92.1188 2.70371 -13 54 1 0 1
45.9346 7.34051 552.594 17.7644 -0.722405 91.203 2.33624 -13 55 1 0 1
-52.231 69.3662 552.594 -20.8182 -10.778 95.6987 3.55979 -13 57 1 0 1
79.6984 5.34395 552.594 31.9405 -0.706814 93.9228 3.76341 -13 59 1 0 1
47.7527 37.6176 552.594 19.2558 -5.37244 97.643 3.97863 -13 60 1 0 1
-0.723034 13.7821 552.594 -0.552258 -2.35298 95.8715 2.85351 -13 62 1 0 1
86.6177 47.9659 552.594 34.6899 -7.32708 92.6907 2.07366 -13 63 1 0 1
18.3077 52.2335 552.594 7.46259 -7.99395 99.6208 2.76891 -13 64 1 0 1
58.1436 -15.9929 552.594 23.7343 2.3714 97.0441 3.69661 -13 65 1 0 1
-4.04448 27.6243 552.594 -1.53895 -3.60084 100.399 1.33567 -13 66 1 0 1
32.9776 15.0606 552.594 12.9012 -2.80659 94.1812 2.60608 -13 68 1 0 1
-9.41081 8.5615 552.594 -3.67926 -1.09193 91.9439 3.63092 -13 69 1 0 1
1.17678 19.8023 552.594 0.502135 -2.81008 100.242 2.52023 -13 70 1 0 1
-80.535 4.96805 552.594 -31.6522 -0.324136 90.041 2.5049 -13 71 1 0 1
-8.18396 6.5054 552.594 -3.15053 -0.989001 98.2805 3.4311 -13 73 1 0 1
69.8604 47.6291 552.594 28.5157 -6.87142 96.5705 1.70083 -13 74 1 0 1
20.0277 24.5023 552.594 8.33632 -3.08215 100.103 3.16305 -13 75 1 0 1
-6.87977 12.5402 552.594 -2.54388 -1.55808 99.7944 3.07435 -13 76 1 0 1
-12.7467 24.8316 552.594 -5.13268 -3.70578 99.1381 2.35183 -13 77 1 0 1
42.0925 30.6726 552.594 17.0703 -4.02014 96.9127 3.76119 -13 78 1 0 1
88.7653 0.650473 552.594 35.6667 -0.725306 93.2995 1.45714 -13 79 1 0 1
-65.1467 16.3955 552.594 -24.9992 -2.77994 86.9736 3.20286 -13 80 1 0 1
5.33379 31.3726 552.594 2.02035 -5.26923 90.4807 3.75964 -13 81 1 0 1
-4.95324 -0.0456235 552.594 -2.15854 -0.604175 95.4873 4.26655 -13 82 1 0 1
-75.8477 -13.1605 552.594 -29.5607 1.72772 88.9854 1.375 -13 83 1 0 1
56.1417 19.3169 552.594 22.7392 -2.62978 97.9134 0.543774 -13 85 1 0 1
27.9151 -43.5 552.594 10.7835 6.44445 92.5849 3.86519 -13 86 1 0 1
-66.1809 4.95866 552.594 -25.9296 -0.758163 90.488 2.15875 -13 87 1 0 1
49.5437 -39.1444 552.594 20.2324 5.45616 96.5706 2.98547 -13 88 1 0 1
-13.2086 -2.14871 552.594 -5.07518 0.9578 88.3994 1.88979 -13 90 1 0 1
-41.5512 17.0012 552.594 -16.1164 -3.0953 89.9567 2.00981 -13 91 1 0 1
-32.1756 -38.89 552.594 -12.5865 6.1487 92.181 2.39493 -13 92 1 0 1
-33.116 -5.40035 552.594 -13.3811 0.62677 99.2101 1.73295 -13 94 1 0 1
-62.9346 -2.22398 552.594 -24.064 0.290552 86.844 3.23661 -13 95 1 0 1
59.6215 -21.5749 552.594 22.5893 4.35698 86.2069 4.74914 -13 96 1 0 1
