#BLTrackFile NTuple/Z945
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-143.544 -14.7104 944.594 -20.8786 10.2761 90.6241 3.94176 -13 2 1 0 1
-7.72513 8.41712 944.594 -20.5268 -3.24555 99.1677 5.7374 -13 6 1 0 1
-22.2899 -10.8553 944.594 -22.3909 5.14574 87.0433 5.41877 -13 14 1 0 1
199.482 7.9362 944.594 30.729 -1.80555 96.8591 4.06829 -13 15 1 0 1
-169.412 16.3028 944.594 -25.895 -4.8401 96.698 4.44599 -13 20 1 0 1
206.784 4.67 944.594 31.1754 -0.745152 94.5973 5.55167 -13 22 1 0 1
-126.985 -8.7525 944.594 -17.8944 6.01353 87.4344 4.64557 -13 25 1 0 1
-17.2434 -4.38373 944.594 -21.7909 1.03683 90.1246 3.93679 -13 26 1 0 1
32.2734 18.6447 944.594 -14.2858 -6.26786 98.7563 4.23001 -13 27 1 0 1
184.893 24.6749 944.594 27.9807 -8.96305 95.224 5.21613 -13 30 1 0 1
-148.254 14.6406 944.594 -22.5225 -3.7579 96.1159 4.11787 -13 31 1 0 1
-207.513 6.12449 944.594 -31.2123 -3.74764 93.8546 6.75592 -13 32 1 0 1
-147.544 11.2835 944.594 -21.9547 -5.20976 93.1218 4.7956 -13 33 1 0 1
22.0131 -10.6373 944.594 -16.0904 7.79853 88.0636 4.88477 -13 34 1 0 1
169.924 6.21247 944.594 25.6329 -2.68601 94.8787 5.24464 -13 35 1 0 1
199.078 -9.95893 944.594 30.5792 3.9194 96.5626 5.18254 -13 37 1 0 1
-200.43 -2.29423 944.594 -27.549 7.15927 84.4896 5.46495 -13 43 1 0 1
200.308 -17.1684 944.594 30.0884 8.74509 93.8626 4.67214 -13 44 1 0 1
8.64587 13.4726 944.594 -17.9225 -4.47746 98.2216 4.20621 -13 46 1 0 1
-158.13 -24.709 944.594 -23.4888 11.5975 92.6983 4.35997 -13 51 1 0 1
-156.039 5.7139 944.594 -23.026 -1.01971 92.117 4.72017 -13 54 1 0 1
122.311 4.23138 944.594 17.7701 -0.72344 91.2019 4.35353 -13 55 1 0 1
-137.527 25.1779 944.594 -20.8233 -10.7882 95.6964 5.53379 -13 57 1 0 1
125.079 16.0292 944.594 19.2614 -5.37774 97.6416 5.92375 -13 60 1 0 1
-43.759 4.05716 944.594 -25.9084 -2.35445 92.306 4.81955 -13 62 1 0 1
9.12259 20.7161 944.594 -17.8951 -7.9998 98.2836 4.68281 -13 64 1 0 1
154.045 -6.4043 944.594 23.7415 2.37392 97.0422 5.65619 -13 65 1 0 1
-49.0331 13.4091 944.594 -26.9041 -3.60383 96.7388 3.25418 -13 66 1 0 1
-35.6767 8.71495 944.594 -24.8553 -2.81221 97.1129 4.43606 -13 70 1 0 1
185.642 19.7058 944.594 28.523 -6.87932 96.5678 3.6793 -13 74 1 0 1
14.3468 12.4176 944.594 -17.0192 -3.08495 98.9972 5.06856 -13 75 1 0 1
111.159 14.396 944.594 17.0754 -4.02426 96.9116 5.71005 -13 78 1 0 1
-177.858 3.85388 944.594 -25.0073 -2.78276 86.9712 5.2948 -13 80 1 0 1
-28.883 8.34155 944.594 -23.3389 -5.27258 87.442 5.78822 -13 81 1 0 1
-206.109 -5.53939 944.594 -29.5694 1.73011 88.9825 3.45101 -13 83 1 0 1
147.206 8.7773 944.594 22.7461 -2.63276 97.9117 2.49165 -13 85 1 0 1
32.2057 -16.2572 944.594 -14.573 6.44961 92.0641 5.85255 -13 86 1 0 1
-178.546 1.6707 944.594 -25.9379 -0.759026 90.4856 4.20363 -13 87 1 0 1
131.694 -16.9751 944.594 20.2382 5.46182 96.5691 4.94431 -13 88 1 0 1
-111.802 3.50373 944.594 -16.1216 -3.09754 89.9557 4.04093 -13 91 1 0 1
-171.591 -0.910863 944.594 -24.0719 0.29093 86.8418 5.32755 -13 95 1 0 1
162.372 -1.74794 944.594 22.5966 4.36041 86.2048 6.84677 -13 96 1 0 1
21.7218 -9.52377 944.594 -15.9538 2.12952 98.4369 6.99809 -13 98 1 0 1
173.02 -9.2266 944.594 26.3311 1.11803 95.6653 6.24364 -13 99 1 0 1
-110.902 9.73872 944.594 -17.1774 -2.22561 98.5292 5.62341 -13 100 1 0 1
-153.33 2.46708 944.594 -21.8729 -1.51919 88.6527 4.92043 -13 103 1 0 1
-21.6269 2.8196 944.594 -22.5215 -1.44815 95.3054 4.08131 -13 106 1 0 1
120.098 -18.4059 944.594 18.7233 6.5522 99.0812 4.7125 -13 107 1 0 1
-41.5348 12.1058 944.594 -25.2078 -5.01216 87.6886 5.47167 -13 110 1 0 1
130.993 -1.01911 944.594 18.0481 1.55373 85.2797 4.86793 -13 112 1 0 1
194.106 -24.9005 944.594 29.6699 7.96311 96.0276 6.3988 -13 115 1 0 1
-136.43 7.9513 944.594 -20.972 -1.91055 96.6426 6.57246 -13 116 1 0 1
-156.809 0.0375509 944.594 -23.9808 -0.50628 96.6935 4.79253 -13 117 1 0 1
-171.046 -21.6714 944.594 -26.1277 7.49375 96.4894 3.97379 -13 120 1 0 1
-124.934 18.6948 944.594 -18.4655 -7.35291 92.4217 3.3897 -13 121 1 0 1
204.869 -19.0045 944.594 31.1301 7.58418 95.2394 3.0448 -13 126 1 0 1
-27.2461 -12.1725 944.594 -23.471 5.20904 93.5307 5.15234 -13 129 1 0 1
13.6598 0.887164 944.594 -17.1137 -1.50095 98.5752 6.45138 -13 131 1 0 1
147.37 -0.694895 944.594 20.6945 0.623199 87.238 5.58372 -13 133 1 0 1
200.334 -1.09563 944.594 28.7429 0.191961 89.2327 3.77358 -13 134 1 0 1
163.516 -5.7416 944.594 25.5462 -0.151897 98.2798 2.62244 -13 135 1 0 1
128.477 -6.54991 944.594 19.4006 1.9748 95.8844 3.48413 -13 137 1 0 1
-148.175 8.30835 944.594 -21.9322 -3.2056 92.9046 4.01132 -13 143 1 0 1
-2.86104 9.13561 944.594 -19.7922 -3.05887 99.4968 3.36056 -13 145 1 0 1
183.063 1.74156 944.594 25.7177 0.318899 87.0818 6.03568 -13 153 1 0 1
-42.1772 22.9503 944.594 -25.9285 -6.04529 97.8219 5.08188 -13 160 1 0 1
148.029 -2.06425 944.594 23.0905 0.520318 98.4196 3.89809 -13 162 1 0 1
-33.7503 -4.53459 944.594 -24.0492 4.27034 87.6647 4.83824 -13 163 1 0 1
-7.59711 1.83958 944.594 -20.5346 -0.568472 94.3482 5.15807 -13 164 1 0 1
-118.201 18.8427 944.594 -18.1102 -6.98073 97.1878 4.2169 -13 165 1 0 1
-127.338 -4.64943 944.594 -19.4106 0.869252 96.6073 3.81465 -13 166 1 0 1
1.22625 -6.56864 944.594 -19.0517 2.70343 89.1274 5.094 -13 167 1 0 1
-106.917 15.8468 944.594 -16.6439 -4.23517 99.3838 3.81893 -13 172 1 0 1
-159.037 -7.00421 944.594 -23.799 1.44316 94.1055 4.34949 -13 177 1 0 1
-158.242 5.32253 944.594 -23.1788 -3.43105 91.6768 6.06017 -13 179 1 0 1
-45.1884 8.32675 944.594 -26.1897 -4.57278 93.1798 6.06726 -13 181 1 0 1
-144.269 15.2182 944.594 -22.2122 -5.28926 97.6194 4.21876 -13 183 1 0 1
-105.41 5.92456 944.594 -15.3879 -4.53402 91.1776 5.20029 -13 184 1 0 1
172.892 -4.47656 944.594 26.4698 2.53208 96.6003 3.25755 -13 187 1 0 1
160.379 -20.3071 944.594 24.3463 9.35973 94.431 4.32041 -13 192 1 0 1
-12.3584 -3.69988 944.594 -20.9931 4.91526 88.2319 5.70147 -13 193 1 0 1
3.24435 -19.3575 944.594 -18.9835 5.36077 99.3414 4.35063 -13 194 1 0 1
-19.4638 -6.90176 944.594 -22.2645 0.826701 97.7452 3.94009 -13 195 1 0 1
138.556 -4.67648 944.594 20.5705 1.96386 93.7718 4.84179 -13 197 1 0 1
21.4645 17.1904 944.594 -15.9227 -5.82956 98.0142 5.29669 -13 198 1 0 1
-26.4915 4.03285 944.594 -23.4691 -0.800905 97.9362 5.44298 -13 199 1 0 1
-6.631 -2.1636 944.594 -20.323 0.283146 97.8417 4.29547 -13 200 1 0 1
116.858 5.43927 944.594 17.8515 -1.53147 96.3145 5.13557 -13 201 1 0 1
-172.597 13.3578 944.594 -26.4057 -4.65199 96.6981 4.99971 -13 204 1 0 1
-194.891 -14.5216 944.594 -29.4265 4.59949 94.983 3.18367 -13 205 1 0 1
119.221 -5.79814 944.594 18.5816 1.31028 98.6389 4.40076 -13 206 1 0 1
-161.379 10.7783 944.594 -24.5145 -4.06488 96.0454 3.90301 -13 210 1 0 1
-40.5978 14.5082 944.594 -25.5597 -4.53799 97.2802 3.20411 -13 214 1 0 1
-137.548 -5.52621 944.594 -19.9807 0.728 90.6211 5.98403 -13 216 1 0 1
171.735 -1.20834 944.594 25.4268 0.806967 92.8515 3.95035 -13 217 1 0 1
18.0093 -2.96759 944.594 -16.5144 2.46287 98.2691 4.92206 -13 219 1 0 1
-11.9463 -13.456 944.594 -20.959 7.11009 88.6645 4.51585 -13 220 1 0 1
192.211 -5.3819 944.594 29.0866 2.08861 95.0887 5.6641 -13 223 1 0 1
-26.2947 5.27947 944.594 -23.2597 -2.41269 92.1479 4.12573 -13 224 1 0 1
179.754 1.27367 944.594 26.3924 -0.266223 92.1902 4.97727 -13 226 1 0 1
33.3208 -4.83417 944.594 -14.1108 1.36236 97.8648 4.27266 -13 227 1 0 1
139.097 -5.0993 944.594 21.5324 1.29458 98.0787 6.00579 -13 228 1 0 1
-22.2112 10.5991 944.594 -22.3266 -7.51094 86.3868 4.40668 -13 229 1 0 1
19.1613 -1.85198 944.594 -16.2859 1.10896 97.8894 5.62484 -13 230 1 0 1
-144.047 1.3795 944.594 -20.3 -1.45846 87.4421 5.38444 -13 231 1 0 1
118.226 -13.2273 944.594 17.4203 7.12791 92.5297 3.64642 -13 234 1 0 1
27.3305 0.487371 944.594 -15.0172 1.09949 100.415 4.61283 -13 236 1 0 1
22.4368 3.85015 944.594 -16.0343 -2.05563 87.3809 3.5937 -13 238 1 0 1
181.885 -7.24612 944.594 27.9399 0.229249 96.8721 5.38827 -13 241 1 0 1
178.295 3.60338 944.594 27.5263 -0.978725 97.2131 4.60297 -13 242 1 0 1
-16.8988 5.59592 944.594 -21.6336 -2.38789 87.5804 4.69289 -13 243 1 0 1
181.546 -2.7825 944.594 27.3902 0.364957 94.6434 5.85767 -13 245 1 0 1
-114.829 -23.5836 944.594 -17.5892 8.31268 97.094 3.77359 -13 249 1 0 1
9.29865 -9.07146 944.594 -17.9391 7.62458 91.0045 4.54366 -13 252 1 0 1
188.171 -3.37209 944.594 26.4692 -1.25452 87.2079 5.38386 -13 253 1 0 1
-110.96 1.02743 944.594 -17.0133 0.293766 98.2498 5.20388 -13 255 1 0 1
-162.366 0.839177 944.594 -23.7982 -0.51524 91.46 4.67996 -13 257 1 0 1
-177.857 -3.65628 944.594 -26.9596 1.90489 94.9796 3.9595 -13 260 1 0 1
37.2651 -11.0833 944.594 -13.4076 4.77113 99.3451 3.69391 -13 261 1 0 1
176.338 -4.52511 944.594 27.1424 2.37026 96.9132 4.81727 -13 262 1 0 1
190.163 -12.8178 944.594 29.0834 2.96698 96.109 4.34503 -13 263 1 0 1
8.48852 12.3878 944.594 -18.0078 -5.48208 97.8348 5.06637 -13 266 1 0 1
-116.012 0.666008 944.594 -16.7438 2.23802 89.9373 7.14968 -13 268 1 0 1
159.767 -7.31084 944.594 24.4705 0.964289 96.5236 4.51631 -13 270 1 0 1
8.83027 15.2471 944.594 -17.9162 -5.49161 98.1278 6.84195 -13 272 1 0 1
-46.4324 -9.71383 944.594 -26.4166 3.05385 97.0607 3.43476 -13 274 1 0 1
-30.6182 -25.8209 944.594 -24.0668 7.17847 97.2591 5.56061 -13 275 1 0 1
190.48 4.32517 944.594 28.8005 -2.36414 95.0629 3.81273 -13 277 1 0 1
-142.096 -6.6741 944.594 -20.6738 5.00124 90.7973 4.10886 -13 278 1 0 1
9.18683 5.04141 944.594 -17.8247 0.0485567 98.2576 4.92563 -13 281 1 0 1
-9.20071 -10.0932 944.594 -20.7019 2.62513 97.5758 5.28907 -13 283 1 0 1
-187.868 16.7792 944.594 -27.6752 -8.94461 92.1348 4.83546 -13 288 1 0 1
-131.31 -0.0439182 944.594 -20.5973 1.01648 98.3243 5.81282 -13 291 1 0 1
