#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
1.54219 1.04498 25 8.49745 -0.855538 86.2508 0.328544 -13 1 1 0 1 0 0 0 0 0 0 0.0959597 25.1118 0 0 0 -0.785878 1.00162 0 0.201111 39.2193
-0.355134 0.986129 25 -3.10644 -7.85044 89.7057 0.391694 -13 2 1 0 1 0 0 0 0 0 0 0.0931073 25.0848 0 0 0 0.447901 2.83951 0 0.266476 40.0885
1.9587 2.28172 25 1.7619 9.35149 90.8491 1.05834 -13 3 1 0 1 0 0 0 0 0 0 0.0932292 25.11 0 0 0 1.44426 0.0108914 0 0.932994 39.1705
1.26039 1.89341 25 10.8361 8.49385 84.8895 0.227764 -13 4 1 0 1 0 0 0 0 0 0 0.0965873 25.1629 0 0 0 -0.465255 0.207582 0 0.0997387 39.4222
-3.42195 0.291856 25 -3.0289 3.97802 74.6773 -1.20103 -13 5 1 0 1 0 0 0 0 0 0 0.10196 25.0505 0 0 0 -3.41754 0.808712 0 -1.33307 39.9285
4.02615 -2.62942 25 12.9562 -9.77828 97.6573 0.807603 -13 6 1 0 1 0 0 0 0 0 0 0.0887099 25.3224 0 0 0 0.949826 -0.0421064 0 0.685108 41.4839
1.94103 0.111466 25 9.25032 -1.39012 89.061 -0.857406 -13 7 1 0 1 0 0 0 0 0 0 0.0945832 25.207 0 0 0 -1.15763 0.770965 0 -0.983993 39.2756
-1.70666 -3.00518 25 6.45871 -9.89457 77.6501 0.411048 -13 8 1 0 1 0 0 0 0 0 0 0.100735 25.196 0 0 0 -1.96549 -0.313201 0 0.279708 39.4595
-2.77135 1.38658 25 -17.3968 7.52091 82.3444 0.0563788 -13 9 1 0 1 0 0 0 0 0 0 0.097685 25.5754 0 0 0 2.35402 -0.155985 0 -0.0734051 40.1075
-0.451445 0.0215429 25 1.56617 0.311562 81.4914 -1.02259 -13 10 1 0 1 0 0 0 0 0 0 0.0997124 25.0582 0 0 0 -1.77387 -0.576541 0 -1.1528 37.8448
1.12836 3.78766 25 -7.38005 17.4632 91.3943 -0.176674 -13 11 1 0 1 0 0 0 0 0 0 0.0934205 25.4617 0 0 0 2.90722 -0.68329 0 -0.302944 39.1737
3.0076 -3.27782 25 -6.82548 -22.1435 96.9074 0.684665 -13 12 1 0 1 0 0 0 0 0 0 0.0909214 25.7047 0 0 0 4.76843 2.43471 0 0.559692 39.5713
-3.19681 -5.86721 25 -8.3511 -15.7386 74.2161 -0.937191 -13 13 1 0 1 0 0 0 0 0 0 0.104213 25.6384 0 0 0 -2.28728 -0.475933 0 -1.07218 39.0402
2.73133 1.11332 25 7.08343 14.4915 91.851 0.737641 -13 14 1 0 1 0 0 0 0 0 0 0.0928865 25.3528 0 0 0 0.982188 -2.71293 0 0.612009 39.6155
2.16834 -0.569633 25 12.7915 10.093 87.6462 -0.641064 -13 15 1 0 1 0 0 0 0 0 0 0.0951743 25.321 0 0 0 -0.879351 -3.07937 0 -0.76835 39.4933
1.47024 -2.14531 25 15.6427 -4.552 81.4132 -1.06168 -13 16 1 0 1 0 0 0 0 0 0 0.0995693 25.4764 0 0 0 -3.15757 -0.580616 0 -1.19269 40.1507
0.979904 1.06121 25 6.82197 10.4337 85.0006 -2.13056 -13 17 1 0 1 0 0 0 0 0 0 0.0962184 25.1911 0 0 0 -1.29949 -0.65588 0 -2.25838 39.9361
-3.0188 0.67108 25 -25.0461 9.70967 86.0309 0.72049 -13 18 1 0 1 0 0 0 0 0 0 0.0954221 25.9559 0 0 0 3.61742 -1.27022 0 0.591594 41.0633
0.662789 0.796286 25 0.796605 -1.16226 89.0812 0.172767 -13 19 1 0 1 0 0 0 0 0 0 0.0944873 25.0245 0 0 0 1.31243 1.18488 0 0.0466586 38.6245
-0.441683 2.05538 25 4.91997 -5.18701 83.3388 -0.592514 -13 20 1 0 1 0 0 0 0 0 0 0.0970306 25.0512 0 0 0 -1.02174 3.30889 0 -0.720662 39.9639
-1.83988 0.755945 25 -6.34685 6.24178 86.4659 0.723523 -13 21 1 0 1 0 0 0 0 0 0 0.0939998 25.067 0 0 0 -0.63191 -0.285934 0 0.597645 40.9777
-0.658499 -2.33895 25 10.9125 -8.14177 78.1183 -0.762519 -13 22 1 0 1 0 0 0 0 0 0 0.0998405 25.1539 0 0 0 -2.74817 -1.3265 0 -0.893086 40.1245
-5.27341 -1.28543 25 -3.23423 -11.3277 62.9033 -0.147179 -13 23 1 0 1 0 0 0 0 0 0 0.109549 25.4317 0 0 0 -3.85177 3.02516 0 -0.286158 39.4289
-0.514571 -3.43092 25 -2.85763 -4.41784 86.5028 0.152486 -13 24 1 0 1 0 0 0 0 0 0 0.095203 25.0727 0 0 0 -0.197112 -1.69216 0 0.0257021 39.8444
-0.936743 0.0101355 25 4.9179 10.9363 80.3687 1.55468 -13 25 1 0 1 0 0 0 0 0 0 0.0990603 25.1717 0 0 0 -1.32621 -2.68721 0 1.4247 39.7581
1.06954 1.51995 25 -12.8055 3.83822 96.5159 0.505287 -13 26 1 0 1 0 0 0 0 0 0 0.0907186 25.3098 0 0 0 4.72987 0.135238 0 0.381361 39.3242
-2.27229 -0.297463 25 -17.5837 4.30631 85.8695 0.606905 -13 27 1 0 1 0 0 0 0 0 0 0.0961693 25.6037 0 0 0 3.07741 -0.175848 0 0.478236 39.6
3.68016 3.81097 25 24.069 23.0348 72.9062 0.933432 -13 28 1 0 1 0 0 0 0 0 0 0.10744 26.6887 0 0 0 -2.16233 -2.29525 0 0.793761 39.2461
-0.698078 3.57043 25 1.22237 7.60604 83.5244 1.77237 -13 29 1 0 1 0 0 0 0 0 0 0.096938 25.0737 0 0 0 -1.19308 1.80199 0 1.64425 39.9298
1.24306 2.73577 25 7.50961 1.10144 87.3333 0.330648 -13 30 1 0 1 0 0 0 0 0 0 0.0954131 25.1455 0 0 0 -1.39479 2.38919 0 0.203559 39.4694
0.720186 0.938267 25 -0.0261947 7.38856 93.4435 -0.0981046 -13 31 1 0 1 0 0 0 0 0 0 0.0906489 25.0794 0 0 0 0.645134 -1.04472 0 -0.221478 41.1076
2.33876 1.61378 25 8.88662 3.82385 91.2569 -0.0281833 -13 32 1 0 1 0 0 0 0 0 0 0.0928529 25.1203 0 0 0 0.29433 0.374257 0 -0.153276 39.5
1.30766 -2.60585 25 -12.8237 -3.28946 99.3107 -1.97172 -13 33 1 0 1 0 0 0 0 0 0 0.0881299 25.2258 0 0 0 4.56326 -1.74572 0 -2.09357 40.9364
-6.55486 2.45029 25 -8.12939 7.6093 57.0281 -0.282387 -13 34 1 0 1 0 0 0 0 0 0 0.113404 25.5303 0 0 0 -4.59436 -2.16088 0 -0.424758 40.0649
2.91226 2.86677 25 -5.73907 11.6176 99.3515 0.231804 -13 35 1 0 1 0 0 0 0 0 0 0.0886847 25.2117 0 0 0 4.3564 -0.0565819 0 0.109586 39.9518
1.8034 -2.29023 25 10.1671 2.90938 89.5131 0.321729 -13 36 1 0 1 0 0 0 0 0 0 0.093655 25.1321 0 0 0 -0.655549 -2.88623 0 0.196001 39.8621
-0.0919825 2.06496 25 5.04297 -12.0234 80.8202 0.72098 -13 37 1 0 1 0 0 0 0 0 0 0.099186 25.2051 0 0 0 -1.41559 4.88213 0 0.590849 39.1818
2.48599 1.21565 25 16.7322 12.2727 86.624 0.774077 -13 38 1 0 1 0 0 0 0 0 0 0.0955708 25.5076 0 0 0 -1.26131 -2.02228 0 0.646076 39.9128
2.55451 -2.44819 25 -17.5363 -10.664 98.2153 -0.801128 -13 39 1 0 1 0 0 0 0 0 0 0.0897107 25.54 0 0 0 7.01825 0.266255 0 -0.924845 40.0509
-2.54537 1.38286 25 7.81329 7.71757 70.2973 -0.497948 -13 40 1 0 1 0 0 0 0 0 0 0.106318 25.1899 0 0 0 -4.15491 -1.02944 0 -0.633735 39.5874
3.87248 -2.2401 25 5.97878 4.73534 97.3602 0.421695 -13 41 1 0 1 0 0 0 0 0 0 0.0900349 25.0848 0 0 0 2.34984 -3.61802 0 0.298782 38.9787
0.218388 1.85709 25 -6.17621 18.8906 88.9728 0.23988 -13 42 1 0 1 0 0 0 0 0 0 0.0948028 25.5315 0 0 0 1.43281 -3.14849 0 0.112418 39.3068
1.51482 0.307708 25 -12.5348 9.01731 97.1518 0.693003 -13 43 1 0 1 0 0 0 0 0 0 0.0900148 25.3112 0 0 0 4.74431 -1.97841 0 0.569588 39.7532
-0.60821 -1.59762 25 -1.27466 -6.54647 87.9921 0.68565 -13 44 1 0 1 0 0 0 0 0 0 0.0941569 25.07 0 0 0 -0.66753 0.14818 0 0.559669 40.0921
-0.586315 2.17478 25 2.07418 5.02125 84.8665 -0.497647 -13 45 1 0 1 0 0 0 0 0 0 0.0959066 25.0603 0 0 0 -1.78694 1.32308 0 -0.624954 40.4773
1.24727 1.35528 25 11.3636 3.86371 82.4334 0.301912 -13 46 1 0 1 0 0 0 0 0 0 0.0990991 25.3396 0 0 0 -2.47246 -0.343701 0 0.171571 39.4529
-1.12944 3.01412 25 3.6805 -1.33778 80.7599 -0.872073 -13 47 1 0 1 0 0 0 0 0 0 0.0987442 25.0162 0 0 0 -1.19955 3.03687 0 -1.00147 39.4988
-4.00623 -0.887356 25 -9.67838 -2.02016 75.8334 -0.0195391 -13 48 1 0 1 0 0 0 0 0 0 0.10136 25.1024 0 0 0 -2.56858 -0.350015 0 -0.151185 39.3286
0.70198 -0.116736 25 -1.12765 9.37034 89.3673 -0.488337 -13 49 1 0 1 0 0 0 0 0 0 0.0939811 25.1157 0 0 0 0.99429 -2.48209 0 -0.61427 39.2604
1.02191 1.18338 25 -16.5333 4.54892 96.863 0.571159 -13 50 1 0 1 0 0 0 0 0 0 0.0906321 25.3811 0 0 0 5.23644 -0.0152015 0 0.447135 39.17
1.59061 -2.98216 25 15.5603 -11.1825 82.0818 0.657246 -13 51 1 0 1 0 0 0 0 0 0 0.0990564 25.4428 0 0 0 -2.00766 -0.123237 0 0.526731 38.9406
2.28335 1.37626 25 1.70387 3.52514 95.5569 -0.606096 -13 52 1 0 1 0 0 0 0 0 0 0.0901035 25.0155 0 0 0 1.70407 0.938277 0 -0.72891 40.0253
2.42517 -0.493334 25 7.72497 4.216 94.1635 0.72063 -13 53 1 0 1 0 0 0 0 0 0 0.0907517 25.073 0 0 0 0.771345 -1.14177 0 0.597205 40.2604
0.49403 -0.41805 25 -1.87032 0.793214 91.4078 -0.338958 -13 54 1 0 1 0 0 0 0 0 0 0.0920106 25.0051 0 0 0 0.746191 -0.6416 0 -0.463177 40.4137
2.22072 -2.0739 25 14.0485 -1.25084 84.692 1.21569 -13 55 1 0 1 0 0 0 0 0 0 0.0978429 25.3807 0 0 0 -2.08423 -2.33218 0 1.08624 38.8799
-1.6969 -0.93674 25 -3.26622 -10.6924 82.4973 -0.204339 -13 56 1 0 1 0 0 0 0 0 0 0.0969137 25.1124 0 0 0 -1.06112 1.13736 0 -0.33254 40.3053
1.27976 -5.82126 25 18.9609 -12.1413 74.7719 -0.110511 -13 57 1 0 1 0 0 0 0 0 0 0.10546 25.9896 0 0 0 -4.21892 -1.43687 0 -0.247201 40.0553
1.87586 -0.283587 25 3.77527 9.11319 93.3247 -0.0661416 -13 58 1 0 1 0 0 0 0 0 0 0.0915716 25.1061 0 0 0 0.935484 -2.32236 0 -0.190245 39.7183
0.343134 -3.47897 25 0.794942 -10.4796 86.0693 0.80867 -13 59 1 0 1 0 0 0 0 0 0 0.0963305 25.1537 0 0 0 -0.282765 -0.822514 0 0.680872 38.6582
1.57207 -1.77359 25 5.8186 -12.4174 92.462 0.13233 -13 60 1 0 1 0 0 0 0 0 0 0.0913622 25.1893 0 0 0 0.549996 1.04585 0 0.00818422 40.8019
