#BLTrackFile NTuple/Z600
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
145.496 188.626 600 7.40365 9.61334 83.747 8.58687 -13 9 1 0 1
108.045 -177.532 600 8.98209 -27.448 80.363 9.57759 -13 26 1 0 1
-152.137 155.751 600 -8.80782 8.84184 94.6266 7.89623 -13 27 1 0 1
105.068 -165.867 600 5.8797 -9.38116 94.1539 8.35786 -13 35 1 0 1
-81.1642 182.077 600 -4.01744 9.25983 83.0091 7.60108 -13 44 1 0 1
-116.159 -173.791 600 -5.8894 -8.87355 83.9977 8.95073 -13 49 1 0 1
-200.594 -198.271 600 -10.2289 -10.122 84.0921 9.91915 -13 51 1 0 1
-100.201 178.824 600 -5.19255 9.24321 86.3933 8.65239 -13 53 1 0 1
-44.0064 184.656 600 -2.42881 10.1076 90.1211 9.49907 -13 68 1 0 1
-58.562 187.913 600 -3.37564 10.5218 92.901 7.34783 -13 80 1 0 1
74.5711 181.659 600 3.9314 9.58845 87.7169 8.1906 -13 84 1 0 1
89.7634 -169.026 600 4.41792 -8.05207 78.9477 9.40399 -13 85 1 0 1
-197.193 37.6196 600 -8.93339 1.74513 75.5943 9.5444 -13 102 1 0 1
192.994 13.4226 600 9.80176 0.608521 83.5331 10.0625 -13 109 1 0 1
84.3858 180.981 600 4.37526 9.33378 85.445 9.16929 -13 125 1 0 1
-44.2349 -183.21 600 -2.32847 -9.36418 86.444 8.47352 -13 127 1 0 1
-192.857 -48.493 600 -11.6169 -2.74718 97.737 8.17157 -13 133 1 0 1
123.097 -175.605 600 10.9906 -29.7772 85.8387 8.9328 -13 150 1 0 1
-177.333 -159.463 600 -7.98512 -7.2747 75.1264 10.0168 -13 163 1 0 1
-151.071 -168.251 600 -7.16847 -8.08092 78.9809 8.65273 -13 164 1 0 1
127.46 140.365 600 6.71407 7.35156 87.0424 8.66341 -13 172 1 0 1
198.041 -177.16 600 20.4813 -27.4579 79.5145 9.63631 -13 182 1 0 1
3.62792 197.224 600 0.324562 9.11679 74.8203 9.17371 -13 190 1 0 1
149.318 165.476 600 8.40946 9.3895 93.9286 9.32815 -13 209 1 0 1
183.247 -58.9921 600 9.24098 -2.98803 82.898 8.32297 -13 213 1 0 1
-178.486 74.1852 600 -9.4501 3.90008 87.0355 7.88292 -13 223 1 0 1
-202.05 -26.4215 600 -10.3924 -1.31706 84.9617 10.2576 -13 228 1 0 1
-114.339 179.041 600 -6.61319 10.2293 94.0093 8.316 -13 233 1 0 1
165.473 96.184 600 9.07118 5.23188 91.6418 8.31926 -13 248 1 0 1
-186.874 69.4254 600 -10.3315 3.95204 91.0299 8.5281 -13 255 1 0 1
-195.841 -132.894 600 -10.9585 -7.38602 91.5425 8.10548 -13 260 1 0 1
-156.315 162.033 600 -8.1754 8.64953 86.1079 8.64225 -13 261 1 0 1
164.58 -177.727 600 9.33878 -10.0957 95.253 7.56063 -13 270 1 0 1
22.1135 167.714 600 -0.810297 29.632 87.8491 8.71054 -13 278 1 0 1
-140.122 -130.549 600 -6.0888 -5.89121 73.325 10.502 -13 282 1 0 1
-200.14 -183.701 600 -20.8022 -27.8156 78.0139 9.11312 -13 290 1 0 1
-142.086 -150.861 600 -6.4584 -6.96602 76.3106 9.70358 -13 301 1 0 1
82.0665 183.881 600 4.44212 10.2315 90.2728 7.43349 -13 304 1 0 1
-115.338 155.503 600 -6.88032 9.04906 96.1952 8.77776 -13 305 1 0 1
38.3327 197.145 600 2.04999 10.6926 88.7637 8.35657 -13 318 1 0 1
112.849 189.26 600 9.88124 29.1324 79.6294 8.41938 -13 321 1 0 1
-153.684 -149.883 600 -8.91049 -8.52262 94.6663 9.58868 -13 324 1 0 1
29.2801 197.734 600 1.52897 9.51288 80.0675 10.3857 -13 328 1 0 1
-155.306 161.332 600 -8.08637 8.48998 85.8061 8.19977 -13 332 1 0 1
164.746 121.124 600 7.09941 5.29117 70.0427 9.26486 -13 354 1 0 1
199.061 77.7768 600 9.66567 3.7092 79.2707 8.25383 -13 363 1 0 1
-171.969 193.327 600 -8.93916 10.0349 85.9111 9.41299 -13 367 1 0 1
-146.614 -188.763 600 -7.77128 -9.84536 87.2888 8.20113 -13 368 1 0 1
3.1381 195.972 600 0.13501 10.6774 89.9851 7.88511 -13 394 1 0 1
126.042 187.26 600 6.31105 9.37887 82.4161 7.90574 -13 399 1 0 1
-157.162 146.066 600 -9.92572 9.03308 100.716 8.45597 -13 400 1 0 1
191.323 10.2511 600 9.70654 0.474206 83.597 9.29874 -13 401 1 0 1
-193.199 -163.591 600 -22.4906 -29.4502 88.5516 9.1169 -13 407 1 0 1
-145.79 162.496 600 -20.3593 29.524 87.7528 9.10829 -13 410 1 0 1
-170.369 86.1902 600 -9.55084 4.80202 91.7745 9.07079 -13 411 1 0 1
115.128 -199.215 600 5.40171 -9.19557 76.333 9.95228 -13 412 1 0 1
