#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
1.28824 -2.43305 25 -16.5913 -9.11121 98.4883 0.518997 -13 1 1 0 1 0 0 0 0 0 0 0.089462 25.4575 0 0 0 5.49972 -0.120282 0 0.395651 40.0191
-1.61206 0.109918 25 -5.73833 4.4232 85.8542 -0.900804 -13 2 1 0 1 0 0 0 0 0 0 0.0962245 25.1553 0 0 0 0.561944 -1.53982 0 -1.02853 38.9024
-1.13518 -1.33923 25 0.137028 3.74294 82.2755 0.322013 -13 3 1 0 1 0 0 0 0 0 0 0.0978294 25.0218 0 0 0 -1.57691 -1.69407 0 0.193306 40.0532
1.29026 0.160077 25 15.2675 2.93534 82.822 -0.64964 -13 4 1 0 1 0 0 0 0 0 0 0.0980065 25.2912 0 0 0 -2.33925 -0.29031 0 -0.779039 39.8125
1.01583 1.51337 25 -6.94732 3.60505 94.2102 -0.221125 -13 5 1 0 1 0 0 0 0 0 0 0.0915883 25.0855 0 0 0 2.88912 0.653161 0 -0.345188 38.9542
1.60478 2.75809 25 9.80884 -2.63098 89.4555 0.54594 -13 6 1 0 1 0 0 0 0 0 0 0.0940285 25.1771 0 0 0 -1.30863 3.19317 0 0.419835 39.6173
0.911548 0.70425 25 0.899443 1.11905 91.2175 1.87043 -13 7 1 0 1 0 0 0 0 0 0 0.0924968 25.0188 0 0 0 0.731871 -0.0919914 0 1.74582 39.8506
3.49683 -0.937077 25 4.77237 5.75393 98.1337 0.488248 -13 8 1 0 1 0 0 0 0 0 0 0.0892413 25.0649 0 0 0 2.14744 -2.07695 0 0.36596 39.5507
-1.72697 0.340222 25 -1.67145 10.9053 74.5645 -0.648534 -13 9 1 0 1 0 0 0 0 0 0 0.103364 25.1618 0 0 0 -1.48456 -2.36627 0 -0.781881 38.6013
-0.102141 -1.98571 25 -7.42123 -8.24554 91.8823 -0.384048 -13 10 1 0 1 0 0 0 0 0 0 0.0922897 25.141 0 0 0 1.48584 0.0790116 0 -0.508767 39.7464
-0.100059 0.948214 25 -9.4776 3.49914 90.6451 -0.112669 -13 11 1 0 1 0 0 0 0 0 0 0.0932375 25.211 0 0 0 3.03534 0.510826 0 -0.238257 39.7623
-1.62148 0.363769 25 1.87029 1.77766 80.5541 -1.15847 -13 12 1 0 1 0 0 0 0 0 0 0.0983489 25.0155 0 0 0 -1.68169 -0.153479 0 -1.28758 39.7286
-1.28449 1.72143 25 -1.2213 6.55697 82.0837 0.757477 -13 13 1 0 1 0 0 0 0 0 0 0.0985322 25.0699 0 0 0 -0.261867 0.573623 0 0.628151 38.6269
-0.237205 -3.13632 25 -14.7578 -8.04796 92.5836 0.931663 -13 14 1 0 1 0 0 0 0 0 0 0.0929781 25.4067 0 0 0 3.78702 -1.07072 0 0.805849 38.898
2.78368 4.07312 25 9.5353 4.9433 93.4831 0.456615 -13 15 1 0 1 0 0 0 0 0 0 0.091636 25.0969 0 0 0 1.02048 3.02439 0 0.332487 39.3244
-3.04207 0.231564 25 -4.68511 -0.027874 79.3719 0.0734386 -13 16 1 0 1 0 0 0 0 0 0 0.098913 25.0391 0 0 0 -1.75579 0.0746082 0 -0.0561691 40.3643
1.93211 -1.42603 25 1.94549 0.440707 95.9498 0.318284 -13 17 1 0 1 0 0 0 0 0 0 0.0892698 25.0083 0 0 0 1.33147 -1.36122 0 0.196092 41.1145
2.06547 1.51098 25 16.2685 -1.70355 84.6476 -0.101968 -13 18 1 0 1 0 0 0 0 0 0 0.0970678 25.331 0 0 0 -1.89267 1.67278 0 -0.230724 39.541
1.55774 -1.30729 25 4.76082 -8.8344 90.51 0.11988 -13 19 1 0 1 0 0 0 0 0 0 0.092732 25.1049 0 0 0 1.06766 -0.852296 0 -0.00509908 40.1412
0.026008 -0.0904655 25 1.61528 -9.60321 89.7469 0.299295 -13 20 1 0 1 0 0 0 0 0 0 0.0926008 25.106 0 0 0 0.131478 2.08295 0 0.174399 41.0209
0.999481 1.43702 25 -8.73332 -8.87194 96.8883 -0.326038 -13 21 1 0 1 0 0 0 0 0 0 0.0896345 25.2223 0 0 0 3.30692 3.84963 0 -0.448975 40.3445
-1.15214 3.26575 25 -8.61934 10.4454 85.6694 0.4044 -13 22 1 0 1 0 0 0 0 0 0 0.0962877 25.2887 0 0 0 0.663085 -0.00866341 0 0.276332 39.1905
2.13464 1.27108 25 6.91877 4.00694 90.7558 1.68313 -13 23 1 0 1 0 0 0 0 0 0 0.0936822 25.0854 0 0 0 0.272249 0.595676 0 1.5575 38.6004
1.0464 0.371311 25 0.374667 -5.77259 90.9099 -0.328543 -13 24 1 0 1 0 0 0 0 0 0 0.0929666 25.0765 0 0 0 1.25076 2.27481 0 -0.453628 39.5348
1.29671 -0.901122 25 6.86423 -0.647827 88.1883 0.151167 -13 25 1 0 1 0 0 0 0 0 0 0.0951626 25.1615 0 0 0 -1.37334 -0.27795 0 0.0242395 39.2543
2.07465 -0.822212 25 -7.86198 17.5865 98.3471 0.16992 -13 26 1 0 1 0 0 0 0 0 0 0.0895472 25.5185 0 0 0 4.06792 -5.52965 0 0.0463716 40.2806
1.34829 -2.29248 25 6.88671 -12.2387 85.7315 -0.701118 -13 27 1 0 1 0 0 0 0 0 0 0.097132 25.3193 0 0 0 -1.36891 0.414453 0 -0.829879 38.3954
-3.64508 -2.56112 25 -26.1431 -15.2426 81.25 -0.201761 -13 28 1 0 1 0 0 0 0 0 0 0.0980145 25.9511 0 0 0 0.94251 0.759379 0 -0.332596 39.957
3.19336 -1.41298 25 1.78587 3.16507 100.543 1.01807 -13 29 1 0 1 0 0 0 0 0 0 0.0872362 25.013 0 0 0 3.17579 -2.07277 0 0.897358 40.8795
-2.69237 -2.23547 25 1.27706 2.71838 75.5958 0.405285 -13 30 1 0 1 0 0 0 0 0 0 0.101743 25.077 0 0 0 -4.17776 -3.01342 0 0.273365 40.4724
0.546559 1.30771 25 1.70822 -4.21912 91.714 0.643701 -13 31 1 0 1 0 0 0 0 0 0 0.0919538 25.0418 0 0 0 0.165958 2.67648 0 0.519444 40.3931
0.657074 -3.21327 25 7.25234 3.54912 86.3476 0.407762 -13 32 1 0 1 0 0 0 0 0 0 0.0958837 25.1756 0 0 0 -1.98503 -2.85784 0 0.280242 39.7423
-1.9063 -1.29524 25 -5.27045 4.80374 87.5597 0.231116 -13 33 1 0 1 0 0 0 0 0 0 0.0938269 25.1124 0 0 0 0.193246 -1.82495 0 0.105279 40.6674
-0.0760326 -2.83064 25 9.33987 11.2313 80.6684 -0.955163 -13 34 1 0 1 0 0 0 0 0 0 0.0993586 25.3099 0 0 0 -2.91323 -5.38653 0 -1.08566 40.2713
-0.411166 0.946223 25 -8.82448 5.17241 92.4014 0.245848 -13 35 1 0 1 0 0 0 0 0 0 0.0915092 25.1688 0 0 0 2.29002 0.154749 0 0.121637 40.8919
-1.00107 2.37524 25 -8.1773 3.93507 89.2077 2.03745 -13 36 1 0 1 0 0 0 0 0 0 0.0937428 25.1301 0 0 0 1.37125 1.46969 0 1.91165 39.6796
3.25746 -0.903543 25 12.8788 3.94876 91.5849 0.127328 -13 37 1 0 1 0 0 0 0 0 0 0.0930998 25.3138 0 0 0 -0.617114 -1.61339 0 0.00162113 39.7088
3.65119 -3.18655 25 3.61148 -6.20845 98.1322 -0.89078 -13 38 1 0 1 0 0 0 0 0 0 0.0895849 25.0547 0 0 0 2.77758 -1.79608 0 -1.01329 38.9671
-0.0449844 3.86699 25 -12.6277 8.30432 93.6787 0.362402 -13 39 1 0 1 0 0 0 0 0 0 0.0917505 25.3473 0 0 0 3.63924 1.94274 0 0.237626 39.8204
-0.882164 -1.52919 25 3.06361 -9.46487 81.707 -0.5824 -13 40 1 0 1 0 0 0 0 0 0 0.098432 25.109 0 0 0 -1.61382 0.0530086 0 -0.711746 39.3757
-0.401714 0.588312 25 -7.68362 -2.57789 90.0723 0.898261 -13 41 1 0 1 0 0 0 0 0 0 0.0928149 25.0648 0 0 0 1.25283 0.842586 0 0.773305 40.1943
3.25758 2.18836 25 18.1161 8.80384 88.605 -0.470228 -13 42 1 0 1 0 0 0 0 0 0 0.0944502 25.3473 0 0 0 0.1884 0.621583 0 -0.59702 39.35
3.56726 -0.0998026 25 6.92573 5.12442 94.5062 -0.733582 -13 43 1 0 1 0 0 0 0 0 0 0.0914874 25.0974 0 0 0 1.66064 -1.17725 0 -0.857597 38.9671
1.49238 -1.98136 25 -7.25562 -16.0045 94.094 0.604735 -13 44 1 0 1 0 0 0 0 0 0 0.0922132 25.3717 0 0 0 3.2598 1.95131 0 0.479569 38.6816
1.09099 1.26533 25 11.759 0.765593 84.0667 0.171851 -13 45 1 0 1 0 0 0 0 0 0 0.0973987 25.2661 0 0 0 -2.4177 1.77211 0 0.0429696 39.9848
2.37457 0.705203 25 5.44609 2.15051 94.607 0.35531 -13 46 1 0 1 0 0 0 0 0 0 0.0905114 25.0336 0 0 0 1.27398 0.119456 0 0.232151 40.2253
-0.107707 -0.627929 25 -14.4318 -7.5082 94.7939 0.835785 -13 47 1 0 1 0 0 0 0 0 0 0.0905409 25.3791 0 0 0 3.58104 1.68979 0 0.711822 41.0489
-1.00835 0.440142 25 -12.921 -5.66537 88.5914 0.198093 -13 48 1 0 1 0 0 0 0 0 0 0.0945983 25.2248 0 0 0 1.77718 2.15018 0 0.071459 38.9239
-3.4098 0.364883 25 -8.40319 10.2532 76.9265 0.488389 -13 49 1 0 1 0 0 0 0 0 0 0.101872 25.6386 0 0 0 -0.702854 -4.52183 0 0.355205 39.903
-2.40682 0.520486 25 -10.6097 11.1142 83.6699 -1.17999 -13 50 1 0 1 0 0 0 0 0 0 0.0973931 25.4624 0 0 0 1.4588 -2.23889 0 -1.30929 39.3656
1.32192 -2.59446 25 8.23957 -6.8699 89.0049 0.232914 -13 51 1 0 1 0 0 0 0 0 0 0.0937553 25.192 0 0 0 -1.27319 -0.94728 0 0.106968 40.4698
-0.278824 -1.349 25 -6.81972 13.1916 92.4796 -0.155538 -13 52 1 0 1 0 0 0 0 0 0 0.0911919 25.3074 0 0 0 1.44683 -4.87327 0 -0.279831 41.5123
-1.35963 1.81879 25 8.60726 10.9034 81.3662 0.126695 -13 53 1 0 1 0 0 0 0 0 0 0.0979109 25.1859 0 0 0 -2.99525 -0.369624 0 -0.00242332 40.4285
-2.3934 1.00291 25 -2.66375 -5.33377 79.1805 -1.36231 -13 54 1 0 1 0 0 0 0 0 0 0.0995469 25.0385 0 0 0 -1.63587 1.66428 0 -1.4924 39.9741
3.92308 0.520209 25 22.0373 1.50342 88.3966 0.392382 -13 55 1 0 1 0 0 0 0 0 0 0.0952309 25.6888 0 0 0 -1.76047 -0.717334 0 0.264245 39.9735
-1.18879 -0.304791 25 12.1258 3.96078 68.7839 -0.229667 -13 56 1 0 1 0 0 0 0 0 0 0.109752 25.3753 0 0 0 -5.36157 -1.25558 0 -0.368556 39.2607
-3.13881 4.2313 25 -3.41293 8.8922 75.707 1.22543 -13 57 1 0 1 0 0 0 0 0 0 0.101562 25.094 0 0 0 -2.93517 2.58296 0 1.09363 40.1958
2.08206 2.87829 25 -8.63577 5.21551 99.4363 -0.299715 -13 58 1 0 1 0 0 0 0 0 0 0.0885791 25.1426 0 0 0 4.35752 1.48019 0 -0.421698 39.912
-1.56975 -1.12812 25 -1.6356 -2.33663 83.9292 0.314886 -13 59 1 0 1 0 0 0 0 0 0 0.0963996 25.019 0 0 0 -1.88524 -0.599609 0 0.187288 40.2265
-0.279196 1.83638 25 4.6464 -9.16014 87.3877 0.582789 -13 60 1 0 1 0 0 0 0 0 0 0.0944955 25.1857 0 0 0 -1.04038 4.68432 0 0.456293 40.4902
1.68488 -2.1454 25 -0.211768 -19.5181 92.9272 -0.745841 -13 61 1 0 1 0 0 0 0 0 0 0.0927204 25.532 0 0 0 2.1667 2.99461 0 -0.871746 39.4014
-1.28292 3.58063 25 -11.3268 13.5727 88.4947 0.0817311 -13 62 1 0 1 0 0 0 0 0 0 0.094238 25.3465 0 0 0 1.13166 0.272795 0 -0.0449074 39.7376
3.02406 -2.76737 25 9.16312 12.7096 92.3174 0.449791 -13 63 1 0 1 0 0 0 0 0 0 0.0926271 25.3136 0 0 0 0.71351 -5.98504 0 0.32444 39.5098
-5.64318 0.0182641 25 -5.65103 -4.4005 62.6056 -1.1484 -13 64 1 0 1 0 0 0 0 0 0 0.110533 25.0813 0 0 0 -5.8032 0.841146 0 -1.28744 39.7459
0.170285 1.19987 25 -10.8721 -10.3901 93.5006 0.54439 -13 65 1 0 1 0 0 0 0 0 0 0.0918529 25.3626 0 0 0 3.12899 4.26578 0 0.419502 39.894
0.66555 0.443081 25 -0.65964 5.99756 89.3128 -1.26608 -13 66 1 0 1 0 0 0 0 0 0 0.0947244 25.2015 0 0 0 -0.39901 -2.16015 0 -1.39276 38.9845
-2.74357 1.74155 25 -16.9999 -2.99896 86.5706 -0.16598 -13 67 1 0 1 0 0 0 0 0 0 0.0957644 25.5399 0 0 0 2.38711 2.62898 0 -0.2942 39.6547
0.880139 2.20092 25 -1.99251 10.9135 92.0003 0.0618568 -13 68 1 0 1 0 0 0 0 0 0 0.0925777 25.1737 0 0 0 1.85791 -0.542642 0 -0.0631464 39.4034
-0.87907 1.80434 25 -4.37628 12.816 89.693 0.194221 -13 69 1 0 1 0 0 0 0 0 0 0.0930761 25.3015 0 0 0 1.48229 -1.01038 0 0.0685404 40.7336
0.86209 -0.630677 25 -6.95659 -11.052 93.6775 -1.09426 -13 70 1 0 1 0 0 0 0 0 0 0.0921757 25.3374 0 0 0 2.62258 3.02715 0 -1.21932 39.3686
-2.31356 -2.54599 25 -24.4596 -2.94489 89.0694 -0.627484 -13 71 1 0 1 0 0 0 0 0 0 0.095168 25.946 0 0 0 4.57321 -2.5485 0 -0.75614 39.6832
-0.509345 -1.80884 25 4.7638 11.1026 83.9136 0.546275 -13 72 1 0 1 0 0 0 0 0 0 0.096958 25.2488 0 0 0 -1.95882 -4.96713 0 0.417763 40.1482
-0.399641 2.71748 25 -1.54926 3.5593 88.5406 -0.0986453 -13 73 1 0 1 0 0 0 0 0 0 0.0934339 25.0155 0 0 0 -0.272842 1.95775 0 -0.223964 40.2106
2.34176 -0.102641 25 -2.23245 -7.16431 96.5629 0.0604449 -13 74 1 0 1 0 0 0 0 0 0 0.0904718 25.0775 0 0 0 2.64717 1.82111 0 -0.0627731 38.8621
2.53391 0.241737 25 0.431418 9.30693 97.9213 -0.628376 -13 75 1 0 1 0 0 0 0 0 0 0.089088 25.137 0 0 0 2.33559 -2.35989 0 -0.750718 40.2519
-1.91354 2.09613 25 -4.5345 6.34882 80.7997 -1.31009 -13 76 1 0 1 0 0 0 0 0 0 0.0990383 25.1224 0 0 0 -1.62791 -0.0146311 0 -1.43994 39.3228
-1.23622 -0.876727 25 -4.4749 -15.6436 85.575 0.107045 -13 77 1 0 1 0 0 0 0 0 0 0.0960612 25.4034 0 0 0 0.226037 3.35447 0 -0.0211083 39.8899
