#BLTrackFile NTuple/Z502
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-50.5492 -71.5914 501.607 -4.05468 -6.01616 88.9547 13.996 -13 2 1 0 1
41.7724 24.5136 501.607 1.35984 2.15986 96.9979 13.8787 -13 3 1 0 1
-32.1114 -34.5743 501.607 -6.17655 -2.98602 91.5442 12.3187 -13 4 1 0 1
6.0989 -24.4958 501.607 -2.66981 -2.0821 91.2121 15.5414 -13 5 1 0 1
-0.0377165 -80.6562 501.607 -0.0903863 -6.49654 83.9105 13.1182 -13 7 1 0 1
-23.1068 -41.7545 501.607 -4.8087 -3.22891 78.7529 14.4381 -13 8 1 0 1
-43.6969 -8.62465 501.607 -7.04445 -0.741017 90.5098 14.0545 -13 9 1 0 1
-36.592 58.9619 501.607 -3.11639 4.99591 89.629 14.849 -13 10 1 0 1
17.703 -75.8464 501.607 1.20517 -6.17606 85.0111 14.5063 -13 11 1 0 1
-32.2122 -38.0123 501.607 -5.98194 -3.20277 88.6799 13.7687 -13 12 1 0 1
