#BLTrackFile NTuple/Z262
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
0.62995 4.89126 261.883 0.170851 -1.7456 92.2615 2.79287 -13 9 1 0 1
-16.7793 -56.1558 261.883 -4.3376 -17.137 81.4972 1.03892 -13 10 1 0 1
-31.3257 35.7591 261.883 -11.3611 12.3551 94.5778 -0.245528 -13 12 1 0 1
-33.1082 20.311 261.883 -8.27238 6.20369 75.159 0.997295 -13 13 1 0 1
-2.37992 -45.7812 261.883 -0.475744 -13.8804 84.7655 0.95711 -13 21 1 0 1
-3.80288 -41.9805 261.883 0.079239 -10.957 70.2124 2.39393 -13 23 1 0 1
2.7686 0.572185 261.883 2.39431 -1.00495 89.0779 0.676535 -13 25 1 0 1
65.4636 -125.87 261.883 17.1052 -31.8932 70.5761 1.37519 -13 28 1 0 1
41.9993 -28.6451 261.883 12.6336 -7.48213 78.2453 -0.149977 -13 29 1 0 1
15.6469 -52.5696 261.883 4.84531 -16.1804 87.309 2.33033 -13 31 1 0 1
42.751 16.1821 261.883 12.9659 4.54101 80.0391 0.479798 -13 34 1 0 1
1.87115 2.3372 261.883 1.07899 -0.95738 93.1997 2.0519 -13 35 1 0 1
24.811 44.0813 261.883 7.83523 13.5883 89.8658 1.50057 -13 37 1 0 1
5.11198 -53.309 261.883 2.05059 -15.5774 79.9807 1.92603 -13 38 1 0 1
-91.5293 0.408037 261.883 -26.8761 0.298643 80.6305 1.89825 -13 42 1 0 1
31.9639 32.2964 261.883 10.192 10.4006 90.6082 0.128652 -13 52 1 0 1
32.6805 -43.4078 261.883 10.2745 -13.2561 85.7412 0.375164 -13 53 1 0 1
31.2303 27.2694 261.883 9.96054 7.69097 87.241 1.05707 -13 54 1 0 1
-51.3183 2.15285 261.883 -14.2224 -0.372677 77.8509 1.35394 -13 56 1 0 1
-4.10443 -4.12007 261.883 -3.91063 1.21427 91.7456 2.10878 -13 59 1 0 1
34.6786 -44.0213 261.883 10.6695 -13.5155 80.0815 1.84153 -13 60 1 0 1
-23.5926 -39.1098 261.883 -7.88599 -12.442 88.6021 1.25842 -13 63 1 0 1
-42.2544 9.15331 261.883 -12.2153 3.71383 82.1724 0.0713384 -13 66 1 0 1
-1.499 -3.06212 261.883 -0.9986 1.07689 82.9326 -0.020094 -13 68 1 0 1
-28.6822 42.2938 261.883 -9.93564 14.0843 90.8631 1.28314 -13 74 1 0 1
61.3402 -28.6887 261.883 19.6404 -9.16484 88.0815 1.21149 -13 75 1 0 1
-41.9682 31.6046 261.883 -14.467 10.6396 90.9041 0.748998 -13 80 1 0 1
13.5873 59.8509 261.883 4.43069 16.0482 75.2629 1.14449 -13 83 1 0 1
69.7832 57.4476 261.883 19.1166 14.8119 73.0956 1.00607 -13 86 1 0 1
38.6283 -46.1581 261.883 12.0721 -14.8005 84.2076 0.878471 -13 87 1 0 1
-18.3876 36.3826 261.883 -5.82899 10.8947 88.4131 1.5906 -13 88 1 0 1
-25.1211 38.8061 261.883 -7.72397 12.5621 85.4823 0.652617 -13 91 1 0 1
34.7623 -27.5915 261.883 10.7486 -7.73512 82.4714 1.51868 -13 92 1 0 1
-67.4396 19.668 261.883 -18.0973 5.75943 75.6177 2.06131 -13 93 1 0 1
24.7964 39.6801 261.883 7.60283 10.7716 77.3446 2.94323 -13 96 1 0 1
-25.2581 50.7079 261.883 -7.93103 15.2517 85.8788 1.64757 -13 101 1 0 1
-38.4373 27.007 261.883 -11.4993 8.45671 84.3399 1.66511 -13 109 1 0 1
-39.8957 -11.1165 261.883 -10.8985 -3.31228 79.3832 1.43299 -13 111 1 0 1
40.6539 29.5475 261.883 13.4125 10.3225 95.2376 0.877478 -13 113 1 0 1
68.9933 33.6133 261.883 22.5079 11.4945 93.0786 1.75891 -13 122 1 0 1
15.3546 -75.6376 261.883 4.62299 -24.433 88.22 1.48199 -13 123 1 0 1
44.1796 24.3642 261.883 14.3209 7.8201 95.571 2.22052 -13 126 1 0 1
-0.685641 48.0913 261.883 -0.067074 15.5497 84.7207 0.511437 -13 131 1 0 1
-32.3358 -21.8144 261.883 -8.72229 -5.52597 77.1073 1.35099 -13 136 1 0 1
