#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-1.32498 1.22759 0.0 2.90757 7.35057 77.1115 -0.288798 -13 1 1 0 1 0 0 0 0 0 0 0.102403 25.1388 0 0 0 -3.03349 -0.568477 0 -0.421311 38.9094
-1.08183 6.10084 0.0 -3.10887 6.55168 86.7437 -0.0718428 -13 2 1 0 1 0 0 0 0 0 0 0.095079 25.0783 0 0 0 -0.537336 4.2951 0 -0.198538 39.6357
-2.18346 -0.147536 0.0 4.58245 -1.19069 73.3548 -0.888608 -13 3 1 0 1 0 0 0 0 0 0 0.104222 25.0333 0 0 0 -3.25229 -0.175391 0 -1.02238 39.2115
2.62366 2.30659 0.0 1.19631 3.70957 95.0028 7.85698e-05 -13 4 1 0 1 0 0 0 0 0 0 0.0911114 25.0267 0 0 0 2.42571 1.18572 0 -0.123499 38.9622
-0.955613 -2.01232 0.0 -8.67042 0.718378 90.7815 -0.350863 -13 5 1 0 1 0 0 0 0 0 0 0.0921434 25.0718 0 0 0 0.73497 -2.42539 0 -0.475332 40.4994
2.41265 1.24993 0.0 5.34167 -0.0964327 94.3049 0.261786 -13 6 1 0 1 0 0 0 0 0 0 0.0912978 25.0567 0 0 0 0.856818 0.827428 0 0.137999 39.3599
0.551646 -0.0909651 0.0 -1.9387 2.82661 93.3872 0.923539 -13 7 1 0 1 0 0 0 0 0 0 0.0905927 25.0516 0 0 0 1.62662 -1.11715 0 0.800268 41.1537
-1.37921 0.421629 0.0 4.3284 10.9897 79.0098 -0.356084 -13 8 1 0 1 0 0 0 0 0 0 0.100113 25.1944 0 0 0 -3.34816 -1.63174 0 -0.486929 39.7246
1.28079 0.657215 0.0 -0.268009 1.80734 92.2601 1.46467 -13 9 1 0 1 0 0 0 0 0 0 0.0915834 25.0154 0 0 0 1.90464 0.334056 0 1.34074 40.578
-2.84093 -1.08788 0.0 -4.3376 -17.137 81.4972 -0.40385 -13 10 1 0 1 0 0 0 0 0 0 0.0972094 25.3217 0 0 0 -1.95868 2.65174 0 -0.532731 40.7555
2.74072 -0.901449 0.0 2.5439 4.80232 95.3363 0.320798 -13 11 1 0 1 0 0 0 0 0 0 0.0901707 25.0342 0 0 0 2.22211 -2.08495 0 0.197891 40.1048
0.132776 1.5483 0.0 -11.3611 12.3551 94.5778 -1.56442 -13 12 1 0 1 0 0 0 0 0 0 0.0905928 25.3579 0 0 0 2.5734 -1.8695 0 -1.68837 40.8252
-4.28403 -1.30502 0.0 -8.27238 6.20369 75.159 -0.51452 -13 13 1 0 1 0 0 0 0 0 0 0.101587 25.2585 0 0 0 -0.900495 -1.95106 0 -0.646695 39.8953
-0.195582 0.750244 0.0 0.329326 4.53792 89.5584 0.21312 -13 14 1 0 1 0 0 0 0 0 0 0.0931096 25.0765 0 0 0 -0.732571 -0.995777 0 0.0879131 40.5342
0.455852 4.4273 0.0 4.18667 9.24462 88.9127 -0.37042 -13 15 1 0 1 0 0 0 0 0 0 0.0934418 25.0746 0 0 0 -0.148235 3.05724 0 -0.49587 40.202
3.76417 -3.4516 0.0 -1.30782 -8.55276 98.8927 0.170223 -13 16 1 0 1 0 0 0 0 0 0 0.0890961 25.0955 0 0 0 4.09479 -1.28947 0 0.0479712 39.3186
-1.06726 -0.311398 0.0 -7.51902 -9.91272 87.8297 1.00024 -13 17 1 0 1 0 0 0 0 0 0 0.0940597 25.2244 0 0 0 1.48884 1.71474 0 0.873986 40.3854
-2.35467 -3.08095 0.0 -6.82921 8.05716 78.9405 0.505525 -13 18 1 0 1 0 0 0 0 0 0 0.100048 25.123 0 0 0 -1.29081 -4.9501 0 0.374883 39.1778
-1.11311 -0.197345 0.0 -2.66856 -7.26519 83.4567 -0.848634 -13 19 1 0 1 0 0 0 0 0 0 0.0969589 25.0691 0 0 0 -0.0286681 1.13315 0 -0.97676 39.4644
4.26845 3.57741 0.0 6.82037 2.07548 99.3134 -0.169684 -13 20 1 0 1 0 0 0 0 0 0 0.0886402 25.0626 0 0 0 2.5805 3.04514 0 -0.291528 39.6392
-0.910111 -2.89773 0.0 -0.475744 -13.8804 84.7655 -0.446164 -13 21 1 0 1 0 0 0 0 0 0 0.0960853 25.2055 0 0 0 -0.97171 0.172062 0 -0.573908 39.7245
-0.0423364 -0.217089 0.0 0.389539 4.91485 85.6794 0.294779 -13 22 1 0 1 0 0 0 0 0 0 0.0960812 25.0357 0 0 0 -0.56906 -1.2365 0 0.167415 39.1221
-4.09843 -1.11239 0.0 0.079239 -10.957 70.2124 0.809724 -13 23 1 0 1 0 0 0 0 0 0 0.104399 25.1614 0 0 0 -3.69821 1.37745 0 0.675499 39.783
-0.35053 -1.19416 0.0 2.95366 -2.79012 84.2509 -0.12795 -13 24 1 0 1 0 0 0 0 0 0 0.0966744 25.0185 0 0 0 -0.799673 -1.23051 0 -0.255745 39.5454
0.0900438 2.03954 0.0 0.7757 -0.446372 89.1112 -0.678474 -13 25 1 0 1 0 0 0 0 0 0 0.0936408 25.0159 0 0 0 -0.137587 2.72145 0 -0.803942 39.9281
-2.32657 -2.02599 0.0 -6.86822 0.612207 83.0342 0.13399 -13 26 1 0 1 0 0 0 0 0 0 0.09746 25.0846 0 0 0 -1.11913 -3.00703 0 0.00545331 39.267
-0.986885 1.3984 0.0 -5.64439 11.2239 84.7362 0.512638 -13 27 1 0 1 0 0 0 0 0 0 0.0968249 25.2177 0 0 0 1.02499 -1.04815 0 0.384318 38.6641
1.99229 -7.52616 0.0 17.1052 -31.8932 70.5761 -0.260046 -13 28 1 0 1 0 0 0 0 0 0 0.109066 27.0644 0 0 0 -3.32552 0.288142 0 -0.401793 39.8249
-0.284663 -3.60282 0.0 12.6336 -7.48213 78.2453 -1.62693 -13 29 1 0 1 0 0 0 0 0 0 0.101024 25.293 0 0 0 -3.53917 -2.00232 0 -1.7587 39.949
-2.04431 -0.668184 0.0 -3.673 -11.5846 82.3746 0.461874 -13 30 1 0 1 0 0 0 0 0 0 0.0976256 25.2565 0 0 0 -0.443111 2.5034 0 0.332827 39.8469
1.11346 -4.03658 0.0 4.84531 -16.1804 87.309 0.948595 -13 31 1 0 1 0 0 0 0 0 0 0.0955976 25.3105 0 0 0 -0.80009 -0.980737 0 0.821019 38.9109
-1.79629 0.577218 0.0 2.83091 -8.49385 81.4073 -0.307625 -13 32 1 0 1 0 0 0 0 0 0 0.0975732 25.0764 0 0 0 -1.97029 2.23247 0 -0.43626 40.2781
-1.16796 0.801368 0.0 -1.65419 -4.31641 83.9501 -0.558982 -13 33 1 0 1 0 0 0 0 0 0 0.0970343 25.0903 0 0 0 -1.45757 2.71627 0 -0.687201 39.2266
0.327431 1.32422 0.0 12.9659 4.54101 80.0391 -0.97462 -13 34 1 0 1 0 0 0 0 0 0 0.0999305 25.2729 0 0 0 -3.1668 0.655872 0 -1.10548 40.0495
1.92276 0.629824 0.0 -0.121956 0.760826 93.2077 0.731408 -13 35 1 0 1 0 0 0 0 0 0 0.0921867 25.0259 0 0 0 2.05325 -0.255615 0 0.607031 38.8258
-2.47498 -0.592995 0.0 -4.49707 -8.4071 80.2787 -0.158586 -13 36 1 0 1 0 0 0 0 0 0 0.0984424 25.1594 0 0 0 -1.10235 1.83578 0 -0.28807 39.9032
1.97793 4.48292 0.0 7.83523 13.5883 89.8658 0.143671 -13 37 1 0 1 0 0 0 0 0 0 0.0936703 25.3405 0 0 0 0.18255 0.771952 0 0.0174715 40.0221
-1.60231 -2.30357 0.0 2.05059 -15.5774 79.9807 0.468555 -13 38 1 0 1 0 0 0 0 0 0 0.100289 25.5487 0 0 0 -2.34403 2.87209 0 0.336832 39.6338
-1.19442 0.20532 0.0 -5.60062 12.2935 84.8406 -1.16315 -13 39 1 0 1 0 0 0 0 0 0 0.0967857 25.287 0 0 0 -0.413179 -3.42919 0 -1.2916 39.1841
-1.16948 2.43009 0.0 7.36709 -3.1962 76.9791 0.919045 -13 40 1 0 1 0 0 0 0 0 0 0.100955 25.0774 0 0 0 -2.6612 2.99229 0 0.787749 40.2452
1.63853 1.84619 0.0 8.84945 0.600686 89.8368 0.190272 -13 41 1 0 1 0 0 0 0 0 0 0.0930694 25.0857 0 0 0 -0.311205 1.65608 0 0.0650781 40.4065
-4.23746 -0.561936 0.0 -26.8761 0.298643 80.6305 0.429166 -13 42 1 0 1 0 0 0 0 0 0 0.0991724 25.9239 0 0 0 2.31676 -0.739617 0 0.297513 39.4415
1.15392 -0.667806 0.0 -14.612 -5.25536 95.6585 0.17182 -13 43 1 0 1 0 0 0 0 0 0 0.0913605 25.3245 0 0 0 4.93251 0.763247 0 0.0473902 38.8292
-0.674452 2.3493 0.0 2.23994 0.0968457 84.9893 1.45385 -13 44 1 0 1 0 0 0 0 0 0 0.0963404 25.0226 0 0 0 -1.59267 2.00805 0 1.32632 39.2899
3.00975 3.56359 0.0 -6.36026 4.283 101.984 0.938859 -13 45 1 0 1 0 0 0 0 0 0 0.0863954 25.0706 0 0 0 4.56888 2.51367 0 0.81862 41.3901
-1.4468 -0.842049 0.0 -1.54058 4.18478 83.5166 -0.363045 -13 46 1 0 1 0 0 0 0 0 0 0.09697 25.0792 0 0 0 -0.709457 -2.59614 0 -0.491202 39.6493
0.368205 -0.430551 0.0 -12.2055 13.1068 94.3289 -0.717234 -13 47 1 0 1 0 0 0 0 0 0 0.0908079 25.4032 0 0 0 3.43226 -3.72655 0 -0.841448 40.8983
0.289502 -1.89329 0.0 4.95931 -6.6171 86.5865 -0.900914 -13 48 1 0 1 0 0 0 0 0 0 0.0950507 25.0721 0 0 0 -0.522491 -0.329115 0 -1.02758 39.9899
-1.32348 -1.03306 0.0 -9.50407 -7.87816 86.7556 -0.736413 -13 49 1 0 1 0 0 0 0 0 0 0.0946284 25.1986 0 0 0 1.21144 0.788898 0 -0.863041 40.1892
-1.63547 -2.77807 0.0 -0.623651 -10.9187 81.9223 1.14624 -13 50 1 0 1 0 0 0 0 0 0 0.0979992 25.2321 0 0 0 -1.65481 0.61365 0 1.01696 39.9953
0.92919 0.469561 0.0 -1.67848 8.72831 92.9026 0.451426 -13 51 1 0 1 0 0 0 0 0 0 0.0916277 25.0755 0 0 0 1.21267 -1.36736 0 0.327346 39.7969
2.50623 2.23581 0.0 10.192 10.4006 90.6082 -1.22058 -13 52 1 0 1 0 0 0 0 0 0 0.093548 25.3351 0 0 0 0.0922732 -1.03415 0 -1.34667 39.7151
1.29868 -2.91918 0.0 10.2745 -13.2561 85.7412 -1.02164 -13 53 1 0 1 0 0 0 0 0 0 0.0965842 25.2903 0 0 0 -1.27576 -0.390022 0 -1.14993 38.7977
1.33048 4.18239 0.0 9.96054 7.69097 87.241 -0.320701 -13 54 1 0 1 0 0 0 0 0 0 0.0949932 25.1981 0 0 0 -1.16622 2.32789 0 -0.447592 39.9912
2.63726 2.92699 0.0 2.12475 -8.77301 95.8356 -1.32104 -13 55 1 0 1 0 0 0 0 0 0 0.0904927 25.1071 0 0 0 1.81521 5.06795 0 -1.44434 39.4709
-3.47562 3.4065 0.0 -14.2224 -0.372677 77.8509 -0.127322 -13 56 1 0 1 0 0 0 0 0 0 0.100672 25.2394 0 0 0 -0.144441 3.41713 0 -0.258693 38.7933
0.589154 1.34927 0.0 -9.30274 4.75086 91.8904 0.570902 -13 57 1 0 1 0 0 0 0 0 0 0.0925356 25.1224 0 0 0 2.81724 0.354268 0 0.446044 39.2955
-4.10165 4.64396 0.0 2.62994 6.0949 70.695 -0.505766 -13 58 1 0 1 0 0 0 0 0 0 0.104296 25.0524 0 0 0 -4.84386 3.6685 0 -0.639674 39.8957
0.910807 0.0833605 0.0 -1.56271 -1.73464 91.8073 0.776718 -13 59 1 0 1 0 0 0 0 0 0 0.0923176 25.0157 0 0 0 1.20471 0.840429 0 0.652257 39.4935
-0.212812 0.177141 0.0 10.6695 -13.5155 80.0815 0.383206 -13 60 1 0 1 0 0 0 0 0 0 0.100351 25.5392 0 0 0 -2.97327 4.51145 0 0.251463 39.6451
-1.3549 1.18527 0.0 -7.20309 -11.5805 87.582 -1.64814 -13 61 1 0 1 0 0 0 0 0 0 0.0942041 25.2308 0 0 0 0.460341 4.01935 0 -1.77451 40.2938
0.334941 -0.722807 0.0 -11.0095 -3.7681 94.2666 -0.354776 -13 62 1 0 1 0 0 0 0 0 0 0.0911758 25.1745 0 0 0 2.95483 0.580106 0 -0.478738 39.7341
-0.283871 -2.33474 0.0 -7.88599 -12.442 88.6021 -0.108813 -13 63 1 0 1 0 0 0 0 0 0 0.0945775 25.2602 0 0 0 1.46871 0.771098 0 -0.235512 39.2609
0.000854163 -0.907144 0.0 -5.9708 -1.91579 91.6462 0.73718 -13 64 1 0 1 0 0 0 0 0 0 0.0919895 25.0957 0 0 0 1.532 0.438271 0 0.612774 40.409
1.48125 0.92687 0.0 8.84366 3.845 87.2929 1.1928 -13 65 1 0 1 0 0 0 0 0 0 0.0955529 25.1704 0 0 0 -1.19018 -0.21307 0 1.06556 39.0897
-3.32439 -2.68263 0.0 -12.2153 3.71383 82.1724 -1.35804 -13 66 1 0 1 0 0 0 0 0 0 0.0975619 25.3774 0 0 0 0.0990262 -5.10888 0 -1.4873 40.2172
-1.22636 2.22949 0.0 -5.57021 6.38206 88.6906 0.400743 -13 67 1 0 1 0 0 0 0 0 0 0.0931215 25.0547 0 0 0 -0.482685 1.09125 0 0.275568 40.8144
-1.01112 -0.0519295 0.0 -0.0758898 -1.15136 82.9376 -1.43489 -13 68 1 0 1 0 0 0 0 0 0 0.0972864 25.011 0 0 0 -1.4418 -0.045676 0 -1.56315 39.8077
-4.18159 1.68771 0.0 -0.945667 -1.24714 72.371 0.204464 -13 69 1 0 1 0 0 0 0 0 0 0.104077 25.1343 0 0 0 -3.05747 3.52867 0 0.0705833 38.9934
4.05544 0.940311 0.0 9.48836 5.4082 98.8151 0.391629 -13 70 1 0 1 0 0 0 0 0 0 0.0884808 25.193 0 0 0 1.56446 -0.867312 0 0.269601 40.7593
-2.28323 2.74259 0.0 -7.22824 -3.42082 82.8833 0.0264616 -13 71 1 0 1 0 0 0 0 0 0 0.0981706 25.1885 0 0 0 0.537537 3.701 0 -0.102834 38.5496
1.7054 -0.839986 0.0 -3.42409 -0.969854 96.3984 -0.444378 -13 72 1 0 1 0 0 0 0 0 0 0.0896982 25.0101 0 0 0 2.22893 -0.828013 0 -0.56688 39.9878
0.163022 1.59379 0.0 1.90337 -10.1283 88.3616 -0.330543 -13 73 1 0 1 0 0 0 0 0 0 0.093712 25.1549 0 0 0 -0.553423 4.26498 0 -0.456379 40.4584
-0.0459782 1.70046 0.0 -9.93564 14.0843 90.8631 -0.0668105 -13 74 1 0 1 0 0 0 0 0 0 0.093406 25.3923 0 0 0 2.12135 -2.1364 0 -0.192919 39.4768
2.94563 -1.43991 0.0 19.6404 -9.16484 88.0815 -0.169559 -13 75 1 0 1 0 0 0 0 0 0 0.0950259 25.6702 0 0 0 -2.39504 0.864132 0 -0.29751 40.6796
2.02684 0.736104 0.0 1.15413 1.56345 96.1981 -0.222585 -13 76 1 0 1 0 0 0 0 0 0 0.0897786 25.0104 0 0 0 1.83154 0.112127 0 -0.345148 40.0726
-0.530204 1.80773 0.0 -6.11034 1.67254 88.9231 -0.256154 -13 77 1 0 1 0 0 0 0 0 0 0.0942658 25.0907 0 0 0 1.5192 1.64341 0 -0.382247 39.0993
-2.61016 -0.455523 0.0 -4.45341 -2.64494 79.8418 0.751607 -13 78 1 0 1 0 0 0 0 0 0 0.0979559 25.0338 0 0 0 -2.0124 0.48921 0 0.62274 40.5825
1.37225 -2.33721 0.0 4.75344 4.01894 90.4618 0.345838 -13 79 1 0 1 0 0 0 0 0 0 0.0932607 25.059 0 0 0 0.0325949 -3.39285 0 0.220573 39.4401
-0.290662 0.953321 0.0 -14.467 10.6396 90.9041 -0.601467 -13 80 1 0 1 0 0 0 0 0 0 0.0935886 25.3648 0 0 0 3.03518 -1.66633 0 -0.727644 38.9108
1.86429 1.13281 0.0 11.0192 3.86575 87.8189 1.20449 -13 81 1 0 1 0 0 0 0 0 0 0.0949799 25.2314 0 0 0 -1.38973 0.636828 0 1.07753 39.9912
1.38027 1.47275 0.0 2.36207 2.14485 92.3815 2.33258 -13 82 1 0 1 0 0 0 0 0 0 0.0919259 25.0232 0 0 0 0.557198 1.57 0 2.20839 39.7257
-1.82956 4.01002 0.0 4.43069 16.0482 75.2629 -0.373507 -13 83 1 0 1 0 0 0 0 0 0 0.102479 25.36 0 0 0 -2.76865 0.153124 0 -0.506567 39.6272
1.20287 -1.99796 0.0 -4.46775 -1.12731 94.1992 -0.00988924 -13 84 1 0 1 0 0 0 0 0 0 0.0911779 25.0589 0 0 0 2.80864 -2.1432 0 -0.133594 39.5652
-0.0634946 0.574936 0.0 8.04179 -5.08533 82.8609 -0.191874 -13 85 1 0 1 0 0 0 0 0 0 0.0980904 25.117 0 0 0 -1.26566 2.22877 0 -0.320956 38.9038
1.29335 4.3804 0.0 19.1166 14.8119 73.0956 -0.5563 -13 86 1 0 1 0 0 0 0 0 0 0.107051 26.0198 0 0 0 -4.64114 0.440336 0 -0.694284 38.9648
1.08455 -0.129092 0.0 12.0721 -14.8005 84.2076 -0.537054 -13 87 1 0 1 0 0 0 0 0 0 0.097064 25.5138 0 0 0 -1.75606 4.03788 0 -0.666213 40.0365
-1.12192 4.11209 0.0 -5.82899 10.8947 88.4131 0.223934 -13 88 1 0 1 0 0 0 0 0 0 0.0934916 25.2113 0 0 0 -0.401681 1.04503 0 0.0981347 40.9332
-2.05399 2.30428 0.0 4.16846 9.34988 75.1733 1.07108 -13 89 1 0 1 0 0 0 0 0 0 0.102611 25.1722 0 0 0 -3.05142 -0.375258 0 0.938298 39.4952
1.09624 3.05212 0.0 3.06938 -1.89193 91.9649 0.824973 -13 90 1 0 1 0 0 0 0 0 0 0.092139 25.036 0 0 0 1.57972 3.45669 0 0.700597 39.8217
-1.45807 0.321032 0.0 -7.72397 12.5621 85.4823 -0.744381 -13 91 1 0 1 0 0 0 0 0 0 0.0962235 25.3564 0 0 0 0.108631 -3.54123 0 -0.872553 39.6531
0.630782 -3.02912 0.0 10.7486 -7.73512 82.4714 0.0920585 -13 92 1 0 1 0 0 0 0 0 0 0.0990436 25.2226 0 0 0 -2.25735 -1.58341 0 -0.0379691 38.3248
-4.76425 -0.278317 0.0 -18.0973 5.75943 75.6177 0.544397 -13 93 1 0 1 0 0 0 0 0 0 0.100269 25.3636 0 0 0 -0.890004 -1.4081 0 0.413017 40.9623
-2.71107 -1.20214 0.0 -4.14087 3.32346 79.3003 0.105754 -13 94 1 0 1 0 0 0 0 0 0 0.0990795 25.0476 0 0 0 -2.26794 -1.78342 0 -0.023995 39.9469
2.74683 -1.6147 0.0 6.79007 -3.78532 93.5092 0.462902 -13 95 1 0 1 0 0 0 0 0 0 0.091934 25.0835 0 0 0 0.862455 -0.887356 0 0.338585 39.0025
-0.946224 3.20835 0.0 7.60283 10.7716 77.3446 1.45686 -13 96 1 0 1 0 0 0 0 0 0 0.102169 25.4616 0 0 0 -3.98697 -0.479679 0 1.32384 40.4146
0.140927 -0.831987 0.0 -5.96496 5.97157 91.2686 -0.172743 -13 97 1 0 1 0 0 0 0 0 0 0.0925639 25.1135 0 0 0 1.42366 -2.76897 0 -0.29761 39.8284
-0.875707 -1.88015 0.0 -5.27949 -1.84548 85.89 -0.210314 -13 98 1 0 1 0 0 0 0 0 0 0.0960789 25.0635 0 0 0 0.0254545 -0.65749 0 -0.337732 38.9638
-0.740354 -2.66743 0.0 -3.39438 -8.55983 86.9351 -0.225276 -13 99 1 0 1 0 0 0 0 0 0 0.0957524 25.1678 0 0 0 0.121926 0.0741263 0 -0.352663 38.8457
0.592802 -0.460866 0.0 4.59997 -2.85558 84.5958 1.37075 -13 100 1 0 1 0 0 0 0 0 0 0.0974072 25.106 0 0 0 -1.45177 -0.365656 0 1.24222 38.7196
-1.07285 4.19866 0.0 -7.93103 15.2517 85.8788 0.251606 -13 101 1 0 1 0 0 0 0 0 0 0.096058 25.4383 0 0 0 1.4589 0.296425 0 0.123384 39.6554
0.877364 0.339688 0.0 1.13517 -3.25137 90.703 0.599243 -13 102 1 0 1 0 0 0 0 0 0 0.0925768 25.036 0 0 0 1.35916 1.30932 0 0.474532 40.0131
-2.56807 0.958792 0.0 11.674 7.2299 69.1767 -0.621863 -13 103 1 0 1 0 0 0 0 0 0 0.106868 25.2456 0 0 0 -4.50882 -1.34606 0 -0.758206 39.5127
-1.95226 -3.12193 0.0 3.51274 1.09076 81.1898 0.688235 -13 104 1 0 1 0 0 0 0 0 0 0.0979871 25.0342 0 0 0 -1.72925 -3.60627 0 0.559379 39.6733
1.79848 -0.266548 0.0 1.66007 6.03269 95.4367 0.707396 -13 105 1 0 1 0 0 0 0 0 0 0.090117 25.0782 0 0 0 0.700501 -1.77113 0 0.584428 40.4334
0.0464276 -2.6876 0.0 -6.8443 -0.406732 89.3726 1.09611 -13 106 1 0 1 0 0 0 0 0 0 0.0938906 25.0495 0 0 0 1.56935 -2.62668 0 0.970392 39.0738
-1.64621 0.823902 0.0 -4.13085 6.3 82.9892 0.117743 -13 107 1 0 1 0 0 0 0 0 0 0.0975144 25.0512 0 0 0 -1.01793 -0.339184 0 -0.0107639 39.1816
0.462061 0.240226 0.0 -4.17718 6.70995 91.899 1.03504 -13 108 1 0 1 0 0 0 0 0 0 0.0922247 25.1006 0 0 0 2.08255 -1.19107 0 0.910459 39.7879
-2.73096 0.748177 0.0 -11.4993 8.45671 84.3399 0.25708 -13 109 1 0 1 0 0 0 0 0 0 0.0954669 25.2996 0 0 0 -0.040603 -1.93054 0 0.129577 40.8443
-1.67725 -2.76466 0.0 -4.18579 0.573663 81.9759 -0.144277 -13 110 1 0 1 0 0 0 0 0 0 0.0982023 25.0377 0 0 0 -0.440643 -2.51839 0 -0.273295 39.4209
