,Q1_L,Q1_G,Q2_L,Q2_G,survival
0,50.0,1.0,50.0,-30.0,0.9891774891774892
1,50.0,1.0,50.0,-22.75,0.9892241379310345
2,50.0,1.0,50.0,-15.5,0.9891774891774892
3,50.0,1.0,50.0,-8.25,0.9891774891774892
4,50.0,1.0,50.0,-1.0,0.9892008639308856
5,50.0,1.0,537.5,-22.75,1.0
6,50.0,1.0,537.5,-15.5,1.0
7,50.0,1.0,537.5,-8.25,1.0
8,50.0,1.0,537.5,-1.0,1.0
9,50.0,1.0,1025.0,-1.0,1.0
10,50.0,1.0,1512.5,-1.0,1.0
11,50.0,8.25,50.0,-30.0,0.9870410367170627
12,50.0,8.25,50.0,-22.75,0.9870689655172413
13,50.0,8.25,50.0,-15.5,0.9870689655172413
14,50.0,8.25,50.0,-8.25,0.9870967741935484
15,50.0,8.25,50.0,-1.0,0.9870410367170627
16,50.0,8.25,537.5,-22.75,1.0
17,50.0,8.25,537.5,-15.5,1.0
18,50.0,8.25,537.5,-8.25,1.0
19,50.0,8.25,537.5,-1.0,1.0
20,50.0,8.25,1025.0,-1.0,1.0
21,50.0,8.25,1512.5,-1.0,1.0
22,50.0,15.5,50.0,-30.0,0.9870967741935484
23,50.0,15.5,50.0,-22.75,0.9870410367170627
24,50.0,15.5,50.0,-15.5,0.9870410367170627
25,50.0,15.5,50.0,-8.25,0.9869848156182213
26,50.0,15.5,50.0,-1.0,0.9869565217391304
27,50.0,15.5,537.5,-22.75,1.0
28,50.0,15.5,537.5,-15.5,1.0
29,50.0,15.5,537.5,-8.25,1.0
30,50.0,15.5,537.5,-1.0,1.0
31,50.0,15.5,1025.0,-1.0,1.0
32,50.0,15.5,1512.5,-1.0,1.0
33,50.0,22.75,50.0,-30.0,0.9870967741935484
34,50.0,22.75,50.0,-22.75,0.9870410367170627
35,50.0,22.75,50.0,-15.5,0.9869848156182213
36,50.0,22.75,50.0,-8.25,0.9869281045751634
37,50.0,22.75,50.0,-1.0,0.9868995633187773
38,50.0,22.75,537.5,-22.75,1.0
39,50.0,22.75,537.5,-15.5,1.0
40,50.0,22.75,537.5,-8.25,1.0
41,50.0,22.75,537.5,-1.0,1.0
42,50.0,22.75,1025.0,-1.0,1.0
43,50.0,22.75,1512.5,-1.0,1.0
44,50.0,30.0,50.0,-30.0,0.987012987012987
45,50.0,30.0,50.0,-22.75,0.9869565217391304
46,50.0,30.0,50.0,-15.5,0.9869565217391304
47,50.0,30.0,50.0,-8.25,0.9868995633187773
48,50.0,30.0,50.0,-1.0,0.9868421052631579
49,50.0,30.0,537.5,-22.75,1.0
50,50.0,30.0,537.5,-15.5,1.0
51,50.0,30.0,537.5,-8.25,1.0
52,50.0,30.0,537.5,-1.0,1.0
53,50.0,30.0,1025.0,-1.0,1.0
54,50.0,30.0,1512.5,-1.0,1.0
76,537.5,8.25,537.5,-8.25,1.0
77,537.5,8.25,537.5,-1.0,1.0
88,537.5,22.75,537.5,-8.25,1.0
94,1025.0,1.0,50.0,-30.0,0.9824561403508771
95,1025.0,1.0,50.0,-22.75,0.9824561403508771
96,1025.0,1.0,50.0,-15.5,0.9824561403508771
97,1025.0,1.0,50.0,-8.25,0.9824561403508771
98,1025.0,1.0,50.0,-1.0,0.9818181818181818
100,1025.0,1.0,537.5,-1.0,0.98
101,1025.0,1.0,1025.0,-1.0,0.9714285714285714
102,1025.0,1.0,1512.5,-1.0,1.0
103,1512.5,1.0,50.0,-30.0,0.96875
104,1512.5,1.0,50.0,-22.75,0.96875
105,1512.5,1.0,50.0,-15.5,0.967741935483871
106,1512.5,1.0,50.0,-8.25,0.9666666666666667
107,1512.5,1.0,50.0,-1.0,0.9666666666666667
108,1512.5,1.0,537.5,-8.25,0.95
