#BLTrackFile NTuple/Z158
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-2.73201 4.70202 158.239 -1.93626 2.83188 93.3871 1.72079 -13 7 1 0 1
0.818718 3.76087 158.239 -0.270558 1.81248 92.26 2.26723 -13 9 1 0 1
1.46618 1.25081 158.239 0.774171 -0.442602 89.1112 0.140248 -13 25 1 0 1
1.71178 1.92381 158.239 -0.126336 0.763822 93.2077 1.5293 -13 35 1 0 1
3.49408 2.53526 158.239 2.23743 0.10223 84.9894 2.2961 -13 44 1 0 1
-1.78255 -2.90861 158.239 -1.56181 -1.73787 91.8073 1.58157 -13 59 1 0 1
-1.15336 -2.25066 158.239 -0.0732946 -1.154 82.9376 -0.580015 -13 68 1 0 1
-6.23576 -1.03721 158.239 -0.93441 -1.24602 72.3712 1.13857 -13 69 1 0 1
-3.91461 -2.43492 158.239 -3.4225 -0.973231 96.3984 0.338998 -13 72 1 0 1
3.9197 3.3113 158.239 1.14708 1.56817 96.1981 0.561511 -13 76 1 0 1
6.37105 -0.19914 158.239 3.06193 -1.88828 91.9652 1.62919 -13 90 1 0 1
2.85428 -5.33632 158.239 1.13079 -3.25706 90.7029 1.40983 -13 102 1 0 1
4.8928 -1.00182 158.239 3.51056 1.08589 81.19 1.55484 -13 104 1 0 1
2.73417 -3.6939 158.239 1.98993 -3.38275 80.9431 -0.193496 -13 118 1 0 1
-0.164033 4.91735 158.239 1.22199 1.50566 73.953 1.71014 -13 144 1 0 1
-3.16684 -2.82315 158.239 -0.386511 -1.83374 79.5441 -1.27737 -13 161 1 0 1
3.92254 -3.24081 158.239 2.08654 -1.36874 86.9673 1.10022 -13 200 1 0 1
-5.08899 -2.53469 158.239 -2.35853 -0.5412 89.188 0.165566 -13 204 1 0 1
-1.47799 -3.39081 158.239 -0.147567 -1.21272 80.8154 2.33722 -13 223 1 0 1
-5.6014 -2.25764 158.239 -1.55048 -0.950947 78.2333 1.9563 -13 245 1 0 1
-4.6941 3.44226 158.239 -2.27088 1.17746 88.6279 1.2759 -13 322 1 0 1
-4.36984 -0.369604 158.239 -3.31165 -0.414658 92.3311 0.584321 -13 330 1 0 1
0.363689 1.40776 158.239 1.77631 1.85445 71.3369 0.335731 -13 351 1 0 1
2.67232 -3.41467 158.239 0.764249 -3.25548 91.9323 -0.284242 -13 374 1 0 1
-0.216088 5.09037 158.239 0.811069 2.65109 81.3986 0.615253 -13 401 1 0 1
0.819834 1.93186 158.239 1.80649 -0.195797 75.8372 1.70415 -13 411 1 0 1
1.49783 -0.432722 158.239 0.27092 -1.03663 92.3766 0.924386 -13 413 1 0 1
2.95962 0.341464 158.239 1.74375 1.21219 85.1452 0.549164 -13 432 1 0 1
4.47354 4.83514 158.239 1.73059 3.37942 91.7483 1.67856 -13 438 1 0 1
3.69821 2.89544 158.239 1.67571 0.769021 91.2226 -1.0375 -13 445 1 0 1
-1.5288 -3.64263 158.239 0.709202 -1.86255 72.6716 1.36098 -13 460 1 0 1
-6.02588 2.93152 158.239 -3.70867 2.54235 91.5841 2.4647 -13 477 1 0 1
-1.90822 6.27284 158.239 -1.5224 3.07263 88.8607 0.312159 -13 478 1 0 1
