#BLTrackFile NTuple/Z423
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-69.7014 -41.6981 422.882 -15.6071 -9.70014 98.5929 2.60531 -13 1 1 0 1
78.904 15.2089 422.882 14.1498 3.14954 83.0124 1.65182 -13 4 1 0 1
-11.1547 62.4833 422.882 -1.51202 11.7847 74.434 1.80702 -13 9 1 0 1
-67.3881 -40.0437 422.882 -13.8042 -8.61453 92.6797 3.08716 -13 14 1 0 1
82.9877 -7.02633 422.882 15.093 -1.80106 84.8631 2.17017 -13 18 1 0 1
-43.5237 55.05 422.882 -8.003 11.2225 85.6309 2.65525 -13 22 1 0 1
-31.6232 75.0681 422.882 -7.41689 18.6419 98.1872 2.25882 -13 26 1 0 1
35.1772 -62.919 422.882 6.38801 -13.1259 85.6388 1.54965 -13 27 1 0 1
-139.712 -81.8944 422.882 -26.1431 -15.2426 81.25 2.17112 -13 28 1 0 1
48.6779 56.2869 422.882 8.65193 12.0199 80.6315 1.38337 -13 34 1 0 1
62.4822 17.3932 422.882 11.992 4.19282 91.6944 2.29075 -13 37 1 0 1
-56.8368 41.5066 422.882 -11.8241 8.89174 93.7296 2.50073 -13 39 1 0 1
14.9117 -50.7326 422.882 2.85361 -10.1794 81.6287 1.72998 -13 40 1 0 1
-31.0054 -74.1888 422.882 -6.81872 -17.0498 93.9429 2.74223 -13 44 1 0 1
59.9905 5.13765 422.882 10.9097 0.83898 84.1804 2.44586 -13 45 1 0 1
-64.2506 -34.245 422.882 -13.5234 -7.99061 94.8884 2.96177 -13 47 1 0 1
-62.4372 -26.7047 422.882 -12.0374 -6.04061 88.691 2.40486 -13 48 1 0 1
-49.3815 56.9855 422.882 -7.70196 11.0545 76.8889 2.89729 -13 49 1 0 1
-55.7986 56.9284 422.882 -9.81879 11.9151 83.6562 1.10691 -13 50 1 0 1
-31.3476 59.1958 422.882 -6.37632 14.0232 92.3888 1.99825 -13 52 1 0 1
43.1927 58.7381 422.882 7.99763 11.7311 81.3133 2.4512 -13 53 1 0 1
109.348 7.71245 422.882 22.0373 1.50342 88.3966 2.61875 -13 55 1 0 1
72.9839 24.1633 422.882 11.0941 4.30022 68.9375 2.36867 -13 56 1 0 1
-22.1013 54.1522 422.882 -3.09758 9.65722 75.6268 3.65391 -13 57 1 0 1
-55.1946 68.7104 422.882 -10.545 14.5428 88.4372 2.29666 -13 62 1 0 1
44.8299 55.6606 422.882 8.52668 13.4902 92.2676 2.60704 -13 63 1 0 1
-85.4304 -12.9565 422.882 -15.7894 -3.1797 86.7931 2.07707 -13 67 1 0 1
-8.24822 52.5655 422.882 -1.87674 11.6546 91.9118 2.21675 -13 68 1 0 1
-21.4306 62.4739 422.882 -4.07246 13.6966 89.5771 2.38442 -13 69 1 0 1
-30.4303 -50.7106 422.882 -6.52721 -11.7659 93.6214 1.04115 -13 70 1 0 1
-118.443 -16.5277 422.882 -24.4596 -2.94489 89.0694 1.59556 -13 71 1 0 1
23.4027 54.3685 422.882 4.43323 11.8659 83.8272 2.82359 -13 72 1 0 1
-23.2578 -78.5084 422.882 -4.14516 -16.7479 85.3824 2.36454 -13 77 1 0 1
-4.78536 62.5614 422.882 -1.10322 14.1554 91.2376 1.81823 -13 78 1 0 1
27.0141 -57.2142 422.882 5.12495 -12.7557 90.4518 2.01199 -13 79 1 0 1
73.9578 0.177197 422.882 15.0031 0.261961 98.4062 1.10522 -13 81 1 0 1
53.628 130.585 422.882 9.9874 24.3709 80.5209 1.69017 -13 83 1 0 1
-52.9242 14.2735 422.882 -8.26492 2.74951 77.7485 1.49074 -13 85 1 0 1
22.6153 -63.4475 422.882 4.19953 -15.2582 96.1098 2.83197 -13 86 1 0 1
-57.4694 57.4592 422.882 -10.613 12.1927 86.222 2.70551 -13 88 1 0 1
56.3733 -56.5111 422.882 11.1795 -13.0103 95.7833 2.52664 -13 94 1 0 1
-59.1029 -175.834 422.882 -10.6463 -32.4906 79.6345 3.20077 -13 97 1 0 1
-50.6877 29.9873 422.882 -6.78103 5.61541 68.6277 3.33204 -13 98 1 0 1
66.3977 -1.83307 422.882 11.9458 0.302922 82.689 2.15478 -13 100 1 0 1
-23.524 67.6011 422.882 -3.357 12.5314 75.1367 2.19009 -13 106 1 0 1
9.96663 -55.3753 422.882 1.73159 -12.7153 92.3479 1.47467 -13 108 1 0 1
-58.1217 40.4804 422.882 -12.6184 9.27082 95.8411 2.93628 -13 110 1 0 1
64.1461 20.0452 422.882 11.7149 3.9185 84.9773 2.0928 -13 111 1 0 1
-4.19665 -78.2065 422.882 -1.0264 -17.1062 90.9521 1.87567 -13 114 1 0 1
61.6124 -16.2111 422.882 11.6271 -3.84551 88.3417 3.37745 -13 119 1 0 1
-92.3829 82.2355 422.882 -18.2851 16.507 85.6918 1.45349 -13 126 1 0 1
-52.8066 -21.6871 422.882 -10.9839 -4.7412 93.8783 2.30298 -13 127 1 0 1
56.3275 15.3669 422.882 10.5272 2.68959 85.6744 3.14489 -13 129 1 0 1
-0.601484 67.8317 422.882 0.0733758 14.3917 85.2296 2.76599 -13 132 1 0 1
-24.3891 -81.9894 422.882 -4.85047 -18.1529 88.9657 1.66752 -13 135 1 0 1
-111.868 -36.3368 422.882 -19.2356 -6.18866 76.2436 2.27343 -13 137 1 0 1
-63.2763 8.92378 422.882 -11.6834 1.50464 86.2804 3.01487 -13 140 1 0 1
-50.4033 -13.7607 422.882 -8.38093 -3.29627 81.0279 2.24797 -13 141 1 0 1
-56.8764 6.10932 422.882 -9.45007 1.47422 80.3672 2.6182 -13 143 1 0 1
-2.26362 -64.8942 422.882 -0.35765 -13.6879 85.182 3.03746 -13 146 1 0 1
-32.3805 50.3028 422.882 -5.33956 9.65604 82.09 3.21069 -13 147 1 0 1
-55.6978 9.53273 422.882 -11.4289 2.4263 92.7244 2.32849 -13 151 1 0 1
-19.4372 -82.8301 422.882 -2.9449 -15.9523 78.6589 2.85225 -13 153 1 0 1
64.8066 2.7059 422.882 10.8695 0.400796 76.2402 3.45894 -13 162 1 0 1
-50.2792 5.11337 422.882 -9.74236 1.02353 90.0946 1.96053 -13 165 1 0 1
