#BLTrackFile NTuple/Z0
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-4.26439 5.23206 0 -4.33724 -0.786093 93.3461 1.95738 -13 7 1 0 1
0.824282 3.97269 0 0.293119 -1.00527 92.2722 2.50536 -13 9 1 0 1
2.18164 0.806005 0 2.02436 -1.19284 89.0847 0.383239 -13 25 1 0 1
1.95813 1.95376 0 1.1331 -0.648537 93.2017 1.76607 -13 35 1 0 1
5.51873 2.10869 0 5.32461 -1.59557 84.837 2.54622 -13 44 1 0 1
-2.96251 -3.23484 0 -3.18945 0.500815 91.7802 1.82043 -13 59 1 0 1
-1.43619 -2.42585 0 -0.958848 0.555935 82.9382 -0.326337 -13 68 1 0 1
5.20855 3.47856 0 4.2823 -0.902508 96.1181 0.794256 -13 76 1 0 1
4.54901 -4.79308 0 4.481 -0.274315 80.9138 0.0641688 -13 118 1 0 1
0.633067 4.74083 0 1.38176 -2.04086 73.9373 1.98331 -13 144 1 0 1
-4.09512 -3.26318 0 -2.86643 0.394987 79.5135 -1.01691 -13 161 1 0 1
-1.88368 -3.37552 0 -1.29619 1.26362 80.8044 2.59504 -13 223 1 0 1
1.71372 2.22091 0 2.48304 0.52008 71.3381 0.615694 -13 351 1 0 1
3.58339 -4.38106 0 2.91017 -0.414844 91.9461 -0.0455933 -13 374 1 0 1
0.238564 5.51496 0 0.81877 -1.22919 81.4324 0.871866 -13 401 1 0 1
2.20828 1.41169 0 2.83884 -1.42236 75.7925 1.97286 -13 411 1 0 1
1.92113 -0.85323 0 1.44393 -0.568098 92.3698 1.16237 -13 413 1 0 1
4.58155 0.903136 0 4.32448 0.757565 85.0584 0.798925 -13 432 1 0 1
5.30831 2.7567 0 4.76433 -1.29104 91.1077 -0.797687 -13 445 1 0 1
-1.39733 -3.95601 0 -0.286951 0.929673 72.6924 1.63734 -13 460 1 0 1
