# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 1 Track 1
-5.32753 -9.38766 0 -1.81988 -3.37178 82.7047 1.16957 -13 1 1 0 1 0 0 0 0 0 0 
-5.33852 -9.40802 0.499464 -1.81988 -3.37178 82.7047 1.17227 -13 1 1 0 1 0 0 0 0 0 0 
-5.34951 -9.42839 0.998929 -1.81988 -3.37178 82.7047 1.17498 -13 1 1 0 1 0 0 0 0 0 0 
-5.3605 -9.44875 1.49839 -1.81988 -3.37178 82.7047 1.17768 -13 1 1 0 1 0 0 0 0 0 0 
-5.37149 -9.46911 1.99786 -1.81988 -3.37178 82.7047 1.18039 -13 1 1 0 1 0 0 0 0 0 0 
-5.38248 -9.48947 2.49732 -1.81988 -3.37178 82.7047 1.18309 -13 1 1 0 1 0 0 0 0 0 0 
-5.39347 -9.50984 2.99679 -1.81988 -3.37178 82.7047 1.18579 -13 1 1 0 1 0 0 0 0 0 0 
-5.40446 -9.5302 3.49625 -1.81988 -3.37178 82.7047 1.1885 -13 1 1 0 1 0 0 0 0 0 0 
-5.41545 -9.55056 3.99571 -1.81988 -3.37178 82.7047 1.1912 -13 1 1 0 1 0 0 0 0 0 0 
-5.42644 -9.57092 4.49518 -1.81988 -3.37178 82.7047 1.19391 -13 1 1 0 1 0 0 0 0 0 0 
-5.43743 -9.59129 4.99464 -1.81988 -3.37178 82.7047 1.19661 -13 1 1 0 1 0 0 0 0 0 0 
-5.44843 -9.61165 5.49411 -1.81988 -3.37178 82.7047 1.19931 -13 1 1 0 1 0 0 0 0 0 0 
-5.45942 -9.63201 5.99357 -1.81988 -3.37178 82.7047 1.20202 -13 1 1 0 1 0 0 0 0 0 0 
-5.47041 -9.65237 6.49304 -1.81988 -3.37178 82.7047 1.20472 -13 1 1 0 1 0 0 0 0 0 0 
-5.4814 -9.67274 6.9925 -1.81988 -3.37178 82.7047 1.20743 -13 1 1 0 1 0 0 0 0 0 0 
-5.49239 -9.6931 7.49196 -1.81988 -3.37178 82.7047 1.21013 -13 1 1 0 1 0 0 0 0 0 0 
-5.50338 -9.71346 7.99143 -1.81988 -3.37178 82.7047 1.21283 -13 1 1 0 1 0 0 0 0 0 0 
-5.51437 -9.73382 8.49089 -1.81988 -3.37178 82.7047 1.21554 -13 1 1 0 1 0 0 0 0 0 0 
-5.52536 -9.75419 8.99036 -1.81988 -3.37178 82.7047 1.21824 -13 1 1 0 1 0 0 0 0 0 0 
-5.53635 -9.77455 9.48982 -1.81988 -3.37178 82.7047 1.22095 -13 1 1 0 1 0 0 0 0 0 0 
-5.54734 -9.79491 9.98929 -1.81988 -3.37178 82.7047 1.22365 -13 1 1 0 1 0 0 0 0 0 0 
-5.55833 -9.81527 10.4888 -1.81988 -3.37178 82.7047 1.22635 -13 1 1 0 1 0 0 0 0 0 0 
-5.56932 -9.83564 10.9882 -1.81988 -3.37178 82.7047 1.22906 -13 1 1 0 1 0 0 0 0 0 0 
-5.58031 -9.856 11.4877 -1.81988 -3.37178 82.7047 1.23176 -13 1 1 0 1 0 0 0 0 0 0 
-5.5913 -9.87636 11.9871 -1.81988 -3.37178 82.7047 1.23447 -13 1 1 0 1 0 0 0 0 0 0 
-5.60229 -9.89673 12.4866 -1.81988 -3.37178 82.7047 1.23717 -13 1 1 0 1 0 0 0 0 0 0 
-5.61328 -9.91709 12.9861 -1.81988 -3.37178 82.7047 1.23987 -13 1 1 0 1 0 0 0 0 0 0 
-5.62427 -9.93745 13.4855 -1.81988 -3.37178 82.7047 1.24258 -13 1 1 0 1 0 0 0 0 0 0 
-5.63526 -9.95781 13.985 -1.81988 -3.37178 82.7047 1.24528 -13 1 1 0 1 0 0 0 0 0 0 
-5.64625 -9.97818 14.4845 -1.81988 -3.37178 82.7047 1.24799 -13 1 1 0 1 0 0 0 0 0 0 
-5.65724 -9.99854 14.9839 -1.81988 -3.37178 82.7047 1.25069 -13 1 1 0 1 0 0 0 0 0 0 
-5.66824 -10.0189 15.4834 -1.81988 -3.37178 82.7047 1.2534 -13 1 1 0 1 0 0 0 0 0 0 
-5.67923 -10.0393 15.9829 -1.81988 -3.37178 82.7047 1.2561 -13 1 1 0 1 0 0 0 0 0 0 
-5.69022 -10.0596 16.4823 -1.81988 -3.37178 82.7047 1.2588 -13 1 1 0 1 0 0 0 0 0 0 
-5.70121 -10.08 16.9818 -1.81988 -3.37178 82.7047 1.26151 -13 1 1 0 1 0 0 0 0 0 0 
-5.7122 -10.1004 17.4813 -1.81988 -3.37178 82.7047 1.26421 -13 1 1 0 1 0 0 0 0 0 0 
-5.72319 -10.1207 17.9807 -1.81988 -3.37178 82.7047 1.26692 -13 1 1 0 1 0 0 0 0 0 0 
-5.73418 -10.1411 18.4802 -1.81988 -3.37178 82.7047 1.26962 -13 1 1 0 1 0 0 0 0 0 0 
-5.74517 -10.1614 18.9796 -1.81988 -3.37178 82.7047 1.27232 -13 1 1 0 1 0 0 0 0 0 0 
