#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-2.10292 1.17895 25 2.59748 5.53233 75.6594 -1.0445 -13 1 1 0 1 0 0 0 0 0 0 0.102038 25.1167 0 0 0 -4.04203 0.450841 0 -1.17673 40.8134
-0.543176 2.60227 25 6.29234 14.3411 81.1947 1.36864 -13 2 1 0 1 0 0 0 0 0 0 0.0999658 25.5704 0 0 0 -2.58122 -2.32959 0 1.23714 39.5595
-0.0386448 2.93355 25 -5.46578 12.4696 86.3002 -0.518708 -13 3 1 0 1 0 0 0 0 0 0 0.0964626 25.3145 0 0 0 1.28481 -0.792704 0 -0.646955 38.7471
0.312471 -0.14815 25 16.4183 -0.0270374 74.1571 -0.516823 -13 4 1 0 1 0 0 0 0 0 0 0.104505 25.3537 0 0 0 -3.53288 -0.499798 0 -0.651449 39.4012
1.27606 -0.958334 25 8.97419 -0.406392 88.8801 1.87112 -13 5 1 0 1 0 0 0 0 0 0 0.0936694 25.0936 0 0 0 -0.719912 -0.62281 0 1.74546 40.1772
0.935906 -2.80929 25 -0.314415 2.06039 90.1252 -0.32453 -13 6 1 0 1 0 0 0 0 0 0 0.0939367 25.005 0 0 0 0.914776 -2.86573 0 -0.450175 38.4804
-1.10347 0.721527 25 0.299147 -10.3887 84.1307 0.638621 -13 7 1 0 1 0 0 0 0 0 0 0.0962455 25.1116 0 0 0 -0.717735 2.91348 0 0.510948 39.9698
2.47466 0.846898 25 7.27234 -12.7182 92.8089 1.15403 -13 8 1 0 1 0 0 0 0 0 0 0.0922487 25.3503 0 0 0 1.16421 4.75697 0 1.02887 39.889
-2.75708 6.06257 25 4.69986 11.2945 63.5079 -0.826835 -13 9 1 0 1 0 0 0 0 0 0 0.112071 25.2626 0 0 0 -3.99819 2.94147 0 -0.9675 39.3443
2.39228 3.09526 25 3.93279 6.53962 94.6796 0.134192 -13 10 1 0 1 0 0 0 0 0 0 0.09094 25.0688 0 0 0 1.2634 1.67523 0 0.010643 39.5371
-1.99042 0.901902 25 2.73845 -5.41924 76.9575 1.09551 -13 11 1 0 1 0 0 0 0 0 0 0.10043 25.0813 0 0 0 -1.44126 2.46981 0 0.964611 40.3548
0.409679 -0.565143 25 8.38122 6.13316 81.4529 0.864474 -13 12 1 0 1 0 0 0 0 0 0 0.0989226 25.1924 0 0 0 -1.81057 -2.6683 0 0.734571 39.1279
1.8675 2.57951 25 4.88557 4.9741 91.2113 -0.0272079 -13 13 1 0 1 0 0 0 0 0 0 0.0929217 25.0998 0 0 0 0.762568 0.721592 0 -0.152309 39.5602
-2.45681 -0.147524 25 -0.167034 5.76961 77.7208 0.15158 -13 14 1 0 1 0 0 0 0 0 0 0.100169 25.0387 0 0 0 -1.90543 -1.02412 0 0.0209966 39.9244
-7.85657 2.51672 25 -20.6961 4.49064 58.0389 0.147123 -13 15 1 0 1 0 0 0 0 0 0 0.107675 25.7903 0 0 0 -2.38369 0.23819 0 0.00889399 40.2701
5.95979 0.535617 25 15.1197 0.542809 99.1148 0.218235 -13 16 1 0 1 0 0 0 0 0 0 0.0888965 25.2896 0 0 0 2.1461 0.398703 0 0.0956841 39.9999
2.05135 -0.491603 25 2.83299 -11.1792 93.4917 -1.02655 -13 17 1 0 1 0 0 0 0 0 0 0.0913917 25.2148 0 0 0 1.43391 2.72159 0 -1.15077 40.3081
1.94605 1.58727 25 6.67381 13.5823 87.2606 0.151426 -13 18 1 0 1 0 0 0 0 0 0 0.0958479 25.3043 0 0 0 0.58873 -2.02385 0 0.0236728 38.7555
1.69785 0.84423 25 -6.18984 9.79787 96.8167 -0.569 -13 19 1 0 1 0 0 0 0 0 0 0.0897811 25.2182 0 0 0 3.7028 -1.75495 0 -0.692035 40.265
3.43531 1.02194 25 10.6948 4.05103 93.76 1.85378 -13 20 1 0 1 0 0 0 0 0 0 0.0915707 25.149 0 0 0 0.853714 0.23975 0 1.72958 39.4634
-1.82603 -3.81145 25 -12.8238 -1.75958 86.5726 0.991297 -13 21 1 0 1 0 0 0 0 0 0 0.095279 25.1835 0 0 0 1.01181 -3.07453 0 0.864228 39.1249
1.40556 -0.751503 25 10.2777 11.7204 86.8094 0.640389 -13 22 1 0 1 0 0 0 0 0 0 0.0955264 25.4454 0 0 0 -1.78692 -4.23548 0 0.512545 40.6174
1.65228 -0.155513 25 4.14515 9.96276 90.6541 0.088489 -13 23 1 0 1 0 0 0 0 0 0 0.0934517 25.1681 0 0 0 0.240471 -2.62084 0 -0.0371564 39.2425
1.95609 1.81841 25 2.38762 5.36404 93.5061 -0.638265 -13 24 1 0 1 0 0 0 0 0 0 0.0910945 25.05 0 0 0 1.37877 0.355157 0 -0.761895 40.2314
-3.30966 -0.450422 25 -0.940293 3.55857 71.9122 -0.490126 -13 25 1 0 1 0 0 0 0 0 0 0.105304 25.0889 0 0 0 -4.0811 -2.06487 0 -0.624876 39.1774
1.12741 -0.675263 25 -2.59579 -0.221227 94.2663 2.07549 -13 26 1 0 1 0 0 0 0 0 0 0.0907794 25.023 0 0 0 1.06596 -1.18136 0 1.95216 40.0545
