#BLTrackFile out_1774985510_757894
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
0.185745 5.74187 62.3668 2.95238 5.53233 75.6464 -0.686582 -13 1 1 0 1 
4.35653 13.6085 62.3666 6.47702 14.3411 81.1802 1.71211 -13 2 1 0 1 
-3.98078 11.9539 62.367 -5.43529 12.4696 86.3021 -0.187889 -13 3 1 0 1 
14.2435 -0.17082 62.3661 16.8093 -0.0270374 74.0695 -0.152879 -13 4 1 0 1 
7.54108 -1.24287 62.3665 8.91842 -0.406392 88.8857 2.19426 -13 5 1 0 1 
0.688529 -1.38406 62.3668 -0.406508 2.06039 90.1248 -0.00406073 -13 6 1 0 1 
-0.845373 -6.98343 62.3669 0.392415 -10.3887 84.1303 0.973743 -13 7 1 0 1 
7.29182 -7.6784 62.3665 7.09779 -12.7182 92.8224 1.47018 -13 8 1 0 1 
2.21634 17.1607 62.3667 5.4264 11.2945 63.45 -0.420795 -13 9 1 0 1 
4.90325 7.39503 62.3666 3.70286 6.53962 94.6889 0.445793 -13 10 1 0 1 
0.357735 -3.492 62.3668 3.05208 -5.41924 76.9457 1.44941 -13 11 1 0 1 
6.88275 4.12296 62.3665 8.55238 6.13316 81.4351 1.20566 -13 12 1 0 1 
5.16046 5.97459 62.3666 4.76185 4.9741 91.2178 0.290982 -13 13 1 0 1 
-2.47299 4.48792 62.367 0.126304 5.76961 77.7209 0.503433 -13 14 1 0 1 
-29.7525 7.37388 62.3683 -19.7853 4.49064 58.3557 0.588714 -13 15 1 0 1 
15.3054 0.875284 62.3661 14.7415 0.542809 99.1718 0.522268 -13 16 1 0 1 
3.87483 -7.93793 62.3667 2.63734 -11.1792 93.4974 -0.712042 -13 17 1 0 1 
6.70465 11.2741 62.3665 6.66752 13.5823 87.2611 0.479404 -13 18 1 0 1 
-2.38345 7.15745 62.367 -6.48382 9.79787 96.7975 -0.259982 -13 19 1 0 1 
10.4566 3.70701 62.3663 10.4859 4.05103 93.7836 2.16712 -13 20 1 0 1 
-11.0831 -5.08306 62.3674 -12.7958 -1.75958 86.5767 1.32205 -13 21 1 0 1 
8.77451 7.64771 62.3664 10.2832 11.7204 86.8088 0.969388 -13 22 1 0 1 
4.46363 6.68799 62.3666 4.03671 9.96276 90.659 0.408435 -13 23 1 0 1 
3.4828 5.39123 62.3667 2.195 5.36404 93.5108 -0.324519 -13 24 1 0 1 
-3.92191 2.64122 62.367 -0.467733 3.55857 71.9168 -0.119588 -13 25 1 0 1 
-0.659765 -0.821615 62.3669 -2.81401 -0.221227 94.26 2.388 -13 26 1 0 1 
9.75928 8.67077 62.3664 12.3039 7.63085 81.1976 -0.359209 -13 27 1 0 1 
-9.9036 -43.3896 62.3673 -9.45013 -41.6421 71.5553 1.06955 -13 28 1 0 1 
1.51117 0.294448 62.3668 -1.84643 2.64923 98.566 0.838859 -13 29 1 0 1 
-1.51134 3.74363 62.3669 2.5141 2.05825 69.7698 -0.17248 -13 30 1 0 1 
3.16751 15.9008 62.3667 4.1217 16.8795 86.7081 0.308199 -13 31 1 0 1 
-8.73509 2.61585 62.3673 -8.07328 3.38946 82.0921 0.547452 -13 32 1 0 1 
7.8203 -1.46272 62.3665 7.35107 -0.159951 95.0418 0.46355 -13 33 1 0 1 
-16.8444 -3.43831 62.3677 -19.155 -5.88167 84.8565 -0.659168 -13 34 1 0 1 
-3.2981 3.80778 62.367 -2.53134 5.54357 85.6038 1.5015 -13 35 1 0 1 
4.28122 0.182746 62.3666 4.34712 -1.15122 91.3577 0.225785 -13 36 1 0 1 
-12.0174 5.99188 62.3674 -11.524 3.53803 79.1562 1.26011 -13 37 1 0 1 
0.203177 -7.32464 62.3668 -3.54588 -9.85833 97.8408 0.069043 -13 38 1 0 1 
0.218823 -10.4909 62.3668 1.41181 -11.5509 85.3344 0.747448 -13 39 1 0 1 
1.75809 -10.7929 62.3668 5.90894 -10.7194 68.6916 -0.0341282 -13 40 1 0 1 
-15.0091 1.35791 62.3676 -13.5329 -0.0911306 77.7365 0.797522 -13 41 1 0 1 
18.3096 -1.63939 62.2478 21.4326 -2.59378 90.1496 0.316414 -13 42 1 0 1 
-1.83114 1.36127 62.3669 -0.228431 2.48662 79.6425 0.267138 -13 43 1 0 1 
11.0498 -13.4431 62.3663 11.1533 -16.5288 92.2572 1.14133 -13 44 1 0 1 
