#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-0.683345 -1.34567 0.0 -2.0747 -3.37178 82.6987 0.101639 -13 1 1 0 1 0 0 0 0 0 0 0.098412 25.0242 0 0 0 0.113594 -1.10631 0 -0.0274878 38.1357
-0.260773 -0.897067 0.0 4.74924 -1.08768 84.1668 1.51484 -13 2 1 0 1 0 0 0 0 0 0 0.0973603 25.0975 0 0 0 -2.10744 0.102564 0 1.38636 39.2009
2.04326 1.03624 0.0 14.8915 -8.06536 82.3046 -0.590448 -13 3 1 0 1 0 0 0 0 0 0 0.099634 25.5877 0 0 0 -2.60279 3.84476 0 -0.721734 39.9094
-5.96264 -3.23223 0.0 -17.589 -5.21869 67.3411 0.997249 -13 4 1 0 1 0 0 0 0 0 0 0.105337 25.5519 0 0 0 -1.09161 -1.79937 0 0.861459 39.4978
4.86359 -0.390753 0.0 28.077 3.59413 85.3236 -0.333734 -13 5 1 0 1 0 0 0 0 0 0 0.0977738 26.0537 0 0 0 -2.37782 -0.942591 0 -0.464581 39.3972
1.19245 0.311818 0.0 3.75273 -4.5719 90.0899 0.823538 -13 6 1 0 1 0 0 0 0 0 0 0.0934992 25.0676 0 0 0 0.0571143 1.73111 0 0.698073 39.4134
-0.177185 -4.57102 0.0 -8.38238 -0.192331 91.0466 -0.802328 -13 7 1 0 1 0 0 0 0 0 0 0.0930968 25.1731 0 0 0 2.62853 -5.10534 0 -0.927721 39.3806
-3.96115 -0.867797 0.0 -12.9642 -14.4488 77.7725 0.0291664 -13 8 1 0 1 0 0 0 0 0 0 0.100263 25.6153 0 0 0 0.51503 2.28959 0 -0.102697 39.6089
0.0387653 1.61429 0.0 4.09933 3.64096 82.7112 0.57516 -13 9 1 0 1 0 0 0 0 0 0 0.0975772 25.0361 0 0 0 -0.798366 0.9223 0 0.446623 39.7228
0.640502 0.367137 0.0 -5.56827 2.5484 93.6502 1.28925 -13 10 1 0 1 0 0 0 0 0 0 0.0911276 25.047 0 0 0 1.95206 -0.368569 0 1.16561 39.9688
0.576655 -1.18476 0.0 -3.01918 -2.9228 93.4912 -0.592702 -13 11 1 0 1 0 0 0 0 0 0 0.0905562 25.0207 0 0 0 1.26042 -0.475732 0 -0.715875 41.0262
1.07437 1.21976 0.0 3.42829 1.35818 92.206 0.960987 -13 12 1 0 1 0 0 0 0 0 0 0.0914846 25.0349 0 0 0 0.386794 0.293696 0 0.837093 40.7122
-4.5524 -0.0182593 0.0 -4.23699 2.6015 66.2108 0.229508 -13 13 1 0 1 0 0 0 0 0 0 0.108103 25.0746 0 0 0 -3.80203 0.526445 0 0.0924716 38.8438
1.57815 0.356094 0.0 -8.31796 5.07576 97.5009 1.1406 -13 14 1 0 1 0 0 0 0 0 0 0.0895178 25.1624 0 0 0 4.10575 -0.906509 0 1.01788 39.9754
3.24264 -1.70006 0.0 16.2349 -9.55003 89.2637 0.647316 -13 15 1 0 1 0 0 0 0 0 0 0.0940925 25.453 0 0 0 -0.955066 0.516154 0 0.520551 40.0838
0.684284 -1.32176 0.0 0.37071 4.16836 89.6346 -1.31827 -13 16 1 0 1 0 0 0 0 0 0 0.0931364 25.0197 0 0 0 0.821964 -1.60626 0 -1.44337 40.123
-4.45516 3.66321 0.0 -10.2187 -1.74078 70.2236 0.358754 -13 17 1 0 1 0 0 0 0 0 0 0.104829 25.2202 0 0 0 -1.658 2.58718 0 0.224052 39.4994
0.574441 -1.25491 0.0 11.2295 -5.61956 83.4713 -0.677918 -13 18 1 0 1 0 0 0 0 0 0 0.096992 25.18 0 0 0 -1.71279 0.397035 0 -0.806316 40.5317
-4.40459 1.06234 0.0 -2.11305 6.74288 66.7453 -0.581264 -13 19 1 0 1 0 0 0 0 0 0 0.106798 25.079 0 0 0 -4.45769 -0.736521 0 -0.717297 40.9425
-4.40625 -0.509156 0.0 -7.82005 -5.11402 74.2096 -0.0750482 -13 20 1 0 1 0 0 0 0 0 0 0.101075 25.0828 0 0 0 -3.12305 0.454384 0 -0.206479 40.8172
3.95476 0.783869 0.0 -2.6202 6.35937 99.4234 1.63873 -13 21 1 0 1 0 0 0 0 0 0 0.0886206 25.0598 0 0 0 4.61361 -0.815193 0 1.5169 39.5863
0.739629 1.80399 0.0 -11.0096 -0.273052 95.9092 -1.11629 -13 22 1 0 1 0 0 0 0 0 0 0.0904455 25.2505 0 0 0 4.23365 1.81773 0 -1.23988 40.0653
2.51801 -0.381433 0.0 5.71497 -6.9345 94.4933 0.571645 -13 23 1 0 1 0 0 0 0 0 0 0.0908322 25.0742 0 0 0 1.6115 1.16526 0 0.448161 39.8086
-3.51208 5.62444 0.0 -3.08096 6.65657 69.8245 -0.474781 -13 24 1 0 1 0 0 0 0 0 0 0.106296 25.1289 0 0 0 -2.66573 3.35489 0 -0.610435 38.6308
-0.292304 0.832205 0.0 -8.8429 6.58009 91.8385 -0.493579 -13 25 1 0 1 0 0 0 0 0 0 0.0921539 25.21 0 0 0 2.336 -1.05344 0 -0.618358 40.3187
-0.973829 -0.311755 0.0 4.4253 1.74567 84.9502 -0.999631 -13 26 1 0 1 0 0 0 0 0 0 0.0955765 25.0432 0 0 0 -1.20652 -0.0848906 0 -1.12665 40.6755
4.8176 -1.19829 0.0 18.108 4.00166 92.8308 1.60706 -13 27 1 0 1 0 0 0 0 0 0 0.0929083 25.4192 0 0 0 0.322448 -2.0533 0 1.48127 38.7621
-1.31612 2.95539 0.0 -8.68671 18.4403 85.3422 0.305648 -13 28 1 0 1 0 0 0 0 0 0 0.0949294 25.4502 0 0 0 0.950212 -1.02165 0 0.178226 41.146
-1.0047 3.81574 0.0 10.2674 6.83713 76.6846 -0.554846 -13 29 1 0 1 0 0 0 0 0 0 0.101835 25.2182 0 0 0 -3.65057 1.97556 0 -0.687103 40.3308
