#BLTrackFile NTuple/Z188
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-10.0914 -15.9779 188.302 -2.50764 -2.17979 82.7267 2.18889 -13 1 1 0 1
25.749 -5.50134 188.302 7.57829 -0.66998 83.9637 3.57925 -13 2 1 0 1
79.7786 -34.4647 188.302 21.4082 -5.56726 81.0651 1.51989 -13 3 1 0 1
232.614 -5.37938 188.302 -51.9457 7.18047 -65.6578 3.06239 -13 3 1 0 1
20.0198 -18.1419 188.302 5.97569 -3.25476 90.0271 2.80556 -13 4 1 0 1
-38.489 -5.00495 188.302 -11.1594 0.2557 90.7479 1.17462 -13 5 1 0 1
-70.8881 -67.8119 188.302 -17.1977 -9.4559 77.7189 2.22626 -13 6 1 0 1
-209.882 7.25092 188.302 55.6555 22.7646 -53.0061 3.8918 -13 6 1 0 1
23.5915 17.3911 188.302 6.85119 2.34187 82.576 2.66204 -13 7 1 0 1
-24.692 10.2624 188.302 -7.55816 1.79667 93.5281 3.23134 -13 8 1 0 1
-13.6705 -12.4903 188.302 -4.27311 -1.99118 93.4667 1.34903 -13 9 1 0 1
15.3389 6.48743 188.302 4.18765 0.863095 92.1806 2.91539 -13 10 1 0 1
-34.7923 19.3655 188.302 -11.185 3.6645 97.2772 3.0438 -13 12 1 0 1
79.5632 -40.397 188.302 22.4717 -6.57931 88.1732 2.65696 -13 13 1 0 1
58.8064 -25.4995 188.302 16.2948 -3.73233 82.7387 1.40535 -13 16 1 0 1
-45.317 -25.2295 188.302 -10.1625 -3.24926 74.0306 2.17183 -13 18 1 0 1
-8.55663 24.1008 188.302 -3.80845 4.59956 99.4819 3.51634 -13 19 1 0 1
-47.5145 0.636951 188.302 -14.6478 -0.352359 95.421 0.807476 -13 20 1 0 1
28.255 -27.0679 188.302 8.31382 -4.96316 94.4244 2.50189 -13 21 1 0 1
-40.4512 26.8856 188.302 -11.7979 4.60885 91.6262 1.47596 -13 23 1 0 1
23.0334 7.15223 188.302 7.02972 1.23011 84.7834 1.05318 -13 24 1 0 1
58.7681 35.5584 188.302 15.5722 4.16267 75.9794 1.64553 -13 27 1 0 1
-14.3252 -9.80293 188.302 -4.78576 -2.76327 94.8578 0.97067 -13 28 1 0 1
-26.044 49.6825 188.302 -7.22728 7.58407 88.5631 2.018 -13 30 1 0 1
-45.3677 -3.30744 188.302 -12.9645 0.103939 90.6148 1.55451 -13 31 1 0 1
49.032 -26.607 188.302 13.285 -3.20453 77.3308 2.57015 -13 32 1 0 1
-9.50381 -2.67485 188.302 -2.06868 -0.235662 81.6795 1.92525 -13 33 1 0 1
