#BLTrackFile NTuple/Z161
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-9.26052 -15.2557 160.891 -2.50733 -2.1803 82.7267 2.04053 -13 1 1 0 1
23.275 -5.28261 160.891 7.57723 -0.670217 83.9638 3.43205 -13 2 1 0 1
72.545 -32.5801 160.891 21.3911 -5.57471 81.0691 1.36763 -13 3 1 0 1
210.899 -2.38056 160.891 -51.9892 7.17948 -65.6235 3.25048 -13 3 1 0 1
18.2017 -17.1496 160.891 5.97052 -3.25947 90.0273 2.66442 -13 4 1 0 1
-35.1189 -5.08211 160.891 -11.1562 0.255257 90.7483 1.03384 -13 5 1 0 1
-64.8257 -64.474 160.891 -17.1869 -9.46633 77.72 2.07024 -13 6 1 0 1
-181.066 19.0313 160.891 55.6918 22.7661 -52.9674 4.12072 -13 6 1 0 1
21.3173 16.6137 160.891 6.85029 2.34255 82.576 2.51334 -13 7 1 0 1
-22.4769 9.73587 160.891 -7.55734 1.79703 93.5281 3.09318 -13 8 1 0 1
-12.4182 -11.9056 160.891 -4.26985 -1.99417 93.4668 1.21095 -13 9 1 0 1
14.0946 6.23039 160.891 4.18403 0.864637 92.1808 2.77625 -13 10 1 0 1
-31.6411 18.3327 160.891 -11.1821 3.66611 97.2774 2.90835 -13 12 1 0 1
72.5815 -38.3497 160.891 22.4564 -6.58712 88.1765 2.51222 -13 13 1 0 1
53.4123 -24.2612 160.891 16.2806 -3.73855 82.7412 1.2559 -13 16 1 0 1
-41.5557 -24.0256 160.891 -10.157 -3.25233 74.0312 2.01195 -13 18 1 0 1
-7.50726 22.8334 160.891 -3.80819 4.60033 99.4819 3.38285 -13 19 1 0 1
-43.3082 0.738151 160.891 -14.6413 -0.352266 95.422 0.670339 -13 20 1 0 1
25.8418 -25.627 160.891 8.31223 -4.96471 94.4245 2.36435 -13 21 1 0 1
-36.9226 25.5062 160.891 -11.7935 4.61183 91.6267 1.33583 -13 23 1 0 1
20.7606 6.75452 160.891 7.02893 1.23037 84.7835 0.906883 -13 24 1 0 1
53.1504 34.0565 160.891 15.5699 4.16414 75.9798 1.48772 -13 27 1 0 1
-12.9431 -9.00383 160.891 -4.78227 -2.76566 94.8579 0.833702 -13 28 1 0 1
-23.8071 47.3352 160.891 -7.22648 7.58566 88.563 1.87525 -13 30 1 0 1
-41.4471 -3.3388 160.891 -12.9591 0.103537 90.6156 1.41345 -13 31 1 0 1
44.3256 -25.4698 160.891 13.276 -3.20947 77.3322 2.4145 -13 32 1 0 1
-8.80959 -2.59576 160.891 -2.06838 -0.23575 81.6795 1.77574 -13 33 1 0 1
54.1125 -45.0154 160.891 17.2253 -8.00968 91.9079 2.69248 -13 34 1 0 1
-33.8594 25.4565 160.891 -10.2068 4.80284 87.795 2.11286 -13 35 1 0 1
18.9353 -6.07226 160.891 6.31387 -0.813496 91.4369 2.03248 -13 36 1 0 1
-48.611 -1.22134 160.891 -15.3463 -0.23373 90.5386 1.90238 -13 37 1 0 1
-17.4811 46.7811 160.891 -4.36092 7.26617 79.7876 1.84717 -13 38 1 0 1
26.4793 38.7964 160.891 8.47725 6.61532 87.4526 1.14552 -13 39 1 0 1
15.7225 -20.753 160.891 4.73413 -3.63518 79.9827 1.72682 -13 40 1 0 1
4.2373 -24.8873 160.891 1.52616 -4.2962 83.8695 2.73461 -13 41 1 0 1
14.8485 -27.7231 160.891 4.52346 -4.62947 83.8637 1.70653 -13 42 1 0 1
-10.394 10.4462 160.891 -2.59124 1.89075 81.744 2.99249 -13 43 1 0 1
-10.7451 -45.536 160.891 -2.84638 -7.50313 81.6112 1.57998 -13 44 1 0 1
-11.2121 -47.4488 160.891 -3.28405 -7.10675 85.7224 3.04777 -13 45 1 0 1
47.2463 9.06263 160.891 14.0872 2.51766 79.3005 1.65272 -13 46 1 0 1
-18.9275 -29.0603 160.891 -4.15239 -4.25297 74.3201 1.11264 -13 48 1 0 1
-5.71595 -36.6911 160.891 -2.14946 -6.6235 91.051 1.47704 -13 49 1 0 1
-13.9264 -48.0484 160.891 -4.09117 -7.74231 87.8586 2.07841 -13 50 1 0 1
7.2347 -11.4095 160.891 1.7373 -2.36814 93.2481 1.92733 -13 51 1 0 1
21.5343 26.3761 160.891 6.9755 5.68295 92.4129 3.35217 -13 52 1 0 1
22.9625 -9.5542 160.891 7.49304 -1.47176 85.7221 2.09586 -13 54 1 0 1
30.0198 -2.68285 160.891 9.65935 0.370356 98.4929 2.32918 -13 57 1 0 1
-35.4762 35.5606 160.891 -10.6479 6.81512 88.0645 2.16547 -13 58 1 0 1
-22.7299 31.1537 160.891 -6.21121 4.78238 83.1666 2.02555 -13 59 1 0 1
-49.2187 -5.08963 160.891 -17.5434 -1.54849 98.6838 1.76561 -13 61 1 0 1
-15.6229 11.699 160.891 -4.28301 1.88003 83.9039 1.51278 -13 63 1 0 1
18.6722 -48.6251 160.891 5.99443 -9.63318 93.8492 1.41484 -13 65 1 0 1
-46.8382 -9.85169 160.891 -14.0909 -1.9962 87.4463 0.705121 -13 67 1 0 1
33.911 -8.36528 160.891 10.7868 -1.33641 84.4959 1.41001 -13 68 1 0 1
12.1402 2.06303 160.891 3.31653 0.786145 95.137 1.35143 -13 69 1 0 1
-44.7049 -38.296 160.891 -13.1221 -6.5446 85.7863 1.97112 -13 70 1 0 1
38.778 25.7869 160.891 12.3464 4.4669 91.1565 3.25902 -13 71 1 0 1
-1.08448 9.37333 160.891 -0.751687 2.22043 92.9174 1.46217 -13 72 1 0 1
61.602 -63.3953 160.891 18.3107 -10.2497 82.0139 1.94173 -13 74 1 0 1
-30.3425 -14.2104 160.891 -7.63322 -2.24865 76.4099 2.60809 -13 75 1 0 1
61.6189 48.2143 160.891 17.846 6.64276 76.5065 3.05606 -13 76 1 0 1
-13.1726 0.167685 160.891 -4.00688 0.179706 88.5664 3.09076 -13 77 1 0 1
63.4775 -16.553 160.891 20.1191 -2.64006 92.0315 1.13037 -13 79 1 0 1
29.2598 -16.4155 160.891 9.44354 -3.14202 88.3599 1.55646 -13 80 1 0 1
-41.5582 -12.6433 160.891 -11.2753 -1.71373 80.4064 2.03443 -13 81 1 0 1
6.8007 -34.33 160.891 1.31356 -6.28738 97.8851 1.74881 -13 83 1 0 1
7.41468 -19.8885 160.891 2.48024 -2.69456 80.4543 1.28209 -13 84 1 0 1
-27.0967 55.8963 160.891 -7.67888 9.1225 84.2064 2.41554 -13 86 1 0 1
12.6097 24.9333 160.891 3.84358 4.90379 84.7745 1.5384 -13 88 1 0 1
55.1583 -23.3159 160.891 16.7006 -3.5632 80.5295 3.00586 -13 89 1 0 1
-19.7182 -7.03898 160.891 -5.11947 -1.0579 80.1824 3.09635 -13 90 1 0 1
4.22386 -6.6909 160.891 1.29646 -0.560389 86.7874 2.34902 -13 91 1 0 1
-53.9693 -23.6603 160.891 -17.3418 -5.20347 92.0796 3.44311 -13 92 1 0 1
9.48506 3.9949 160.891 2.90397 0.291569 90.0368 2.06874 -13 93 1 0 1
29.5355 6.01352 160.891 9.17947 0.635224 80.1265 2.71558 -13 94 1 0 1
24.9281 2.72398 160.891 7.79319 0.896335 94.8246 2.93177 -13 95 1 0 1
1.3229 15.771 160.891 -0.565253 3.87345 100.965 1.87707 -13 97 1 0 1
14.3065 12.1733 160.891 4.13605 2.38608 91.539 2.8623 -13 98 1 0 1
9.06371 11.4151 160.891 2.84741 1.92996 88.0339 1.72915 -13 99 1 0 1
-24.2844 -47.2744 160.891 -7.00638 -7.57189 84.6069 2.96527 -13 101 1 0 1
-9.0248 -21.6919 160.891 -4.204 -4.02268 99.1759 1.90243 -13 102 1 0 1
-48.3379 10.5758 160.891 -14.2053 1.82649 85.3986 2.14688 -13 103 1 0 1
-11.1325 24.8603 160.891 -2.79773 3.42233 81.5262 1.27704 -13 104 1 0 1
45.6239 20.5136 160.891 14.5158 3.53673 91.865 2.2733 -13 105 1 0 1
-44.8988 31.0213 160.891 -13.1244 5.12846 85.0201 1.40944 -13 106 1 0 1
41.1354 -22.8585 160.891 13.0823 -3.01866 88.1144 1.1914 -13 107 1 0 1
-25.7157 -6.18599 160.891 -8.45791 -0.976183 92.5773 3.01941 -13 109 1 0 1
51.9902 1.7803 160.891 16.4766 0.62801 92.6189 1.53179 -13 110 1 0 1
-66.0755 1.26274 160.891 -17.5108 -0.128506 76.3345 1.50244 -13 112 1 0 1
-18.0323 16.7793 160.891 -7.10755 4.18341 98.3405 0.782154 -13 113 1 0 1
-19.9139 -3.39181 160.891 -6.7953 -0.491079 93.0982 2.80273 -13 114 1 0 1
5.23758 -17.133 160.891 1.879 -1.81369 82.2328 1.60683 -13 115 1 0 1
