#BLTrackFile NTuple/Z0
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-5.32753 -9.38766 0 -1.81988 -3.37178 82.7047 1.16957 -13 1 1 0 1
11.0359 -3.44012 0 5.9123 -1.08768 84.0931 2.56903 -13 2 1 0 1
37.8093 -18.1714 0 16.1168 -8.06536 82.0735 0.481955 -13 3 1 0 1
28.3687 19.0421 0 -66.1994 7.49045 -51.2094 4.5632 -13 3 1 0 1
9.20469 -9.67416 0 4.65161 -4.5719 90.048 1.83609 -13 4 1 0 1
-18.5986 -4.9885 0 -8.5883 -0.192331 91.0274 0.209347 -13 5 1 0 1
-36.2849 -37.6725 0 -12.41 -14.4488 77.8629 1.15603 -13 6 1 0 1
67.8664 118.096 0 65.8557 26.6257 -37.1417 5.85012 -13 6 1 0 1
10.0869 10.2779 0 5.32632 3.64096 82.6413 1.64106 -13 7 1 0 1
-11.4754 5.73887 0 -5.92483 2.5484 93.6283 2.2829 -13 8 1 0 1
-6.16532 -7.3512 0 -3.372 -2.9228 93.4791 0.400599 -13 9 1 0 1
8.08451 4.11867 0 3.13641 1.35818 92.2164 1.95975 -13 10 1 0 1
-15.8551 10.6391 0 -8.89005 5.07576 97.4504 2.11439 -13 12 1 0 1
38.7112 -22.6547 0 17.1474 -9.55003 89.0929 1.66901 -13 13 1 0 1
27.2153 -14.4721 0 12.4107 -5.61956 83.3039 0.38307 -13 16 1 0 1
-24.2576 -14.1399 0 -7.07074 -5.11402 74.2847 1.07588 -13 18 1 0 1
-1.92328 13.3867 0 -3.31295 6.35937 99.4027 2.59887 -13 19 1 0 1
-22.4557 1.24101 0 -11.486 -0.273052 95.8533 -0.131993 -13 20 1 0 1
13.9698 -14.8079 0 6.4139 -6.9345 94.4484 1.55727 -13 21 1 0 1
-19.5967 14.9945 0 -9.09255 6.58009 91.8141 0.514581 -13 23 1 0 1
9.42219 3.73334 0 5.55471 1.74567 84.8838 0.0489166 -13 24 1 0 1
26.0442 21.3335 0 11.7528 6.83713 76.471 0.565889 -13 27 1 0 1
-5.94615 -3.53371 0 -3.85947 -3.41152 94.8789 0.0298809 -13 28 1 0 1
-12.9054 28.8148 0 -5.47817 11.2691 88.2959 1.03572 -13 30 1 0 1
-22.3123 -3.16701 0 -9.91977 -0.187426 90.9983 0.588018 -13 31 1 0 1
21.4786 -15.9133 0 10.0981 -5.20653 77.7029 1.50412 -13 32 1 0 1
-5.66326 -1.84323 0 -1.39879 -0.445338 81.6928 0.898256 -13 33 1 0 1
28.9276 -26.7558 0 13.2613 -11.4912 92.1955 1.86925 -13 34 1 0 1
-18.3944 14.1582 0 -7.72019 6.74657 87.9209 1.2712 -13 35 1 0 1
9.54309 -4.04856 0 4.9418 -1.29548 91.5158 1.21202 -13 36 1 0 1
-25.909 -0.69129 0 -11.7876 -0.327267 91.07 1.07609 -13 37 1 0 1
-10.5295 26.9509 0 -3.05162 10.8716 79.4378 0.952134 -13 38 1 0 1
13.3758 22.7365 0 6.55927 9.61024 87.3396 0.300558 -13 39 1 0 1
7.81639 -11.1998 0 3.60043 -5.21319 79.9545 0.836544 -13 40 1 0 1
1.71192 -14.0573 0 1.23079 -6.20433 83.7548 1.8701 -13 41 1 0 1
7.63161 -15.9516 0 3.44522 -6.76308 83.77 0.841652 -13 42 1 0 1
-6.37786 5.62325 0 -1.80953 2.68423 81.7428 2.11519 -13 43 1 0 1
-6.23233 -25.8249 0 -2.04735 -11.0009 81.2378 0.697703 -13 44 1 0 1
-6.12896 -29.1755 0 -2.45961 -10.8101 85.3622 2.19211 -13 45 1 0 1
23.6785 3.05823 0 10.6768 3.15577 79.8086 0.757596 -13 46 1 0 1
-12.1179 -16.4373 0 -2.71793 -6.48696 74.2249 0.178048 -13 48 1 0 1
-2.41838 -21.4413 0 -1.74754 -9.45256 90.8095 0.652405 -13 49 1 0 1
-7.74875 -29.009 0 -3.06293 -11.4767 87.4912 1.23493 -13 50 1 0 1
4.91253 -6.2666 0 1.1792 -3.23658 93.2307 1.116 -13 51 1 0 1
11.3259 14.0293 0 5.40315 7.67683 92.3741 2.53511 -13 52 1 0 1
11.1078 -5.81555 0 5.84401 -2.21528 85.8343 1.24352 -13 54 1 0 1
16.823 -3.01203 0 7.43773 0.124036 98.6862 1.54147 -13 57 1 0 1
-19.3972 19.6257 0 -8.04019 9.5249 88.0898 1.32397 -13 58 1 0 1
-13.0127 18.6093 0 -4.5257 7.19925 83.1013 1.15596 -13 59 1 0 1
-24.8394 -2.14997 0 -13.9742 -1.91737 99.2457 0.976783 -13 61 1 0 1
-8.98179 6.8757 0 -3.12319 2.78448 83.9299 0.649466 -13 63 1 0 1
10.0354 -27.5536 0 4.62415 -13.3571 93.4698 0.601866 -13 65 1 0 1
-25.4694 -5.22972 0 -10.6506 -2.74155 87.9116 -0.137883 -13 67 1 0 1
16.711 -4.96177 0 8.34358 -1.98407 84.7593 0.54989 -13 68 1 0 1
7.62768 0.562342 0 2.39613 0.927352 95.1634 0.549314 -13 69 1 0 1
-24.483 -22.1565 0 -9.83576 -9.49302 85.9503 1.11604 -13 70 1 0 1
20.5611 15.4443 0 9.51067 6.46475 91.3764 2.4353 -13 71 1 0 1
0.139178 4.67039 0 -0.691278 2.92072 92.8985 0.649265 -13 72 1 0 1
31.9492 -36.5868 0 13.8322 -15.1328 82.1358 1.05705 -13 74 1 0 1
-17.6355 -7.87349 0 -5.38073 -3.33532 76.5619 1.69189 -13 75 1 0 1
30.8651 28.8095 0 13.4015 10.3884 76.9957 2.13577 -13 76 1 0 1
-7.13884 -0.167383 0 -3.03949 0.185306 88.6049 2.25524 -13 77 1 0 1
34.2523 -10.3926 0 15.4624 -3.93501 92.8815 0.310226 -13 79 1 0 1
14.8198 -9.09666 0 7.32287 -4.39445 88.5076 0.71873 -13 80 1 0 1
-23.3891 -7.84107 0 -8.20705 -2.70287 80.7502 1.14772 -13 81 1 0 1
5.26149 -20.8962 0 0.771582 -8.95416 97.683 0.95722 -13 83 1 0 1
3.19686 -12.3122 0 1.95831 -4.25092 80.4015 0.395495 -13 84 1 0 1
-15.087 32.5852 0 -5.67997 13.4368 83.786 1.5482 -13 86 1 0 1
6.54482 13.0934 0 2.92605 6.78768 84.6812 0.67928 -13 88 1 0 1
27.5834 -13.7212 0 12.7206 -5.3664 81.1541 2.11825 -13 89 1 0 1
-11.5286 -4.14966 0 -3.6523 -1.60267 80.2536 2.20846 -13 90 1 0 1
2.22528 -4.94754 0 0.988068 -1.10546 86.7862 1.50344 -13 91 1 0 1
-28.6565 -12.4168 0 -13.3932 -6.98778 92.6189 2.62296 -13 92 1 0 1
5.17829 3.06562 0 2.20623 0.619877 90.0549 1.24124 -13 93 1 0 1
14.1496 4.06773 0 7.06401 1.1152 80.3354 1.82696 -13 94 1 0 1
13.9253 0.971569 0 5.95046 1.08901 94.956 2.12785 -13 95 1 0 1
2.37486 8.25938 0 -0.706684 5.06119 100.912 1.09969 -13 97 1 0 1
8.36108 6.82792 0 3.06877 3.31675 91.552 2.04231 -13 98 1 0 1
4.71461 6.75322 0 2.18708 2.81301 88.029 0.890463 -13 99 1 0 1
-13.3413 -27.939 0 -5.2197 -11.2305 84.329 2.10229 -13 101 1 0 1
-2.9144 -13.2415 0 -3.59269 -5.70828 99.1172 1.11732 -13 102 1 0 1
-26.3957 6.07638 0 -10.6545 2.63949 85.8927 1.29196 -13 103 1 0 1
-6.77096 15.406 0 -1.96199 5.36709 81.4457 0.397465 -13 104 1 0 1
24.408 12.387 0 11.1735 5.12842 92.2564 1.45326 -13 105 1 0 1
-24.5237 18.1608 0 -9.82601 7.523 85.2867 0.550782 -13 106 1 0 1
21.1649 -15.0548 0 10.0941 -4.82768 88.4263 0.351651 -13 107 1 0 1
-13.3361 -3.90153 0 -6.58508 -1.46069 92.723 2.20448 -13 109 1 0 1
28.1676 0.541713 0 12.6577 0.751383 93.2167 0.715839 -13 110 1 0 1
-36.6596 1.36672 0 -12.6536 -0.0134283 77.2883 0.586065 -13 112 1 0 1
-7.89217 8.48493 0 -5.83172 5.43862 98.363 -0.00670628 -13 113 1 0 1
-9.9434 -2.21963 0 -5.35447 -0.75905 93.1904 1.99057 -13 114 1 0 1
2.06896 -11.7077 0 1.5152 -3.18429 82.1986 0.732637 -13 115 1 0 1
7.38947 30.3041 0 2.5668 14.2705 91.5883 0.22718 -13 116 1 0 1
-6.56338 -15.0769 0 -2.77715 -5.7885 87.1547 2.01774 -13 118 1 0 1
24.696 -6.38357 0 11.3851 -2.44688 90.9663 0.130335 -13 119 1 0 1
-29.3307 34.3834 0 -12.6734 13.9076 88.6009 2.32641 -13 120 1 0 1
12.9833 -14.9988 0 5.66759 -8.03306 96.9342 1.06946 -13 121 1 0 1
-28.2367 17.459 0 -14.2959 7.74599 96.7136 1.17787 -13 123 1 0 1
11.6498 -13.1797 0 6.10828 -5.58339 83.8085 0.0630443 -13 124 1 0 1
-38.5077 -19.3603 0 -13.7395 -7.10617 78.7531 0.814592 -13 125 1 0 1
21.6131 43.3839 0 66.8011 11.5047 -42.9719 5.20891 -13 125 1 0 1
-5.98849 27.0385 0 -1.61681 10.5434 83.5699 0.777886 -13 126 1 0 1
