#BLTrackFile NTuple/Z1011
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
203.047 48.1613 1011.21 38.9591 -2.00883 92.1804 5.88177 -13 1 1 0 1
155.426 5.66962 1011.21 28.2907 -0.271426 81.1728 6.84098 -13 2 1 0 1
-167.306 37.7047 1011.21 -29.7435 -1.95379 77.8541 7.10728 -13 3 1 0 1
107.152 63.9442 1011.21 20.2837 -3.23965 93.1639 5.8034 -13 5 1 0 1
-4.36382 64.472 1011.21 -0.847474 -3.32841 91.58 6.14124 -13 6 1 0 1
-86.6198 -27.7243 1011.21 -17.2684 1.09882 100.6 7.03365 -13 7 1 0 1
185.671 133.27 1011.21 32.6984 -8.58058 72.9791 6.09591 -13 8 1 0 1
-54.0904 173.304 1011.21 -9.54296 -11.0164 80.6048 7.20443 -13 9 1 0 1
87.0427 55.4622 1011.21 16.5168 -2.55883 94.4603 5.67611 -13 10 1 0 1
238.86 -37.8462 1011.21 45.0453 1.80111 85.4481 6.15646 -13 11 1 0 1
109.016 -62.6783 1011.21 20.6147 3.48256 92.8554 6.70169 -13 12 1 0 1
-16.3407 131.319 1011.21 -3.10801 -6.72667 91.2172 6.35955 -13 13 1 0 1
8.95738 38.782 1011.21 1.64609 -2.26923 86.0436 7.15244 -13 14 1 0 1
181.49 -72.699 1011.21 34.6255 3.4443 92.1806 5.61407 -13 15 1 0 1
136.483 104.684 1011.21 24.7817 -6.34397 81.5471 6.87791 -13 16 1 0 1
74.3148 10.064 1011.21 13.8753 -0.538818 90.1761 5.79923 -13 17 1 0 1
56.1175 -173.557 1011.21 10.4378 9.06134 92.7194 5.75367 -13 18 1 0 1
-183.113 63.3626 1011.21 -33.896 -3.83064 84.7228 5.48734 -13 19 1 0 1
-69.0642 -32.1974 1011.21 -12.8052 1.62731 88.8196 7.90272 -13 20 1 0 1
75.1093 70.9488 1011.21 14.1756 -3.65631 92.4906 6.71941 -13 21 1 0 1
-16.034 -26.6871 1011.21 -3.4769 1.24865 98.922 6.5897 -13 22 1 0 1
35.1805 -121.798 1011.21 6.54263 6.22843 95.5819 4.54451 -13 23 1 0 1
-29.5903 -203.392 1011.21 -5.33225 11.8193 85.9651 7.17715 -13 24 1 0 1
-182.586 -126.729 1011.21 -31.9303 8.35118 74.1192 6.58936 -13 26 1 0 1
141.48 30.3401 1011.21 25.9389 -1.51227 83.6118 6.54541 -13 27 1 0 1
-42.1092 -87.4754 1011.21 -7.49111 5.32854 84.249 6.75374 -13 28 1 0 1
267.022 -108.121 1011.21 17.9373 -3.61823 65.404 7.89749 -13 29 1 0 1
121.851 -144.783 1011.21 23.4828 6.28633 97.6271 6.48877 -13 30 1 0 1
220.971 -4.28865 1011.21 40.7304 0.0370948 81.1837 6.82084 -13 31 1 0 1
-178.405 -96.6375 1011.21 -32.8081 5.39215 83.757 5.95948 -13 32 1 0 1
-44.5499 67.7824 1011.21 -8.28529 -3.68488 89.4778 5.31644 -13 33 1 0 1
-130.403 -134.644 1011.21 -23.5784 7.72992 83.2345 5.54555 -13 34 1 0 1
32.7135 99.205 1011.21 5.98582 -5.59891 89.0007 8.08137 -13 35 1 0 1
-151.88 -79.6963 1011.21 -28.805 3.99608 90.5451 7.27614 -13 36 1 0 1
84.2601 -42.2023 1011.21 14.9887 2.80287 78.4927 5.51954 -13 37 1 0 1
41.834 104.25 1011.21 7.62939 -6.37708 84.8828 6.51722 -13 38 1 0 1
25.3973 -108.536 1011.21 4.61707 6.7734 82.6541 6.97542 -13 39 1 0 1
-28.7913 78.7119 1011.21 -5.50435 -4.1831 91.5813 6.26018 -13 40 1 0 1
-224.799 176.47 1011.21 -19.4757 10.1223 90.0965 7.51059 -13 41 1 0 1
-5.08472 73.8143 1011.21 -0.917704 -4.34196 86.2938 6.39364 -13 42 1 0 1
245.945 22.3188 1011.21 43.8762 -1.45936 72.5294 6.08597 -13 43 1 0 1
-200.1 -5.8936 1011.21 -37.5007 -0.0606501 85.9419 5.85062 -13 44 1 0 1
31.0346 -8.88712 1011.21 5.73746 0.790548 95.222 5.7627 -13 45 1 0 1
-23.371 -33.324 1011.21 -4.48169 1.6825 93.2511 4.81077 -13 46 1 0 1
