#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
4.72816 -1.40005 0.0 12.9566 4.93782 99.1304 -0.0725243 -13 1 1 0 1 0 0 0 0 0 0 0.0886374 25.2643 0 0 0 1.22882 -2.34186 0 -0.194829 40.4033
-0.191276 -0.595404 0.0 7.99904 0.54443 85.5873 0.390288 -13 2 1 0 1 0 0 0 0 0 0 0.0958046 25.1329 0 0 0 -2.7356 -0.53525 0 0.262911 40.4087
-2.03332 -3.52646 0.0 -9.22572 3.50575 82.7789 0.517058 -13 3 1 0 1 0 0 0 0 0 0 0.0979152 25.157 0 0 0 0.41583 -4.79431 0 0.388015 39.0687
2.60868 1.40875 0.0 16.5182 8.25647 87.1496 0.223944 -13 4 1 0 1 0 0 0 0 0 0 0.0955273 25.3383 0 0 0 -0.666328 -0.7112 0 0.0963573 39.2928
3.1191 1.53399 0.0 6.15906 6.12132 95.0054 -0.249609 -13 5 1 0 1 0 0 0 0 0 0 0.0912928 25.0875 0 0 0 1.87395 -0.103665 0 -0.373457 38.7902
0.298759 -0.02013 0.0 -0.142264 6.09899 91.4411 -0.027991 -13 6 1 0 1 0 0 0 0 0 0 0.0921907 25.0955 0 0 0 0.539762 -2.14208 0 -0.152544 40.3256
3.1402 0.669176 0.0 -5.7452 -2.89703 101.874 1.20579 -13 7 1 0 1 0 0 0 0 0 0 0.0864887 25.0498 0 0 0 4.55008 1.38011 0 1.08554 41.2546
-0.723469 1.44404 0.0 8.5705 11.2508 79.1753 -0.6988 -13 8 1 0 1 0 0 0 0 0 0 0.100174 25.2851 0 0 0 -3.64164 -0.615115 0 -0.829882 39.9477
-0.98708 3.33477 0.0 -3.16563 14.7616 80.5086 0.532831 -13 9 1 0 1 0 0 0 0 0 0 0.100267 25.3857 0 0 0 -0.91765 -0.962341 0 0.401497 38.2637
0.804117 -1.74363 0.0 -1.76294 -34.6991 85.4429 1.34936 -13 10 1 0 1 0 0 0 0 0 0 0.0987259 26.7715 0 0 0 1.28436 7.80009 0 1.21621 39.4216
3.07493 -0.891335 0.0 4.93343 5.48761 95.6433 -0.348826 -13 11 1 0 1 0 0 0 0 0 0 0.0905407 25.0987 0 0 0 2.2703 -2.83372 0 -0.472147 39.5874
3.66351 0.223014 0.0 14.5715 -3.70424 95.434 0.0548284 -13 12 1 0 1 0 0 0 0 0 0 0.0903263 25.3133 0 0 0 -0.12646 1.37825 0 -0.0688253 40.7201
3.1437 -4.54263 0.0 6.2512 -5.78627 94.798 0.641141 -13 13 1 0 1 0 0 0 0 0 0 0.0911721 25.0878 0 0 0 1.53307 -3.22454 0 0.517381 39.1392
0.748649 -1.43174 0.0 -0.950125 12.4443 90.6626 0.152889 -13 14 1 0 1 0 0 0 0 0 0 0.093213 25.2785 0 0 0 0.439962 -5.11227 0 0.0271682 40.1744
3.19887 5.18217 0.0 30.0296 -8.41721 69.3172 -0.204076 -13 15 1 0 1 0 0 0 0 0 0 0.111771 26.913 0 0 0 -6.28166 7.89323 0 -0.347639 40.535
-0.100525 0.760269 0.0 0.43066 3.45693 86.0188 0.759534 -13 16 1 0 1 0 0 0 0 0 0 0.0957435 25.0188 0 0 0 0.156688 0.208708 0 0.632462 39.2978
4.68299 -1.00392 0.0 11.258 -7.15309 97.6225 -0.379371 -13 17 1 0 1 0 0 0 0 0 0 0.0901526 25.2323 0 0 0 1.83159 0.876724 0 -0.502705 38.9722
0.141721 3.03112 0.0 6.79548 9.16708 84.7 0.391662 -13 18 1 0 1 0 0 0 0 0 0 0.0963446 25.1309 0 0 0 -1.25256 1.1625 0 0.26388 39.8301
2.05406 0.168497 0.0 3.76102 0.938237 91.1565 -0.38654 -13 19 1 0 1 0 0 0 0 0 0 0.093281 25.0327 0 0 0 0.976586 -0.402517 0 -0.511755 38.7644
1.94489 -2.75502 0.0 3.5596 -16.3829 92.2327 -0.400692 -13 20 1 0 1 0 0 0 0 0 0 0.0923909 25.3565 0 0 0 1.22744 1.39783 0 -0.525966 39.8851
-0.950974 5.2452 0.0 -10.9351 5.60456 90.5018 -0.771481 -13 21 1 0 1 0 0 0 0 0 0 0.0930668 25.1574 0 0 0 1.50134 4.02027 0 -0.896818 39.4797
-0.153739 1.00193 0.0 -4.09163 -3.05966 89.6072 1.65413 -13 22 1 0 1 0 0 0 0 0 0 0.0933979 25.0339 0 0 0 0.980404 1.28082 0 1.52881 39.6391
1.93244 1.20456 0.0 4.03157 6.73415 93.3125 0.61267 -13 23 1 0 1 0 0 0 0 0 0 0.0916758 25.0815 0 0 0 0.742033 -0.389116 0 0.488544 39.564
4.85422 -0.560035 0.0 -1.02822 -2.64221 98.9503 0.685326 -13 24 1 0 1 0 0 0 0 0 0 0.0890443 25.0103 0 0 0 5.114 0.107526 0 0.563306 39.1273
2.26955 -3.97809 0.0 2.4267 -11.6303 95.2699 -1.48996 -13 25 1 0 1 0 0 0 0 0 0 0.0905958 25.2517 0 0 0 1.68474 -0.495316 0 -1.61367 40.3448
-0.835432 -1.52922 0.0 -1.76973 -18.1778 84.9975 0.721315 -13 26 1 0 1 0 0 0 0 0 0 0.0973538 25.5844 0 0 0 0.619345 3.61176 0 0.591799 39.1394
0.582249 -1.35589 0.0 13.287 -6.68454 80.17 -1.24396 -13 27 1 0 1 0 0 0 0 0 0 0.100106 25.3211 0 0 0 -3.11945 0.00989733 0 -1.37505 39.4427
-3.09672 -4.68928 0.0 -9.71147 -10.5895 79.8529 -0.162 -13 28 1 0 1 0 0 0 0 0 0 0.0977822 25.2221 0 0 0 -1.15561 -2.3558 0 -0.291139 41.023
0.730263 -1.96698 0.0 7.38557 2.8837 87.1963 0.173239 -13 29 1 0 1 0 0 0 0 0 0 0.0945917 25.0719 0 0 0 -0.977003 -2.60491 0 0.0469185 40.1816
-2.06971 -2.54005 0.0 -2.38187 -7.64239 84.3701 0.27991 -13 30 1 0 1 0 0 0 0 0 0 0.0953968 25.0972 0 0 0 -0.853275 -0.793339 0 0.152896 40.9666
-1.76164 -5.67048 0.0 10.588 -7.21111 66.6965 0.220207 -13 31 1 0 1 0 0 0 0 0 0 0.111711 25.5504 0 0 0 -6.27698 -3.60727 0 0.079368 39.3003
4.14851 1.33552 0.0 7.603 -14.6945 99.2385 0.562374 -13 32 1 0 1 0 0 0 0 0 0 0.0886218 25.3446 0 0 0 2.27907 5.05742 0 0.439896 40.5025
