#BLTrackFile NTuple/Z168
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
44.7773 19.3306 167.69 1.96997 8.77945 99.6901 1.7149 -13 1 1 0 1
30.1019 2.01355 167.69 1.44399 0.917466 85.9449 2.33164 -13 2 1 0 1
-34.4972 14.0588 167.69 0.105804 6.13213 83.1393 2.50495 -13 3 1 0 1
61.3229 42.4472 167.69 1.74323 16.7851 87.4716 2.1541 -13 4 1 0 1
23.308 29.3106 167.69 0.829935 12.082 94.6296 1.5803 -13 5 1 0 1
-0.6634 28.6111 167.69 -0.172075 11.8201 90.8788 1.84321 -13 6 1 0 1
-16.7098 -11.2086 167.69 -2.47182 -5.13489 101.918 2.96901 -13 7 1 0 1
34.6404 64.5803 167.69 1.06518 23.9682 76.7668 1.35894 -13 8 1 0 1
-11.5086 85.788 167.69 0.291026 31.6404 75.5537 2.5846 -13 9 1 0 1
19.1247 23.3415 167.69 0.642365 10.1376 95.3882 1.47339 -13 10 1 0 1
50.8005 -16.1711 167.69 2.23094 -6.95124 96.3348 1.87969 -13 11 1 0 1
23.6866 -31.5232 167.69 0.831947 -12.3313 94.3741 2.47326 -13 12 1 0 1
-2.96045 57.552 167.69 -0.381246 23.8401 88.3571 2.04532 -13 13 1 0 1
1.71574 18.3393 167.69 0.106108 7.1394 85.7927 2.69661 -13 14 1 0 1
40.0353 -32.2443 167.69 1.52274 -13.6959 97.5611 1.4248 -13 15 1 0 1
26.4603 50.8682 167.69 1.18963 19.3781 83.2309 2.3562 -13 16 1 0 1
15.5016 4.61529 167.69 0.616411 1.87006 91.2177 1.48332 -13 17 1 0 1
12.9225 -80.2651 167.69 -0.0694289 -32.4593 87.9451 1.48416 -13 18 1 0 1
-38.1976 33.0375 167.69 -1.25916 12.4593 90.4696 1.11731 -13 19 1 0 1
-14.3136 -13.466 167.69 -0.507463 -5.70436 89.5698 3.54617 -13 20 1 0 1
15.8206 32.3332 167.69 0.733188 13.2726 92.6937 2.46224 -13 21 1 0 1
-0.598906 -11.9878 167.69 -1.75443 -5.08846 98.8445 2.47304 -13 22 1 0 1
8.83468 -57.1007 167.69 -0.33413 -23.255 93.1483 0.346967 -13 23 1 0 1
-6.56455 -96.5385 167.69 0.136115 -37.1351 78.6073 2.71497 -13 24 1 0 1
52.6605 -38.0857 167.69 0.98609 -14.267 80.2742 0.785285 -13 25 1 0 1
-37.6817 -64.4645 167.69 0.725001 -23.4616 77.6657 1.88853 -13 26 1 0 1
28.0533 11.8338 167.69 1.25183 5.15072 87.3954 2.09344 -13 27 1 0 1
-9.65882 -42.6385 167.69 0.43725 -16.2063 83.1839 2.24764 -13 28 1 0 1
49.2279 -56.5527 167.69 -0.475264 -18.3223 65.3957 2.52622 -13 29 1 0 1
27.5492 -61.369 167.69 1.00289 -26.9565 96.9245 2.36301 -13 30 1 0 1
45.0922 0.000446955 167.69 1.76107 -0.431675 90.8101 2.40815 -13 31 1 0 1
-37.228 -45.1011 167.69 -0.969205 -17.917 88.3104 1.55362 -13 32 1 0 1
-9.10248 31.081 167.69 -0.410842 12.505 89.0616 0.967626 -13 33 1 0 1
-27.7669 -62.2662 167.69 0.00578863 -24.4462 83.343 1.06561 -13 34 1 0 1
7.3434 47.1522 167.69 -0.0777689 18.534 87.4345 3.71493 -13 35 1 0 1
-31.3756 -35.7191 167.69 -1.9179 -14.8606 93.9127 3.02077 -13 36 1 0 1
