#BLTrackFile NTuple/Z0
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
30.0063 8.44946 0 13.4325 4.93782 99.067 0.895866 -13 1 1 0 1
18.4749 0.665636 0 9.0209 0.54443 85.4856 1.44267 -13 2 1 0 1
-23.9128 4.91438 0 -8.94601 3.50575 82.8096 1.59796 -13 3 1 0 1
40.099 20.131 0 17.4659 8.25647 86.9646 1.26928 -13 4 1 0 1
15.5987 14.3037 0 6.80929 6.12132 94.961 0.740972 -13 5 1 0 1
-0.191953 13.2319 0 -0.311028 6.09899 91.4407 0.98572 -13 6 1 0 1
-8.74649 -4.986 0 -6.43369 -2.89703 101.833 2.1624 -13 7 1 0 1
21.286 29.6133 0 9.845 11.2508 79.0269 0.410191 -13 8 1 0 1
-8.33367 39.8057 0 -2.78171 14.7616 80.5228 1.63461 -13 9 1 0 1
12.9033 10.4842 0 5.55774 5.48761 95.6091 0.637949 -13 10 1 0 1
33.451 -7.45027 0 15.1912 -3.70424 95.3373 1.04409 -13 11 1 0 1
15.8535 -16.6394 0 6.90955 -5.78627 94.7523 1.63282 -13 12 1 0 1
-1.47404 25.8428 0 -1.07924 12.4443 90.6612 1.17481 -13 13 1 0 1
1.01447 8.74434 0 0.532839 3.45693 86.0182 1.80951 -13 14 1 0 1
26.9996 -15.4995 0 11.7956 -7.15309 97.559 0.597195 -13 15 1 0 1
16.2435 24.4924 0 7.85427 9.16708 84.6084 1.4529 -13 16 1 0 1
10.0673 2.2103 0 4.567 0.938237 91.1197 0.626825 -13 17 1 0 1
9.374 -37.9948 0 3.34442 -16.3829 92.2408 0.612779 -13 18 1 0 1
-25.1599 17.5911 0 -11.0415 5.60456 90.4889 0.254726 -13 19 1 0 1
-9.31668 -5.7906 0 -4.16296 -3.05966 89.6039 2.68074 -13 20 1 0 1
10.2206 15.5204 0 4.75179 6.73415 93.2786 1.61381 -13 21 1 0 1
2.24228 -5.86081 0 -1.5781 -2.64221 98.9431 1.65422 -13 22 1 0 1
6.94615 -28.2037 0 2.06171 -11.6303 95.2785 -0.498036 -13 23 1 0 1
-4.79033 -44.0512 0 -1.61284 -18.1778 85.0006 1.78896 -13 24 1 0 1
33.8561 -17.857 0 14.5152 -6.68454 79.9568 -0.145005 -13 25 1 0 1
-26.8142 -31.1299 0 -9.28274 -10.5895 79.9039 0.947515 -13 26 1 0 1
17.5644 4.58882 0 8.34497 2.8837 87.1097 1.21382 -13 27 1 0 1
-7.45998 -20.559 0 -2.19104 -7.64239 84.3753 1.34516 -13 28 1 0 1
31.2849 -27.1014 0 12.3537 -7.21111 66.3921 1.46535 -13 29 1 0 1
18.7563 -27.9925 0 8.08118 -14.6945 99.2007 1.53367 -13 30 1 0 1
29.1637 0.892445 0 13.2524 -0.527396 89.8546 1.54522 -13 31 1 0 1
-24.7414 -21.6173 0 -10.5427 -8.83458 89.0589 0.679538 -13 32 1 0 1
-5.77791 14.6907 0 -2.71606 6.26541 89.6765 0.100046 -13 33 1 0 1
-19.3547 -28.6251 0 -7.27141 -12.1035 85.6989 0.164341 -13 34 1 0 1
5.32572 22.8309 0 1.86768 9.02256 88.9011 2.83897 -13 35 1 0 1
-19.6582 -17.0005 0 -9.79934 -7.65193 94.2843 2.17669 -13 36 1 0 1
9.12267 -10.5282 0 4.59074 -3.50814 79.7511 -0.0904045 -13 37 1 0 1
