# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 1 Track 1
-2.86449 -0.253449 0 3.44112 6.95322 68.8778 -0.186006 -13 1 1 0 1 0 0 0 0 0 0 
-2.83967 -0.203291 0.496858 3.44112 6.95322 68.8778 -0.182965 -13 1 1 0 1 0 0 0 0 0 0 
-2.81484 -0.153133 0.993716 3.44112 6.95322 68.8778 -0.179925 -13 1 1 0 1 0 0 0 0 0 0 
-2.79002 -0.102975 1.49057 3.44112 6.95322 68.8778 -0.176884 -13 1 1 0 1 0 0 0 0 0 0 
-2.7652 -0.0528175 1.98743 3.44112 6.95322 68.8778 -0.173844 -13 1 1 0 1 0 0 0 0 0 0 
-2.74038 -0.00265963 2.48429 3.44112 6.95322 68.8778 -0.170803 -13 1 1 0 1 0 0 0 0 0 0 
-2.71555 0.0474982 2.98115 3.44112 6.95322 68.8778 -0.167762 -13 1 1 0 1 0 0 0 0 0 0 
-2.69073 0.0976561 3.47801 3.44112 6.95322 68.8778 -0.164722 -13 1 1 0 1 0 0 0 0 0 0 
-2.66591 0.147814 3.97487 3.44112 6.95322 68.8778 -0.161681 -13 1 1 0 1 0 0 0 0 0 0 
-2.64108 0.197972 4.47172 3.44112 6.95322 68.8778 -0.158641 -13 1 1 0 1 0 0 0 0 0 0 
-2.61626 0.24813 4.96858 3.44112 6.95322 68.8778 -0.1556 -13 1 1 0 1 0 0 0 0 0 0 
-2.59144 0.298288 5.46544 3.44112 6.95322 68.8778 -0.152559 -13 1 1 0 1 0 0 0 0 0 0 
-2.56661 0.348445 5.9623 3.44112 6.95322 68.8778 -0.149519 -13 1 1 0 1 0 0 0 0 0 0 
-2.54179 0.398603 6.45916 3.44112 6.95322 68.8778 -0.146478 -13 1 1 0 1 0 0 0 0 0 0 
-2.51697 0.448761 6.95601 3.44112 6.95322 68.8778 -0.143438 -13 1 1 0 1 0 0 0 0 0 0 
-2.49215 0.498919 7.45287 3.44112 6.95322 68.8778 -0.140397 -13 1 1 0 1 0 0 0 0 0 0 
-2.46732 0.549077 7.94973 3.44112 6.95322 68.8778 -0.137357 -13 1 1 0 1 0 0 0 0 0 0 
-2.4425 0.599235 8.44659 3.44112 6.95322 68.8778 -0.134316 -13 1 1 0 1 0 0 0 0 0 0 
-2.41768 0.649393 8.94345 3.44112 6.95322 68.8778 -0.131275 -13 1 1 0 1 0 0 0 0 0 0 
-2.39285 0.699551 9.4403 3.44112 6.95322 68.8778 -0.128235 -13 1 1 0 1 0 0 0 0 0 0 
-2.36803 0.749708 9.93716 3.44112 6.95322 68.8778 -0.125194 -13 1 1 0 1 0 0 0 0 0 0 
-2.34321 0.799866 10.434 3.44112 6.95322 68.8778 -0.122154 -13 1 1 0 1 0 0 0 0 0 0 
-2.31839 0.850024 10.9309 3.44112 6.95322 68.8778 -0.119113 -13 1 1 0 1 0 0 0 0 0 0 
-2.29356 0.900182 11.4277 3.44112 6.95322 68.8778 -0.116072 -13 1 1 0 1 0 0 0 0 0 0 
-2.26874 0.95034 11.9246 3.44112 6.95322 68.8778 -0.113032 -13 1 1 0 1 0 0 0 0 0 0 
-2.24392 1.0005 12.4215 3.44112 6.95322 68.8778 -0.109991 -13 1 1 0 1 0 0 0 0 0 0 
-2.21909 1.05066 12.9183 3.44112 6.95322 68.8778 -0.106951 -13 1 1 0 1 0 0 0 0 0 0 
-2.19427 1.10081 13.4152 3.44112 6.95322 68.8778 -0.10391 -13 1 1 0 1 0 0 0 0 0 0 
-2.16945 1.15097 13.912 3.44112 6.95322 68.8778 -0.100869 -13 1 1 0 1 0 0 0 0 0 0 
-2.14463 1.20113 14.4089 3.44112 6.95322 68.8778 -0.0978288 -13 1 1 0 1 0 0 0 0 0 0 
-2.1198 1.25129 14.9057 3.44112 6.95322 68.8778 -0.0947882 -13 1 1 0 1 0 0 0 0 0 0 
-2.09498 1.30145 15.4026 3.44112 6.95322 68.8778 -0.0917477 -13 1 1 0 1 0 0 0 0 0 0 
-2.07016 1.3516 15.8995 3.44112 6.95322 68.8778 -0.0887071 -13 1 1 0 1 0 0 0 0 0 0 
-2.04533 1.40176 16.3963 3.44112 6.95322 68.8778 -0.0856665 -13 1 1 0 1 0 0 0 0 0 0 
-2.02051 1.45192 16.8932 3.44112 6.95322 68.8778 -0.0826259 -13 1 1 0 1 0 0 0 0 0 0 
-1.99569 1.50208 17.39 3.44112 6.95322 68.8778 -0.0795853 -13 1 1 0 1 0 0 0 0 0 0 
-1.97086 1.55223 17.8869 3.44112 6.95322 68.8778 -0.0765447 -13 1 1 0 1 0 0 0 0 0 0 
-1.94604 1.60239 18.3838 3.44112 6.95322 68.8778 -0.0735041 -13 1 1 0 1 0 0 0 0 0 0 
-1.92122 1.65255 18.8806 3.44112 6.95322 68.8778 -0.0704635 -13 1 1 0 1 0 0 0 0 0 0 
-1.8964 1.70271 19.3775 3.44112 6.95322 68.8778 -0.0674229 -13 1 1 0 1 0 0 0 0 0 0 
-1.87157 1.75287 19.8743 3.44112 6.95322 68.8778 -0.0643823 -13 1 1 0 1 0 0 0 0 0 0 
-1.84675 1.80302 20.3712 3.44112 6.95322 68.8778 -0.0613417 -13 1 1 0 1 0 0 0 0 0 0 
-1.82193 1.85318 20.868 3.44112 6.95322 68.8778 -0.0583011 -13 1 1 0 1 0 0 0 0 0 0 
-1.7971 1.90334 21.3649 3.44112 6.95322 68.8778 -0.0552606 -13 1 1 0 1 0 0 0 0 0 0 
-1.77228 1.9535 21.8618 3.44112 6.95322 68.8778 -0.05222 -13 1 1 0 1 0 0 0 0 0 0 
-1.74746 2.00366 22.3586 3.44112 6.95322 68.8778 -0.0491794 -13 1 1 0 1 0 0 0 0 0 0 
-1.72264 2.05381 22.8555 3.44112 6.95322 68.8778 -0.0461388 -13 1 1 0 1 0 0 0 0 0 0 
-1.69781 2.10397 23.3523 3.44112 6.95322 68.8778 -0.0430982 -13 1 1 0 1 0 0 0 0 0 0 
-1.67299 2.15413 23.8492 3.44112 6.95322 68.8778 -0.0400576 -13 1 1 0 1 0 0 0 0 0 0 
-1.64817 2.20429 24.346 3.44112 6.95322 68.8778 -0.037017 -13 1 1 0 1 0 0 0 0 0 0 
-1.62334 2.25444 24.8429 3.44112 6.95322 68.8778 -0.0339764 -13 1 1 0 1 0 0 0 0 0 0 
-1.6155 2.2703 25 3.44112 6.95322 68.8778 -0.0330151 -13 1 1 0 1 -0.144388 0.102744 0 0 0 0 
-1.59073 2.32038 25.4969 3.42593 6.93148 68.8807 -0.0299745 -13 1 1 0 1 -0.147573 0.101168 0 0 0 0 
-1.56607 2.3703 25.9938 3.41098 6.90926 68.8837 -0.0269339 -13 1 1 0 1 -0.150748 0.0996001 0 0 0 0 
-1.54152 2.42006 26.4907 3.39626 6.88656 68.8867 -0.0238933 -13 1 1 0 1 -0.153912 0.0980386 0 0 0 0 
-1.51707 2.46965 26.9876 3.38177 6.8634 68.8897 -0.0208527 -13 1 1 0 1 -0.157066 0.0964838 0 0 0 0 
-1.49273 2.51907 27.4846 3.36751 6.83976 68.8928 -0.0178121 -13 1 1 0 1 -0.16021 0.0949357 0 0 0 0 
-1.46849 2.56833 27.9815 3.35348 6.81566 68.8959 -0.0147715 -13 1 1 0 1 -0.163342 0.0933939 0 0 0 0 
-1.44435 2.6174 28.4785 3.33968 6.79109 68.899 -0.0117309 -13 1 1 0 1 -0.166463 0.0918586 0 0 0 0 
-1.42031 2.6663 28.9756 3.32611 6.76605 68.9021 -0.00869033 -13 1 1 0 1 -0.169573 0.0903296 0 0 0 0 
-1.39636 2.71502 29.4726 3.31276 6.74056 68.9052 -0.00564973 -13 1 1 0 1 -0.172671 0.0888067 0 0 0 0 
-1.37251 2.76355 29.9697 3.29964 6.71459 68.9084 -0.00260914 -13 1 1 0 1 -0.175758 0.0872899 0 0 0 0 
-1.34876 2.81189 30.4668 3.28674 6.68817 68.9116 0.000431449 -13 1 1 0 1 -0.178832 0.0857791 0 0 0 0 
-1.32509 2.86004 30.9639 3.27407 6.66129 68.9148 0.00347204 -13 1 1 0 1 -0.181895 0.0842741 0 0 0 0 
-1.30152 2.90799 31.461 3.26162 6.63396 68.918 0.00651263 -13 1 1 0 1 -0.184944 0.0827749 0 0 0 0 
-1.27804 2.95575 31.9582 3.2494 6.60617 68.9213 0.00955322 -13 1 1 0 1 -0.187982 0.0812814 0 0 0 0 
-1.25464 3.0033 32.4554 3.23739 6.57792 68.9245 0.0125938 -13 1 1 0 1 -0.191006 0.0797934 0 0 0 0 
-1.23133 3.05065 32.9526 3.22561 6.54923 68.9278 0.0156344 -13 1 1 0 1 -0.194017 0.0783109 0 0 0 0 
-1.2081 3.09779 33.4498 3.21405 6.52008 68.9311 0.018675 -13 1 1 0 1 -0.197015 0.0768337 0 0 0 0 
-1.18496 3.14471 33.947 3.2027 6.49049 68.9344 0.0217156 -13 1 1 0 1 -0.199999 0.0753618 0 0 0 0 
-1.1619 3.19143 34.4443 3.19158 6.46045 68.9378 0.0247562 -13 1 1 0 1 -0.20297 0.073895 0 0 0 0 
-1.13891 3.23792 34.9416 3.18067 6.42997 68.9411 0.0277968 -13 1 1 0 1 -0.205927 0.0724333 0 0 0 0 
-1.11601 3.28419 35.439 3.16998 6.39905 68.9445 0.0308374 -13 1 1 0 1 -0.20887 0.0709765 0 0 0 0 
-1.09318 3.33024 35.9363 3.1595 6.36769 68.9479 0.033878 -13 1 1 0 1 -0.211799 0.0695246 0 0 0 0 
-1.07042 3.37606 36.4337 3.14925 6.33589 68.9513 0.0369186 -13 1 1 0 1 -0.214713 0.0680775 0 0 0 0 
-1.04774 3.42165 36.9311 3.1392 6.30365 68.9547 0.0399591 -13 1 1 0 1 -0.217612 0.066635 0 0 0 0 
-1.02513 3.467 37.4285 3.12937 6.27099 68.9581 0.0429997 -13 1 1 0 1 -0.220497 0.0651971 0 0 0 0 
-1.00259 3.51212 37.926 3.11976 6.23789 68.9616 0.0460403 -13 1 1 0 1 -0.223366 0.0637636 0 0 0 0 
-0.980124 3.557 38.4234 3.11035 6.20436 68.965 0.0490809 -13 1 1 0 1 -0.22622 0.0623345 0 0 0 0 
-0.95772 3.60163 38.9209 3.10116 6.17041 68.9685 0.0521215 -13 1 1 0 1 -0.229059 0.0609097 0 0 0 0 
-0.935382 3.64602 39.4185 3.09218 6.13604 68.9719 0.0551621 -13 1 1 0 1 -0.231882 0.059489 0 0 0 0 
-0.913108 3.69016 39.916 3.08342 6.10124 68.9754 0.0582027 -13 1 1 0 1 -0.234689 0.0580724 0 0 0 0 
-0.890896 3.73404 40.4136 3.07486 6.06602 68.9789 0.0612433 -13 1 1 0 1 -0.23748 0.0566598 0 0 0 0 
-0.868746 3.77767 40.9112 3.06651 6.03039 68.9824 0.0642839 -13 1 1 0 1 -0.240255 0.055251 0 0 0 0 
-0.846654 3.82104 41.4088 3.05837 5.99434 68.9859 0.0673245 -13 1 1 0 1 -0.243013 0.0538461 0 0 0 0 
-0.824621 3.86415 41.9065 3.05044 5.95788 68.9894 0.0703651 -13 1 1 0 1 -0.245755 0.0524448 0 0 0 0 
-0.802645 3.907 42.4041 3.04272 5.92101 68.9929 0.0734057 -13 1 1 0 1 -0.24848 0.0510471 0 0 0 0 
-0.780723 3.94957 42.9018 3.03521 5.88373 68.9964 0.0764462 -13 1 1 0 1 -0.251187 0.0496529 0 0 0 0 
-0.758854 3.99188 43.3996 3.02791 5.84605 69 0.0794868 -13 1 1 0 1 -0.253878 0.0482621 0 0 0 0 
-0.737038 4.03392 43.8973 3.02081 5.80797 69.0035 0.0825274 -13 1 1 0 1 -0.256551 0.0468746 0 0 0 0 
-0.715272 4.07567 44.3951 3.01392 5.76948 69.007 0.085568 -13 1 1 0 1 -0.259207 0.0454903 0 0 0 0 
-0.693555 4.11715 44.8929 3.00723 5.7306 69.0106 0.0886086 -13 1 1 0 1 -0.261845 0.0441091 0 0 0 0 
-0.671885 4.15835 45.3907 3.00075 5.69133 69.0141 0.0916492 -13 1 1 0 1 -0.264465 0.042731 0 0 0 0 
-0.650262 4.19926 45.8886 2.99448 5.65166 69.0176 0.0946898 -13 1 1 0 1 -0.267067 0.0413558 0 0 0 0 
-0.628683 4.23989 46.3865 2.9884 5.61161 69.0212 0.0977304 -13 1 1 0 1 -0.269651 0.0399834 0 0 0 0 
-0.607147 4.28022 46.8844 2.98254 5.57116 69.0247 0.100771 -13 1 1 0 1 -0.272216 0.0386137 0 0 0 0 
-0.585653 4.32026 47.3823 2.97688 5.53034 69.0282 0.103812 -13 1 1 0 1 -0.274763 0.0372467 0 0 0 0 
-0.564198 4.36001 47.8802 2.97142 5.48913 69.0317 0.106852 -13 1 1 0 1 -0.27729 0.0358822 0 0 0 0 
-0.542783 4.39945 48.3782 2.96616 5.44755 69.0353 0.109893 -13 1 1 0 1 -0.279799 0.0345202 0 0 0 0 
-0.521404 4.4386 48.8762 2.96111 5.40559 69.0388 0.112933 -13 1 1 0 1 -0.282289 0.0331606 0 0 0 0 
-0.500062 4.47744 49.3743 2.95626 5.36326 69.0423 0.115974 -13 1 1 0 1 -0.284759 0.0318032 0 0 0 0 
-0.478753 4.51597 49.8723 2.95161 5.32055 69.0458 0.119015 -13 1 1 0 1 -0.28721 0.030448 0 0 0 0 
-0.457478 4.5542 50.3704 2.94717 5.27749 69.0493 0.122055 -13 1 1 0 1 -0.289641 0.0290949 0 0 0 0 
-0.436233 4.59211 50.8685 2.94292 5.23405 69.0528 0.125096 -13 1 1 0 1 -0.292052 0.0277438 0 0 0 0 
-0.415019 4.62971 51.3666 2.93888 5.19026 69.0562 0.128136 -13 1 1 0 1 -0.294443 0.0263946 0 0 0 0 
-0.393833 4.66699 51.8648 2.93504 5.14611 69.0597 0.131177 -13 1 1 0 1 -0.296814 0.0250472 0 0 0 0 
-0.372674 4.70396 52.363 2.9314 5.1016 69.0632 0.134217 -13 1 1 0 1 -0.299165 0.0237015 0 0 0 0 
-0.35154 4.74059 52.8612 2.92796 5.05675 69.0666 0.137258 -13 1 1 0 1 -0.301495 0.0223575 0 0 0 0 
-0.330431 4.77691 53.3594 2.92472 5.01154 69.07 0.140299 -13 1 1 0 1 -0.303805 0.021015 0 0 0 0 
-0.309344 4.8129 53.8577 2.92168 4.96599 69.0735 0.143339 -13 1 1 0 1 -0.306094 0.0196739 0 0 0 0 
-0.288279 4.84855 54.356 2.91884 4.9201 69.0769 0.14638 -13 1 1 0 1 -0.308361 0.0183341 0 0 0 0 
-0.267233 4.88388 54.8543 2.91621 4.87386 69.0803 0.14942 -13 1 1 0 1 -0.310608 0.0169956 0 0 0 0 
-0.246205 4.91887 55.3526 2.91377 4.82729 69.0836 0.152461 -13 1 1 0 1 -0.312833 0.0156583 0 0 0 0 
-0.225195 4.95352 55.851 2.91153 4.78039 69.087 0.155502 -13 1 1 0 1 -0.315037 0.0143221 0 0 0 0 
-0.2042 4.98784 56.3493 2.90949 4.73316 69.0903 0.158542 -13 1 1 0 1 -0.31722 0.0129868 0 0 0 0 
-0.183218 5.02181 56.8477 2.90765 4.6856 69.0936 0.161583 -13 1 1 0 1 -0.31938 0.0116524 0 0 0 0 
-0.16225 5.05544 57.3462 2.906 4.63771 69.0969 0.164623 -13 1 1 0 1 -0.321519 0.0103189 0 0 0 0 
-0.141292 5.08872 57.8446 2.90456 4.58951 69.1002 0.167664 -13 1 1 0 1 -0.323635 0.008986 0 0 0 0 
-0.120345 5.12165 58.3431 2.90332 4.54099 69.1035 0.170705 -13 1 1 0 1 -0.32573 0.00765375 0 0 0 0 
-0.099405 5.15423 58.8416 2.90227 4.49215 69.1067 0.173745 -13 1 1 0 1 -0.327802 0.00632202 0 0 0 0 
-0.0784723 5.18646 59.3401 2.90143 4.44301 69.1099 0.176786 -13 1 1 0 1 -0.329852 0.00499073 0 0 0 0 
-0.0575449 5.21833 59.8387 2.90078 4.39356 69.1131 0.179826 -13 1 1 0 1 -0.331879 0.00365978 0 0 0 0 
-0.0366215 5.24984 60.3372 2.90033 4.3438 69.1163 0.182867 -13 1 1 0 1 -0.333883 0.00232908 0 0 0 0 
-0.0157006 5.281 60.8358 2.90009 4.29375 69.1194 0.185908 -13 1 1 0 1 -0.335864 0.000998539 0 0 0 0 
0.00521918 5.31179 61.3344 2.90004 4.2434 69.1225 0.188948 -13 1 1 0 1 -0.337823 -0.000331933 0 0 0 0 
0.0261394 5.34222 61.8331 2.90019 4.19275 69.1256 0.191989 -13 1 1 0 1 -0.339758 -0.00166243 0 0 0 0 
0.0470613 5.37228 62.3317 2.90053 4.14182 69.1287 0.195029 -13 1 1 0 1 -0.34167 -0.00299304 0 0 0 0 
0.0679865 5.40197 62.8304 2.90108 4.0906 69.1317 0.19807 -13 1 1 0 1 -0.343558 -0.00432385 0 0 0 0 
0.0889164 5.43129 63.3291 2.90183 4.03909 69.1347 0.201111 -13 1 1 0 1 -0.345423 -0.00565496 0 0 0 0 
0.109852 5.46024 63.8278 2.90277 3.98731 69.1377 0.204151 -13 1 1 0 1 -0.347264 -0.00698646 0 0 0 0 
0.130796 5.48882 64.3266 2.90392 3.93525 69.1406 0.207192 -13 1 1 0 1 -0.349081 -0.00831843 0 0 0 0 
0.151748 5.51702 64.8253 2.90526 3.88292 69.1435 0.210232 -13 1 1 0 1 -0.350875 -0.00965098 0 0 0 0 
0.172711 5.54484 65.3241 2.9068 3.83032 69.1464 0.213273 -13 1 1 0 1 -0.352644 -0.0109842 0 0 0 0 
0.193686 5.57228 65.8229 2.90854 3.77745 69.1492 0.216313 -13 1 1 0 1 -0.354389 -0.0123182 0 0 0 0 
0.214674 5.59934 66.3217 2.91049 3.72433 69.152 0.219354 -13 1 1 0 1 -0.35611 -0.013653 0 0 0 0 
0.235677 5.62601 66.8206 2.91263 3.67095 69.1548 0.222395 -13 1 1 0 1 -0.357807 -0.0149887 0 0 0 0 
0.256696 5.6523 67.3195 2.91497 3.61731 69.1575 0.225435 -13 1 1 0 1 -0.359478 -0.0163255 0 0 0 0 
0.277732 5.6782 67.8183 2.91751 3.56342 69.1602 0.228476 -13 1 1 0 1 -0.361126 -0.0176634 0 0 0 0 
0.298788 5.70371 68.3172 2.92025 3.50929 69.1628 0.231516 -13 1 1 0 1 -0.362748 -0.0190025 0 0 0 0 
0.319864 5.72883 68.8162 2.9232 3.45491 69.1654 0.234557 -13 1 1 0 1 -0.364345 -0.0203429 0 0 0 0 
0.340962 5.75355 69.3151 2.92634 3.40029 69.168 0.237598 -13 1 1 0 1 -0.365918 -0.0216847 0 0 0 0 
0.362083 5.77788 69.8141 2.92968 3.34544 69.1705 0.240638 -13 1 1 0 1 -0.367465 -0.023028 0 0 0 0 
0.383229 5.80182 70.3131 2.93323 3.29036 69.173 0.243679 -13 1 1 0 1 -0.368988 -0.0243729 0 0 0 0 
0.404402 5.82535 70.812 2.93697 3.23505 69.1755 0.246719 -13 1 1 0 1 -0.370484 -0.0257194 0 0 0 0 
0.425602 5.84849 71.3111 2.94092 3.17951 69.1779 0.24976 -13 1 1 0 1 -0.371956 -0.0270677 0 0 0 0 
0.446832 5.87122 71.8101 2.94507 3.12376 69.1803 0.252801 -13 1 1 0 1 -0.373402 -0.0284179 0 0 0 0 
0.468092 5.89356 72.3091 2.94943 3.06778 69.1826 0.255841 -13 1 1 0 1 -0.374822 -0.02977 0 0 0 0 
0.489384 5.91548 72.8082 2.95398 3.0116 69.1849 0.258882 -13 1 1 0 1 -0.376217 -0.0311242 0 0 0 0 
0.51071 5.937 73.3073 2.95874 2.95521 69.1871 0.261922 -13 1 1 0 1 -0.377585 -0.0324805 0 0 0 0 
