#BLTrackFile NTuple/Z246
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
3.10351 7.66872 246.243 -6.22874 7.55657 68.6181 1.31608 -13 1 1 0 1
1.27549 5.38702 246.243 -1.56144 4.87659 75.3311 0.843408 -13 3 1 0 1
1.46165 16.9871 246.243 -2.109 17.3588 80.6878 2.31978 -13 4 1 0 1
-6.03982 -6.33893 246.243 11.744 -8.54062 81.3448 0.473983 -13 5 1 0 1
0.126345 -7.68278 246.243 -1.02269 -9.52013 96.2164 1.27792 -13 6 1 0 1
2.77612 0.953274 246.243 -5.24564 2.75932 94.4207 1.57969 -13 9 1 0 1
-9.63571 6.28864 246.243 15.7525 6.83663 88.5569 2.81603 -13 10 1 0 1
12.2079 3.88174 246.243 -29.9334 5.1737 63.5613 0.603981 -13 12 1 0 1
-10.5166 10.8186 246.243 17.0605 13.3766 88.2226 1.21092 -13 13 1 0 1
10.2147 -2.00982 246.243 -17.417 -2.22226 87.3388 1.555 -13 14 1 0 1
7.72851 -14.8294 246.243 -13.1286 -17.3652 87.7574 0.874837 -13 15 1 0 1
-13.7679 6.38511 246.243 23.1329 6.86325 86.2107 2.21569 -13 17 1 0 1
7.58115 0.638889 246.243 -12.9155 0.262102 88.8466 1.33624 -13 19 1 0 1
-14.5722 21.3822 246.243 25.8141 24.9939 79.2256 1.27972 -13 20 1 0 1
17.5882 -5.50749 246.243 -28.6738 -6.66034 89.1516 1.42592 -13 21 1 0 1
14.7967 -8.35126 246.243 -27.3482 -7.34187 78.0585 1.00881 -13 23 1 0 1
2.76226 11.8646 246.243 -5.3203 14.9665 95.5654 1.72172 -13 24 1 0 1
-13.7774 17.1672 246.243 22.0524 22.0275 87.0336 1.40971 -13 26 1 0 1
7.19508 6.19322 246.243 -12.3756 6.88378 84.7653 1.02359 -13 29 1 0 1
-15.7894 -6.76994 246.243 26.5188 -10.8753 85.0574 1.79941 -13 30 1 0 1
-7.07916 -2.20694 246.243 8.87998 -2.39531 98.6638 0.349913 -13 32 1 0 1
-0.586843 -15.7975 246.243 0.911881 -16.4179 87.0872 2.29403 -13 33 1 0 1
9.86629 -10.6231 246.243 -16.3968 -9.85678 89.5923 2.29035 -13 36 1 0 1
1.5925 3.19548 246.243 -2.49634 7.5325 86.6137 2.92505 -13 37 1 0 1
19.9259 3.09387 246.243 -31.1913 3.32494 94.7018 0.813812 -13 38 1 0 1
8.65414 -1.76019 246.243 -14.2458 0.279847 96.035 0.571578 -13 39 1 0 1
16.188 16.6571 246.243 -29.2883 18.9583 79.2068 1.95203 -13 40 1 0 1
14.8577 38.0497 246.243 -24.0941 41.1048 86.1094 1.89655 -13 42 1 0 1
1.3833 -2.025 246.243 -2.04811 -3.01014 70.5347 1.82652 -13 45 1 0 1
1.03907 -1.86894 246.243 -1.62028 -2.76616 84.4178 2.42621 -13 46 1 0 1
-16.4576 25.0331 246.243 26.1439 29.1806 84.6673 2.03873 -13 47 1 0 1
3.82408 -14.1023 246.243 -6.61147 -16.3807 90.6446 0.684558 -13 48 1 0 1
-18.3272 -2.07644 246.243 31.8756 -3.23915 82.2839 1.81538 -13 49 1 0 1
-14.7614 1.4714 246.243 25.1338 0.540931 85.4491 1.60146 -13 51 1 0 1
-18.467 2.1365 246.243 35.5868 2.85181 75.7406 0.893053 -13 52 1 0 1
-14.2173 6.97291 246.243 26.2855 3.43016 81.307 1.13839 -13 53 1 0 1
-23.7228 -5.8816 246.243 38.1284 -7.22182 85.7133 0.940109 -13 55 1 0 1
-16.1042 4.13273 246.243 28.953 6.07085 80.7481 0.952535 -13 57 1 0 1
18.7221 10.8829 246.243 -30.8675 12.511 87.6725 0.566648 -13 58 1 0 1
-10.7767 -1.72679 246.243 18.8661 -3.65907 84.3643 0.615954 -13 59 1 0 1
2.28555 -1.11878 246.243 -4.33478 -0.485395 96.5165 1.47558 -13 60 1 0 1
14.0291 23.0388 246.243 -24.6279 24.199 80.7632 2.87834 -13 61 1 0 1
9.01197 -6.18584 246.243 -16.6405 -6.17123 77.0285 1.12065 -13 62 1 0 1
-0.274214 -14.8874 246.243 0.608092 -15.6684 83.4775 2.07915 -13 63 1 0 1
-0.77002 -3.16343 246.243 1.07531 -4.16574 89.6504 1.28175 -13 64 1 0 1
-17.2488 -21.8333 246.243 30.2539 -27.8524 78.673 0.711396 -13 65 1 0 1
9.47356 -6.60667 246.243 -17.2036 -9.16765 79.5132 2.15546 -13 66 1 0 1
-4.46274 11.363 246.243 7.30308 12.9776 88.3027 0.056055 -13 67 1 0 1
-7.34639 7.41899 246.243 11.3739 8.09367 90.3704 0.499381 -13 68 1 0 1
8.14401 -10.3478 246.243 -13.2986 -13.6574 93.1378 0.546815 -13 69 1 0 1
-2.04608 1.91286 246.243 2.83447 1.19366 92.8662 2.20063 -13 70 1 0 1
8.54445 0.134334 246.243 -14.6498 -0.0549427 85.2323 2.14144 -13 71 1 0 1
-12.3495 1.81558 246.243 17.7813 3.73964 95.0715 0.44584 -13 72 1 0 1
3.18985 3.27371 246.243 -6.53017 3.97348 98.8547 1.12433 -13 73 1 0 1
16.7689 5.65249 246.243 -31.4725 6.89817 76.698 1.47185 -13 78 1 0 1
-0.200447 -10.5302 246.243 0.144822 -12.2932 87.6933 0.645984 -13 79 1 0 1
3.78416 4.47188 246.243 -6.12507 4.0978 86.5881 0.814561 -13 81 1 0 1
14.1485 -18.26 246.243 -22.2378 -22.6787 95.089 1.66625 -13 82 1 0 1
-18.3078 -0.384201 246.243 26.0056 0.298078 96.4507 1.70447 -13 83 1 0 1
15.8919 -10.3459 246.243 -29.6327 -12.8638 76.2446 1.42578 -13 85 1 0 1
1.04575 12.6672 246.243 -1.33098 11.6636 74.5243 0.260529 -13 86 1 0 1
15.123 -4.34898 246.243 -27.7577 -3.52414 78.4748 1.66231 -13 87 1 0 1
-17.9059 1.51091 246.243 31.7468 3.12036 81.6656 1.3866 -13 88 1 0 1
17.9275 -10.9875 246.243 -29.034 -12.6331 89.722 -0.221 -13 89 1 0 1
-0.493193 0.801806 246.243 0.695433 1.71188 90.6432 0.630526 -13 90 1 0 1
