#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-2.86449 -0.253449 25 3.44112 6.95322 68.8778 -0.186006 -13 1 1 0 1 0 0 0 0 0 0 0.108169 25.3066 0 0 0 -5.48753 -2.824 0 -0.323533 40.5802
-3.50397 -0.0233805 25 -11.3527 0.272561 83.6859 0.29553 -13 2 1 0 1 0 0 0 0 0 0 0.0960848 25.2659 0 0 0 0.110076 0.227392 0 0.167635 40.4735
-2.56238 0.875552 25 2.54699 6.89977 75.1459 -0.571423 -13 3 1 0 1 0 0 0 0 0 0 0.101857 25.1225 0 0 0 -2.81806 -1.49941 0 -0.703534 40.4735
-1.32317 1.82357 25 1.70895 16.6465 80.8472 0.976147 -13 4 1 0 1 0 0 0 0 0 0 0.0986889 25.392 0 0 0 -1.53035 -2.53259 0 0.845986 40.265
-1.7956 2.04966 25 -1.0643 -0.358306 82.6231 -0.863471 -13 5 1 0 1 0 0 0 0 0 0 0.0971284 25.0164 0 0 0 -1.50101 1.45749 0 -0.991625 39.9989
1.85695 0.187716 25 -1.65591 -4.94853 96.5507 0.0601869 -13 6 1 0 1 0 0 0 0 0 0 0.0894689 25.0358 0 0 0 2.49133 1.34005 0 -0.0622064 40.3283
0.0176813 -2.33765 25 -22.9602 15.2322 94.9838 -0.513693 -13 7 1 0 1 0 0 0 0 0 0 0.0920828 25.9569 0 0 0 5.94589 -6.01083 0 -0.640089 39.703
-3.10726 2.24351 25 -12.1213 -5.76341 82.2041 0.0273654 -13 8 1 0 1 0 0 0 0 0 0 0.0973928 25.3186 0 0 0 0.701281 3.07615 0 -0.101641 39.8412
2.28469 -2.35359 25 -0.845577 -2.9424 94.557 0.347537 -13 9 1 0 1 0 0 0 0 0 0 0.0910379 25.0124 0 0 0 2.16017 -1.70123 0 0.224042 39.3259
-0.123574 0.770256 25 -4.09426 5.67076 89.9349 1.54473 -13 10 1 0 1 0 0 0 0 0 0 0.0934014 25.0584 0 0 0 0.833867 -0.607276 0 1.41936 39.4562
1.00896 -2.07215 25 9.83068 4.28946 83.6912 -0.257026 -13 11 1 0 1 0 0 0 0 0 0 0.0971639 25.2165 0 0 0 -1.82058 -3.60695 0 -0.385635 40.4909
-1.99745 -1.50406 25 6.97768 -1.98412 70.0727 -0.910801 -13 12 1 0 1 0 0 0 0 0 0 0.106918 25.2136 0 0 0 -4.77721 -2.48315 0 -1.04714 39.9776
-0.0508847 -0.981986 25 -4.56621 5.80942 90.5462 -0.0574394 -13 13 1 0 1 0 0 0 0 0 0 0.092666 25.0878 0 0 0 1.72203 -1.69816 0 -0.182333 40.246
1.1378 -0.1672 25 3.44497 -1.69131 89.0035 0.27441 -13 14 1 0 1 0 0 0 0 0 0 0.094696 25.0129 0 0 0 0.756882 -0.153895 0 0.148174 38.2551
1.28538 0.0207733 25 2.24836 -10.23 89.8085 -0.396174 -13 15 1 0 1 0 0 0 0 0 0 0.093919 25.1101 0 0 0 0.920502 2.23862 0 -0.522041 38.8812
-1.41994 -0.0280194 25 -10.0394 -7.74147 87.0859 -0.539972 -13 16 1 0 1 0 0 0 0 0 0 0.0945958 25.211 0 0 0 1.05871 2.00475 0 -0.666599 40.2082
-0.595215 0.801728 25 -5.4831 5.84231 89.1646 0.932578 -13 17 1 0 1 0 0 0 0 0 0 0.0924154 25.0756 0 0 0 0.0496987 -0.848166 0 0.807875 41.5547
4.70673 -2.68286 25 22.0772 -0.0382739 84.8608 -0.434372 -13 18 1 0 1 0 0 0 0 0 0 0.0987475 25.7487 0 0 0 -1.4256 -2.98897 0 -0.565284 38.0392
