#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-1.76309 1.10305 0.0 -8.88207 2.84228 84.4396 -0.2506 -13 1 1 0 1 0 0 0 0 0 0 0.0960808 25.1194 0 0 0 0.298258 -0.0196572 0 -0.378167 40.0154
-2.10138 -0.00965917 0.0 -17.1893 -5.83909 88.0282 0.515155 -13 2 1 0 1 0 0 0 0 0 0 0.0943024 25.3812 0 0 0 1.98423 1.27132 0 0.388388 39.8379
0.424592 2.36411 0.0 8.74966 -5.19703 80.2378 0.546562 -13 3 1 0 1 0 0 0 0 0 0 0.100412 25.2049 0 0 0 -2.05206 4.32912 0 0.415482 39.1849
0.287445 -1.37079 0.0 -11.7746 -9.59877 93.5287 -1.8747 -13 4 1 0 1 0 0 0 0 0 0 0.0912433 25.3077 0 0 0 3.17922 1.28135 0 -1.99902 40.6025
-1.17359 -2.80307 0.0 0.792977 -4.78199 84.5271 -0.664239 -13 5 1 0 1 0 0 0 0 0 0 0.0959794 25.1075 0 0 0 -1.83154 -0.696069 0 -0.791711 40.7426
0.276543 4.94191 0.0 1.67475 9.48083 89.5258 -0.490598 -13 6 1 0 1 0 0 0 0 0 0 0.0934518 25.1806 0 0 0 0.250921 1.9851 0 -0.616287 40.2047
0.927536 0.731622 0.0 7.03543 2.7283 86.2861 0.420033 -13 7 1 0 1 0 0 0 0 0 0 0.0959557 25.0953 0 0 0 -1.15949 0.564332 0 0.292641 39.1585
-0.653367 2.14549 0.0 -1.41235 7.36662 86.5209 -0.517376 -13 8 1 0 1 0 0 0 0 0 0 0.0950942 25.0957 0 0 0 -0.966365 0.153849 0 -0.644127 39.9281
3.25258 -1.47631 0.0 9.82849 -7.84297 91.9049 -0.1499 -13 9 1 0 1 0 0 0 0 0 0 0.0926364 25.2894 0 0 0 0.299955 0.907566 0 -0.275212 40.1577
2.95687 0.912163 0.0 -0.577496 12.5895 98.6959 0.0409537 -13 10 1 0 1 0 0 0 0 0 0 0.0887961 25.2025 0 0 0 2.97231 -2.27272 0 -0.0813248 40.2387
-1.52656 -0.196402 0.0 -5.93423 -0.644285 82.1059 -0.0190869 -13 11 1 0 1 0 0 0 0 0 0 0.0976356 25.033 0 0 0 -0.697904 -0.345316 0 -0.147671 39.884
-2.66521 -2.56041 0.0 -7.85525 -0.550589 79.5348 0.167283 -13 12 1 0 1 0 0 0 0 0 0 0.0992352 25.2126 0 0 0 -0.0959412 -0.874027 0 0.0370621 39.6455
2.07418 0.500315 0.0 4.44197 -14.8527 90.4664 0.537895 -13 13 1 0 1 0 0 0 0 0 0 0.0934978 25.3402 0 0 0 0.928093 4.4635 0 0.411829 39.8292
-0.667696 -1.26578 0.0 -13.7166 1.90049 91.4715 0.959248 -13 14 1 0 1 0 0 0 0 0 0 0.092566 25.3035 0 0 0 3.11982 -2.1601 0 0.833956 40.2264
0.0105264 -1.75841 0.0 19.5185 -6.11551 70.4041 1.06833 -13 15 1 0 1 0 0 0 0 0 0 0.107339 25.5819 0 0 0 -4.86454 -0.416483 0 0.930975 39.4684
