#BLTrackFile NTuple/Z128
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
3.38777 5.70049 127.733 4.68467 -3.22874 69.0794 0.593492 -13 1 1 0 1
-39.4764 0.21778 127.733 -46.3434 -0.0585133 70.6015 1.01128 -13 2 1 0 1
0.675757 5.54993 127.733 1.6764 -3.94353 75.3833 0.162989 -13 3 1 0 1
1.14871 13.3679 127.733 1.94727 -8.00189 82.1491 1.67461 -13 4 1 0 1
-7.20205 -0.270298 127.733 -8.33491 -2.44991 82.1728 -0.170813 -13 5 1 0 1
0.752575 -3.75811 127.733 0.134652 0.649082 96.6893 0.691751 -13 6 1 0 1
3.38869 -2.52908 127.733 3.54107 3.71656 94.4672 0.98654 -13 9 1 0 1
-9.59291 4.49528 127.733 -12.6109 -2.40294 89.2883 2.20358 -13 10 1 0 1
28.0509 3.44051 127.733 34.2925 1.22708 77.0829 0.444591 -13 11 1 0 1
17.5042 -1.40332 127.733 20.3245 2.69853 67.3976 -0.132293 -13 12 1 0 1
-10.4032 4.46265 127.733 -13.7687 -0.122559 89.7977 0.599287 -13 13 1 0 1
10.6547 -1.33905 127.733 13.466 0.651708 88.0602 0.937681 -13 14 1 0 1
8.10437 -8.00492 127.733 10.1547 2.5043 89.8103 0.262317 -13 15 1 0 1
-27.9566 -6.11555 127.733 -34.9048 2.19544 80.7559 0.144004 -13 16 1 0 1
-14.069 4.63584 127.733 -18.169 -2.53171 87.6242 1.59659 -13 17 1 0 1
7.95609 1.33652 127.733 9.92978 -1.31828 89.2203 0.723595 -13 19 1 0 1
-15.6244 10.0183 127.733 -19.8627 -2.11126 84.6687 0.642251 -13 20 1 0 1
17.6851 -2.70806 127.733 22.8441 0.558039 91.0625 0.820494 -13 21 1 0 1
26.7305 2.46498 127.733 34.6813 1.95566 90.996 0.709375 -13 22 1 0 1
16.2868 -9.24745 127.733 20.4918 6.98246 80.1641 0.355873 -13 23 1 0 1
3.47583 5.27503 127.733 3.48904 -0.327011 96.8131 1.13497 -13 24 1 0 1
27.9574 -2.45351 127.733 35.7142 -0.713544 86.8855 0.425763 -13 25 1 0 1
-13.4774 5.5232 127.733 -18.0497 1.76875 90.6501 0.798871 -13 26 1 0 1
-37.364 15.6929 127.733 -38.7641 -14.2063 56.5001 1.6763 -13 27 1 0 1
7.45783 3.86451 127.733 9.60829 -1.71839 85.384 0.394467 -13 29 1 0 1
-16.0827 2.63209 127.733 -20.9094 -6.42451 87.0506 1.17723 -13 30 1 0 1
35.7335 4.07844 127.733 45.1351 -2.27756 82.3696 1.15222 -13 31 1 0 1
-5.36648 -1.73438 127.733 -9.03286 1.02749 98.6737 -0.229071 -13 32 1 0 1
-0.542744 -12.6351 127.733 -0.770482 7.68441 88.2889 1.67661 -13 33 1 0 1
-26.9914 4.60632 127.733 -36.0836 -1.00676 87.8563 1.68794 -13 35 1 0 1
10.1051 -11.0675 127.733 12.8425 8.33036 90.3243 1.68245 -13 36 1 0 1
1.46967 -6.43272 127.733 2.09822 9.18001 86.4652 2.30082 -13 37 1 0 1
19.627 2.45433 127.733 25.3431 -1.47349 96.4776 0.22773 -13 38 1 0 1
9.02772 -5.36114 127.733 10.9884 5.95378 96.2785 -0.0151622 -13 39 1 0 1
17.747 8.86374 127.733 22.1419 -2.90371 83.6196 1.31225 -13 40 1 0 1
27.04 12.6718 127.733 33.5282 -8.60692 79.4925 1.6158 -13 41 1 0 1
15.1754 28.3006 127.733 19.3477 -15.9848 95.1583 1.29854 -13 42 1 0 1
27.0988 -0.747143 127.733 34.6321 1.5862 84.6516 1.6076 -13 44 1 0 1
0.932507 1.3596 127.733 1.90158 -2.11273 70.5714 1.11476 -13 45 1 0 1
0.934457 0.369946 127.733 1.37997 -1.28018 84.4576 1.79302 -13 46 1 0 1
-15.9533 13.7388 127.733 -21.67 -4.47894 90.6306 1.42615 -13 47 1 0 1
4.15221 -8.23401 127.733 4.96358 3.06859 92.1652 0.0814379 -13 48 1 0 1
-19.2616 0.7117 127.733 -24.5933 -1.81229 84.7884 1.18432 -13 49 1 0 1
-29.433 -10.8218 127.733 -38.6255 5.95225 85.8121 0.818749 -13 50 1 0 1
-15.2801 3.23712 127.733 -19.5535 -3.19616 86.839 0.979404 -13 51 1 0 1
-21.4309 0.0513783 127.733 -25.9741 0.850208 79.5978 0.236 -13 52 1 0 1
-15.9275 13.8515 127.733 -19.3493 -13.0125 82.2788 0.497546 -13 53 1 0 1
-23.1782 -2.55977 127.733 -31.0504 0.203801 88.8174 0.326663 -13 55 1 0 1
-29.0814 3.671 127.733 -36.5518 -2.57278 80.6999 0.728466 -13 56 1 0 1
