#BLTrackFile NTuple/Z125
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
3.20247 5.82818 125 4.68231 -3.22443 69.0798 0.576817 -13 1 1 0 1
-37.6828 0.220045 125 -46.32 -0.0583769 70.6169 0.993817 -13 2 1 0 1
0.614987 5.69286 125 1.67594 -3.93931 75.3835 0.147285 -13 3 1 0 1
1.08394 13.634 125 1.94647 -7.99183 82.1501 1.65973 -13 4 1 0 1
-6.92489 -0.18882 125 -8.32981 -2.45005 82.1733 -0.185693 -13 5 1 0 1
0.748773 -3.77644 125 0.134097 0.646282 96.6894 0.678249 -13 6 1 0 1
-39.8265 -4.70541 125 -48.4511 -0.805335 67.7459 0.737259 -13 8 1 0 1
3.28627 -2.63658 125 3.53864 3.71461 94.4673 0.972854 -13 9 1 0 1
-9.20697 4.56881 125 -12.6041 -2.39958 89.2893 2.18939 -13 10 1 0 1
26.8341 3.39711 125 34.2993 1.22632 77.0799 0.428598 -13 11 1 0 1
16.6802 -1.51274 125 20.3126 2.69746 67.4013 -0.149469 -13 12 1 0 1
-9.9842 4.46636 125 -13.7614 -0.119285 89.7988 0.585141 -13 13 1 0 1
10.2369 -1.35927 125 13.4585 0.650712 88.0613 0.923374 -13 14 1 0 1
7.7954 -8.0811 125 10.1489 2.49835 89.8111 0.248202 -13 15 1 0 1
-26.7745 -6.19004 125 -34.9109 2.19654 80.7532 0.12848 -13 16 1 0 1
-13.5024 4.71478 125 -18.1592 -2.52828 87.6263 1.58219 -13 17 1 0 1
7.65199 1.3769 125 9.92414 -1.31727 89.2209 0.709429 -13 19 1 0 1
-14.9834 10.0864 125 -19.8519 -2.10398 84.6714 0.627515 -13 20 1 0 1
16.9996 -2.7248 125 22.8318 0.556079 91.0656 0.806345 -13 21 1 0 1
25.6882 2.4063 125 34.6845 1.95539 90.9947 0.694978 -13 22 1 0 1
15.5883 -9.48544 125 20.4807 6.97567 80.1676 0.340592 -13 23 1 0 1
3.37736 5.28424 125 3.48654 -0.323095 96.8132 1.12147 -13 24 1 0 1
26.8332 -2.43113 125 35.7191 -0.713167 86.8835 0.410928 -13 25 1 0 1
-12.9333 5.46986 125 -18.0403 1.77272 90.6519 0.784753 -13 26 1 0 1
-35.4893 16.38 125 -38.7396 -14.1952 56.5197 1.65585 -13 27 1 0 1
7.15033 3.9195 125 9.60302 -1.7155 85.3847 0.379927 -13 29 1 0 1
-15.4263 2.83377 125 -20.8983 -6.42247 87.0534 1.16271 -13 30 1 0 1
34.2363 4.15398 125 45.1129 -2.27485 82.3819 1.13657 -13 31 1 0 1
-5.11633 -1.76283 125 -9.02908 1.02619 98.674 -0.242453 -13 32 1 0 1
-0.518899 -12.8729 125 -0.770099 7.6749 88.2897 1.66237 -13 33 1 0 1
-25.868 4.63777 125 -36.0915 -1.00797 87.8531 1.6732 -13 35 1 0 1
9.71662 -11.3195 125 12.8354 8.32208 90.3261 1.66834 -13 36 1 0 1
1.40336 -6.72283 125 2.09719 9.17505 86.4658 2.28639 -13 37 1 0 1
18.9092 2.49606 125 25.3296 -1.4717 96.4812 0.214 -13 38 1 0 1
8.71585 -5.53012 125 10.982 5.94972 96.2795 -0.0287479 -13 39 1 0 1
17.0235 8.9586 125 22.1297 -2.89729 83.6231 1.29736 -13 40 1 0 1
25.8864 12.9681 125 33.5342 -8.60917 79.4897 1.60013 -13 41 1 0 1
14.6199 28.7596 125 19.3372 -15.9641 95.1639 1.28471 -13 42 1 0 1
25.9799 -0.798376 125 34.6368 1.58628 84.6497 1.59255 -13 44 1 0 1
0.858877 1.4414 125 1.90094 -2.11166 70.5714 1.09834 -13 45 1 0 1
0.88981 0.411367 125 1.37931 -1.27988 84.4576 1.77842 -13 46 1 0 1
-15.3 13.8738 125 -21.659 -4.46894 90.6338 1.41197 -13 47 1 0 1
4.00505 -8.32495 125 4.96062 3.06243 92.1656 0.0675585 -13 48 1 0 1
-18.469 0.770108 125 -24.5801 -1.81174 84.7923 1.16952 -13 49 1 0 1
-28.203 -11.0113 125 -38.6064 5.94482 85.8212 0.803706 -13 50 1 0 1
-14.6648 3.33769 125 -19.5429 -3.19375 86.8414 0.964898 -13 51 1 0 1
-20.5392 0.0221883 125 -25.9596 0.850224 79.6025 0.220561 -13 52 1 0 1
-15.2849 14.2836 125 -19.3384 -13.0023 82.283 0.482486 -13 53 1 0 1
-22.2222 -2.5661 125 -31.052 0.203895 88.8169 0.312141 -13 55 1 0 1
-27.8436 3.75812 125 -36.533 -2.57024 80.7084 0.712889 -13 56 1 0 1
-16.7406 -0.902753 125 -21.8936 2.8069 83.1154 0.298254 -13 57 1 0 1
18.3073 6.59518 125 24.4315 -2.57318 90.5112 -0.0558449 -13 58 1 0 1
-10.9687 2.81234 125 -14.4179 -3.97998 85.2229 -0.0281295 -13 59 1 0 1
2.73978 -2.26021 125 2.87836 2.21982 96.5466 0.876037 -13 60 1 0 1
14.3344 17.4268 125 18.9377 -9.67951 85.2202 2.23141 -13 61 1 0 1
9.24885 -5.13297 125 12.623 3.07625 77.9717 0.439772 -13 62 1 0 1
-0.379868 -11.2436 125 -0.378239 6.21509 84.7088 1.4314 -13 63 1 0 1
-0.593433 -0.781041 125 -0.999692 -0.583438 89.7461 0.656895 -13 64 1 0 1
-17.6307 -5.13675 125 -23.4809 -3.80406 85.5258 0.0608231 -13 65 1 0 1
9.75952 0.645614 125 13.0558 -3.42236 80.7477 1.4887 -13 66 1 0 1
-4.26876 6.87109 125 -5.84557 -2.71522 89.3172 -0.571491 -13 67 1 0 1
-6.60453 5.42104 125 -9.53003 -2.85801 90.8993 -0.120904 -13 68 1 0 1
8.0346 -3.17856 125 10.4469 -1.39679 94.4825 -0.0613924 -13 69 1 0 1
-1.60539 3.21948 125 -2.63454 -2.93587 92.8333 1.588 -13 70 1 0 1
8.48157 0.541839 125 11.3735 -0.559657 85.7292 1.49971 -13 71 1 0 1
-10.4374 -1.96462 125 -15.7753 3.38091 95.4383 -0.15721 -13 72 1 0 1
4.21912 1.84715 125 3.93725 -0.551533 99.07 0.532845 -13 73 1 0 1
25.2724 -0.953531 125 32.736 1.39151 79.4409 0.758641 -13 74 1 0 1
-26.8172 2.32639 125 -38.2628 -2.46899 90.1201 1.40997 -13 75 1 0 1
-35.7459 13.6665 125 -42.934 -8.5446 67.8666 1.38937 -13 77 1 0 1
17.9938 1.66797 125 23.3992 0.485902 79.8307 0.800669 -13 78 1 0 1
-0.0459679 -5.70793 125 -0.256297 1.76237 88.533 0.0151566 -13 79 1 0 1
3.49152 4.83027 125 4.99352 -3.53217 86.6857 0.17708 -13 81 1 0 1
13.634 -9.085 125 17.9619 1.58065 98.6186 1.07015 -13 82 1 0 1
-15.4217 -1.62644 125 -23.2654 1.8387 97.1311 1.1076 -13 83 1 0 1
16.8659 -2.38738 125 22.2147 -1.59888 79.7543 0.752925 -13 85 1 0 1
0.541242 12.7942 125 1.38417 -8.63538 74.9346 -0.437876 -13 86 1 0 1
15.82 -5.6687 125 20.8876 4.4435 80.5306 0.995807 -13 87 1 0 1
-18.4402 -2.30925 125 -24.1367 3.30003 84.2223 0.73795 -13 88 1 0 1
17.3097 -6.85217 125 23.2058 2.7968 92.2294 -0.83682 -13 89 1 0 1
-0.388691 -1.14964 125 -0.638792 1.75234 90.6428 0.00938659 -13 90 1 0 1
10.3988 -6.31045 125 13.9874 5.97948 85.0575 1.04332 -13 92 1 0 1
-10.2608 -0.627076 125 -16.5511 -1.01353 97.2893 1.4232 -13 95 1 0 1
-9.086 0.848103 125 -10.7983 -1.62118 80.2831 0.787083 -13 98 1 0 1
38.1692 1.72204 125 48.6694 1.45988 73.3569 -0.107041 -13 99 1 0 1
-3.99384 5.7262 125 -4.0779 -2.99156 75.2857 0.729121 -13 100 1 0 1
-6.17645 -0.750439 125 -6.83459 -0.385438 76.2899 1.29974 -13 101 1 0 1
9.56275 -4.484 125 12.8337 5.82365 84.6454 0.197555 -13 102 1 0 1
3.74057 3.97556 125 4.45028 -5.21541 91.9879 -0.662836 -13 103 1 0 1
4.71743 -0.741159 125 6.69651 -1.0803 76.3157 0.621754 -13 104 1 0 1
-21.3182 0.386607 125 -26.5382 2.01735 78.2154 1.57423 -13 105 1 0 1
1.08533 5.87588 125 0.71261 -2.16423 94.5052 1.25551 -13 107 1 0 1
-16.9825 8.27075 125 -21.3032 -1.2604 80.3533 2.22092 -13 108 1 0 1
16.1626 -11.4321 125 21.29 7.53587 83.6732 -0.0403493 -13 109 1 0 1
1.48752 -2.19547 125 1.99322 1.16303 84.4509 2.56615 -13 110 1 0 1
-5.65309 -4.01236 125 -7.75715 4.16905 88.3483 0.541705 -13 111 1 0 1
-27.0274 5.35154 125 -30.9007 -6.94308 65.8394 0.830383 -13 113 1 0 1
-10.775 -7.59412 125 -14.3505 1.28622 87.3344 0.557793 -13 114 1 0 1
4.66821 2.72141 125 5.9182 -1.26609 91.581 -0.543749 -13 115 1 0 1
8.36468 -0.935014 125 10.652 0.560479 98.3666 -0.628942 -13 116 1 0 1
16.9741 -2.14737 125 22.5094 -1.54039 85.2974 1.00514 -13 117 1 0 1
-13.4336 -11.0706 125 -20.6426 7.05486 97.7501 2.15904 -13 118 1 0 1
22.4325 -12.2913 125 29.5943 3.97354 84.8169 0.861532 -13 119 1 0 1
34.689 -3.0843 125 45.4108 -2.33843 80.5524 0.887262 -13 120 1 0 1
-26.4997 -3.69267 125 -38.9564 3.9409 93.076 0.29633 -13 121 1 0 1
26.9968 0.0113818 125 32.9039 -0.249366 69.5088 1.51121 -13 122 1 0 1
-16.4591 -4.03982 125 -19.173 0.609166 72.6023 0.728851 -13 124 1 0 1
-1.05938 5.91206 125 -2.0383 -4.41957 92.4409 0.771795 -13 125 1 0 1
16.9675 -7.7043 125 22.4791 1.90517 88.6373 0.891449 -13 126 1 0 1
1.56635 3.44665 125 1.9742 -2.48994 89.0244 0.668827 -13 128 1 0 1
-16.8709 7.36811 125 -21.865 -4.42599 82.6318 0.599714 -13 129 1 0 1
-10.3512 -5.58448 125 -14.1568 4.19569 87.8219 1.12063 -13 130 1 0 1
11.2677 2.2394 125 14.8598 -2.78415 86.4069 0.101959 -13 131 1 0 1
18.5249 1.36605 125 23.7797 -4.85481 76.4235 0.596067 -13 133 1 0 1
-0.179245 -4.07353 125 -1.15932 -0.74554 94.9589 0.545649 -13 134 1 0 1
-6.02254 -0.245708 125 -7.5376 2.5496 84.8213 1.20096 -13 135 1 0 1
-2.27132 -6.55999 125 -3.10404 -0.846094 89.089 0.430658 -13 136 1 0 1
-27.6407 -6.83553 125 -33.3981 4.38562 72.5436 0.702063 -13 137 1 0 1
-1.14052 -0.0294764 125 -2.50412 -1.19952 97.1821 0.489503 -13 138 1 0 1
-20.9856 6.53057 125 -24.6085 -4.83398 71.2167 -0.20752 -13 139 1 0 1
-2.28562 3.70128 125 -4.82026 -0.460235 98.8257 0.410613 -13 140 1 0 1
-1.87512 2.41523 125 -2.95295 -4.68245 90.9936 1.44062 -13 141 1 0 1
32.1799 1.29764 125 42.3353 4.15199 89.759 0.695688 -13 142 1 0 1
-4.6605 4.7376 125 -4.73593 -4.33711 71.3669 1.9246 -13 143 1 0 1
7.20527 5.10455 125 9.21748 -4.04867 94.795 0.398423 -13 144 1 0 1
-5.55919 -2.86613 125 -6.98267 5.27973 84.2664 -0.0726435 -13 145 1 0 1
-28.1018 -3.10238 125 -35.9574 -0.442297 78.0492 0.329888 -13 146 1 0 1
-4.4325 6.63964 125 -4.78529 -5.96893 79.0545 3.07395 -13 147 1 0 1
19.7483 -3.95727 125 25.7158 -1.58798 95.7449 2.56593 -13 148 1 0 1
-28.7629 8.05139 125 -34.675 -2.94374 71.1787 1.11707 -13 149 1 0 1
-5.24768 -9.68454 125 -6.23592 4.68659 82.0964 0.578442 -13 150 1 0 1
-7.99232 0.639055 125 -10.2545 -1.70555 83.7235 0.754713 -13 151 1 0 1
-14.2694 2.29871 125 -16.0552 -1.18661 71.8422 1.43242 -13 152 1 0 1
7.70694 7.4918 125 10.5646 -3.52697 90.6138 1.4333 -13 154 1 0 1
-20.0516 -5.28727 125 -27.9491 -0.414781 89.1657 0.742103 -13 155 1 0 1
1.91639 4.26447 125 2.76463 -6.05775 89.0107 0.743505 -13 156 1 0 1
-9.05525 1.96561 125 -10.2058 -0.357762 74.3121 1.26859 -13 157 1 0 1
26.6553 -3.91534 125 35.2953 -1.35387 83.561 0.0307495 -13 159 1 0 1
4.40741 1.02685 125 5.78312 -2.48396 92.0668 1.39224 -13 160 1 0 1
11.7514 4.12035 125 15.2205 -4.44511 97.842 0.0662319 -13 161 1 0 1
-16.8502 3.441 125 -23.389 -2.13499 89.7378 1.67821 -13 162 1 0 1
4.55843 2.94671 125 5.79661 -0.876856 89.4619 -0.154843 -13 163 1 0 1
-25.2715 -2.23734 125 -34.1303 2.12145 84.183 1.08157 -13 164 1 0 1
-13.0326 2.76059 125 -16.8544 -2.28711 85.1997 0.419656 -13 166 1 0 1
16.5889 4.26984 125 21.962 -6.47846 83.3969 0.96974 -13 167 1 0 1
7.49711 2.24052 125 9.66709 4.41956 96.6461 1.33353 -13 168 1 0 1
-34.6764 7.25818 125 -44.4525 -3.9732 75.2517 0.536118 -13 169 1 0 1
-6.4202 -0.227952 125 -7.93413 2.56357 83.0072 0.147304 -13 170 1 0 1
-19.7073 0.751258 125 -24.5083 1.50864 78.7909 -0.0890696 -13 172 1 0 1
-2.96524 7.07213 125 -3.20182 -7.16463 81.336 1.94443 -13 173 1 0 1
-9.7145 -4.07132 125 -13.1123 1.73854 89.6495 0.067993 -13 174 1 0 1
-9.71329 1.65553 125 -11.8795 1.53919 81.8313 0.613455 -13 175 1 0 1
3.18874 6.39861 125 4.18813 -4.37415 87.9514 0.158008 -13 176 1 0 1
-15.1965 5.11123 125 -22.0942 -3.49956 93.6159 -0.0184867 -13 178 1 0 1
-10.1969 -9.41897 125 -11.8946 7.5859 77.4087 -0.312919 -13 179 1 0 1
-0.616242 8.75507 125 -0.837611 -5.80528 90.1129 1.21942 -13 180 1 0 1
0.981099 9.5001 125 0.73359 -2.02782 95.8836 0.746704 -13 182 1 0 1
-22.3085 2.95335 125 -30.9222 -0.0730842 87.6407 0.637489 -13 183 1 0 1
-23.2595 7.16113 125 -33.2651 -2.38173 90.5995 1.0548 -13 184 1 0 1
-7.8999 5.91182 125 -10.5973 -1.35812 86.7136 -0.068083 -13 185 1 0 1
12.4463 -7.88233 125 15.9197 7.77718 74.5762 0.0802727 -13 186 1 0 1
3.75428 -2.41595 125 5.01817 2.43407 87.309 1.24703 -13 187 1 0 1
10.0788 -3.25982 125 13.0209 0.517011 97.0162 -0.266022 -13 188 1 0 1
-2.46688 2.039 125 -2.56649 1.32914 80.7626 0.692345 -13 189 1 0 1
8.60676 3.65278 125 11.4785 0.466251 89.453 0.623524 -13 190 1 0 1
-0.539711 10.0783 125 -0.571342 -11.0711 85.9297 0.91049 -13 191 1 0 1
-29.2959 2.52653 125 -34.1305 -6.96306 68.3741 0.429472 -13 192 1 0 1
-2.30051 5.55635 125 -3.49477 -3.60451 90.3189 0.136578 -13 193 1 0 1
13.0533 0.464704 125 17.0475 -0.898475 84.4862 1.17217 -13 194 1 0 1
-1.55806 -0.663124 125 -2.1281 1.0571 89.341 0.104345 -13 195 1 0 1
19.0908 -0.540269 125 25.1916 -0.0455775 87.2818 0.304418 -13 196 1 0 1
-5.20328 5.27933 125 -6.14767 -0.903058 82.0261 1.11969 -13 197 1 0 1
9.78724 8.22461 125 12.7282 -4.33028 95.8258 -0.424736 -13 199 1 0 1
-15.3842 -6.49521 125 -20.6603 6.9132 86.2193 -0.0442354 -13 200 1 0 1
35.1901 -1.83838 125 44.4054 0.0961978 72.9148 1.07918 -13 201 1 0 1
4.4636 5.28227 125 4.75983 0.0770361 100.164 1.00729 -13 202 1 0 1
23.5375 2.11072 125 28.5542 -1.74142 68.6584 0.749261 -13 203 1 0 1
-2.10373 1.05939 125 -4.25731 0.728063 97.1252 1.46487 -13 204 1 0 1
16.3571 3.11652 125 21.5589 -1.66179 94.296 0.610467 -13 205 1 0 1
-3.04538 18.2865 125 -4.13762 -11.5817 87.9066 1.12178 -13 206 1 0 1
-15.6815 -9.21508 125 -23.7743 5.38808 96.2377 0.951184 -13 207 1 0 1
-16.0212 9.8967 125 -19.8428 -9.19493 78.6277 -0.385991 -13 208 1 0 1
-20.9493 -3.41919 125 -25.3321 3.09568 75.7273 -0.445027 -13 209 1 0 1
8.95037 11.2404 125 12.0027 -8.03924 82.5839 1.09312 -13 210 1 0 1
-20.2935 2.47532 125 -23.5919 0.123664 71.1899 1.21418 -13 211 1 0 1
3.19631 3.42961 125 3.98856 -0.585859 89.7223 1.36328 -13 212 1 0 1
-23.9227 1.97814 125 -30.8955 -1.85496 80.1311 0.550375 -13 213 1 0 1
4.86304 3.93487 125 6.21382 -4.58634 90.9338 -0.0265408 -13 214 1 0 1
10.3895 2.62217 125 13.8195 -2.60584 85.1892 0.0114219 -13 216 1 0 1
33.6973 -10.6998 125 42.2107 5.78129 71.8188 1.04295 -13 218 1 0 1
39.4185 -3.04202 125 48.0731 4.40421 65.4942 0.530458 -13 219 1 0 1
-11.2394 -2.24009 125 -12.1084 1.55827 69.4767 1.48968 -13 220 1 0 1
-1.7597 -2.45874 125 -3.15185 -2.01888 92.7194 -0.153092 -13 221 1 0 1
-29.492 7.93319 125 -37.8455 -3.7161 77.9612 0.522306 -13 222 1 0 1
-22.9253 3.7531 125 -25.6629 -4.17235 65.0303 0.762623 -13 223 1 0 1
-4.30176 -2.77794 125 -7.69439 2.62644 98.6046 1.50632 -13 224 1 0 1
2.98634 -0.67557 125 3.94777 -0.915421 85.9245 0.883944 -13 225 1 0 1
10.2139 -5.6731 125 13.6654 4.63925 88.0246 0.480908 -13 226 1 0 1
5.31241 -2.98521 125 6.4909 3.29428 94.3286 1.17052 -13 227 1 0 1
28.6834 4.3787 125 37.7499 -3.27444 81.5802 -0.0349421 -13 228 1 0 1
-30.6407 1.45705 125 -39.6544 -3.8162 78.1049 1.09821 -13 229 1 0 1
29.9723 0.268353 125 38.1309 0.0367607 76.1288 0.838594 -13 230 1 0 1
6.39325 17.8823 125 8.27116 -14.3306 86.9392 -0.273931 -13 232 1 0 1
-1.56137 -1.7364 125 -2.23358 2.12506 89.2782 1.47567 -13 233 1 0 1
-12.7643 8.83498 125 -15.6717 -3.98867 80.2711 2.20771 -13 234 1 0 1
24.4442 -6.67445 125 31.7044 4.90676 77.8858 0.48182 -13 235 1 0 1
12.3984 10.0626 125 16.464 -5.57482 89.1355 1.0288 -13 236 1 0 1
-14.5185 2.14114 125 -21.3611 0.881707 94.5352 0.117045 -13 237 1 0 1
-8.40164 -4.44094 125 -11.187 5.00828 85.9129 1.56844 -13 238 1 0 1
23.2164 7.91816 125 30.6598 0.70422 87.7819 -0.305062 -13 239 1 0 1
12.9857 5.0238 125 17.2721 -1.82304 82.7999 0.275219 -13 241 1 0 1
5.81819 -5.86477 125 7.63171 5.07745 90.6327 1.90064 -13 242 1 0 1
31.5297 5.04636 125 40.1884 -3.3904 75.0475 1.97286 -13 243 1 0 1
36.0158 14.235 125 46.2714 -8.63952 76.5106 1.00046 -13 245 1 0 1
-31.1789 1.44756 125 -37.9465 -1.28964 71.72 0.222551 -13 246 1 0 1
29.6811 -3.92368 125 38.5145 2.58584 79.3208 -0.418649 -13 247 1 0 1
-9.21192 0.406661 125 -12.565 -1.97322 88.4708 1.92334 -13 248 1 0 1
-28.6502 -8.03991 125 -38.1537 4.0738 81.9002 0.431129 -13 249 1 0 1
16.3327 -13.758 125 21.4021 7.73472 82.388 0.839888 -13 250 1 0 1
3.89547 -6.92884 125 5.44381 9.13292 77.1508 0.772801 -13 251 1 0 1
6.3754 -13.2884 125 8.57021 6.57924 88.5101 1.06985 -13 252 1 0 1
-4.81146 4.67188 125 -6.94402 -3.94495 90.4948 0.881907 -13 253 1 0 1
-2.80275 -10.1005 125 -2.80458 2.19058 80.584 -0.167294 -13 254 1 0 1
0.469879 -1.38242 125 -0.0882489 -0.0889288 95.1801 1.09934 -13 255 1 0 1
14.0534 -1.10091 125 18.7152 2.10994 87.1859 1.08719 -13 257 1 0 1
-11.7012 10.1549 125 -15.5781 -5.87993 85.9023 0.875535 -13 259 1 0 1
1.64665 5.21493 125 1.68921 -3.12608 93.7881 0.256443 -13 260 1 0 1
-16.4078 -6.41541 125 -25.566 5.40041 97.6096 0.921572 -13 261 1 0 1
-19.2063 13.7773 125 -26.0147 -6.94433 86.5282 1.67834 -13 262 1 0 1
9.73775 13.9972 125 12.9648 -9.15806 88.5299 1.12073 -13 263 1 0 1
-6.33642 -1.41719 125 -6.98365 1.17505 73.9894 0.672113 -13 264 1 0 1
-36.7961 -1.05152 125 -41.0932 1.59645 59.1461 0.669676 -13 265 1 0 1
16.0764 5.87537 125 21.1234 -6.28513 81.2339 1.50368 -13 266 1 0 1
1.08231 0.222962 125 0.997552 0.265284 93.8633 1.52128 -13 267 1 0 1
1.74914 -3.71909 125 2.9659 1.51727 78.3365 2.12653 -13 268 1 0 1
-16.988 -1.9309 125 -23.1288 2.32318 87.3122 0.538797 -13 269 1 0 1
-5.51606 1.85684 125 -7.07086 -0.167199 86.1979 0.999834 -13 270 1 0 1
24.5673 -2.45422 125 32.708 -1.72467 90.5921 0.662263 -13 271 1 0 1
-22.5035 -17.3432 125 -30.9989 9.34405 87.2519 1.57516 -13 272 1 0 1
6.86737 -5.52767 125 9.35293 2.80801 83.6182 1.27195 -13 273 1 0 1
-7.45531 -11.0578 125 -9.61302 3.89722 86.0391 0.205738 -13 274 1 0 1
-13.6071 8.47845 125 -17.5896 -2.93279 84.2076 1.13424 -13 275 1 0 1
-26.6597 14.4834 125 -30.9964 -15.9077 67.0146 0.882693 -13 276 1 0 1
-2.56467 -5.19786 125 -3.76162 0.0747524 91.4983 0.976841 -13 278 1 0 1
15.3749 -2.28476 125 20.4043 2.12893 91.5338 1.70597 -13 279 1 0 1
0.372451 6.00741 125 0.130863 -2.39047 91.8594 0.30286 -13 280 1 0 1
6.61932 10.5279 125 8.41233 -5.93021 83.0048 0.840379 -13 281 1 0 1
22.0814 -3.96245 125 29.2995 6.02869 85.7273 0.935268 -13 282 1 0 1
-14.3472 4.35283 125 -18.0241 -3.95291 80.8642 -0.447424 -13 283 1 0 1
21.8281 3.80997 125 29.3246 -2.41357 87.055 0.930808 -13 284 1 0 1
-11.2454 7.68413 125 -14.6775 -2.54129 84.7688 0.203254 -13 285 1 0 1
2.63154 -7.1154 125 2.97777 4.22406 96.1691 1.16878 -13 286 1 0 1
-0.473525 -4.24401 125 -1.19236 4.47186 94.9778 1.0034 -13 287 1 0 1
34.573 5.23946 125 44.2145 -2.44029 75.233 2.26054 -13 288 1 0 1
16.7884 19.4794 125 21.8669 -14.356 79.6417 0.252647 -13 289 1 0 1
-31.2123 -0.4645 125 -38.316 0.218561 72.823 1.18025 -13 290 1 0 1
5.48974 -4.78064 125 5.59571 4.58826 98.3835 1.18778 -13 292 1 0 1
-10.1567 7.47919 125 -13.5622 -5.51784 85.7643 1.5489 -13 293 1 0 1
-5.39006 -4.44449 125 -6.53185 8.22928 81.071 0.121472 -13 294 1 0 1
30.4788 4.09055 125 40.512 -3.66379 83.8793 -0.383011 -13 295 1 0 1
-30.479 9.8504 125 -36.0846 -4.62461 68.7936 0.874605 -13 296 1 0 1
-13.8888 2.54809 125 -16.4093 -0.885996 75.0654 0.116396 -13 298 1 0 1
-15.3373 -16.3232 125 -20.263 9.83017 85.5185 0.413076 -13 299 1 0 1
15.5582 -25.8281 125 20.4345 17.0648 86.4964 1.76086 -13 300 1 0 1
5.66314 6.45565 125 7.24749 -2.95751 92.4971 0.905017 -13 301 1 0 1
8.48843 9.34755 125 11.2366 -4.53383 84.6977 0.609771 -13 302 1 0 1
-23.4935 2.93373 125 -29.4104 -0.393149 78.4996 0.299117 -13 303 1 0 1
15.5648 12.1715 125 20.4921 -5.32335 83.3823 -0.0917622 -13 305 1 0 1
14.3478 -0.899474 125 18.9323 0.240423 88.3805 1.12965 -13 306 1 0 1
1.11595 4.87174 125 0.787949 -1.71322 94.64 0.978973 -13 307 1 0 1
-28.8743 -0.86243 125 -36.9642 2.92403 78.1449 0.304834 -13 308 1 0 1
-2.52907 -3.40487 125 -5.03638 1.1866 98.7895 1.98164 -13 309 1 0 1
9.63294 -11.4191 125 12.5951 7.04977 94.6684 1.02576 -13 310 1 0 1
-36.1905 1.05636 125 -45.728 -3.82517 73.5109 2.28367 -13 311 1 0 1
14.3063 -1.72049 125 19.2768 -3.11207 89.2348 -0.202965 -13 313 1 0 1
20.1865 -2.06723 125 26.2845 1.33402 82.8821 0.112161 -13 314 1 0 1
-9.53764 8.08937 125 -12.7495 -4.00015 87.7394 0.498586 -13 315 1 0 1
1.9877 1.53121 125 1.68332 -1.19178 97.1584 0.466448 -13 316 1 0 1
20.8795 0.508482 125 27.0434 -1.74928 80.2429 0.997941 -13 317 1 0 1
-8.17327 5.98214 125 -10.5265 -1.75866 85.8658 0.274322 -13 318 1 0 1
9.69723 10.9135 125 13.0921 -7.63379 86.7966 1.81698 -13 319 1 0 1
-18.9676 -5.40796 125 -22.5521 1.88383 73.0883 0.543061 -13 320 1 0 1
-32.9513 -3.00952 125 -41.624 1.66368 75.115 1.52419 -13 321 1 0 1
-3.98401 -3.48259 125 -5.36877 0.0228108 89.7575 1.29598 -13 322 1 0 1
6.98095 -1.16314 125 9.25618 0.157997 86.4651 0.078082 -13 323 1 0 1
