#BLTrackFile NTuple/Z0
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-2.86449 -0.253449 0 3.44112 6.95322 68.8778 -0.186006 -13 1 1 0 1
-3.50397 -0.0233805 0 -11.3527 0.272561 83.6859 0.29553 -13 2 1 0 1
-2.56238 0.875552 0 2.54699 6.89977 75.1459 -0.571423 -13 3 1 0 1
-1.32317 1.82357 0 1.70895 16.6465 80.8472 0.976147 -13 4 1 0 1
-1.7956 2.04966 0 -1.0643 -0.358306 82.6231 -0.863471 -13 5 1 0 1
1.85695 0.187716 0 -1.65591 -4.94853 96.5507 0.0601869 -13 6 1 0 1
0.0176813 -2.33765 0 -22.9602 15.2322 94.9838 -0.513693 -13 7 1 0 1
-3.10726 2.24351 0 -12.1213 -5.76341 82.2041 0.0273654 -13 8 1 0 1
2.28469 -2.35359 0 -0.845577 -2.9424 94.557 0.347537 -13 9 1 0 1
-0.123574 0.770256 0 -4.09426 5.67076 89.9349 1.54473 -13 10 1 0 1
1.00896 -2.07215 0 9.83068 4.28946 83.6912 -0.257026 -13 11 1 0 1
-1.99745 -1.50406 0 6.97768 -1.98412 70.0727 -0.910801 -13 12 1 0 1
-0.0508847 -0.981986 0 -4.56621 5.80942 90.5462 -0.0574394 -13 13 1 0 1
1.1378 -0.1672 0 3.44497 -1.69131 89.0035 0.27441 -13 14 1 0 1
1.28538 0.0207733 0 2.24836 -10.23 89.8085 -0.396174 -13 15 1 0 1
-1.41994 -0.0280194 0 -10.0394 -7.74147 87.0859 -0.539972 -13 16 1 0 1
-0.595215 0.801728 0 -5.4831 5.84231 89.1646 0.932578 -13 17 1 0 1
4.70673 -2.68286 0 22.0772 -0.0382739 84.8608 -0.434372 -13 18 1 0 1
1.28228 0.699156 0 2.1682 1.64221 89.7396 0.0644138 -13 19 1 0 1
-0.450105 -1.23396 0 -5.98724 12.7031 85.8519 -0.0372598 -13 20 1 0 1
2.05319 0.141245 0 5.99055 -3.51907 93.6284 0.173011 -13 21 1 0 1
3.4533 -1.94243 0 9.03923 3.49399 96.9173 0.0677542 -13 22 1 0 1
-0.539557 -2.50019 0 6.78255 -11.5569 81.9475 -0.343487 -13 23 1 0 1
2.70319 -0.70555 0 -1.24853 7.02351 96.6135 0.503538 -13 24 1 0 1
2.96232 1.08045 0 9.53002 -3.27427 93.4 -0.230516 -13 25 1 0 1
0.117798 -2.63063 0 -6.22431 7.39497 91.9398 0.146224 -13 26 1 0 1
-4.44711 2.9486 0 -6.55588 20.5151 66.5799 0.854037 -13 27 1 0 1
3.45685 -3.75607 0 16.6659 -31.766 79.6812 0.62613 -13 28 1 0 1
-0.0856402 0.233971 0 3.153 4.86021 85.7446 -0.28261 -13 29 1 0 1
-0.311105 4.37168 0 -6.64811 3.01442 89.4595 0.512798 -13 30 1 0 1
3.39289 0.866585 0 12.2522 5.19104 93.0057 0.485985 -13 31 1 0 1
2.998 -0.500213 0 -6.0283 -2.19475 98.8837 -0.85334 -13 32 1 0 1
0.142341 -2.61712 0 -0.376147 -15.8343 87.1992 1.00892 -13 33 1 0 1
1.63106 1.04057 0 15.9985 -10.1603 81.181 -0.204273 -13 34 1 0 1
0.262079 -0.182749 0 -12.6372 5.9796 93.9485 1.03361 -13 35 1 0 1
1.362 -3.85589 0 3.10668 -13.7756 90.5173 1.02697 -13 36 1 0 1
-0.470411 -5.44786 0 1.08795 -7.80663 86.6186 1.6288 -13 37 1 0 1
4.0953 0.731883 0 5.31807 3.11061 99.5712 -0.398852 -13 38 1 0 1
3.05922 -3.58698 0 1.07644 -6.42195 96.8677 -0.646551 -13 39 1 0 1
1.27334 -0.295629 0 5.98654 11.188 85.615 0.630454 -13 40 1 0 1
