# AllTracks
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez
# Event 1 Track 1
1.78937 1.12095 0 -5.70052 -0.032183 96.0115 0.353355 -13 1 1 0 1 0 0 0 0 0 0 
1.75974 1.12078 0.499121 -5.70052 -0.032183 96.0115 0.355833 -13 1 1 0 1 0 0 0 0 0 0 
1.7301 1.12062 0.998242 -5.70052 -0.032183 96.0115 0.35831 -13 1 1 0 1 0 0 0 0 0 0 
1.70047 1.12045 1.49736 -5.70052 -0.032183 96.0115 0.360788 -13 1 1 0 1 0 0 0 0 0 0 
1.67083 1.12028 1.99648 -5.70052 -0.032183 96.0115 0.363265 -13 1 1 0 1 0 0 0 0 0 0 
1.6412 1.12011 2.4956 -5.70052 -0.032183 96.0115 0.365743 -13 1 1 0 1 0 0 0 0 0 0 
1.61156 1.11995 2.99473 -5.70052 -0.032183 96.0115 0.368221 -13 1 1 0 1 0 0 0 0 0 0 
1.58193 1.11978 3.49385 -5.70052 -0.032183 96.0115 0.370698 -13 1 1 0 1 0 0 0 0 0 0 
1.55229 1.11961 3.99297 -5.70052 -0.032183 96.0115 0.373176 -13 1 1 0 1 0 0 0 0 0 0 
1.52266 1.11944 4.49209 -5.70052 -0.032183 96.0115 0.375653 -13 1 1 0 1 0 0 0 0 0 0 
1.49303 1.11928 4.99121 -5.70052 -0.032183 96.0115 0.378131 -13 1 1 0 1 0 0 0 0 0 0 
1.46339 1.11911 5.49033 -5.70052 -0.032183 96.0115 0.380609 -13 1 1 0 1 0 0 0 0 0 0 
1.43376 1.11894 5.98945 -5.70052 -0.032183 96.0115 0.383086 -13 1 1 0 1 0 0 0 0 0 0 
1.40412 1.11878 6.48857 -5.70052 -0.032183 96.0115 0.385564 -13 1 1 0 1 0 0 0 0 0 0 
1.37449 1.11861 6.98769 -5.70052 -0.032183 96.0115 0.388041 -13 1 1 0 1 0 0 0 0 0 0 
1.34485 1.11844 7.48681 -5.70052 -0.032183 96.0115 0.390519 -13 1 1 0 1 0 0 0 0 0 0 
1.31993 1.1183 7.90656 -5.70053 -0.0321705 96.0115 0.392602 -13 1 1 0 1 0.0011183 0.00131993 0 0 0 0 
1.2903 1.11813 8.40568 -5.70073 -0.0320032 96.0115 0.39508 -13 1 1 0 1 0.00111813 0.0012903 0 0 0 0 
1.26066 1.11797 8.9048 -5.70092 -0.0318359 96.0115 0.397558 -13 1 1 0 1 0.00111797 0.00126066 0 0 0 0 
1.23102 1.1178 9.40392 -5.70111 -0.0316686 96.0115 0.400035 -13 1 1 0 1 0.0011178 0.00123102 0 0 0 0 
1.20139 1.11764 9.90304 -5.70129 -0.0315014 96.0115 0.402513 -13 1 1 0 1 0.00111764 0.00120139 0 0 0 0 
1.17175 1.11747 10.4022 -5.70147 -0.0313341 96.0114 0.40499 -13 1 1 0 1 0.00111747 0.00117175 0 0 0 0 
1.14211 1.11731 10.9013 -5.70164 -0.0311669 96.0114 0.407468 -13 1 1 0 1 0.00111731 0.00114211 0 0 0 0 
1.11247 1.11715 11.4004 -5.70181 -0.0309998 96.0114 0.409946 -13 1 1 0 1 0.00111715 0.00111247 0 0 0 0 
1.08282 1.11699 11.8995 -5.70197 -0.0308326 96.0114 0.412423 -13 1 1 0 1 0.00111699 0.00108282 0 0 0 0 
1.05318 1.11683 12.3986 -5.70213 -0.0306655 96.0114 0.414901 -13 1 1 0 1 0.00111683 0.00105318 0 0 0 0 
1.02354 1.11667 12.8978 -5.70229 -0.0304984 96.0114 0.417378 -13 1 1 0 1 0.00111667 0.00102354 0 0 0 0 
0.993895 1.11651 13.3969 -5.70244 -0.0303313 96.0114 0.419856 -13 1 1 0 1 0.00111651 0.000993895 0 0 0 0 
0.96425 1.11636 13.896 -5.70259 -0.0301642 96.0114 0.422334 -13 1 1 0 1 0.00111636 0.00096425 0 0 0 0 
0.934604 1.1162 14.3951 -5.70273 -0.0299972 96.0114 0.424811 -13 1 1 0 1 0.0011162 0.000934604 0 0 0 0 
0.904958 1.11604 14.8942 -5.70287 -0.0298302 96.0114 0.427289 -13 1 1 0 1 0.00111604 0.000904958 0 0 0 0 
0.875311 1.11589 15.3934 -5.703 -0.0296632 96.0114 0.429766 -13 1 1 0 1 0.00111589 0.000875311 0 0 0 0 
0.845663 1.11574 15.8925 -5.70313 -0.0294963 96.0113 0.432244 -13 1 1 0 1 0.00111574 0.000845663 0 0 0 0 
0.816015 1.11558 16.3916 -5.70325 -0.0293293 96.0113 0.434722 -13 1 1 0 1 0.00111558 0.000816015 0 0 0 0 
0.786366 1.11543 16.8907 -5.70337 -0.0291624 96.0113 0.437199 -13 1 1 0 1 0.00111543 0.000786366 0 0 0 0 
0.756716 1.11528 17.3898 -5.70349 -0.0289955 96.0113 0.439677 -13 1 1 0 1 0.00111528 0.000756716 0 0 0 0 
0.727066 1.11513 17.889 -5.7036 -0.0288286 96.0113 0.442154 -13 1 1 0 1 0.00111513 0.000727066 0 0 0 0 
0.697415 1.11498 18.3881 -5.7037 -0.0286618 96.0113 0.444632 -13 1 1 0 1 0.00111498 0.000697415 0 0 0 0 
0.667764 1.11483 18.8872 -5.70381 -0.028495 96.0113 0.44711 -13 1 1 0 1 0.00111483 0.000667764 0 0 0 0 
0.638112 1.11468 19.3863 -5.7039 -0.0283282 96.0113 0.449587 -13 1 1 0 1 0.00111468 0.000638112 0 0 0 0 
0.60846 1.11454 19.8854 -5.704 -0.0281614 96.0113 0.452065 -13 1 1 0 1 0.00111454 0.00060846 0 0 0 0 
