#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
1.78937 1.12095 0.0 -5.70052 -0.032183 96.0115 0.353355 -13 1 1 0 1 0 0 0 0 0 0 0.0901941 25.0647 0 0 0 3.06189 1.9962 0 0.230366 39.7062
-1.2418 -0.272447 0.0 -15.0696 6.10395 88.4002 -0.714849 -13 2 1 0 1 0 0 0 0 0 0 0.0952646 25.3624 0 0 0 2.76489 -1.65821 0 -0.842281 38.4379
-0.682473 4.93259 0.0 -1.00927 5.17446 84.9711 0.200198 -13 3 1 0 1 0 0 0 0 0 0 0.0959333 25.0412 0 0 0 -0.950674 3.73309 0 0.0729126 40.2647
-3.3239 -3.21065 0.0 -14.6008 -12.4872 80.9173 -0.530788 -13 4 1 0 1 0 0 0 0 0 0 0.0979145 25.4732 0 0 0 0.232197 -0.0698536 0 -0.660537 40.5676
-0.314514 -4.45991 0.0 -2.41082 -17.0676 87.4665 1.14326 -13 5 1 0 1 0 0 0 0 0 0 0.0949396 25.4058 0 0 0 0.663326 -0.0955769 0 1.01596 39.8095
2.16495 1.17771 0.0 -2.52205 -0.338213 98.9478 -0.670767 -13 6 1 0 1 0 0 0 0 0 0 0.0878727 25.0046 0 0 0 2.53073 1.1357 0 -0.791923 41.0026
1.59985 -3.06844 0.0 0.45373 -12.8701 91.6003 -0.687433 -13 7 1 0 1 0 0 0 0 0 0 0.0934473 25.2773 0 0 0 1.61375 0.653522 0 -0.81331 38.7663
-3.30552 1.6418 0.0 -5.07737 0.888026 76.5428 0.300683 -13 8 1 0 1 0 0 0 0 0 0 0.101105 25.092 0 0 0 -2.31743 0.310478 0 0.16926 39.1996
-1.60556 -5.84296 0.0 -1.57573 -7.99215 76.8948 -0.439415 -13 9 1 0 1 0 0 0 0 0 0 0.100778 25.0812 0 0 0 -2.03126 -4.32959 0 -0.570587 40.3036
-0.762942 0.864198 0.0 -5.91423 -3.8962 89.9525 -0.724275 -13 10 1 0 1 0 0 0 0 0 0 0.0924011 25.0489 0 0 0 0.362342 1.75755 0 -0.848892 40.72
-0.463995 -2.72372 0.0 5.83723 -2.38733 81.2583 -1.18701 -13 11 1 0 1 0 0 0 0 0 0 0.0979987 25.0764 0 0 0 -1.93113 -1.59239 0 -1.31599 40.7913
-4.11843 -0.746094 0.0 -4.62244 -6.49677 66.4346 -0.465641 -13 12 1 0 1 0 0 0 0 0 0 0.108953 25.3306 0 0 0 -2.96331 3.02245 0 -0.603893 39.0168
-0.835958 -0.965265 0.0 2.66174 -10.7307 82.0737 1.50179 -13 13 1 0 1 0 0 0 0 0 0 0.0974998 25.1636 0 0 0 -2.51906 0.797008 0 1.37302 41.2196
1.68082 -1.31395 0.0 2.34178 -4.63052 92.5071 -0.0028612 -13 14 1 0 1 0 0 0 0 0 0 0.0922086 25.0314 0 0 0 1.0021 -0.293996 0 -0.127271 39.2127
2.78278 -2.62102 0.0 19.4805 -5.32784 85.1181 -0.00952509 -13 15 1 0 1 0 0 0 0 0 0 0.0968808 25.4569 0 0 0 -1.65902 -1.2128 0 -0.138403 39.3886
-0.253911 -2.80449 0.0 6.06163 0.704065 83.2673 0.24723 -13 16 1 0 1 0 0 0 0 0 0 0.097119 25.0397 0 0 0 -1.24731 -3.02733 0 0.119038 39.992
1.79637 -0.26841 0.0 3.59928 -2.64754 91.5625 1.79125 -13 17 1 0 1 0 0 0 0 0 0 0.0924903 25.0275 0 0 0 1.42693 0.671823 0 1.66663 39.6191
2.55707 0.295701 0.0 11.4046 1.39925 88.4108 0.334568 -13 18 1 0 1 0 0 0 0 0 0 0.0945372 25.1699 0 0 0 -0.262118 -0.210987 0 0.20809 39.568
0.978861 -1.50404 0.0 5.34817 0.191471 89.0492 0.0939748 -13 19 1 0 1 0 0 0 0 0 0 0.0935647 25.0523 0 0 0 -0.467387 -1.00182 0 -0.0315213 40.3816
0.850097 0.789223 0.0 -9.83668 6.53078 95.009 0.46702 -13 20 1 0 1 0 0 0 0 0 0 0.0902977 25.1627 0 0 0 3.21791 -0.787424 0 0.343728 40.4508
-0.478892 2.24575 0.0 -7.21512 5.00891 92.9188 0.661232 -13 21 1 0 1 0 0 0 0 0 0 0.090695 25.0737 0 0 0 1.00697 1.17572 0 0.537836 41.1185
1.46097 -3.8688 0.0 -6.53202 -5.31037 96.3214 -0.344787 -13 22 1 0 1 0 0 0 0 0 0 0.0901157 25.1456 0 0 0 3.59632 -2.2856 0 -0.467902 39.9005
0.470015 -2.63774 0.0 17.9054 -3.96884 74.8382 0.0570813 -13 23 1 0 1 0 0 0 0 0 0 0.104416 25.5408 0 0 0 -4.09581 -0.453734 0 -0.0778457 39.0779
-0.279378 -2.4531 0.0 -4.00679 -4.87757 88.7468 -0.709353 -13 24 1 0 1 0 0 0 0 0 0 0.0935333 25.0937 0 0 0 0.593512 -0.556612 0 -0.834921 40.4494
-0.399282 3.00074 0.0 -1.54576 0.542288 90.5538 0.658688 -13 25 1 0 1 0 0 0 0 0 0 0.0917008 25.0186 0 0 0 0.445654 2.74842 0 0.534653 41.4751
-1.53468 2.61773 0.0 3.32539 0.904875 80.24 -0.0778192 -13 26 1 0 1 0 0 0 0 0 0 0.0993333 25.027 0 0 0 -2.48588 2.45976 0 -0.207693 39.3598
-0.570327 2.06668 0.0 -7.70503 3.26275 89.0491 0.252621 -13 27 1 0 1 0 0 0 0 0 0 0.0942949 25.1841 0 0 0 1.32726 3.3552 0 0.1263 39.2523
-6.46983 -3.92118 0.0 -27.5657 -24.3071 60.2141 0.0328125 -13 28 1 0 1 0 0 0 0 0 0 0.111779 27.0941 0 0 0 -0.0105358 2.66956 0 -0.111252 39.2181
-1.0686 -0.845464 0.0 -6.37888 9.43659 85.061 -1.7851 -13 29 1 0 1 0 0 0 0 0 0 0.0959589 25.1669 0 0 0 0.159004 -3.39821 0 -1.91267 39.8984
-1.37649 1.04536 0.0 -8.02296 5.9568 86.1302 -0.438269 -13 30 1 0 1 0 0 0 0 0 0 0.0958366 25.2271 0 0 0 1.22725 -1.06612 0 -0.565863 39.3666
2.23917 2.74046 0.0 -3.53927 14.3702 97.0035 -0.735988 -13 31 1 0 1 0 0 0 0 0 0 0.0898263 25.2856 0 0 0 3.22398 -0.917723 0 -0.859208 40.0889
1.38981 -1.98649 0.0 -2.87753 11.7723 95.3349 -0.991227 -13 32 1 0 1 0 0 0 0 0 0 0.0898617 25.1439 0 0 0 1.88656 -4.56429 0 -1.11416 40.7898
