#BLTrackFile NTuple/Z188
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-9.34027 1.10318 188.339 -5.65235 0.0010034 96.0144 1.28824 -13 1 1 0 1
-32.8913 12.8747 188.339 -14.7446 6.21316 88.4474 0.270633 -13 2 1 0 1
-2.86006 16.7785 188.339 -0.967965 5.43177 84.9555 1.20353 -13 3 1 0 1
-36.6914 -32.817 188.339 -14.1948 -12.8482 80.933 0.513036 -13 4 1 0 1
-5.43117 -41.8927 188.339 -2.35304 -17.5475 87.3731 2.13687 -13 5 1 0 1
-2.66888 0.573822 188.339 -2.54278 -0.308605 98.9474 0.248453 -13 6 1 0 1
2.45383 -29.9844 188.339 0.397027 -13.2112 91.552 0.276003 -13 7 1 0 1
-15.453 3.94224 188.339 -4.8659 0.957421 76.5557 1.37224 -13 8 1 0 1
-5.33064 -26 188.339 -1.49169 -8.35314 76.8581 0.630622 -13 9 1 0 1
-12.964 -7.3534 188.339 -5.78003 -3.94414 89.9591 0.246064 -13 10 1 0 1
12.9082 -8.46301 188.339 5.72916 -2.51941 81.262 -0.15537 -13 11 1 0 1
-16.7689 -19.5092 188.339 -4.37719 -6.69219 66.4318 0.717027 -13 12 1 0 1
5.23334 -25.9673 188.339 2.63163 -10.9827 82.0413 2.52963 -13 13 1 0 1
6.32222 -10.9079 188.339 2.24696 -4.75869 92.5029 0.951517 -13 14 1 0 1
45.1841 -14.6725 188.339 19.0057 -5.51468 85.2135 1.00219 -13 15 1 0 1
13.2904 -1.32438 188.339 5.94539 0.63414 83.2762 1.26317 -13 16 1 0 1
9.03593 -5.79009 188.339 3.47823 -2.70553 91.5655 2.751 -13 17 1 0 1
26.4367 3.32534 188.339 11.1079 1.43538 88.448 1.31666 -13 18 1 0 1
12.1099 -1.16078 188.339 5.21634 0.149883 89.0571 1.06949 -13 19 1 0 1
-18.4628 13.9152 188.339 -9.68459 6.67306 95.0147 1.40979 -13 20 1 0 1
-14.9135 12.6119 188.339 -7.06512 5.17176 92.9214 1.61438 -13 21 1 0 1
-11.2284 -14.528 188.339 -6.45694 -5.52516 96.3144 0.589386 -13 22 1 0 1
44.8251 -12.9016 188.339 17.486 -4.13865 74.9281 1.154 -13 23 1 0 1
-8.66755 -13.0401 188.339 -3.92175 -5.0453 88.7412 0.26849 -13 24 1 0 1
-3.55877 4.2729 188.339 -1.50437 0.643361 90.5538 1.62415 -13 25 1 0 1
6.24077 4.89917 188.339 3.3 1.00341 80.2399 0.961286 -13 26 1 0 1
-16.6434 9.14234 188.339 -7.53671 3.38986 89.0588 1.22918 -13 27 1 0 1
-90.6367 -81.4858 188.339 -26.5706 -25.1399 60.3194 1.35678 -13 28 1 0 1
