#BLTrackFile NTuple/Z109
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-4.64988 1.10213 108.634 -5.65012 0.00126674 96.0145 0.8926 -13 1 1 0 1
-19.6144 7.27181 108.634 -14.7334 6.21755 88.4489 -0.146338 -13 2 1 0 1
-1.95191 11.6825 108.634 -0.967965 5.43177 84.9555 0.778894 -13 3 1 0 1
-22.7219 -20.1548 108.634 -14.1847 -12.8572 80.9334 0.0713204 -13 4 1 0 1
-3.28462 -25.8852 108.634 -2.35304 -17.5475 87.3731 1.71621 -13 5 1 0 1
-0.620936 0.82234 108.634 -2.54235 -0.308513 98.9474 -0.140562 -13 6 1 0 1
2.10817 -18.4828 108.634 0.397027 -13.2112 91.552 -0.131803 -13 7 1 0 1
-10.3911 2.94438 108.634 -4.8619 0.958441 76.5559 0.918786 -13 8 1 0 1
-3.78369 -17.3374 108.634 -1.49169 -8.35314 76.8581 0.177705 -13 9 1 0 1
-7.84636 -3.85681 108.634 -5.77602 -3.94642 89.9593 -0.164573 -13 10 1 0 1
7.29268 -5.98932 108.634 5.7252 -2.522 81.2622 -0.591952 -13 11 1 0 1
-11.5171 -11.4799 108.634 -4.37719 -6.69219 66.4318 0.216508 -13 12 1 0 1
2.67822 -15.2893 108.634 2.62997 -10.9909 82.0403 2.09458 -13 13 1 0 1
4.38612 -6.80763 108.634 2.24696 -4.75869 92.5029 0.547616 -13 14 1 0 1
27.4165 -9.5114 108.634 18.9958 -5.51791 85.2155 0.574214 -13 15 1 0 1
7.60362 -1.93096 108.634 5.9416 0.633762 83.2765 0.83324 -13 16 1 0 1
6.00984 -3.43396 108.634 3.47636 -2.70673 91.5655 2.34484 -13 17 1 0 1
16.4325 2.03115 108.634 11.1016 1.43616 88.4488 0.901101 -13 18 1 0 1
7.44392 -1.29468 108.634 5.21346 0.149607 89.0573 0.656662 -13 19 1 0 1
-10.342 8.31484 108.634 -9.68059 6.67607 95.0149 1.01082 -13 20 1 0 1
-8.85377 8.17531 108.634 -7.06452 5.17227 92.9214 1.21101 -13 21 1 0 1
-5.88496 -9.95566 108.634 -6.45694 -5.52516 96.3144 0.194035 -13 22 1 0 1
26.2399 -8.49498 108.634 17.472 -4.14269 74.9312 0.690003 -13 23 1 0 1
-5.14735 -8.50517 108.634 -3.91927 -5.04903 88.7411 -0.145343 -13 24 1 0 1
-2.23511 3.70605 108.634 -1.50382 0.644011 90.5538 1.21557 -13 25 1 0 1
2.96395 3.9015 108.634 3.29879 1.00436 80.2399 0.521536 -13 26 1 0 1
-9.89873 6.10824 108.634 -7.53616 3.39017 89.0588 0.815916 -13 27 1 0 1
-55.5266 -48.2662 108.634 -26.5706 -25.1399 60.3194 0.796812 -13 28 1 0 1
-9.14081 11.2738 108.634 -6.2153 9.60674 85.0541 -1.20521 -13 29 1 0 1
-11.4029 8.62755 108.634 -7.81826 6.11067 86.1382 0.136754 -13 30 1 0 1
-1.73652 18.9763 108.634 -3.54251 14.7146 96.9517 -0.19723 -13 31 1 0 1
-1.89147 11.4789 108.634 -2.86631 11.9299 95.3156 -0.448321 -13 32 1 0 1
-3.34512 -1.92593 108.634 -3.63149 0.0745236 95.6708 -0.871617 -13 33 1 0 1
-17.0289 -20.4031 108.634 -9.155 -13.7967 75.8492 1.43061 -13 34 1 0 1
11.2745 -1.266 108.634 7.72105 -1.20456 84.1795 1.36304 -13 35 1 0 1
0.459988 13.9944 108.634 1.07957 9.14592 81.954 0.298826 -13 36 1 0 1
7.32674 33.3441 108.634 5.63831 19.7779 77.417 0.193584 -13 37 1 0 1
15.7502 -21.4096 108.634 10.6668 -16.3795 88.7544 1.65906 -13 38 1 0 1
2.31136 8.67371 108.634 -0.363504 7.74945 99.2 0.225429 -13 39 1 0 1
-7.61083 15.5011 108.634 -2.81378 10.0193 74.1504 1.6175 -13 40 1 0 1
-0.372116 -2.53688 108.634 -2.32656 -1.40674 97.4349 -0.535996 -13 41 1 0 1
28.9768 -37.6383 108.634 17.6935 -21.0897 68.7688 0.800068 -13 42 1 0 1
-7.4383 3.84681 108.634 -7.04513 1.8865 93.0834 0.686157 -13 43 1 0 1
5.55157 11.1473 108.634 4.55358 6.03507 86.3399 1.89794 -13 44 1 0 1
10.3373 -12.4571 108.634 6.91345 -9.07092 87.2551 0.675039 -13 45 1 0 1
0.14815 -6.93673 108.634 -0.981545 -4.75202 93.8597 0.473419 -13 46 1 0 1
