#BLTrackFile NTuple/Z0
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
1.78937 1.12095 0 -5.70052 -0.032183 96.0115 0.353355 -13 1 1 0 1
-1.2418 -0.272447 0 -15.0696 6.10395 88.4002 -0.714849 -13 2 1 0 1
-0.682473 4.93259 0 -1.00927 5.17446 84.9711 0.200198 -13 3 1 0 1
-3.3239 -3.21065 0 -14.6008 -12.4872 80.9173 -0.530788 -13 4 1 0 1
-0.314514 -4.45991 0 -2.41082 -17.0676 87.4665 1.14326 -13 5 1 0 1
2.16495 1.17771 0 -2.52205 -0.338213 98.9478 -0.670767 -13 6 1 0 1
1.59985 -3.06844 0 0.45373 -12.8701 91.6003 -0.687433 -13 7 1 0 1
-3.30552 1.6418 0 -5.07737 0.888026 76.5428 0.300683 -13 8 1 0 1
-1.60556 -5.84296 0 -1.57573 -7.99215 76.8948 -0.439415 -13 9 1 0 1
-0.762942 0.864198 0 -5.91423 -3.8962 89.9525 -0.724275 -13 10 1 0 1
-0.463995 -2.72372 0 5.83723 -2.38733 81.2583 -1.18701 -13 11 1 0 1
-4.11843 -0.746094 0 -4.62244 -6.49677 66.4346 -0.465641 -13 12 1 0 1
-0.835958 -0.965265 0 2.66174 -10.7307 82.0737 1.50179 -13 13 1 0 1
1.68082 -1.31395 0 2.34178 -4.63052 92.5071 -0.0028612 -13 14 1 0 1
2.78278 -2.62102 0 19.4805 -5.32784 85.1181 -0.00952509 -13 15 1 0 1
-0.253911 -2.80449 0 6.06163 0.704065 83.2673 0.24723 -13 16 1 0 1
1.79637 -0.26841 0 3.59928 -2.64754 91.5625 1.79125 -13 17 1 0 1
2.55707 0.295701 0 11.4046 1.39925 88.4108 0.334568 -13 18 1 0 1
0.978861 -1.50404 0 5.34817 0.191471 89.0492 0.0939748 -13 19 1 0 1
0.850097 0.789223 0 -9.83668 6.53078 95.009 0.46702 -13 20 1 0 1
-0.478892 2.24575 0 -7.21512 5.00891 92.9188 0.661232 -13 21 1 0 1
1.46097 -3.8688 0 -6.53202 -5.31037 96.3214 -0.344787 -13 22 1 0 1
0.470015 -2.63774 0 17.9054 -3.96884 74.8382 0.0570813 -13 23 1 0 1
-0.279378 -2.4531 0 -4.00679 -4.87757 88.7468 -0.709353 -13 24 1 0 1
-0.399282 3.00074 0 -1.54576 0.542288 90.5538 0.658688 -13 25 1 0 1
-1.53468 2.61773 0 3.32539 0.904875 80.24 -0.0778192 -13 26 1 0 1
-0.570327 2.06668 0 -7.70503 3.26275 89.0491 0.252621 -13 27 1 0 1
-6.46983 -3.92118 0 -27.5657 -24.3071 60.2141 0.0328125 -13 28 1 0 1
-1.0686 -0.845464 0 -6.37888 9.43659 85.061 -1.7851 -13 29 1 0 1
-1.37649 1.04536 0 -8.02296 5.9568 86.1302 -0.438269 -13 30 1 0 1
2.23917 2.74046 0 -3.53927 14.3702 97.0035 -0.735988 -13 31 1 0 1
1.38981 -1.98649 0 -2.87753 11.7723 95.3349 -0.991227 -13 32 1 0 1
0.814827 -2.04659 0 -3.6744 0.134154 95.6691 -1.41167 -13 33 1 0 1
-3.62617 -0.970474 0 -9.48287 -13.454 75.8705 0.80435 -13 34 1 0 1
1.14283 0.272891 0 7.92039 -1.18793 84.1612 0.780464 -13 35 1 0 1
