#BLTrackFile out_1771265890_6139321
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
0.829126 10.7872 54.0608 4.53599 12.6532 86.9726 0.80861 -13 1 1 0 1 
-1.20646 -8.09196 54.0608 2.55492 -8.18804 90.7237 1.8174 -13 2 1 0 1 
-4.69961 1.11354 54.0608 -0.71665 0.400341 86.0539 1.23023 -13 3 1 0 1 
-6.14904 7.8842 54.0608 -6.99593 10.3475 93.1146 1.00721 -13 4 1 0 1 
-0.304641 -0.210697 54.0608 6.45867 0.678532 80.5335 -0.173375 -13 5 1 0 1 
7.51343 -2.04072 54.0608 12.9452 -0.909871 91.4374 1.35695 -13 6 1 0 1 
-3.56524 2.45794 54.0608 -2.11535 5.70359 92.7322 -0.697214 -13 7 1 0 1 
-13.2184 -11.3659 54.0608 -11.0193 -16.0253 84.1833 -0.83973 -13 8 1 0 1 
-5.07767 -3.07681 54.0608 -0.716069 -1.19687 80.323 1.39328 -13 9 1 0 1 
-8.8983 7.48725 54.0608 -14.4766 8.03015 96.79 0.247424 -13 10 1 0 1 
6.78201 4.42021 54.0608 14.0421 6.00262 73.9662 -0.409069 -13 11 1 0 1 
2.51983 -0.0765377 54.0608 6.26965 6.81343 93.521 -0.244299 -13 12 1 0 1 
4.96183 0.887429 54.0608 11.1255 1.52116 86.3 0.171371 -13 13 1 0 1 
-8.47317 -8.59008 54.0608 -14.3177 -13.4247 97.2782 1.98024 -13 14 1 0 1 
-8.25866 -10.6607 54.0608 -6.44426 -16.3328 86.4715 -0.183193 -13 15 1 0 1 
3.57137 -4.37977 54.0608 10.696 -3.69026 78.1796 0.934314 -13 16 1 0 1 
9.64533 -4.15146 54.0608 16.2926 -3.532 88.2194 0.161465 -13 17 1 0 1 
-4.77981 4.57962 54.0608 -4.14714 3.07484 91.5392 0.616634 -13 18 1 0 1 
4.51716 8.47711 54.0608 7.845 9.70706 91.4819 0.072653 -13 19 1 0 1 
5.54911 1.771 54.0608 6.5343 3.72263 101.843 -0.0852242 -13 20 1 0 1 
-7.24742 8.26746 54.0608 -2.9911 8.65271 83.5573 -0.209948 -13 21 1 0 1 
-5.00576 -3.42408 54.0608 -2.06557 -7.15116 86.5527 0.396501 -13 22 1 0 1 
7.64439 3.6456 54.0608 13.5297 7.80576 89.9727 0.0746288 -13 23 1 0 1 
3.72607 -2.16333 54.0608 6.49721 -1.37623 95.2441 0.0619339 -13 24 1 0 1 
-3.76762 -5.2755 54.0608 2.09051 -5.86748 79.0159 -0.690977 -13 25 1 0 1 
-0.14279 5.25005 54.0608 5.81057 5.88687 83.5263 -0.0251843 -13 26 1 0 1 
-6.27782 -4.45098 54.0608 -6.50647 -1.97379 92.5799 0.696981 -13 27 1 0 1 
4.89146 -12.1931 54.0608 9.75359 -14.7918 87.3184 1.91807 -13 28 1 0 1 
-0.968109 -2.41062 54.0608 7.29041 -2.83096 51.65 0.497649 -13 29 1 0 1 
-3.06274 -4.51038 54.0608 -3.92946 -4.67337 97.7074 0.469968 -13 30 1 0 1 
8.29638 14.2525 54.0608 11.8852 16.1955 94.5961 0.750315 -13 31 1 0 1 
-9.1988 4.82702 54.0608 -5.32066 2.4349 81.7261 0.605521 -13 32 1 0 1 
-7.83701 2.17953 54.0608 -5.79896 0.278367 86.4405 0.414917 -13 33 1 0 1 
-3.78665 -8.6132 54.0608 -3.78324 -9.35973 93.7202 -0.258716 -13 34 1 0 1 
-0.0689792 -0.823594 54.0608 2.12908 -4.25163 93.626 -0.22374 -13 35 1 0 1 
-5.43446 -0.366812 54.0608 -4.08873 -4.18647 90.4609 -0.00416725 -13 36 1 0 1 
-2.22835 1.39123 54.0608 -1.41596 -0.16603 96.224 0.379345 -13 37 1 0 1 
-2.6138 0.925896 54.0608 -3.74502 2.18143 98.3703 -1.52697 -13 38 1 0 1 
0.340706 4.87253 54.0608 3.27151 3.68526 92.5906 0.772098 -13 39 1 0 1 
-2.08976 2.63203 54.0608 -1.28214 8.71469 95.2209 0.883298 -13 40 1 0 1 
1.66548 -0.106832 54.0608 1.69 4.27506 99.5034 0.127827 -13 41 1 0 1 
2.29783 -1.14391 54.0608 5.83901 -4.80012 89.3893 0.856032 -13 43 1 0 1 
-10.8718 1.99752 54.0608 -6.33345 0.151482 79.2992 -0.220068 -13 44 1 0 1 
3.36611 12.1275 54.0608 8.69412 14.7817 85.917 0.305012 -13 45 1 0 1 
0.807863 5.32869 54.0608 2.53737 2.53374 96.0832 0.4438 -13 46 1 0 1 
-1.88049 -5.80772 54.0608 1.85396 -7.53069 84.6397 0.991562 -13 47 1 0 1 
6.29108 4.11489 54.0608 12.4122 5.80693 86.1243 1.00481 -13 48 1 0 1 
-4.01553 4.90778 54.0608 -3.84096 9.81376 93.1206 0.568309 -13 49 1 0 1 
0.832193 5.04258 54.0608 -0.811089 3.79925 101.132 -0.128268 -13 50 1 0 1 
15.1149 7.40213 54.0608 22.9413 7.59205 91.2426 -0.0344105 -13 51 1 0 1 
-13.6936 -0.744716 54.0608 -12.7101 -2.63593 84.0278 -0.230341 -13 52 1 0 1 
