#BLTrackFile particles_after_bsec
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
0.628302 -1.44919 51.9706 9.28694 2.47259 90.4991 1.58303 -13 1 1 0 1 
13.0741 6.89241 51.9706 25.0609 13.154 91.0453 0.936072 -13 2 1 0 1 
7.12297 1.93505 51.9706 20.5466 4.30599 71.6508 -0.00434146 -13 3 1 0 1 
-4.97786 -2.80044 51.9706 2.59921 0.492437 88.1022 0.889003 -13 5 1 0 1 
2.3675 -0.742238 51.9706 16.087 2.51313 75.8636 -0.406633 -13 6 1 0 1 
4.29768 1.33916 51.9706 14.8416 0.522604 87.3308 0.689487 -13 7 1 0 1 
1.60231 -2.02769 51.9706 8.46491 -2.58141 95.834 0.326998 -13 8 1 0 1 
-1.73312 4.97082 51.9706 5.86774 6.1833 90.425 1.95751 -13 9 1 0 1 
0.822103 6.20282 51.9706 8.74033 8.89481 95.1059 1.29501 -13 10 1 0 1 
14.429 -10.8539 51.9706 28.8545 -11.1982 74.2309 0.431939 -13 11 1 0 1 
5.7077 -4.16243 51.9706 18.0289 -4.50422 78.7847 0.63904 -13 12 1 0 1 
4.0796 6.55501 51.9706 15.326 7.29178 88.098 -0.249012 -13 13 1 0 1 
8.82797 0.0226272 51.9706 21.8343 -0.951469 82.0378 0.783898 -13 14 1 0 1 
12.4458 7.31151 51.9706 24.4195 7.33839 92.7934 0.467188 -13 15 1 0 1 
6.39961 9.791 51.9706 17.8227 6.53121 86.2253 1.38358 -13 16 1 0 1 
-1.90852 4.91671 51.9706 8.70289 2.68913 77.0374 0.959109 -13 17 1 0 1 
15.2138 9.9553 51.9706 27.7053 9.81467 62.1396 0.159451 -13 18 1 0 1 
-3.95134 -4.31909 51.9706 3.95113 -5.34376 86.6558 2.23375 -13 19 1 0 1 
10.459 3.06007 51.9706 24.0162 6.43783 78.5861 -0.0330184 -13 20 1 0 1 
2.92794 10.7713 51.9706 13.2068 14.4081 86.8524 0.11793 -13 21 1 0 1 
1.71107 3.8684 51.9706 12.3836 6.31848 86.8883 0.980187 -13 22 1 0 1 
5.80487 6.33823 51.9706 14.1481 9.33602 97.6978 -0.634592 -13 23 1 0 1 
4.93499 -11.0819 51.9706 17.1016 -10.967 79.0002 0.909083 -13 24 1 0 1 
2.26587 2.88519 51.9706 13.0299 1.31758 87.3419 -0.226412 -13 25 1 0 1 
7.95067 -0.47126 51.9706 20.6279 -3.12468 86.777 0.547208 -13 26 1 0 1 
9.52871 0.835104 51.9706 18.2607 -0.292707 99.273 2.14947 -13 27 1 0 1 
2.38288 4.34433 51.9706 8.36662 3.07664 98.1435 1.12149 -13 29 1 0 1 
2.85377 2.15459 51.9706 13.5097 1.78969 86.7496 -1.14644 -13 30 1 0 1 
