#BLTrackFile NTuple/Z11
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
13.6805 -12.1712 0.0 -3.56421 -3.93365 88.4253 4.17107 -13 1 1 0 1
85.5112 96.6433 0.0 15.1748 24.6196 75.604 4.46263 -13 2 1 0 1
-96.2481 -79.0162 0.0 -17.7951 -26.001 51.1999 4.87404 -13 3 1 0 1
-17.6523 -28.8219 0.0 -9.41851 -9.2066 87.3307 3.27118 -13 4 1 0 1
129.561 39.9316 0.0 25.4575 11.9989 84.6963 4.11538 -13 5 1 0 1
87.3811 -0.919436 0.0 18.0348 -0.258832 99.3144 5.41963 -13 6 1 0 1
-131.46 63.7507 0.0 -23.4165 16.4941 76.1643 4.77766 -13 7 1 0 1
-92.8228 -26.4762 0.0 -17.5358 -8.75456 88.7295 3.80082 -13 8 1 0 1
-1.3377 -14.7241 0.0 -6.58246 -5.51394 97.2525 3.03195 -13 9 1 0 1
-128.157 43.0785 0.0 -27.3158 14.2635 92.2348 4.21334 -13 10 1 0 1
122.617 42.6902 0.0 23.0581 11.8634 80.7088 4.95776 -13 11 1 0 1
132.336 -4.95551 0.0 26.7894 -1.39347 87.804 3.07923 -13 12 1 0 1
-86.6841 -17.957 0.0 -17.7536 -6.71855 95.6939 2.90287 -13 13 1 0 1
-125.516 -6.23715 0.0 -25.6968 -1.8938 88.54 4.06209 -13 14 1 0 1
-123.941 -26.9225 0.0 -20.6229 -6.32406 71.1375 4.63004 -13 15 1 0 1
-10.0595 29.0897 0.0 -7.64819 7.93497 76.9765 4.13411 -13 16 1 0 1
-124.978 -103.018 0.0 -14.7233 -12.1821 85.9651 3.58947 -13 17 1 0 1
-10.4256 -12.0969 0.0 -8.10561 -4.17636 89.2285 3.62121 -13 18 1 0 1
2.21323 -2.37837 0.0 -5.95521 -0.822597 98.7168 1.96207 -13 19 1 0 1
-81.3252 19.8773 0.0 -15.9057 6.80112 91.3343 5.05579 -13 20 1 0 1
-81.1085 51.4749 0.0 -16.5592 18.6744 94.8752 3.35886 -13 21 1 0 1
112.598 -25.1973 0.0 8.84126 10.3137 57.685 3.74448 -13 22 1 0 1
124.301 17.0457 0.0 24.0659 5.20423 83.3103 4.03176 -13 23 1 0 1
-9.35739 25.4073 0.0 -8.07273 8.86668 92.8947 3.42267 -13 24 1 0 1
86.5738 9.35865 0.0 16.2767 3.3219 89.2969 2.60914 -13 25 1 0 1
-8.92607 6.70952 0.0 -8.08333 2.45387 96.0468 1.59947 -13 26 1 0 1
24.6759 26.1538 0.0 -1.52862 8.37719 87.6426 3.23692 -13 27 1 0 1
-116.903 43.566 0.0 -23.321 13.2356 86.0811 4.00667 -13 28 1 0 1
-21.5597 11.6974 0.0 -10.2826 4.03592 89.2558 4.44511 -13 29 1 0 1
7.70037 25.4476 0.0 -4.71782 8.71853 92.851 3.50769 -13 30 1 0 1
-84.6806 -47.032 0.0 -17.1563 -17.0615 94.2696 4.38593 -13 31 1 0 1
110.46 -30.3763 0.0 12.3644 -2.07107 16.0259 3.72009 -13 32 1 0 1
129.637 -87.5772 0.0 15.2071 -9.65504 84.8228 5.4058 -13 33 1 0 1
97.4901 -21.2458 0.0 18.4483 -7.03449 89.4852 4.75258 -13 34 1 0 1
-100.998 -50.9277 0.0 -9.34444 16.0313 33.6721 2.69056 -13 35 1 0 1
-12.449 23.6535 0.0 -8.66996 8.37778 92.4207 3.43623 -13 36 1 0 1
105.853 67.2525 0.0 18.46 16.5772 73.8986 4.49313 -13 37 1 0 1
-21.2823 19.7248 0.0 -10.4201 7.08492 92.3384 4.66363 -13 38 1 0 1
-90.6064 -0.128056 0.0 -19.4421 0.0920999 99.587 3.07982 -13 39 1 0 1
128.906 61.3905 0.0 23.1171 15.852 76.1365 3.97133 -13 40 1 0 1
113.208 -55.1226 0.0 24.383 -19.3625 95.1513 3.54702 -13 41 1 0 1
109.424 -69.8516 0.0 19.3695 -17.4357 74.9746 3.85092 -13 42 1 0 1
2.64371 -22.0447 0.0 -5.75214 -7.51807 94.103 3.13863 -13 43 1 0 1
-82.3028 4.17594 0.0 -15.6282 1.44108 89.1307 4.25743 -13 44 1 0 1
118.207 17.8264 0.0 24.8968 -7.18689 42.6073 3.44215 -13 45 1 0 1
128.965 -27.8077 0.0 24.2442 -7.60989 80.5189 4.38801 -13 46 1 0 1
-84.2015 -7.05439 0.0 -17.1303 -2.72145 95.0931 4.31701 -13 47 1 0 1
-90.4309 -11.5481 0.0 -17.7501 -3.98694 92.1575 2.82714 -13 48 1 0 1
126.779 13.8196 0.0 21.4151 3.31072 71.1422 4.26044 -13 49 1 0 1
-91.6306 92.8221 0.0 -15.4272 22.0341 71.6296 4.45708 -13 50 1 0 1
-136.451 -21.4165 0.0 -28.2635 -6.79876 89.7276 4.63948 -13 51 1 0 1
25.5344 -17.3283 0.0 -1.24635 -6.10065 91.1889 3.27017 -13 52 1 0 1
132.591 32.7262 0.0 26.9214 10.171 88.1931 3.50934 -13 53 1 0 1
-7.51838 20.6087 0.0 -7.65001 7.13809 90.7074 5.11693 -13 54 1 0 1
-80.4609 -17.1869 0.0 -16.1493 -6.06271 93.7753 4.07453 -13 55 1 0 1
5.57058 23.7422 0.0 -5.03769 6.99805 82.312 3.65046 -13 56 1 0 1
-111.217 -101.114 0.0 -10.472 -9.34478 70.6262 3.48433 -13 57 1 0 1
112.194 63.57 0.0 22.0282 18.9756 84.8519 4.19945 -13 58 1 0 1
-119.58 65.4419 0.0 -23.5989 19.7394 85.0119 4.29071 -13 59 1 0 1
17.8803 -19.5192 0.0 -2.66053 -6.90542 95.0437 3.99775 -13 60 1 0 1
-128.795 -6.4622 0.0 -28.117 -2.34622 94.7903 4.14202 -13 61 1 0 1
138.153 -10.3794 0.0 26.94 -3.23249 84.137 2.35327 -13 62 1 0 1
83.3406 46.038 0.0 13.9985 13.1663 78.596 4.5506 -13 63 1 0 1
-30.3212 20.7523 0.0 -11.667 6.49172 85.7923 3.13281 -13 64 1 0 1
97.8427 79.2283 0.0 18.0413 21.2749 78.836 3.26555 -13 65 1 0 1
92.3649 -10.5939 0.0 17.4719 -3.60027 89.5231 3.27273 -13 66 1 0 1
-94.1079 119.766 0.0 -10.2577 12.8662 80.551 3.0267 -13 67 1 0 1
138.11 46.2344 0.0 25.787 12.7664 79.8486 3.91368 -13 68 1 0 1
-93.2854 19.1252 0.0 -15.123 5.31145 76.6141 4.33398 -13 69 1 0 1
-116.265 -75.266 0.0 -23.9365 -23.7518 88.6593 4.05712 -13 70 1 0 1
123.005 -114.518 0.0 15.5515 -14.7642 93.4082 3.64213 -13 71 1 0 1
94.1518 27.6631 0.0 17.7787 9.18234 89.2703 5.63187 -13 72 1 0 1
-120.795 5.40667 0.0 -14.5291 7.55083 45.6669 2.84306 -13 73 1 0 1
101.099 -2.02173 0.0 19.5362 9.04119 69.2642 5.27225 -13 74 1 0 1
-114.717 -71.8116 0.0 -21.9179 -20.2882 81.9727 4.54872 -13 75 1 0 1
22.5496 11.7281 0.0 -2.05597 3.46705 84.2646 4.51428 -13 76 1 0 1
-0.0670506 -9.20941 0.0 -6.022 -2.8981 81.085 5.04575 -13 77 1 0 1
108.73 35.7722 0.0 7.43724 -2.54559 43.8366 3.26581 -13 78 1 0 1
-97.2648 5.91658 0.0 -16.376 1.6862 79.2144 5.34759 -13 79 1 0 1
2.57063 20.7638 0.0 -5.76466 7.44309 94.5331 3.56059 -13 80 1 0 1
-127.145 -45.4994 0.0 -25.3586 -13.8957 86.047 3.35053 -13 81 1 0 1
138.608 -71.8847 0.0 23.8231 -17.3871 72.4291 5.4183 -13 82 1 0 1
