#BLTrackFile NTuple/Z11
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
13.6886 -12.1643 0.0 -3.4354 -3.82328 88.4353 4.17106 -13 1 1 0 1
85.4779 96.6871 0.0 14.6942 25.1982 75.5082 4.46267 -13 2 1 0 1
-94.9553 -76.9744 0.0 -15.823 -19.1999 73.476 4.85639 -13 3 1 0 1
-17.6621 -28.8054 0.0 -9.57727 -8.94399 87.3408 3.27118 -13 4 1 0 1
129.505 39.9434 0.0 24.6381 12.2148 84.9075 4.1153 -13 5 1 0 1
87.4271 -0.918975 0.0 18.8343 -0.250167 99.1659 5.41967 -13 6 1 0 1
-106.027 12.4275 0.0 -21.1556 3.94752 89.4726 4.62853 -13 7 1 0 1
-131.399 63.7724 0.0 -22.6143 16.8367 76.3316 4.77759 -13 8 1 0 1
-92.8778 -26.4616 0.0 -18.3889 -8.50494 88.581 3.80087 -13 9 1 0 1
89.0044 -64.0072 0.0 15.1548 -16.3772 74.9206 4.18702 -13 10 1 0 1
-1.33811 -14.7166 0.0 -6.5914 -5.38042 97.2593 3.03195 -13 11 1 0 1
-128.106 43.0904 0.0 -26.5087 14.4974 92.4336 4.21327 -13 12 1 0 1
122.561 42.7042 0.0 22.2848 12.0988 80.8909 4.9577 -13 13 1 0 1
132.278 -4.9569 0.0 25.9324 -1.42013 88.0605 3.07915 -13 14 1 0 1
-86.7315 -17.9479 0.0 -18.5483 -6.55025 95.5548 2.90291 -13 15 1 0 1
-125.462 -6.23893 0.0 -24.8842 -1.92796 88.7711 4.06201 -13 16 1 0 1
-123.876 -26.9323 0.0 -19.8283 -6.47207 71.3498 4.62995 -13 17 1 0 1
-10.0656 29.0707 0.0 -7.73669 7.67022 76.9945 4.1341 -13 18 1 0 1
-124.929 -103.056 0.0 -13.9606 -12.7944 86.0034 3.58945 -13 19 1 0 1
-103.812 20.3634 0.0 -20.4949 6.51718 88.4338 4.28942 -13 20 1 0 1
-10.4312 -12.0902 0.0 -8.19756 -4.06649 89.2252 3.62122 -13 21 1 0 1
2.21461 -2.37717 0.0 -5.93164 -0.800997 98.7184 1.96207 -13 22 1 0 1
-113.783 -30.1069 0.0 -20.7378 -8.66614 81.3759 4.03925 -13 23 1 0 1
-81.3715 19.8666 0.0 -16.6515 6.61537 91.2149 5.05583 -13 24 1 0 1
-81.153 51.4475 0.0 -17.3149 18.1937 94.8337 3.35887 -13 25 1 0 1
112.481 -26.575 0.0 24.1703 -9.93153 98.1905 3.73716 -13 26 1 0 1
124.244 17.0509 0.0 23.2644 5.29772 83.5318 4.03168 -13 27 1 0 1
-9.36214 25.3936 0.0 -8.15527 8.63583 92.9092 3.42267 -13 28 1 0 1
86.6245 9.35357 0.0 17.0692 3.23425 89.1521 2.60919 -13 29 1 0 1
-8.93052 6.70605 0.0 -8.16167 2.39293 96.0417 1.59947 -13 30 1 0 1
24.6905 26.1388 0.0 -1.29828 8.13993 87.6687 3.23691 -13 31 1 0 1
-116.854 43.5798 0.0 -22.585 13.4795 86.2394 4.00661 -13 32 1 0 1
-21.5717 11.6909 0.0 -10.4765 3.92935 89.2381 4.44512 -13 33 1 0 1
7.70491 25.4338 0.0 -4.64362 8.48777 92.8761 3.50768 -13 34 1 0 1
-84.7274 -47.007 0.0 -17.9431 -16.6212 94.2018 4.38595 -13 35 1 0 1
109.364 -29.5968 0.0 22.0524 -9.84308 90.954 3.70317 -13 36 1 0 1
129.584 -87.6097 0.0 14.3993 -10.1715 84.9034 5.40577 -13 37 1 0 1
97.5475 -21.2342 0.0 19.3428 -6.83344 89.3117 4.75264 -13 38 1 0 1
-100.843 -51.767 0.0 -20.6908 -17.4684 91.5237 2.67929 -13 39 1 0 1
-12.4555 23.6407 0.0 -8.78083 8.1628 92.4295 3.43623 -13 40 1 0 1
-89.2166 58.8054 0.0 -17.5168 18.377 87.5086 2.70592 -13 41 1 0 1
105.804 67.2796 0.0 17.8179 16.9635 73.9685 4.4931 -13 42 1 0 1
-110.488 -35.5227 0.0 -18.9789 -9.43158 76.7557 3.93068 -13 43 1 0 1
-21.2937 19.7141 0.0 -10.6118 6.90526 92.3302 4.66363 -13 44 1 0 1
-92.2881 -59.1027 0.0 -15.141 -14.7455 72.969 2.8336 -13 45 1 0 1
-90.6541 -0.127975 0.0 -20.2707 0.0933799 99.4217 3.07987 -13 46 1 0 1
128.846 61.4116 0.0 22.327 16.184 76.3023 3.97126 -13 47 1 0 1
-96.6449 67.4669 0.0 -17.9372 19.5484 82.2788 4.56654 -13 48 1 0 1
-107.238 12.7112 0.0 -20.7435 4.00631 86.5281 3.89648 -13 49 1 0 1
112.381 -25.979 0.0 21.1551 -7.88524 84.0401 3.47389 -13 50 1 0 1
113.166 -55.139 0.0 23.6838 -19.6746 95.2638 3.54699 -13 51 1 0 1
109.375 -69.8791 0.0 18.7092 -17.8336 75.0487 3.85089 -13 52 1 0 1
2.64546 -22.033 0.0 -5.72446 -7.318 94.1205 3.13863 -13 53 1 0 1
-82.3509 4.17366 0.0 -16.3811 1.40206 88.9961 4.25747 -13 54 1 0 1
116.467 17.4407 0.0 24.537 6.34111 95.8769 3.42973 -13 55 1 0 1
-97.6687 42.0792 0.0 -18.4209 12.6682 84.0606 3.21714 -13 56 1 0 1
128.905 -27.8164 0.0 23.4181 -7.76049 80.7487 4.38793 -13 57 1 0 1
-84.2477 -7.0508 0.0 -17.9008 -2.65551 94.953 4.31705 -13 58 1 0 1
-90.4824 -11.542 0.0 -18.578 -3.87829 91.9989 2.82719 -13 59 1 0 1
126.711 13.8245 0.0 20.5964 3.38586 71.38 4.26033 -13 60 1 0 1
-91.5919 92.8651 0.0 -14.905 22.5838 71.5689 4.45711 -13 61 1 0 1
-136.393 -21.4221 0.0 -27.3856 -6.91228 89.9908 4.63939 -13 62 1 0 1
25.5488 -17.3188 0.0 -1.0088 -5.94361 91.2022 3.27016 -13 63 1 0 1
132.534 32.7353 0.0 26.076 10.3466 88.4264 3.50926 -13 64 1 0 1
-7.52224 20.5973 0.0 -7.71548 6.95096 90.7164 5.11693 -13 65 1 0 1
111.17 38.4939 0.0 18.1585 9.21596 71.5413 5.26983 -13 66 1 0 1
-80.5055 -17.1779 0.0 -16.8867 -5.90223 93.6556 4.07456 -13 67 1 0 1
5.57442 23.7277 0.0 -4.98281 6.78259 82.3334 3.65046 -13 68 1 0 1
-111.164 -101.161 0.0 -9.7897 -9.95949 70.6401 3.48432 -13 69 1 0 1
112.148 63.5916 0.0 21.3447 19.3358 84.9452 4.19942 -13 70 1 0 1
-119.531 65.4633 0.0 -22.8736 20.1031 85.1249 4.29067 -13 71 1 0 1
97.9491 -54.4151 0.0 18.8837 -16.9735 86.1558 4.85175 -13 72 1 0 1
17.8901 -19.509 0.0 -2.49316 -6.72846 95.061 3.99775 -13 73 1 0 1
-128.743 -6.46385 0.0 -27.2832 -2.38122 95.0328 4.14195 -13 74 1 0 1
104.417 -15.7655 0.0 20.557 -5.03871 88.681 2.44453 -13 75 1 0 1
138.09 -10.3822 0.0 26.0466 -3.28713 84.4157 2.35317 -13 76 1 0 1
83.3959 46.0086 0.0 14.7715 12.735 78.5256 4.55063 -13 77 1 0 1
-30.3389 20.7403 0.0 -11.9415 6.30177 85.7687 3.13282 -13 78 1 0 1
97.8028 79.2601 0.0 17.4644 21.7382 78.8395 3.26555 -13 79 1 0 1
92.4191 -10.5882 0.0 18.3174 -3.50049 89.3579 3.27278 -13 80 1 0 1
-94.0703 119.817 0.0 -9.69551 13.6083 80.4987 3.02672 -13 81 1 0 1
138.046 46.2483 0.0 24.9202 13.0097 80.0842 3.91359 -13 82 1 0 1
-93.3494 19.113 0.0 -15.9784 5.1309 76.4526 4.33405 -13 83 1 0 1
-116.221 -75.2906 0.0 -23.2469 -24.1736 88.7288 4.0571 -13 84 1 0 1
122.962 -114.557 0.0 14.8127 -15.4475 93.4178 3.64213 -13 85 1 0 1
94.2072 27.6479 0.0 18.6445 8.9213 89.12 5.63192 -13 86 1 0 1
-119.391 5.6234 0.0 -23.0348 1.69947 86.4517 2.82494 -13 87 1 0 1
100.948 -2.14433 0.0 19.6604 -0.732992 87.3959 5.27082 -13 88 1 0 1
-114.67 -71.837 0.0 -21.2302 -20.6923 82.0526 4.54869 -13 89 1 0 1
109.026 8.00861 0.0 20.8415 2.5078 85.6462 4.31386 -13 90 1 0 1
22.5634 11.7211 0.0 -1.84583 3.36059 84.2738 4.51427 -13 91 1 0 1
-0.0667325 -9.20376 0.0 -6.01883 -2.81461 81.0882 5.04575 -13 92 1 0 1
106.793 8.84357 0.0 19.3632 2.6146 80.6577 3.37927 -13 93 1 0 1
108.851 35.1759 0.0 22.6765 12.5364 94.6522 3.25532 -13 94 1 0 1
-97.3297 5.91294 0.0 -17.2658 1.63015 79.0264 5.34766 -13 95 1 0 1
92.4484 -70.9629 0.0 16.3055 -19.1632 77.8722 5.12969 -13 96 1 0 1
101.786 12.8933 0.0 20.5038 4.24592 90.8909 1.76006 -13 97 1 0 1
2.57232 20.7528 0.0 -5.73766 7.25483 94.5494 3.56059 -13 98 1 0 1
-93.7717 -73.4591 0.0 -18.3032 -22.8974 86.7 4.25421 -13 99 1 0 1
-105.918 -41.5155 0.0 -22.0136 -13.9383 92.8211 2.86512 -13 100 1 0 1
-127.091 -45.513 0.0 -24.5603 -14.1435 86.238 3.35046 -13 101 1 0 1
138.541 -71.9096 0.0 22.9905 -17.7638 72.6066 5.41822 -13 102 1 0 1
91.959 25.573 0.0 18.0204 8.06186 88.2121 4.00745 -13 103 1 0 1
-3.00853 -12.5163 0.0 -6.81056 -3.91435 91.2424 3.49549 -13 104 1 0 1
-85.3767 24.1181 0.0 -15.6521 6.85401 81.7074 4.96581 -13 105 1 0 1
133.279 -1.55551 0.0 26.6942 -0.466731 90.3583 3.8175 -13 106 1 0 1
-91.3948 -4.4781 0.0 -17.121 -1.28481 83.7434 6.03303 -13 107 1 0 1
105.636 -50.6585 0.0 19.466 -14.4308 81.9091 5.04746 -13 108 1 0 1
-115.527 20.0181 0.0 -23.4368 6.78304 90.8498 3.73935 -13 109 1 0 1
108.645 -67.7275 0.0 17.012 -15.4818 68.044 3.99586 -13 110 1 0 1
-100.908 60.4617 0.0 -17.3696 15.9005 76.514 4.10194 -13 111 1 0 1
13.9524 19.8523 0.0 -3.33791 6.9683 94.6204 3.10809 -13 112 1 0 1
-11.6593 -2.42942 0.0 -8.05758 -0.61719 78.5809 4.2489 -13 113 1 0 1
-119.272 -2.01117 0.0 -23.8309 -0.831595 89.4566 3.30324 -13 114 1 0 1
-103.184 79.9654 0.0 -18.8999 22.8964 81.059 3.85147 -13 115 1 0 1
-28.8594 2.50783 0.0 -11.9422 0.95308 89.6687 4.17139 -13 116 1 0 1
-120.622 72.9897 0.0 -20.5251 18.841 75.5275 3.9353 -13 117 1 0 1
-109.445 -27.7331 0.0 -22.1647 -9.4432 90.7075 3.68685 -13 118 1 0 1
115.11 8.36485 0.0 21.9695 2.62016 85.5653 3.55887 -13 119 1 0 1
-96.6553 -43.2035 0.0 -16.2213 -11.15 74.661 5.21664 -13 120 1 0 1
-105.11 45.8889 0.0 -20.4506 14.3743 86.815 2.92658 -13 121 1 0 1
-14.028 -1.8944 0.0 -9.24616 -0.938708 96.5615 4.14203 -13 122 1 0 1
-21.0082 -8.75067 0.0 -10.0387 -2.85157 85.031 3.79831 -13 123 1 0 1
-9.62505 17.7455 0.0 -8.2665 5.80869 94.2999 3.67928 -13 124 1 0 1
-109.721 -21.2916 0.0 -21.2952 -6.47346 86.7141 3.46067 -13 125 1 0 1
-118.891 -59.7492 0.0 -20.9667 -16.3318 78.2591 2.97092 -13 126 1 0 1
-90.3595 74.8234 0.0 -17.1746 22.5871 84.0088 5.59621 -13 127 1 0 1
17.2419 -30.0703 0.0 -2.94778 -8.36026 79.4932 4.53278 -13 128 1 0 1
-122.803 -59.5055 0.0 -24.7964 -19.6867 89.9248 3.93112 -13 129 1 0 1
-107.769 54.33 0.0 -20.7449 16.7878 85.8036 3.30163 -13 130 1 0 1
-94.9649 -68.4347 0.0 -20.2278 -24.2504 94.4148 2.77708 -13 131 1 0 1
-83.0243 65.1234 0.0 -16.3786 20.8528 87.3975 3.92082 -13 132 1 0 1
-29.3684 29.6424 0.0 -12.6629 10.8004 96.5881 3.23139 -13 133 1 0 1
21.9396 -11.6013 0.0 -1.55925 -4.11179 100.236 3.38027 -13 134 1 0 1
10.727 1.34038 0.0 -3.98329 0.624116 86.3887 4.20689 -13 135 1 0 1
9.5636 -4.20004 0.0 -4.23558 -1.46598 97.9401 3.44357 -13 136 1 0 1
-116.071 -47.9161 0.0 -23.8757 -16.2289 91.8461 2.75969 -13 137 1 0 1
-20.9892 12.7726 0.0 -10.8269 4.78679 97.017 3.42431 -13 138 1 0 1
127.332 -31.9579 0.0 24.2645 -9.81477 85.3302 3.86661 -13 139 1 0 1
123.803 -14.4596 0.0 23.0636 -4.30647 83.1663 4.54155 -13 140 1 0 1
-113.633 8.72393 0.0 -21.144 2.57928 83.3554 4.32859 -13 141 1 0 1
90.6423 8.11796 0.0 17.958 2.71953 89.4152 3.40792 -13 142 1 0 1
122.151 37.805 0.0 24.7408 12.6584 91.3924 3.81963 -13 143 1 0 1
126.955 -36.1273 0.0 24.1536 -11.0299 85.0452 2.09543 -13 144 1 0 1
-128.219 -56.9955 0.0 -25.2277 -18.0442 87.5432 3.89021 -13 145 1 0 1
26.2165 24.4598 0.0 -1.14612 7.30311 83.7916 4.65632 -13 146 1 0 1
-89.0414 49.8223 0.0 -17.4937 15.9719 87.4911 4.1132 -13 147 1 0 1
-15.7433 -14.5909 0.0 -9.00173 -4.22903 82.9518 3.7773 -13 148 1 0 1
129.782 72.669 0.0 22.9901 19.7582 78.1217 3.90332 -13 149 1 0 1
86.7692 9.65118 0.0 16.8666 2.94112 87.4502 3.58643 -13 150 1 0 1
14.9023 25.3495 0.0 -3.28182 7.3736 82.9232 5.03631 -13 151 1 0 1
