#BLTrackFile2 
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight Bx By Bz Ex Ey Ez ProperTime PathLength PolX PolY PolZ InitX InitY InitZ InitT InitKE
-188.261 -233.575 3914.47 -3.01319 -3.22218 71.4208 29.002 -13 1 1 0 1 0 0 0 0 0 0 21.0328 3926.13 0 0 0 13.6805 -12.1712 0 4.17107 32.2217
-100.809 216.295 3914.47 -1.80611 2.86045 71.8223 30.2994 -13 76 1 0 1 0 0 0 0 0 0 22.1553 3921.91 0 0 0 22.5496 11.7281 0 4.51428 29.5469
-65.0499 -218.732 3914.47 -1.55829 -3.50356 72.8563 25.7291 -13 106 1 0 1 0 0 0 0 0 0 18.0575 3920.99 0 0 0 21.9283 -11.607 0 3.38027 40.0476
-226.83 38.1609 3914.47 -3.4411 0.524698 71.0811 29.5534 -13 107 1 0 1 0 0 0 0 0 0 21.6436 3921.99 0 0 0 10.7204 1.34115 0 4.20689 30.8809
-209.332 -80.1609 3914.47 -3.65293 -1.24331 71.938 26.2503 -13 108 1 0 1 0 0 0 0 0 0 18.6171 3921.42 0 0 0 9.55844 -4.20217 0 3.44357 38.4806
-291.689 25.4284 3914.47 -4.89707 0.410147 73.6416 26.6015 -13 159 1 0 1 0 0 0 0 0 0 18.5237 3925.7 0 0 0 2.11559 0.656565 0 3.86773 38.539
-81.4585 -258.5 3914.47 -1.63536 -3.64417 74.0601 29.3581 -13 162 1 0 1 0 0 0 0 0 0 20.6819 3923.66 0 0 0 22.6882 -13.5886 0 4.83618 32.3186
-184.6 153.462 3914.47 -2.72408 1.92174 66.5319 29.8359 -13 213 1 0 1 0 0 0 0 0 0 23.2321 3922.52 0 0 0 16.1879 7.94469 0 3.09787 28.7613
-182.658 183.325 3914.47 -3.07583 2.66758 69.9333 27.2132 -13 234 1 0 1 0 0 0 0 0 0 19.8179 3923.36 0 0 0 13.0519 9.39134 0 3.40576 35.4948
-168.931 -69.4204 3914.47 -2.97128 -1.04383 72.6454 27.2175 -13 245 1 0 1 0 0 0 0 0 0 19.2092 3919.35 0 0 0 13.6518 -3.58409 0 3.93066 36.6327
-76.6098 248.892 3914.47 -1.60892 3.63439 72.7316 27.9892 -13 255 1 0 1 0 0 0 0 0 0 19.8206 3922.96 0 0 0 22.238 12.7409 0 4.18868 34.9466
-140.316 103.432 3914.47 -2.67503 1.63798 68.4647 24.9106 -13 278 1 0 1 0 0 0 0 0 0 18.3701 3918.89 0 0 0 15.8043 5.16654 0 2.29929 39.3841
-227.095 -188.817 3914.47 -3.34418 -2.46287 67.1197 29.0192 -13 292 1 0 1 0 0 0 0 0 0 22.2064 3926.08 0 0 0 11.3783 -9.52486 0 3.16927 30.6023
-189.975 -132.776 3914.47 -3.10867 -1.88085 70.3553 27.9625 -13 326 1 0 1 0 0 0 0 0 0 20.3635 3921.87 0 0 0 13.0457 -6.90239 0 3.70199 34.0407
-119.333 73.4252 3914.47 -2.35887 1.16998 81.9633 29.1246 -13 343 1 0 1 0 0 0 0 0 0 18.6538 3917.53 0 0 0 17.6746 3.16877 0 6.31974 35.518
-114.661 -35.2534 3914.47 -1.91244 -0.442537 73.8376 34.2091 -13 380 1 0 1 0 0 0 0 0 0 25.1944 3917.2 0 0 0 25.1077 -2.05421 0 5.75341 22.604
12.8328 -293.891 3914.47 -0.370504 -4.53172 74.5836 27.1569 -13 387 1 0 1 0 0 0 0 0 0 18.7429 3924.52 0 0 0 29.4407 -15.4746 0 4.24909 37.6609
-66.0156 -80.4782 3914.47 -1.35831 -1.07523 68.6497 28.9468 -13 389 1 0 1 0 0 0 0 0 0 21.7195 3916.3 0 0 0 24.5506 -3.98025 0 3.5374 31.2425
-78.5772 -84.7023 3914.47 -1.68884 -1.29316 72.3927 26.8337 -13 391 1 0 1 0 0 0 0 0 0 18.9629 3916.6 0 0 0 21.2031 -4.20816 0 3.75412 37.3588
-74.4984 -148.043 3914.47 -1.5217 -2.06635 67.2744 27.3677 -13 403 1 0 1 0 0 0 0 0 0 20.5875 3918.27 0 0 0 22.9646 -7.74908 0 2.91483 33.9548
-107.507 242.817 3914.47 -2.02797 3.53506 71.8695 27.8485 -13 404 1 0 1 0 0 0 0 0 0 19.9031 3923.46 0 0 0 19.5171 11.9883 0 3.97567 34.9216
